"","log2foldChange","pValues","FDR"
"ENSG00000000003.16",-0.0396685124041141,0.117880804493258,0.14369548724664
"ENSG00000000419.14",0.205172063195086,1.00817885256161e-26,1.66694628500901e-25
"ENSG00000000457.14",0.100669942284255,1.2902302509542e-13,4.96395534709184e-13
"ENSG00000000460.17",0.285712196222875,5.92359448809154e-26,8.83240479067845e-25
"ENSG00000000938.13",0.0520223671362557,0.102936617355622,0.126600729445597
"ENSG00000001036.14",0.13929884782994,1.67950155115672e-16,8.46262396509411e-16
"ENSG00000001084.13",0.0615313800848509,0.000110875920348293,0.000193352021435211
"ENSG00000001167.15",0.108536162582821,5.35744587804539e-14,2.12847438504573e-13
"ENSG00000001460.18",-0.0501596343955661,0.124270157353081,0.150926189759102
"ENSG00000001461.17",0.0170317629726659,0.654323294658069,0.690193272017664
"ENSG00000001497.18",0.0578385816716893,7.15428969400907e-05,0.000127013903221204
"ENSG00000001561.7",0.0130789332941678,0.882077382272346,0.897141377890806
"ENSG00000001617.12",0.0115346455901363,0.603477220211789,0.642950181364311
"ENSG00000001626.18",2.08750622481785,0.00264117618255229,0.0039928782874143
"ENSG00000001629.10",0.092449149388427,4.91262762978602e-23,4.96295131861551e-22
"ENSG00000001630.18",0.332194920636618,9.88975645940385e-10,2.73047727397943e-09
"ENSG00000001631.17",0.00688279575652989,0.781132495237595,0.80620906422022
"ENSG00000002016.18",-0.0278354650843807,0.00129947378555182,0.00203254426419806
"ENSG00000002079.14",0.65144474861115,0.00753221926841091,0.0107968732617391
"ENSG00000002330.14",0.0786156568614138,2.05726706430749e-05,3.85663701053573e-05
"ENSG00000002549.13",0.19340673332829,1.34981447716935e-23,1.45980817451555e-22
"ENSG00000002587.10",-0.0327214533131616,0.441208170769091,0.485498360623499
"ENSG00000002726.21",0.417439452008142,0.108479967719127,0.132938672283577
"ENSG00000002745.13",-1.28704310192365,1.93365357060596e-10,5.67586263413296e-10
"ENSG00000002746.15",-0.646369461590809,0.0209642927572475,0.0284322716408375
"ENSG00000002834.19",0.0116540227976225,0.213802447999892,0.249459233940909
"ENSG00000002919.15",0.0641878455785184,8.60186513075237e-06,1.66526418876037e-05
"ENSG00000002933.9",0.0698117875876196,0.00324729220753539,0.00485463537226156
"ENSG00000003056.8",0.156297122177932,1.16184205816499e-28,2.66528479925043e-27
"ENSG00000003096.15",-0.675503522539009,2.73802155386937e-22,2.53862935546335e-21
"ENSG00000003137.9",-0.207599954222375,0.0353155197682763,0.0465335870951069
"ENSG00000003147.19",0.0314677401918868,0.351435224199241,0.394498033210662
"ENSG00000003249.15",0.67825403697914,5.29943495327473e-17,2.80094725920885e-16
"ENSG00000003393.16",-0.00288252783494795,0.25955328296706,0.298457569147928
"ENSG00000003400.16",0.0351499618629153,0.0878191956584636,0.109137056322558
"ENSG00000003402.21",-0.0451698493707858,7.66159570003008e-06,1.48962790311013e-05
"ENSG00000003436.16",-0.462666611346192,2.67813716499141e-31,1.05444345298398e-29
"ENSG00000003509.16",0.0429345671485538,0.00044193321686684,0.000726589852292836
"ENSG00000003756.17",-0.0854925913086232,7.03212811331244e-24,7.90914563122134e-23
"ENSG00000003987.14",-0.260929740338173,8.52373676050639e-16,4.01584531768804e-15
"ENSG00000003989.18",-0.572126561250528,4.7852819293428e-25,6.23224552249992e-24
"ENSG00000004059.11",0.156681358844996,7.12961850059565e-20,5.08422527393093e-19
"ENSG00000004139.14",-0.316191799304478,6.71381418600453e-22,5.96867811301289e-21
