Genes,log2foldChange,pValues,FDR
ENSG00000002745.13,-1.287043102,1.93E-10,5.68E-10
ENSG00000005073.6,-1.127486291,1.91E-08,4.71E-08
ENSG00000005102.14,-1.813741903,6.73E-29,1.60E-27
ENSG00000007001.13,-3.362834495,2.27E-12,7.88E-12
ENSG00000007314.12,-4.009238178,1.20E-26,1.96E-25
ENSG00000007372.25,-2.349721558,7.16E-10,2.00E-09
ENSG00000008196.13,-1.182790191,9.31E-08,2.15E-07
ENSG00000013297.12,-1.596309571,7.38E-35,7.81E-33
ENSG00000015568.13,-2.292669318,0.005852516,0.008499575
ENSG00000018625.15,-6.384664182,7.49E-33,4.25E-31
ENSG00000019102.12,-2.769643916,3.62E-29,9.09E-28
ENSG00000030304.15,-1.609276631,7.79E-19,4.97E-18
ENSG00000033122.21,-2.206333407,1.40E-21,1.20E-20
ENSG00000036672.16,-1.692690298,6.79E-15,2.93E-14
ENSG00000041515.16,-1.711464905,5.28E-06,1.04E-05
ENSG00000050555.19,-1.291328435,2.37E-21,1.97E-20
ENSG00000050767.18,-1.082068059,3.42E-13,1.27E-12
ENSG00000052850.8,-1.124228519,8.49E-25,1.07E-23
ENSG00000053328.9,-1.035991159,3.95E-25,5.20E-24
ENSG00000054356.14,-1.678518923,3.67E-10,1.05E-09
ENSG00000054938.17,-1.221302271,3.39E-05,6.22E-05
ENSG00000058673.17,-1.293539968,6.30E-05,0.000112512
ENSG00000064195.7,-1.664340463,0.001153725,0.001815034
ENSG00000064300.9,-1.320747629,1.54E-27,2.92E-26
ENSG00000064787.14,-1.000776648,4.18E-08,1.00E-07
ENSG00000066382.17,-1.418936533,1.67E-23,1.79E-22
ENSG00000067840.13,-1.583357621,1.56E-26,2.50E-25
ENSG00000068976.14,-1.883631294,1.59E-27,3.00E-26
ENSG00000070193.5,-1.922027391,2.35E-34,2.14E-32
ENSG00000070526.15,-2.808295605,1.31E-15,6.05E-15
ENSG00000070915.10,-1.787740001,9.61E-10,2.66E-09
ENSG00000071991.9,-6.4953382,3.06E-09,8.09E-09
ENSG00000073282.14,-1.149014649,1.57E-26,2.52E-25
ENSG00000075073.16,-1.301846462,6.30E-05,0.000112512
ENSG00000075290.8,-1.267642657,0.000270238,0.000454138
ENSG00000076344.16,-1.214529213,1.14E-15,5.32E-15
ENSG00000077063.11,-1.222741372,7.74E-34,5.81E-32
ENSG00000077274.9,-1.480796309,4.50E-17,2.39E-16
ENSG00000077522.15,-1.626176041,0.001295321,0.002026462
ENSG00000078399.19,-1.845145898,3.64E-12,1.24E-11
ENSG00000078549.16,-2.418553288,1.59E-36,3.48E-34
ENSG00000079841.20,-1.141765578,5.07E-08,1.20E-07
ENSG00000082175.16,-1.101287164,1.34E-33,9.56E-32
ENSG00000082556.14,-1.130608855,3.05E-05,5.62E-05
ENSG00000083067.26,-1.929481457,7.41E-33,4.22E-31
