Genes,log2foldChange,pValues,FDR
ENSG00000001626.18,2.087506225,0.002641176,0.003992878
ENSG00000004948.16,2.970657807,8.81E-10,2.44E-09
ENSG00000005001.10,1.428853372,2.66E-11,8.43E-11
ENSG00000005981.13,1.355638331,3.74E-13,1.39E-12
ENSG00000006128.12,4.265586839,1.24E-30,4.18E-29
ENSG00000008118.10,1.105772364,0.000507157,0.000828408
ENSG00000010030.14,1.457379064,5.23E-27,9.06E-26
ENSG00000011426.11,1.104377112,1.42E-38,2.37E-35
ENSG00000017483.16,1.084501704,1.34E-23,1.45E-22
ENSG00000021461.18,1.336471608,1.87E-13,7.11E-13
ENSG00000021488.13,1.162366989,0.005242333,0.007656553
ENSG00000024526.17,2.097681461,6.08E-38,4.24E-35
ENSG00000034053.15,1.075078055,5.47E-25,7.06E-24
ENSG00000035499.13,3.682245751,5.84E-36,9.84E-34
ENSG00000035720.8,2.891068601,2.01E-13,7.60E-13
ENSG00000040608.14,1.652570886,2.83E-13,1.06E-12
ENSG00000049768.18,1.644185479,2.63E-19,1.76E-18
ENSG00000051180.17,1.240860897,5.32E-36,9.02E-34
ENSG00000051341.15,1.013355702,6.38E-38,4.35E-35
ENSG00000054277.14,1.387327822,1.31E-23,1.42E-22
ENSG00000056487.16,3.836995217,8.77E-27,1.46E-25
ENSG00000057593.14,3.1199562,2.67E-09,7.11E-09
ENSG00000058335.16,1.98770913,7.85E-15,3.37E-14
ENSG00000060718.22,1.254153988,3.15E-34,2.71E-32
ENSG00000065325.13,2.077232721,2.72E-15,1.22E-14
ENSG00000065328.17,1.463514781,5.55E-35,6.15E-33
ENSG00000066279.19,1.029333775,1.78E-38,2.37E-35
ENSG00000068489.13,1.107391602,1.73E-35,2.39E-33
ENSG00000069812.11,2.689022973,0.00236057,0.003587762
ENSG00000071539.14,1.208732882,1.05E-35,1.59E-33
ENSG00000072571.20,2.150230075,1.59E-37,7.15E-35
ENSG00000073146.17,2.263374535,0.010823287,0.015225476
ENSG00000073150.14,1.639408291,1.61E-06,3.34E-06
ENSG00000073734.10,1.264028457,7.96E-08,1.85E-07
ENSG00000073861.3,1.435449267,4.18E-06,8.33E-06
ENSG00000075218.19,2.35163047,8.07E-36,1.30E-33
ENSG00000075702.19,1.063020245,3.21E-35,4.10E-33
ENSG00000076662.11,3.014658079,1.08E-08,2.72E-08
ENSG00000077152.12,1.821990053,3.04E-37,1.05E-34
ENSG00000077327.16,2.275966421,1.46E-13,5.59E-13
ENSG00000078081.8,1.523643146,1.77E-26,2.83E-25
ENSG00000078898.7,1.665372044,2.04E-14,8.44E-14
ENSG00000080986.13,1.69213822,1.80E-38,2.37E-35
ENSG00000081051.8,1.956757503,5.19E-16,2.49E-15
ENSG00000085840.13,1.664652075,1.07E-36,2.58E-34
ENSG00000085999.13,1.039620099,3.49E-32,1.70E-30
ENSG00000087237.12,1.679904071,1.26E-13,4.87E-13
ENSG00000087586.18,1.091954444,1.46E-37,6.91E-35
ENSG00000088325.16,1.067579437,1.56E-38,2.37E-35
ENSG00000088726.16,1.472899447,0.001963002,0.00301006
ENSG00000089250.20,3.428041892,6.40E-18,3.73E-17
ENSG00000089505.18,1.029677358,6.75E-14,2.66E-13
ENSG00000089685.15,1.693142031,8.28E-38,5.23E-35
ENSG00000089692.9,1.351062039,1.96E-12,6.86E-12
ENSG00000090534.20,1.849657444,4.99E-14,1.99E-13
ENSG00000090889.12,1.588099218,4.70E-37,1.40E-34
ENSG00000091651.9,1.899043014,5.74E-37,1.57E-34
ENSG00000091704.10,1.275345575,8.77E-22,7.67E-21
ENSG00000092850.12,5.992602175,2.84E-05,5.25E-05
ENSG00000092853.14,1.242870136,1.82E-38,2.37E-35
ENSG00000093009.11,2.000697646,1.63E-36,3.54E-34
ENSG00000094804.12,1.031792924,1.63E-35,2.29E-33
ENSG00000095917.14,2.66629559,2.82E-11,8.89E-11
ENSG00000099953.10,1.624472837,3.41E-33,2.15E-31
ENSG00000099957.17,4.332833323,1.74E-17,9.64E-17
ENSG00000099958.15,1.970732728,5.60E-10,1.58E-09
ENSG00000100024.15,1.110342319,0.046398763,0.060084292
ENSG00000100092.24,2.270131416,6.25E-14,2.47E-13
