Promoter_id,log2foldChange,pValues,FDR
333,1.22943643,3.06E-08,7.84E-08
574,1.946321917,2.73E-31,5.50E-30
818,1.755746314,2.98E-14,1.31E-13
1079,1.308459266,5.33E-11,1.75E-10
1199,2.111759494,1.10E-30,2.11E-29
1380,1.72395654,2.97E-11,1.00E-10
1422,1.38508279,4.71E-15,2.20E-14
1626,1.27765151,7.95E-07,1.79E-06
2437,1.450672258,8.93E-21,6.50E-20
3184,1.235216903,4.46E-11,1.48E-10
3508,2.379753827,2.41E-33,6.21E-32
3661,1.341977943,2.77E-08,7.13E-08
3664,1.546438185,6.57E-27,8.08E-26
3783,1.764265229,2.61E-13,1.06E-12
3872,1.392502346,4.47E-35,1.60E-33
3874,1.809661072,2.73E-20,1.90E-19
4068,2.150225065,6.10E-33,1.48E-31
4226,1.248121687,1.08E-36,5.47E-35
4590,1.382226022,1.92E-26,2.25E-25
4801,1.216666878,1.96E-09,5.62E-09
4814,1.381584847,2.91E-07,6.86E-07
4867,1.948094403,2.41E-27,3.11E-26
4886,1.318870947,4.15E-15,1.95E-14
5158,1.367511479,2.17E-32,4.97E-31
5178,1.278431332,2.55E-09,7.24E-09
5514,1.444826387,6.56E-26,7.38E-25
6613,1.937768163,2.18E-12,8.09E-12
6841,1.731887434,5.21E-28,6.96E-27
6900,1.859542705,6.93E-17,3.65E-16
6951,1.439981324,9.23E-12,3.24E-11
7029,1.836078871,1.89E-32,4.39E-31
7144,1.82831076,7.48E-19,4.64E-18
7287,1.377446693,3.20E-08,8.18E-08
7589,2.335520878,2.59E-18,1.54E-17
7678,1.480683696,2.95E-14,1.30E-13
7763,1.449273074,4.58E-11,1.52E-10
7949,1.301191669,3.90E-27,4.93E-26
7982,1.480121506,2.97E-08,7.61E-08
8010,2.882288018,1.60E-27,2.09E-26
8039,1.935399274,2.70E-12,9.93E-12
8394,1.720890827,7.60E-14,3.24E-13
8412,1.489666919,1.41E-13,5.87E-13
8413,1.274465863,8.09E-18,4.67E-17
9027,1.754033253,5.88E-31,1.15E-29
9060,1.457131414,7.16E-08,1.78E-07
9424,1.4238567,4.02E-26,4.62E-25
9779,1.781650683,6.81E-16,3.36E-15
10252,2.517533347,1.28E-17,7.26E-17
10441,1.275871881,6.70E-06,1.38E-05
11317,1.391382238,2.73E-08,7.03E-08
11329,1.70658131,4.29E-13,1.71E-12
11672,1.554792583,1.92E-08,5.03E-08
11962,1.669582079,4.68E-09,1.30E-08
12010,1.516339949,2.43E-08,6.31E-08
