time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,-0.25,0.2372881355932203,-0.0127118644067796,25,1,random_forest
46.95,0.0,0.1932773109243697,0.1932773109243697,50,1,random_forest
59.4,0.0,0.2166666666666666,0.2166666666666666,75,1,random_forest
34.45,0.0,0.1073446327683615,0.1073446327683615,25,1,LASSO
46.95,0.0,0.1428571428571428,0.1428571428571428,50,1,LASSO
59.4,0.0,0.2166666666666666,0.2166666666666666,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.0,0.4858757062146893,0.4858757062146893,25,1,ELASTIC_NET
46.95,0.0,0.5546218487394958,0.5546218487394958,50,1,ELASTIC_NET
59.4,0.0,0.5666666666666667,0.5666666666666667,75,1,ELASTIC_NET
34.45,0.3333333333333333,-0.3142857142857143,0.019047619047619,25,2,random_forest
45.3,0.0,-0.0327868852459016,-0.0327868852459016,50,2,random_forest
59.25,0.0,0.0166666666666666,0.0166666666666666,75,2,random_forest
34.45,0.1666666666666666,0.1257142857142857,0.2923809523809524,25,2,LASSO
45.3,0.0,0.5655737704918032,0.5655737704918032,50,2,LASSO
59.25,0.0,0.6166666666666667,0.6166666666666667,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.5085714285714286,0.5085714285714286,25,2,ELASTIC_NET
45.3,0.0,0.5163934426229508,0.5163934426229508,50,2,ELASTIC_NET
59.25,0.0,0.55,0.55,75,2,ELASTIC_NET
34.4,-0.25,0.1787709497206704,-0.0712290502793296,25,3,random_forest
45.8,0.0,0.1416666666666666,0.1416666666666666,50,3,random_forest
59.25,0.0,0.1666666666666666,0.1666666666666666,75,3,random_forest
34.4,0.0,0.3016759776536313,0.3016759776536313,25,3,LASSO
45.8,0.0,0.3166666666666666,0.3166666666666666,50,3,LASSO
59.25,0.0,0.1333333333333333,0.1333333333333333,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.0,0.3016759776536313,0.3016759776536313,25,3,ELASTIC_NET
45.8,0.0,0.1166666666666666,0.1166666666666666,50,3,ELASTIC_NET
59.25,0.0,0.1333333333333333,0.1333333333333333,75,3,ELASTIC_NET
34.4,0.2,-0.2203389830508474,-0.0203389830508474,25,4,random_forest
44.4,,-0.089430894308943,,50,4,random_forest
58.175,,-0.0327868852459016,,75,4,random_forest
34.4,0.0,0.4350282485875706,0.4350282485875706,25,4,LASSO
44.4,,0.4146341463414634,,50,4,LASSO
58.175,,0.4426229508196721,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.0,0.4406779661016949,0.4406779661016949,25,4,ELASTIC_NET
44.4,,0.4146341463414634,,50,4,ELASTIC_NET
58.175,,0.4426229508196721,,75,4,ELASTIC_NET
35.05,-0.2,0.2443181818181818,0.0443181818181818,25,5,random_forest
45.8,0.0,0.2479338842975206,0.2479338842975206,50,5,random_forest
58.5,0.0,0.2,0.2,75,5,random_forest
35.05,0.0,0.3465909090909091,0.3465909090909091,25,5,LASSO
45.8,0.0,0.3388429752066115,0.3388429752066115,50,5,LASSO
58.5,0.0,0.55,0.55,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,0.7556818181818182,0.7556818181818182,25,5,ELASTIC_NET
45.8,0.0,0.8181818181818182,0.8181818181818182,50,5,ELASTIC_NET
58.5,0.0,0.55,0.55,75,5,ELASTIC_NET
34.625,0.0,-0.1136363636363636,-0.1136363636363636,25,6,random_forest
45.2,,-0.1900826446280991,,50,6,random_forest
58.975,,-0.1475409836065573,,75,6,random_forest
34.625,0.0,0.0227272727272727,0.0227272727272727,25,6,LASSO
45.2,,0.024793388429752,,50,6,LASSO
58.975,,0.1147540983606557,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.0,0.0227272727272727,0.0227272727272727,25,6,ELASTIC_NET
45.2,,0.4380165289256198,,50,6,ELASTIC_NET
58.975,,0.4426229508196721,,75,6,ELASTIC_NET
34.675,0.0,-0.1129943502824858,-0.1129943502824858,25,7,random_forest
45.2,0.0,-0.1166666666666666,-0.1166666666666666,50,7,random_forest
59.075,,-0.1311475409836065,,75,7,random_forest
