random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.3,[0.0013493719001057244],[2648.871891929608],[0.001342016581955446],5,2,100,"[[0.8504098360655737, 0.6145251396648045, 0.717741935483871]]",0.7275589704047497,0.096549393680123,0.7505947660586836,"[[0.6666666666666666, 0.61731843575419, 0.6141439205955335]]",0.6327096743387967,0.0240461692387706,0.7688342585249802,"[[0.851775956284153, 0.6131284916201117, 0.717741935483871]]",0.7275487944627118,0.0976738926561813,0.7474226804123711,"[[0.8653537639324709, 0.6656608539238832, 0.7614865746452029]]",0.726136377495432,0.0763949715719032,0.7474226804123711,"[[0.07248078353940773, 0.11478209132734563, 0.0928477539471828]]",0.0933702096046453,0.0172733876252454,0.0954250787322038,"[[0.07248078353940773, 0.11478209132734563, 0.0928477539471828]]",0.0933702096046453,0.0172733876252454,0.1031539701482382,"[[0.07248878170160476, 0.11514532874399219, 0.0922705086536081]]",0.093301539699735,0.0174297163900891,0.0955465606545105,"[[0.0900477078332873, 0.10596854972955959, 0.10474303323381277]]",0.1002530969322199,0.0072336227745068,0.0920943420194685,"[[0.882822549979396, 0.6332523554033318, 0.778112537815277]]",0.7647291477326683,0.1023251577171553,0.7358663854114261,"[[0.6549948380267383, 0.5516716721171787, 0.6569806040633583]]",0.6212157047357585,0.0491817389642985,0.7674523787196047,"[[0.8832403210513877, 0.6294588376830358, 0.7790494115222736]]",0.7639161900855657,0.1041570004638817,0.734926745652698,"[[0.9007514250556464, 0.6377558423907023, 0.8059199547107235]]",0.7814757407190241,0.1087498929457629,0.7575320263385188,"[[0.8362082759089917, 0.6707169073413062, 0.7183099986408276]]",0.7417450606303752,0.0695641184588809,0.7509105057404643,"[[0.6778344693960472, 0.6678776382600656, 0.6158129016138295]]",0.6538416697566474,0.0271958946217104,0.7832506593374051,"[[0.8371082871698702, 0.6685334831265547, 0.7181772578869188]]",0.7412730093944478,0.0707315414923861,0.7464864947392301,0.7641670641671855,0.0815463195367416,0.7537627374864528
2,0.3,[0.010635904637075788],[3734.4700447600826],[0.024436388347405885],5,2,1000,"[[0.7119496855345911, 0.6088270858524788, 0.7753807106598984]]",0.6987191606823228,0.0686358146306651,0.7704609595484478,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.710062893081761, 0.619105199516324, 0.7519035532994924]]",0.6936905486325258,0.0554369969061167,0.786453433678269,"[[0.7656866017500167, 0.6501922143690976, 0.7423249701035775]]",0.6895043855505977,0.0511561884632604,0.7826904985888994,"[[0.09144695673563415, 0.11247272686987929, 0.10481551723049098]]",0.1029117336120014,0.0086886533856538,0.0776228367969011,"[[0.09144695673563415, 0.11247272686987929, 0.10481551723049098]]",0.1029117336120014,0.0086886533856538,0.0906616075302641,"[[0.09551171144307098, 0.10936089990958987, 0.10874597358934462]]",0.1045395283140018,0.0063885648720261,0.0797224140593823,"[[0.09714643622307241, 0.11054677394188187, 0.10903074263926138]]",0.1055746509347385,0.0059916992663233,0.0788139378790439,"[[0.6993652868311766, 0.5835921651215691, 0.8514675184130402]]",0.7114749901219287,0.1096943781926256,0.7389595571708985,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.6934019793799725, 0.6045731014565984, 0.8174886193645673]]",0.7051545667337127,0.0873187529443518,0.7645305548188334,"[[0.7832725083627158, 0.6212297521823935, 0.7438532282400359]]",0.7161184962617151,0.068999397224714,0.7518548848871947,"[[0.7322001318124628, 0.629302266753206, 0.8109064025974515]]",0.7241362670543734,0.0743585232732216,0.7940474551510079,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.7323335515263961, 0.639899726521713, 0.767794568448171]]",0.71334261549876,0.0539120542257031,0.8072131797536763,0.7194012620742306,0.0498588719720272,0.8049966958310836
3,0.2,[0.0014121735521697315],[3042.4356891400066],[0.0085048402152413],5,2,100,"[[0.7730446927374302, 0.6876790830945558, 0.696685878962536]]",0.719136551598174,0.0382957469681193,0.7100346020761246,"[[0.6641061452513967, 0.4584527220630373, 0.6628242074927954]]",0.5951276916024097,0.0966452147980627,0.7134948096885814,"[[0.821927374301676, 0.6389684813753582, 0.7197406340057637]]",0.726878829894266,0.0748630060203877,0.7114186851211073,"[[0.8659822068286714, 0.6034473660099869, 0.7339145457310745]]",0.7234746874519037,0.1002066284566526,0.6913494809688582,"[[0.08670368451989424, 0.09755714803042224, 0.09208766192691403]]",0.0921161648257435,0.0044309537615147,0.1119982803243497,"[[0.08670368451989424, 0.09755714803042224, 0.09208766192691403]]",0.0921161648257435,0.0044309537615147,0.1262282466440776,"[[0.08769355482038557, 0.09969496552444006, 0.09134322450659756]]",0.092910581617141,0.0050233402536444,0.114651523558459,"[[0.09751465076833786, 0.10714092080716751, 0.09410802566024702]]",0.0995878657452508,0.0055189222518548,0.1179215021326747,"[[0.8155729261145812, 0.6653660097476498, 0.729884512702706]]",0.7369411495216456,0.0615243936636051,0.6972797057148932,"[[0.6519001259462902, 0.4257751697701626, 0.6341256456173656]]",0.5706003137779395,0.1026636085812813,0.6947485870134067,"[[0.8405568019881624, 0.615944260694917, 0.7522475437214576]]",0.7362495354681791,0.0923928230531875,0.700675475561143,"[[0.848816838934148, 0.580612429485837, 0.8060107312068934]]",0.7451466665422929,0.1176484228184461,0.6872117463643668,"[[0.8353785181346545, 0.6993929851008466, 0.6933896955467748]]",0.7427203995940919,0.06556500626592,0.7156962035700549,"[[0.68916262879435, 0.47757936065679835, 0.6655712018088761]]",0.6107710637533414,0.0946719289163759,0.7316438421603377,"[[0.864048615850029, 0.6519190612316368, 0.7172893726940133]]",0.7444190165918929,0.0887008085989776,0.7195541793318908,0.7344480395232443,0.1071800638260764,0.6999871413044811
4,0.2,[0.00102754965419656],[3524.977528884799],[0.05509039065915052],10,2,100,"[[0.6778783958602846, 0.7025316455696202, 0.700139470013947]]",0.6935165038146173,0.0111008540592097,0.7222222222222222,"[[0.591849935316947, 0.6174402250351617, 0.6311018131101813]]",0.6134639911540967,0.0162693024739117,0.6216216216216216,"[[0.6138421733505821, 0.7412095639943741, 0.7859135285913529]]",0.7136550886454364,0.0728998155343587,0.6809309309309309,"[[0.571481596757946, 0.7542009446404893, 0.8122945277115295]]",0.7133922489927311,0.103001292116782,0.6790540540540541,"[[0.1046921368973543, 0.09049901431221091, 0.07791715210463845]]",0.0910361011047345,0.0109374372174828,0.0977629497644073,"[[0.1046921368973543, 0.09049901431221091, 0.07791715210463845]]",0.0910361011047345,0.0109374372174828,0.1189207029291355,"[[0.1047601548819826, 0.09064557714792798, 0.10238424359893887]]",0.0992633252096164,0.0061703822057349,0.1119311011981022,"[[0.10812117920967006, 0.0874678100144296, 0.09459103963552347]]",0.096726676286541,0.0085658672535283,0.1093234821788855,"[[0.7460113778531735, 0.7090484965605517, 0.7232663431934161]]",0.7261087392023805,0.0152232948616464,0.7214540879698516,"[[0.6697092520862239, 0.63541720085726, 0.6633792510045144]]",0.6561685679826661,0.0148992540440486,0.5806317242752314,"[[0.6917561231334571, 0.7807701559745565, 0.8312459380093824]]",0.7679240723724653,0.0576663883122217,0.6735709048666709,"[[0.6504043918197027, 0.7946909750456295, 0.8664482033281223]]",0.7705145233978182,0.0898409993023994,0.6608595933082242,"[[0.679718166492351, 0.7072330380899358, 0.7034168732076279]]",0.6967893592633049,0.012171277543724,0.7950378064832972,"[[0.5890900108809312, 0.6135582344761691, 0.6328565970100262]]",0.6118349474557089,0.017909137406457,0.6775812655781117,"[[0.6130815850070436, 0.7409809018301704, 0.7869392637605533]]",0.7136672501992557,0.0735579127375198,0.7645058708884274,0.7126590230366548,0.1026060926278038,0.7528067471280909
5,0.2,[0.012527776791907058],[3651.9134107638774],[0.049640244309907204],5,2,100,"[[0.7212566844919787, 0.721001221001221, 0.8311377245508982]]",0.7577985433480325,0.0518587372261019,0.5941286113699907,"[[0.6483957219251337, 0.6892551892551892, 0.6988023952095809]]",0.6788177687966347,0.0218618844456547,0.6067101584342963,"[[0.7012032085561497, 0.7362637362637363, 0.8407185628742515]]",0.7593951692313792,0.0592589285310874,0.6062441752096924,"[[0.8127046640006435, 0.7732892306065811, 0.8085410077953458]]",0.7689691040959094,0.0277069019142143,0.5405405405405406,"[[0.08318563148252753, 0.12369945924513784, 0.10923985594198148]]",0.1053749822232156,0.016763959290516,0.0874975674054772,"[[0.08318563148252753, 0.12369945924513784, 0.10923985594198148]]",0.1053749822232156,0.016763959290516,0.0920930431666048,"[[0.08869601139184474, 0.1208530610685782, 0.11350078315554077]]",0.1076832852053212,0.0137574567121151,0.0886790550424131,"[[0.08532621183901215, 0.1272834795070579, 0.10715963016260677]]",0.1065897738362256,0.0171337217151158,0.0917202028998488,"[[0.8162279426591899, 0.7157516705906298, 0.8523723806723335]]",0.7947839979740511,0.0577995771527306,0.611969336460866,"[[0.7099936228149175, 0.6763324159068212, 0.717615505458893]]",0.7013138480602105,0.0179365035255932,0.6237417312185011,"[[0.7794089183089772, 0.730209589212107, 0.8426976885922124]]",0.7841053987044321,0.0460429931087296,0.6225677728940844,"[[0.8337851600409926, 0.7385328538421263, 0.8213959294526215]]",0.7979046477785801,0.0422857792886096,0.5852103890588776,"[[0.7883808790561165, 0.7615131453499451, 0.8305085598923233]]",0.7934675280994616,0.0283959774831609,0.6051666482823739,"[[0.7389255655616312, 0.7289636187956339, 0.7053424304595748]]",0.7244105382722799,0.014083196784581,0.6146402280690917,"[[0.7736371898794344, 0.7778588959367346, 0.8433843221207554]]",0.7982934693123082,0.0319305961501227,0.613493943071302,0.7981783008008567,0.0176811268419307,0.5438466147289412
6,0.2,[0.01962854170907712],[2983.363808583022],[0.09368197097461002],10,2,500,"[[0.6295857988165681, 0.7170542635658915, 0.6198347107438017]]",0.655491591042087,0.0437130256396237,0.808085977482088,"[[0.5899408284023668, 0.6692506459948321, 0.6322314049586777]]",0.6304742931186255,0.0324019276499754,0.7072671443193449,"[[0.6248520710059171, 0.7183462532299741, 0.6576151121605667]]",0.6669378121321525,0.0387339220710258,0.7840327533265097,"[[0.6383105359632304, 0.6742442262865387, 0.7059618845435939]]",0.6664096448776885,0.0242193846962882,0.8812691914022518,"[[0.10970426233780105, 0.11344913872110828, 0.1216221134924037]]",0.1149251715171043,0.0049761295968492,0.0860593074386251,"[[0.10970426233780105, 0.11344913872110828, 0.1216221134924037]]",0.1149251715171043,0.0049761295968492,0.0945491582394171,"[[0.11041947877912214, 0.11560734930524509, 0.12328767899617679]]",0.116438169026848,0.0052861668698534,0.0912249822122418,"[[0.10722197128872923, 0.11168445751507715, 0.11786744964388886]]",0.112257959482565,0.0043648772974412,0.0815152785198325,"[[0.6772583231428724, 0.6983946762894856, 0.585626792215617]]",0.653759930549325,0.0489440480581975,0.8189237684883081,"[[0.6574673996947601, 0.642347612922632, 0.5602571071403556]]",0.6200240399192493,0.0427100041235949,0.7343686091768716,"[[0.6738394244956362, 0.7013489377602796, 0.6199222094522898]]",0.6650368572360685,0.0338200326582259,0.8108737378032694,"[[0.6736375860997639, 0.6599635706153925, 0.6729885844936584]]",0.6688632470696049,0.0062985967491936,0.930683831299386,"[[0.6315961825230456, 0.7264419878969752, 0.6367781517220307]]",0.6649387740473505,0.0435407639388601,0.8661188457005479,"[[0.5898190377840518, 0.681112126848182, 0.6512801024690458]]",0.6407370890337598,0.0380085374351629,0.7293159498312707,"[[0.6259598282713588, 0.7278519617888822, 0.6723391401282109]]",0.6753836433961506,0.0416529588248708,0.8536718131020545,0.6728388822644543,0.0276364190281684,0.9181735796001024
7,0.3,[0.0018281060849938008],[3588.646557428794],[0.008439064008567079],10,2,100,"[[0.6738578680203046, 0.6923076923076923, 0.7751060820367751]]",0.7137572141215908,0.0440292455830207,0.6934548467274234,"[[0.5653553299492385, 0.5198511166253101, 0.6117397454031117]]",0.5656487306592202,0.0375139492957719,0.6342170671085335,"[[0.6833756345177665, 0.6985111662531017, 0.768033946251768]]",0.7166402490075455,0.0368624033178426,0.7091963545981773,"[[0.6376839098342182, 0.6354756922960765, 0.7445762244075331]]",0.665344515065538,0.0462851456817966,0.7183098591549296,"[[0.09055322998103564, 0.09752115000594451, 0.11231943100074358]]",0.1001312703292412,0.0090756605924545,0.0929764082472804,"[[0.09055322998103564, 0.09752115000594451, 0.11231943100074358]]",0.1001312703292412,0.0090756605924545,0.1105520329237569,"[[0.09163890008328737, 0.09647694963399321, 0.1071094711950058]]",0.0984084403040954,0.006461817844704,0.0918206154578204,"[[0.10087564299517814, 0.10085096178541818, 0.10844363708660719]]",0.1033900806224011,0.0035734182508458,0.0984543575630043,"[[0.6420406984773881, 0.719301145208505, nan]]",,,0.7426940595824575,"[[0.5270414046433992, 0.5547425045219436, nan]]",,,0.6630914425200216,"[[0.6479190121594584, 0.7269149189690045, nan]]",,,0.7776476665608969,"[[0.6184336093137122, 0.6909206309075991, nan]]",,,0.7956788065732068,"[[0.679079343585864, 0.6921947702003439, 0.8080465523326216]]",0.7264402220396099,0.0579522703710507,0.7367966374272585,"[[0.5775517516627845, 0.5141471683187115, 0.641629620597277]]",0.5777761801929243,0.0520447351539233,0.6690814080847475,"[[0.6901326681791558, 0.7042143551840078, 0.8023342408203891]]",0.7322270880611842,0.0499054648191793,0.7950168010404024,0.6725786088459426,0.0509179833398108,0.8270204283300769
8,0.3,[0.005930344087887744],[3473.4148780997707],[0.00983848742333831],10,2,1000,"[[0.7947860962566845, 0.7357723577235772, 0.6073781291172595]]",0.7126455276991738,0.0782371362677434,0.7560975609756098,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.804144385026738, 0.7466124661246613, 0.6205533596837944]]",0.7237700702783979,0.0766713655050627,0.7564909520062942,"[[0.8074674003617784, 0.8152083583486172, 0.6480422722934758]]",0.7109953684013318,0.0583409532412127,0.7643587726199843,"[[0.08329983251407624, 0.09116349562852423, 0.107046524674574]]",0.0938366176057248,0.0098770958272191,0.0866551135781979,"[[0.08329983251407624, 0.09116349562852423, 0.107046524674574]]",0.0938366176057248,0.0098770958272191,0.1071530453950365,"[[0.08406345945167691, 0.09287603007329105, 0.1018039302839947]]",0.0929144732696542,0.0072425679031491,0.0892248277788068,"[[0.09587285620445136, 0.10465311363933902, 0.09839433995946177]]",0.0996401032677507,0.0036911763997343,0.0965397123778812,"[[0.8273394773108691, 0.7933627753566884, 0.586841389435883]]",0.7358478807011469,0.1062726208023799,0.762853495722498,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.8400285074911548, 0.800498181903686, 0.5958166211171936]]",0.7454477701706782,0.1070288815711672,0.7628077752504908,"[[0.8075742757425278, 0.7536883352211239, 0.6228345287161031]]",0.7280323798932516,0.0775708904408785,0.7919924085274614,"[[0.8133822203177111, 0.8347678812504739, 0.6136303479514474]]",0.7539268165065441,0.0995880211677294,0.7774819536109546,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.8222067712168228, 0.8419338175536611, 0.6272316560564922]]",0.7637907482756588,0.0968971218701775,0.777976104290841,0.7569060103346237,0.0770431294918946,0.7728512063810746
9,0.2,[0.012953553440336083],[4341.516404970832],[0.08561917655816975],15,2,1000,"[[0.7986453201970444, 0.634318766066838, 0.7675033025099075]]",0.7334891295912632,0.0712672298118449,0.6492214532871973,"[[0.6927339901477833, 0.6902313624678663, 0.7073976221928666]]",0.6967876582695055,0.007571626296789,0.5627162629757786,"[[0.7820197044334976, 0.6934447300771208, 0.7463672391017173]]",0.7406105578707786,0.0363889731892705,0.6548442906574394,"[[0.8105370675431641, 0.6735233435322864, 0.7190457231971656]]",0.7157420257882193,0.0663851863892587,0.7326989619377162,"[[0.0997709754766012, 0.09281667191996072, 0.09617960700443737]]",0.0962557514669997,0.0028395930428918,0.1224688930211959,"[[0.0997709754766012, 0.09281667191996072, 0.09617960700443737]]",0.0962557514669997,0.0028395930428918,0.1104189869712754,"[[0.1146040817281358, 0.1029491184264264, 0.10548987200036153]]",0.1076810240516412,0.0050040252380737,0.1092326708378278,"[[0.11134714923838583, 0.10268818957584841, 0.10447260610769493]]",0.1061693149739764,0.0037330515972906,0.1070658755203862,"[[0.7692261057967108, 0.6582892160277275, 0.7131389082260482]]",0.7135514100168289,0.0452907348597144,0.643858218098982,"[[0.6912365604610979, 0.7028782278977161, 0.6600361452802853]]",0.6847169778796998,0.0180875597861521,0.537554826742158,"[[0.7821867048613034, 0.7123051074243115, 0.6865152039155723]]",0.7270023387337291,0.0404167084213459,0.6668635616920281,"[[0.8094640934698828, 0.6438738789919822, 0.6382970860312175]]",0.6972116861643608,0.0794070834974034,0.7426933314673865,"[[0.8127607344381188, 0.6869149678284867, 0.7701407770370234]]",0.7566054931012097,0.0522601963053388,0.7666967678101606,"[[0.7016122983096397, 0.7102438460124701, 0.711594689066928]]",0.7078169444630126,0.0044218713727612,0.5901265465024373,"[[0.7986895202599893, 0.7278585229407466, 0.7497764821249512]]",0.758774841775229,0.0296083929835945,0.7589173573771424,0.7343687114242053,0.0569753491607656,0.8225907397670392
10,0.2,[0.01539208318462715],[3902.4541194538047],[0.01442097682273537],5,2,1000,"[[0.7673656618610747, 0.7846590909090909, 0.5952662721893491]]",0.7157636749865048,0.085496525203093,0.752020202020202,"[[0.7129750982961992, 0.6806818181818182, 0.6023668639053255]]",0.6653412601277809,0.0464402477729794,0.704040404040404,"[[0.799475753604194, 0.772159090909091, 0.6088757396449704]]",0.7268368613860852,0.0841533112718133,0.7535353535353535,"[[0.7993825374183416, 0.7415082374279787, 0.5683743832730812]]",0.6813361406295422,0.0782222243571125,0.7818181818181819,"[[0.10238933635374607, 0.11858300057571158, 0.10191169831153693]]",0.1076280117469982,0.0077488007546444,0.0796524502306556,"[[0.10238933635374607, 0.11858300057571158, 0.10191169831153693]]",0.1076280117469982,0.0077488007546444,0.0950438289450667,"[[0.09273066184674138, 0.11819801674167599, 0.10403191968344952]]",0.1049868660906222,0.0104189085582117,0.0772349403915869,"[[0.0985580809851732, 0.11888798683741574, 0.1078463015890057]]",0.1084307898038648,0.0083099333268582,0.0829780127286214,"[[0.8139979989497587, 0.804026169542228, 0.5832191027827043]]",0.7337477570915637,0.1065176547853618,0.7485767199016835,"[[0.788273480367336, 0.6545888652468488, 0.564542369187274]]",0.6691349049338196,0.0919151528327349,0.711601094965327,"[[0.8474186197886243, 0.7989646457863308, 0.6180812419409112]]",0.7548215025052887,0.098692691534764,0.7548746792019468,"[[0.7955283342185611, 0.791542209628162, 0.5943753799878638]]",0.7271486412781956,0.0938989757933691,0.807614796510857,"[[0.8308530944182809, 0.7863347698629537, 0.5966196041370257]]",0.7379358228060867,0.1015650056187161,0.7937889148780272,"[[0.8070278622196119, 0.697223323661263, 0.6050560760875792]]",0.7031024206561515,0.0825593662542188,0.7046344700472035,"[[0.8480915512811312, 0.7631746479107473, 0.6103203599310284]]",0.7405288530409689,0.0983816001698653,0.8005811321260269,0.7030883860398006,0.0981436211407118,0.8167731498669082
