random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.0021352982827193786],[2632.495525586823],[0.0030407030494970858],15,2,100,"[[0.7616120218579235, 0.5754189944134078, 0.6830024813895782]]",0.6733444992203031,0.0763191471472485,0.5285487708168121,"[[0.5, 0.5593575418994413, 0.5583126550868487]]",0.5392233989954299,0.0277384116185336,0.5400475812846947,"[[0.7616120218579235, 0.5754189944134078, 0.6830024813895782]]",0.6733444992203031,0.0763191471472485,0.5214115781126091,"[[0.6990497683311043, 0.6151506942870081, 0.6700359233780033]]",0.6728856791240649,0.0923967779246335,0.507137192704203,"[[0.0945803980288132, 0.10878877868169906, 0.10467896242310742]]",0.1026827130445399,0.005969828522406,0.1065462248619618,"[[0.0945803980288132, 0.10878877868169906, 0.10467896242310742]]",0.1026827130445399,0.005969828522406,0.1031540251059681,"[[0.09454020232557303, 0.10943239985111568, 0.10434641106518645]]",0.1027730044139583,0.0061806738118396,0.1065851544425119,"[[0.09929987808453729, 0.10692560185331207, 0.10891279364245929]]",0.1050460911934362,0.0041433848177043,0.1104986322943235,"[[0.7458336931198924, 0.6170101559523489, 0.6620919154331874]]",0.6749785881684761,0.0533755604668728,0.4801489231277723,"[[0.5, 0.580461571863634, 0.5659938953193087]]",0.5488184890609809,0.0350215369146438,0.4977505923326145,"[[0.7458336931198924, 0.6170101559523489, 0.6620919154331874]]",0.6749785881684761,0.0533755604668728,0.4515979290197014,"[[0.7527293854975907, 0.5975666959583312, 0.6330309355507229]]",0.6611090056688816,0.0663834747128848,0.439504929983347,"[[0.6809629451075256, 0.6245907910548858, 0.6856776539997593]]",0.6637437967207236,0.0277521832112535,0.5306859193237078,"[[0.5, 0.5943396045964255, 0.5607201708784744]]",0.5516865918249666,0.0390401025591161,0.5517402592445513,"[[0.6809629451075256, 0.6245907910548858, 0.6856776539997593]]",0.6637437967207236,0.0277521832112535,0.5353599605672625,0.6614121286653719,0.0347902384086723,0.5217869085921754
2,0.2,[0.0026514036625962284],[2052.885564075979],[0.008325793865525543],15,2,1000,"[[0.7075471698113207, 0.6021765417170496, 0.6478426395939086]]",0.6525221170407597,0.0431444507681423,0.6284101599247413,"[[0.6075471698113207, 0.5308343409915357, 0.6307106598984772]]",0.5896973902337779,0.0426831796911884,0.6053621825023519,"[[0.7075471698113207, 0.6021765417170496, 0.6478426395939086]]",0.6525221170407597,0.0431444507681423,0.6284101599247413,"[[0.6850738870973401, 0.6105935716936393, 0.518123567171377]]",0.6513129271979543,0.0445659357453626,0.6105362182502352,"[[0.09965367698882857, 0.11772433445911304, 0.11142460587310803]]",0.1096008724403498,0.0074891774393634,0.0846931166957286,"[[0.09965367698882857, 0.11772433445911304, 0.11142460587310803]]",0.1096008724403498,0.0074891774393634,0.0906616114162945,"[[0.10075326901258254, 0.11662030648906685, 0.11257115239735561]]",0.109981575966335,0.006731525292191,0.0851706378718928,"[[0.10484829848228373, 0.11416179959058328, 0.11516378119972401]]",0.1113912930908636,0.0046446439133115,0.0860909414080778,"[[0.7151293226493944, 0.5764148059364355, 0.6845400578117931]]",0.6586947287992077,0.0595058263845036,0.5737282629596167,"[[0.585778456663454, 0.5112215261971972, 0.6705213988839888]]",0.5891737939148799,0.0650782021662921,0.5416014274943042,"[[0.7151293226493944, 0.5764148059364355, 0.6845400578117931]]",0.6586947287992077,0.0595058263845036,0.5737282629596167,"[[0.7151293226493944, 0.5696883045435986, 0.6845400578117931]]",0.656452561668262,0.0626096532313362,0.5587846304786961,"[[0.6850738870973401, 0.6106321573665995, 0.518123567171377]]",0.6046098705451056,0.0682900836372095,0.6785333269319136,"[[0.5942413618435817, 0.5479911938114881, 0.5074921676784481]]",0.5499082411111726,0.0354411434619608,0.6580117451391697,"[[0.6850738870973401, 0.6106321573665995, 0.518123567171377]]",0.6046098705451056,0.0682900836372095,0.6785333269319136,0.6045970086541188,0.068288951800715,0.6633723160233337
3,0.2,[0.003094782278992238],[2510.2733210721694],[0.003037591708343021],10,2,100,"[[0.7562849162011173, 0.8044412607449857, 0.5295389048991355]]",0.6967550272817462,0.1198629274587271,0.5567474048442906,"[[0.6284916201117319, 0.5, 0.4596541786743516]]",0.5293819329286945,0.0719907118766021,0.5404844290657439,"[[0.7562849162011173, 0.8044412607449857, 0.5295389048991355]]",0.6967550272817462,0.1198629274587271,0.5567474048442906,"[[0.769257174551332, 0.8009621119456639, 0.5312576048011485]]",0.6846377429982459,0.1097296933335894,0.5415224913494809,"[[0.1010079849632763, 0.08727848002823968, 0.10527071824430084]]",0.0978523944119389,0.0076767385783999,0.1264752125427334,"[[0.1010079849632763, 0.08727848002823968, 0.10527071824430084]]",0.0978523944119389,0.0076767385783999,0.1262282812697643,"[[0.10078993029070765, 0.0866541024941377, 0.10589998193059569]]",0.0977813382384803,0.0081400118109338,0.126176747186222,"[[0.10194079151898165, 0.08693613958674809, 0.10857139237275416]]",0.0991494411594946,0.009050405825179,0.1352124116004905,"[[0.7025083030889024, 0.7623573053239818, 0.5448526038779898]]",0.6699060707636247,0.091739678628247,0.5474659480065686,"[[0.6445252762947611, 0.5, 0.4284586765259696]]",0.5243279842735769,0.089870581015233,0.5226137758398245,"[[0.7025083030889024, 0.7623573053239818, 0.5448526038779898]]",0.6699060707636247,0.091739678628247,0.5474659480065686,"[[0.7121953484608842, 0.750507487582143, 0.5502987905947865]]",0.6710005422126045,0.086770346830849,0.5305433456842109,"[[0.6513228957953426, 0.8096028472237982, 0.5256277220434641]]",0.6621844883542017,0.1161864839384874,0.5573641569427518,"[[0.7141980452100999, 0.5, 0.4606627020184202]]",0.55828691574284,0.1114093532038203,0.5445581656995073,"[[0.6513228957953426, 0.8096028472237982, 0.5256277220434641]]",0.6621844883542017,0.1161864839384874,0.5573641569427518,0.7004922970993815,0.12036496326244,0.5411715011040054
4,0.2,[0.01081353169584745],[2276.1447683401375],[0.05406765847923726],15,2,100,"[[0.6267787839586029, 0.5337552742616034, 0.5676429567642957]]",0.5760590049948339,0.0384401330205034,0.6385135135135135,"[[0.5, 0.4578059071729958, 0.5244072524407253]]",0.4940710532045737,0.027511198997803,0.5,"[[0.6267787839586029, 0.5337552742616034, 0.5676429567642957]]",0.5760590049948339,0.0384401330205034,0.6385135135135135,"[[0.3323257905416586, 0.5150528149771573, 0.570380116446505]]",0.4794656457882794,0.1016848575531194,0.6362612612612613,"[[0.10550675226581649, 0.10234556392049261, 0.11421873941860468]]",0.1073570185349712,0.0050206698127056,0.1148601850479436,"[[0.10550675226581649, 0.10234556392049261, 0.11421873941860468]]",0.1073570185349712,0.0050206698127056,0.1189207284210167,"[[0.10582640301476653, 0.09634202032528986, 0.11111294520519967]]",0.1044271228484187,0.0061108397780739,0.1174001709780834,"[[0.10645745669897051, 0.0971272036039386, 0.11073007572332698]]",0.104771578675412,0.0056798574516646,0.1126595950244096,"[[0.6492502728239831, 0.5520751750967184, 0.5512082966214807]]",0.5841779148473941,0.046014466558882,0.6741959605592338,"[[0.5, 0.45792728962997564, 0.5376939148725043]]",0.4985404015008266,0.032580939688511,0.5,"[[0.6492502728239831, 0.5520751750967184, 0.5512082966214807]]",0.5841779148473941,0.046014466558882,0.6741959605592338,"[[0.3728721812731349, 0.5520751750967184, 0.5512082966214807]]",0.4920518843304447,0.0842735193094252,0.6574751393719458,"[[0.6304353080208888, 0.5150528149771573, 0.570380116446505]]",0.5719560798148503,0.0471178852853879,0.7133777373412149,"[[0.5, 0.4493274740168211, 0.5258113494037501]]",0.4917129411401904,0.0317695064169011,0.5,"[[0.6304353080208888, 0.5150528149771573, 0.570380116446505]]",0.5719560798148503,0.0471178852853879,0.7133777373412149,0.4725862406551069,0.1017186412659625,0.6921293109540931
5,0.5,[0.0019489163491655675],[4608.192073733504],[0.01502040975651887],15,2,500,"[[0.7072192513368984, 0.6978021978021978, 0.670059880239521]]",0.6916937764595391,0.0157731696996881,0.4287045666356011,"[[0.5929144385026738, 0.5854700854700855, 0.5]]",0.5594615079909198,0.0421553302081252,0.5,"[[0.6938502673796791, 0.6978021978021978, 0.6904191616766467]]",0.694023875619508,0.0030166107332015,0.4268406337371854,"[[0.7321189139323915, 0.7311763694176981, 0.767210063078952]]",0.7071289746351388,0.0376573000971779,0.4212488350419385,"[[0.09094534578301673, 0.1365281407594246, 0.11459643082735727]]",0.1140233057899328,0.0186135103924846,0.1030118741510336,"[[0.09094534578301673, 0.1365281407594246, 0.11459643082735727]]",0.1140233057899328,0.0186135103924846,0.0920930616007229,"[[0.09029815687390819, 0.1314331712514736, 0.1164144949733884]]",0.1127152743662567,0.0169957941225821,0.0996371173856485,"[[0.0915461512112145, 0.1296715423955024, 0.11398262489709368]]",0.1117334395012702,0.0156456701027756,0.1036671160571685,"[[0.7815553366486907, 0.7175714075361244, 0.6841739721016008]]",0.7277669054288053,0.0404041555059464,0.42373525547873,"[[0.6695724235653566, 0.5696157583920427, 0.5]]",0.5797293939857998,0.06959605317904,0.5,"[[0.7954998491578292, 0.7175714075361244, 0.6590922522388264]]",0.7240545029775934,0.055876536633198,0.4220192807566648,"[[0.7691386584592952, 0.7125604828299744, 0.7330263355468647]]",0.7382418256120448,0.0233905036549815,0.4152201663814133,"[[0.6472352162760585, 0.735297665520191, 0.6621247759950393]]",0.6815525525970964,0.03848660043438,0.4302029294094572,"[[0.6753476302674536, 0.6351179342316472, 0.5]]",0.6034885214997002,0.0749978340684084,0.5,"[[0.7491334773066254, 0.735297665520191, 0.7024825016808295]]",0.728971214835882,0.0195635096613635,0.4284655332764282,0.743501782143014,0.0167687017236193,0.4220485150652702
6,0.2,[0.010076734454358482],[2222.0516903146004],[0.04382114870661272],15,2,100,"[[0.6698224852071006, 0.58656330749354, 0.5672963400236127]]",0.6078940442414177,0.0444908444454351,0.627942681678608,"[[0.6201183431952663, 0.5762273901808785, 0.5501770956316411]]",0.5821742763359286,0.0288613769467653,0.5624360286591606,"[[0.6698224852071006, 0.58656330749354, 0.5672963400236127]]",0.6078940442414177,0.0444908444454351,0.627942681678608,"[[0.763163678351786, 0.5858240715065451, 0.578074333219759]]",0.6343041477534891,0.0867484645360815,0.6207778915046059,"[[0.10825828103362385, 0.116579510927414, 0.11900188296188358]]",0.1146132249743071,0.0046011560819186,0.093289955289263,"[[0.10825828103362385, 0.116579510927414, 0.11900188296188358]]",0.1146132249743071,0.0046011560819186,0.0945491832131833,"[[0.11027228327759013, 0.11592329411870628, 0.12135459001552719]]",0.1158500558039412,0.0045246291594997,0.0935005475614539,"[[0.10922736226071751, 0.11281798404781863, 0.12025123228935078]]",0.1140988595326289,0.0045907086677142,0.0932716168903868,"[[0.6171786382013336, 0.5699234120481163, 0.5942702039502663]]",0.5937907513999053,0.0192948439703281,0.6019861034867073,"[[0.5543404039542319, 0.582690573609722, 0.5253596424953114]]",0.5541302066864219,0.0234057265468641,0.5327457703279183,"[[0.6171786382013336, 0.5699234120481163, 0.5942702039502663]]",0.5937907513999053,0.0192948439703281,0.6019861034867073,"[[0.7158970478673137, 0.5610736070233499, 0.5942702039502663]]",0.6237469529469766,0.066554406351758,0.6038083158907344,"[[0.677386463016125, 0.5878643930778122, 0.578074333219759]]",0.6144417297712321,0.0446877380680585,0.6695627961033767,"[[0.6290268668822504, 0.5680317208045106, 0.5677527727519333]]",0.5882704534795647,0.0288193612940093,0.6530525080893077,"[[0.677386463016125, 0.5878643930778122, 0.578074333219759]]",0.6144417297712321,0.0446877380680585,0.6695627961033767,0.6423540276926967,0.0854838908027191,0.6649501057419326
7,0.2,[0.00510205758921933],[2157.784070393068],[0.03701105989991508],10,2,500,"[[0.6833756345177665, 0.6315136476426799, 0.6131541725601132]]",0.6426811515735199,0.0297354814758567,0.6375310687655343,"[[0.5748730964467005, 0.5378411910669976, 0.5]]",0.5375714291712327,0.0305674088040354,0.5,"[[0.6833756345177665, 0.6488833746898263, 0.6089108910891089]]",0.6470566334322339,0.030427534035153,0.6375310687655343,"[[0.6825348574582853, 0.6349582528668501, 0.6492326240881711]]",0.6490760224146438,0.0326605882395622,0.6126760563380281,"[[0.10209542269499872, 0.10284909356090972, 0.11712309715389588]]",0.1073558711366014,0.0069133220667643,0.1058336198309897,"[[0.10209542269499872, 0.10284909356090972, 0.11712309715389588]]",0.1073558711366014,0.0069133220667643,0.1105520504426092,"[[0.10536011772096182, 0.10537906948604994, 0.11604867078724364]]",0.1089292859980851,0.0050341712078173,0.1087240474273488,"[[0.10120264914376503, 0.10251059434231984, 0.11911464202665223]]",0.1076092951709123,0.0081530131388654,0.1033766392590363,"[[0.6822285906187878, 0.6057759791521722, nan]]",,,0.625716715738015,"[[0.5772121831586788, 0.5552114959812945, nan]]",,,0.5,"[[0.6822285906187878, 0.6346914987449669, nan]]",,,0.625716715738015,"[[0.6971101262854761, 0.6239981472975853, nan]]",,,0.6018444079747163,"[[0.673339345765278, 0.6335730257344516, 0.6470710088836895]]",0.6513277934611398,0.0165112126225915,0.499714508163091,"[[0.5752352761509198, 0.5414014576067699, 0.5]]",0.5388789112525633,0.0307664224380859,0.5,"[[0.673339345765278, 0.6487267365678249, 0.6373248421066677]]",0.6531303081465902,0.0150289653764765,0.499714508163091,0.6555752448044355,0.0199341408020717,0.483545120187883
8,0.2,[0.001001350051874491],[2059.288706645444],[0.002068795415600769],15,2,100,"[[0.6691176470588235, 0.6565040650406504, 0.5171277997364954]]",0.6142498372786565,0.0688684409827317,0.6911880409126672,"[[0.5, 0.5047425474254743, 0.48287220026350464]]",0.4958715825629929,0.0093936465814899,0.5,"[[0.6691176470588235, 0.6565040650406504, 0.5171277997364954]]",0.6142498372786565,0.0688684409827317,0.6911880409126672,"[[0.6627308232735422, 0.7128942405817901, 0.5012084371612588]]",0.6017900765499168,0.0736884981482807,0.7006294256490952,"[[0.1037701216517449, 0.1155955116096122, 0.10203148182149623]]",0.1071323716942844,0.0060262907350288,0.0982913534394723,"[[0.1037701216517449, 0.1155955116096122, 0.10203148182149623]]",0.1071323716942844,0.0060262907350288,0.1071530716005719,"[[0.1033679847641058, 0.11523438092916298, 0.10174136068201231]]",0.1067812421250937,0.0060140470681429,0.0986649067129386,"[[0.10657173881887735, 0.11491040890035961, 0.10122681360182093]]",0.1075696537736859,0.0056306939043259,0.0981238522980136,"[[0.6752050770927768, 0.7349766920679587, 0.5419047989826025]]",0.650695522714446,0.0807041001302869,0.7363000405914217,"[[0.5, 0.5479407580508145, 0.5175488723416511]]",0.5218298767974886,0.019804449331482,0.5,"[[0.6752050770927768, 0.7349766920679587, 0.5419047989826025]]",0.650695522714446,0.0807041001302869,0.7363000405914217,"[[0.6714087398930275, 0.7063701162162729, 0.5335478877418335]]",0.6371089146170447,0.0746066984221928,0.7264458886730052,"[[0.6650004249485835, 0.7229515027419667, 0.5206360958561015]]",0.6361960078488839,0.0850691945778588,0.6960384454640905,"[[0.5, 0.6427967907745976, 0.48533496991066566]]",0.5427105868950878,0.0710244180177417,0.5,"[[0.6650004249485835, 0.7229515027419667, 0.5206360958561015]]",0.6361960078488839,0.0850691945778588,0.6960384454640905,0.6256111670055303,0.0903184052986634,0.7194138655086318
9,0.2,[0.001257727291277108],[3419.2426266302837],[0.0075746848751168305],15,2,500,"[[0.6650246305418719, 0.5726221079691517, 0.6162483487450462]]",0.6179650290853567,0.0377426972008592,0.6414359861591695,"[[0.5, 0.5475578406169666, 0.5541611624834875]]",0.533906334366818,0.0241264805772145,0.5,"[[0.6650246305418719, 0.5726221079691517, 0.6162483487450462]]",0.6179650290853567,0.0377426972008592,0.6414359861591695,"[[0.622881022777354, 0.6512772363498386, 0.514540410663371]]",0.5813369361849657,0.0432335791224599,0.6440311418685121,"[[0.11146821478161259, 0.10584276330003589, 0.12434942151010527]]",0.1138867998639179,0.0077464514403411,0.109483534274238,"[[0.11146821478161259, 0.10584276330003589, 0.12434942151010527]]",0.1138867998639179,0.0077464514403411,0.1104189893186325,"[[0.11151692137469635, 0.10477087294416956, 0.12090125639945322]]",0.1123963502394397,0.0066144974084571,0.1099659802737861,"[[0.11642623865488072, 0.10626045506826336, 0.11391660596857318]]",0.112201099897239,0.0043238108032207,0.1090121220617106,"[[0.6218596885873383, 0.6102164555962849, 0.6363597725736123]]",0.6228119722524118,0.0106941849861915,0.6391860488514891,"[[0.5, 0.5569704066154029, 0.5591818137816074]]",0.5387174067990034,0.0273922224039759,0.5,"[[0.6218596885873383, 0.6102164555962849, 0.6363597725736123]]",0.6228119722524118,0.0106941849861915,0.6391860488514891,"[[0.5837720029756117, 0.6275591587869431, 0.5473864358827322]]",0.5862391992150956,0.0327768380357424,0.64048733996208,"[[0.6642034685266536, 0.6340358850189035, 0.6112303671462914]]",0.6364899068972828,0.0216956836720764,0.6767672422863213,"[[0.5, 0.6040934379523409, 0.5503087092314963]]",0.5514673823946125,0.0425038653050806,0.5,"[[0.6642034685266536, 0.6340358850189035, 0.6112303671462914]]",0.6364899068972828,0.0216956836720764,0.6767672422863213,0.5962328899301879,0.0589170723015721,0.6785071688551084
10,0.2,[0.0024333631429834003],[2377.4200204197145],[0.003630148613084809],10,2,500,"[[0.6231979030144168, 0.6482954545454546, 0.6082840236686391]]",0.6265924604095036,0.0165100154478819,0.6590909090909091,"[[0.4737876802096986, 0.5965909090909091, 0.5011834319526627]]",0.5238540070844234,0.0526347444724258,0.6065656565656565,"[[0.6231979030144168, 0.6482954545454546, 0.6082840236686391]]",0.6265924604095036,0.0165100154478819,0.6590909090909091,"[[0.5283813095990392, 0.630214027368839, 0.6084064006017696]]",0.6265899781822506,0.0134540607641498,0.6601010101010101,"[[0.11412939342502015, 0.11726079199403776, 0.11357158266639265]]",0.1149872560284835,0.0016236815267803,0.0906428732110569,"[[0.11412939342502015, 0.11726079199403776, 0.11357158266639265]]",0.1149872560284835,0.0016236815267803,0.0950438416376424,"[[0.1125220964982137, 0.11732413976197321, 0.11288307218456581]]",0.1142431028149175,0.0021836005989154,0.0905375770918595,"[[0.1073308136992621, 0.1234942214408825, 0.1116805545755692]]",0.1141685299052379,0.0068291753228945,0.0870996555644754,"[[0.6070098338535862, 0.656435724307402, 0.6147264115055974]]",0.6260573232221952,0.021710547851757,0.6802439900710646,"[[0.44840829410093136, 0.5636935485031037, 0.4739409853543477]]",0.4953476093194609,0.0494392228419987,0.602189462714804,"[[0.6070098338535862, 0.656435724307402, 0.6147264115055974]]",0.6260573232221952,0.021710547851757,0.6802439900710646,"[[0.6034307246109155, 0.6337445368583255, 0.6147264115055974]]",0.6173005576582794,0.0125087029584561,0.6872310709961318,"[[0.6699023478077886, 0.6460842216939106, 0.6084064006017696]]",0.6414643233678229,0.0253172599372958,0.7096604045751266,"[[0.46202819596838174, 0.603741214504341, 0.5030748328776722]]",0.5229480811167984,0.0595362881069113,0.6684130747743777,"[[0.6699023478077886, 0.6460842216939106, 0.6084064006017696]]",0.6414643233678229,0.0253172599372958,0.7096604045751266,0.5890005791898826,0.0437791048377988,0.7047749925035259
