time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,-0.1807909604519774,-0.1807909604519774,25,1,random_forest
46.95,0.0,0.3949579831932773,0.3949579831932773,50,1,random_forest
59.4,0.0,0.15,0.15,75,1,random_forest
34.45,0.25,-0.0169491525423728,0.2330508474576271,25,1,LASSO
46.95,0.5,0.0,0.5,50,1,LASSO
59.4,0.0,0.35,0.35,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.25,-0.0169491525423728,0.2330508474576271,25,1,ELASTIC_NET
46.95,0.0,0.042016806722689,0.042016806722689,50,1,ELASTIC_NET
59.4,0.0,0.35,0.35,75,1,ELASTIC_NET
34.45,0.0,0.2914285714285714,0.2914285714285714,25,2,random_forest
45.3,0.0,0.2622950819672131,0.2622950819672131,50,2,random_forest
59.25,0.0,0.1833333333333333,0.1833333333333333,75,2,random_forest
34.45,0.1666666666666666,0.4685714285714286,0.6352380952380953,25,2,LASSO
45.3,0.0,0.4590163934426229,0.4590163934426229,50,2,LASSO
59.25,0.0,0.4166666666666667,0.4166666666666667,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.3485714285714286,0.3485714285714286,25,2,ELASTIC_NET
45.3,0.0,0.3524590163934426,0.3524590163934426,50,2,ELASTIC_NET
59.25,0.0,0.2666666666666666,0.2666666666666666,75,2,ELASTIC_NET
34.4,0.0,-0.1173184357541899,-0.1173184357541899,25,3,random_forest
45.8,0.0,-0.075,-0.075,50,3,random_forest
59.25,0.0,-0.1,-0.1,75,3,random_forest
34.4,0.25,-0.0223463687150838,0.2276536312849162,25,3,LASSO
45.8,0.0,0.025,0.025,50,3,LASSO
59.25,0.0,0.4,0.4,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,0.0055865921787709,0.2555865921787709,25,3,ELASTIC_NET
45.8,0.0,0.0583333333333333,0.0583333333333333,50,3,ELASTIC_NET
59.25,0.0,0.3833333333333333,0.3833333333333333,75,3,ELASTIC_NET
34.4,-0.4,0.480225988700565,0.0802259887005649,25,4,random_forest
44.4,,0.2926829268292683,,50,4,random_forest
58.175,,0.2786885245901639,,75,4,random_forest
34.4,-0.4,0.5875706214689266,0.1875706214689265,25,4,LASSO
44.4,,0.5609756097560976,,50,4,LASSO
58.175,,0.6229508196721312,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,-0.4,0.6892655367231638,0.2892655367231638,25,4,ELASTIC_NET
44.4,,0.5528455284552846,,50,4,ELASTIC_NET
58.175,,0.6065573770491803,,75,4,ELASTIC_NET
35.05,0.0,-0.2215909090909091,-0.2215909090909091,25,5,random_forest
45.8,0.0,-0.0743801652892562,-0.0743801652892562,50,5,random_forest
58.5,0.0,-0.1166666666666666,-0.1166666666666666,75,5,random_forest
35.05,0.0,0.096590909090909,0.096590909090909,25,5,LASSO
45.8,0.0,0.1239669421487603,0.1239669421487603,50,5,LASSO
58.5,0.0,0.4,0.4,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,0.6704545454545454,0.6704545454545454,25,5,ELASTIC_NET
45.8,0.0,0.6776859504132231,0.6776859504132231,50,5,ELASTIC_NET
58.5,0.0,0.4333333333333333,0.4333333333333333,75,5,ELASTIC_NET
34.625,-0.2,0.4602272727272727,0.2602272727272727,25,6,random_forest
45.2,,0.2892561983471074,,50,6,random_forest
58.975,,0.2622950819672131,,75,6,random_forest
34.625,0.0,0.3295454545454545,0.3295454545454545,25,6,LASSO
45.2,,0.4958677685950413,,50,6,LASSO
58.975,,0.5409836065573771,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.0,0.034090909090909,0.034090909090909,25,6,ELASTIC_NET
45.2,,0.0,,50,6,ELASTIC_NET
58.975,,0.0,,75,6,ELASTIC_NET
34.675,0.0,0.2824858757062147,0.2824858757062147,25,7,random_forest
45.2,0.0,0.3,0.3,50,7,random_forest
59.075,,0.2786885245901639,,75,7,random_forest
