time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.4,0.6,-0.3066666666666666,0.2933333333333333,25,1,random_forest
41.1,0.0,0.3846153846153846,0.3846153846153846,50,1,random_forest
54.2,,0.3703703703703703,,75,1,random_forest
34.4,0.8,-0.36,0.44,25,1,LASSO
41.1,1.0,-0.3076923076923077,0.6923076923076923,50,1,LASSO
54.2,,0.3703703703703703,,75,1,LASSO
34.4,0.0,0.0,0.0,25,1,RIDGE
41.1,0.0,0.0,0.0,50,1,RIDGE
54.2,,0.0,,75,1,RIDGE
34.4,0.8,-0.8,0.0,25,1,ELASTIC_NET
41.1,1.0,-0.75,0.25,50,1,ELASTIC_NET
54.2,,-0.1481481481481481,,75,1,ELASTIC_NET
33.6,-1.0,0.6025641025641025,-0.3974358974358974,25,2,random_forest
44.5,0.0,0.2692307692307692,0.2692307692307692,50,2,random_forest
54.6,,0.2142857142857142,,75,2,random_forest
33.6,0.0,0.2564102564102564,0.2564102564102564,25,2,LASSO
44.5,0.0,-0.1538461538461538,-0.1538461538461538,50,2,LASSO
54.6,,-0.2142857142857142,,75,2,LASSO
33.6,0.0,0.0,0.0,25,2,RIDGE
44.5,0.0,0.0,0.0,50,2,RIDGE
54.6,,0.0,,75,2,RIDGE
33.6,0.0,-0.1153846153846153,-0.1153846153846153,25,2,ELASTIC_NET
44.5,0.0,-0.1538461538461538,-0.1538461538461538,50,2,ELASTIC_NET
54.6,,-0.2142857142857142,,75,2,ELASTIC_NET
34.6,0.5,-0.1733333333333333,0.3266666666666666,25,3,random_forest
42.6,1.0,-0.1923076923076923,0.8076923076923077,50,3,random_forest
54.6,,-0.1851851851851851,,75,3,random_forest
34.6,0.5,-0.2666666666666666,0.2333333333333333,25,3,LASSO
42.6,1.0,-0.2692307692307692,0.7307692307692308,50,3,LASSO
54.6,,0.074074074074074,,75,3,LASSO
34.6,0.0,0.0,0.0,25,3,RIDGE
42.6,0.0,0.0,0.0,50,3,RIDGE
54.6,,0.0,,75,3,RIDGE
34.6,0.5,-0.2666666666666666,0.2333333333333333,25,3,ELASTIC_NET
42.6,1.0,-0.2692307692307692,0.7307692307692308,50,3,ELASTIC_NET
54.6,,0.074074074074074,,75,3,ELASTIC_NET
34.7,-0.25,0.7333333333333333,0.4833333333333333,25,4,random_forest
46.9,0.0,0.5294117647058824,0.5294117647058824,50,4,random_forest
57.4,0.0,0.3846153846153846,0.3846153846153846,75,4,random_forest
34.7,0.0,-0.1066666666666666,-0.1066666666666666,25,4,LASSO
46.9,0.0,0.0,0.0,50,4,LASSO
57.4,0.0,0.0,0.0,75,4,LASSO
34.7,0.0,0.0,0.0,25,4,RIDGE
46.9,0.0,0.0,0.0,50,4,RIDGE
57.4,0.0,0.0,0.0,75,4,RIDGE
34.7,0.0,0.0,0.0,25,4,ELASTIC_NET
46.9,0.0,0.0,0.0,50,4,ELASTIC_NET
57.4,0.0,0.0,0.0,75,4,ELASTIC_NET
32.9,1.0,-0.2894736842105263,0.7105263157894737,25,5,random_forest
41.8,1.0,-0.173076923076923,0.8269230769230769,50,5,random_forest
55.1,,-0.2592592592592592,,75,5,random_forest
32.9,1.0,-0.3947368421052631,0.6052631578947368,25,5,LASSO
41.8,1.0,-0.3076923076923077,0.6923076923076923,50,5,LASSO
55.1,,-0.3333333333333333,,75,5,LASSO
32.9,0.0,0.0,0.0,25,5,RIDGE
41.8,0.0,0.0,0.0,50,5,RIDGE
55.1,,0.0,,75,5,RIDGE
32.9,1.0,-0.7631578947368421,0.2368421052631578,25,5,ELASTIC_NET
41.8,0.0,-0.1923076923076923,-0.1923076923076923,50,5,ELASTIC_NET
55.1,,-0.2962962962962963,,75,5,ELASTIC_NET
