random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.4,[0.0008823078982141463],[2632.495525586823],[0.0012048525828495232],10,2,500,"[[0.8312841530054644, 0.5614525139664804, 0.7617866004962779]]",0.7181744224894077,0.1143934581739513,0.6030927835051546,"[[0.5, 0.5593575418994413, 0.5583126550868487]]",0.5392233989954299,0.0277384116185336,0.5400475812846947,"[[0.8312841530054644, 0.5642458100558659, 0.7593052109181141]]",0.7182783913264815,0.1128118465873453,0.6046788263283108,"[[0.8507877319592865, 0.6231183264405781, 0.7343888954865813]]",0.7038872010207858,0.1106098786425836,0.5666137985725614,"[[0.08835386858493419, 0.11173600218344194, 0.09849572899145553]]",0.0995285332532772,0.0095736115228978,0.1031225172062757,"[[0.08835386858493419, 0.11173600218344194, 0.09849572899145553]]",0.0995285332532772,0.0095736115228978,0.1031540251059681,"[[0.08848772318081453, 0.11167027453594058, 0.09854143515682295]]",0.099566477624526,0.0094919511825795,0.1032453467287297,"[[0.09655260926963821, 0.10883747180242725, 0.10695708910680973]]",0.1041157233929584,0.0054027450555107,0.1035885729344935,"[[0.8506699583037263, 0.5958749358160839, 0.758746313487248]]",0.7350970692023527,0.1053552433042752,0.5883856361914147,"[[0.5, 0.580461571863634, 0.5659938953193087]]",0.5488184890609809,0.0350215369146438,0.4977505923326145,"[[0.8506699583037263, 0.5992305238847014, 0.755415205485317]]",0.7351052292245815,0.1036494690355382,0.5900606486209558,"[[0.8709233551848374, 0.6075098317934039, 0.7104413818914966]]",0.7296248562899126,0.1083902681482316,0.5231324155239043,"[[0.7911878297472733, 0.6316992951143275, 0.7632029409822249]]",0.7286966886146086,0.0695325308000234,0.5896790542076777,"[[0.5, 0.5943396045964255, 0.5607201708784744]]",0.5516865918249666,0.0390401025591161,0.5517402592445513,"[[0.7911878297472733, 0.6337930293047562, 0.7607553928755728]]",0.7285787506425342,0.0681654019310366,0.5899063274800698,0.7360983179621486,0.0929535050305994,0.5646521584833761
2,0.2,[0.008097003681160576],[2052.885564075979],[0.015968125491261285],10,2,1000,"[[0.6855345911949685, 0.6717049576783555, 0.7068527918781726]]",0.6880307802504989,0.0144571961801074,0.6735653809971778,"[[0.6075471698113207, 0.5580411124546554, 0.6307106598984772]]",0.5987663140548177,0.0303099912271498,0.6053621825023519,"[[0.7194968553459119, 0.6541717049576784, 0.7176395939086294]]",0.6971027180707399,0.0303662781189595,0.6547507055503292,"[[0.7240529053895728, 0.6227711953796718, 0.7997103172416089]]",0.7041173963530102,0.0595682513553795,0.6434619002822202,"[[0.09994141374078266, 0.11576081384694434, 0.11033161806280864]]",0.1086779485501785,0.0065632472690713,0.0827604138691838,"[[0.09994141374078266, 0.11576081384694434, 0.11033161806280864]]",0.1086779485501785,0.0065632472690713,0.0906616114162945,"[[0.09908275269581639, 0.11453653093898257, 0.11112593532320267]]",0.1082484063193338,0.0066289740469808,0.0829842622212622,"[[0.10083158528974755, 0.11272829271796465, 0.11275350426172054]]",0.1087711274231442,0.0056141135169303,0.0843069258108301,"[[0.7052859807789142, 0.6881383408760707, 0.8004038020077087]]",0.7312760412208977,0.0493794550537521,0.6292609962578574,"[[0.585778456663454, 0.5782623968166116, 0.6705213988839888]]",0.6115207507880182,0.0418324447107246,0.5416014274943042,"[[0.7394966424365401, 0.687398106464747, 0.8132672453637203]]",0.7467206647550024,0.0516391318390455,0.6199652891231425,"[[0.7828203518364112, 0.6482004835227017, 0.8288260081491754]]",0.7532822811694294,0.0766410170891667,0.6199606864562074,"[[0.6725473322378416, 0.6707095923495834, 0.77793565389518]]",0.7070641928275351,0.0501193064422036,0.7232465190608678,"[[0.5942413618435817, 0.5712893824241795, 0.5074921676784481]]",0.5576743039820697,0.036700439986587,0.6580117451391697,"[[0.7042771016631366, 0.6513670085127197, 0.785085621395353]]",0.7135765771904031,0.0549850103308502,0.7056835581841562,0.7155114726702845,0.072487149509376,0.6953976216461165
3,0.2,[0.006514220045413113],[2510.2733210721694],[0.0195258616016855],5,2,1000,"[[0.6948324022346368, 0.832378223495702, 0.5756484149855908]]",0.7009530135719766,0.1048988244508859,0.5882352941176471,"[[0.6284916201117319, 0.5, 0.4596541786743516]]",0.5293819329286945,0.0719907118766021,0.5404844290657439,"[[0.7039106145251397, 0.8116045845272206, 0.5756484149855908]]",0.6970545380126504,0.0964506188853426,0.613840830449827,"[[0.7606679464341943, 0.8080339625073073, 0.5553307208036588]]",0.7005967118406725,0.1025027876209167,0.6027681660899654,"[[0.10807457198279209, 0.09021934513151444, 0.10609173656359176]]",0.1014618845592994,0.0079907833852042,0.1256460475137111,"[[0.10807457198279209, 0.09021934513151444, 0.10609173656359176]]",0.1014618845592994,0.0079907833852042,0.1262282812697643,"[[0.10723384278879942, 0.09355731553625352, 0.10484591456300413]]",0.101879024296019,0.00596454400686,0.1230507493658942,"[[0.10379951560585435, 0.08396238616489418, 0.10637131380475913]]",0.0980444051918358,0.0100126913265226,0.1281595928841141,"[[0.6876077025853565, 0.8134431925160809, 0.6095679118970067]]",0.7035396023328148,0.0839906803720859,0.5901388144522106,"[[0.6445252762947611, 0.5, 0.4284586765259696]]",0.5243279842735769,0.089870581015233,0.5226137758398245,"[[0.6891063830750546, 0.7967551720669281, 0.6095679118970067]]",0.6984764890129965,0.0767055702299238,0.6151157513477578,"[[0.7407909590282747, 0.797160792602686, 0.6054950249397175]]",0.7144822588568926,0.0804282388301916,0.6106298735934529,"[[0.6899403486901283, 0.8355380863115504, 0.572704285620917]]",0.6993942402075319,0.1075094840622228,0.577066436701685,"[[0.7141980452100999, 0.5, 0.4606627020184202]]",0.55828691574284,0.1114093532038203,0.5445581656995073,"[[0.6948413019426067, 0.814929470689463, 0.572704285620917]]",0.6941583527509957,0.0988891968655544,0.6064067236827103,0.70801087658172,0.1096792515959435,0.5869725433940134
4,0.4,[0.0033800027412816537],[2276.1447683401375],[0.0092738720897994],5,2,1000,"[[0.6921086675291074, 0.5147679324894515, 0.6311018131101813]]",0.6126594710429134,0.0735641400946409,0.6951951951951952,"[[0.5, 0.4578059071729958, 0.5244072524407253]]",0.4940710532045737,0.027511198997803,0.5,"[[0.6882276843467011, 0.530239099859353, 0.6297071129707112]]",0.6160579657255885,0.065216677940888,0.6936936936936937,"[[0.749077552584855, 0.49436684147273785, 0.6086346748669702]]",0.6307195414904672,0.0889337666034373,0.6231231231231231,"[[0.09997934235425181, 0.1124402049146506, 0.11562681526243755]]",0.1093487875104466,0.0067517157463054,0.1074411943719368,"[[0.09997934235425181, 0.1124402049146506, 0.11562681526243755]]",0.1093487875104466,0.0067517157463054,0.1189207284210167,"[[0.10149817672251524, 0.10665840480183361, 0.11159302344871799]]",0.1065832016576889,0.0041215469782634,0.1097299255245779,"[[0.09596958726064626, 0.0998798588019209, 0.11340216692279004]]",0.103083870995119,0.0074687338962668,0.1134437200244325,"[[0.7845315945394533, 0.5758391554346771, 0.617541595488599]]",0.6593041151542431,0.0901710026246156,0.7535980329026905,"[[0.5, 0.45792728962997564, 0.5376939148725043]]",0.4985404015008266,0.032580939688511,0.5,"[[0.7818559836034933, 0.5802167944597244, 0.6156055482014156]]",0.6592261087548777,0.0879077381003813,0.7399160696308495,"[[0.7663845881404681, 0.6045654030292918, 0.5934759651212854]]",0.6548086520970151,0.0790258862072355,0.6538311365562492,"[[0.6883495148595792, 0.4732366957999797, 0.6372831982398157]]",0.5996231362997916,0.0917681550791153,0.7329257451214005,"[[0.5, 0.4493274740168211, 0.5258113494037501]]",0.4917129411401904,0.0317695064169011,0.5,"[[0.6845000382582033, 0.4929115652777003, 0.6359840344747831]]",0.6044652126702289,0.0813290142598185,0.7579022682350793,0.617359689641521,0.1041680725267974,0.6883937098848291
5,0.4,[0.002138933287258444],[4608.192073733504],[0.020606101456224126],10,2,1000,"[[0.7553475935828877, 0.673992673992674, 0.644311377245509]]",0.6912172149403569,0.0469380722709834,0.5219012115563839,"[[0.5929144385026738, 0.5854700854700855, 0.5]]",0.5594615079909198,0.0421553302081252,0.5,"[[0.7092245989304813, 0.6923076923076923, 0.6952095808383234]]",0.6989139573588323,0.0073863494129515,0.5177073625349488,"[[0.7948011500325728, 0.7408748543426766, 0.7171556543849192]]",0.7166587420902321,0.0233668680631732,0.5060577819198508,"[[0.08985397310488369, 0.12825167222810333, 0.11616933292489083]]",0.1114249927526259,0.0160307495612224,0.0987436515472953,"[[0.08985397310488369, 0.12825167222810333, 0.11616933292489083]]",0.1114249927526259,0.0160307495612224,0.0920930616007229,"[[0.0904311755078229, 0.12793761614918955, 0.11786497100179114]]",0.1120779208862678,0.0158493056456904,0.0971441826546267,"[[0.08996800060686716, 0.12748075461600866, 0.11812100497861386]]",0.1118565867338298,0.0159422683517074,0.0961669602577355,"[[0.8451765827352564, 0.6677413082665492, 0.6991767100252511]]",0.7373648670090188,0.0773070529633143,0.5505970538711613,"[[0.6695724235653566, 0.5696157583920427, 0.5]]",0.5797293939857998,0.06959605317904,0.5,"[[0.8185867976033923, 0.687447689792355, 0.6976308925452646]]",0.734555126647004,0.0595646186779184,0.542232112916015,"[[0.8286095920408612, 0.7068967871114671, 0.7169490815258184]]",0.7508184868927156,0.0551594910894797,0.5475440440718577,"[[0.7999399972938881, 0.7329086608213651, 0.6375886779960328]]",0.7234791120370954,0.0666141877387729,0.5055844467351398,"[[0.6753476302674536, 0.6351179342316472, 0.5]]",0.6034885214997002,0.0749978340684084,0.5,"[[0.7602586136475996, 0.7468981955345239, 0.7037088848003902]]",0.7369552313275046,0.0241331702723281,0.5021781641746303,0.7509438862533896,0.0324884061505707,0.4865114063677043
6,0.2,[0.0036213905968604412],[2222.0516903146004],[0.013697245906380471],15,2,1000,"[[0.6497041420118344, 0.5155038759689923, 0.6121605667060213]]",0.592456194895616,0.0565309623293549,0.6770726714431935,"[[0.6201183431952663, 0.5762273901808785, 0.5501770956316411]]",0.5821742763359286,0.0288613769467653,0.5624360286591606,"[[0.6662721893491125, 0.5116279069767442, 0.5991735537190083]]",0.5923578833482884,0.0633169463338629,0.7077789150460594,"[[0.8015947015469814, 0.48379368811342427, 0.5788039237298933]]",0.6168682801631249,0.1319970733701378,0.7313203684749232,"[[0.1053207123436533, 0.12580136667248637, 0.12818987412645572]]",0.1197706510475318,0.0102640728879524,0.08665183548696,"[[0.1053207123436533, 0.12580136667248637, 0.12818987412645572]]",0.1197706510475318,0.0102640728879524,0.0945491832131833,"[[0.10643409952450876, 0.11932810578985484, 0.12396884192585349]]",0.116577015746739,0.0074181385845496,0.0884645312978006,"[[0.10981183106440419, 0.11691510781928957, 0.1222087983621492]]",0.116311912415281,0.0050789817264817,0.0902152348513071,"[[0.6094771795085724, 0.5115320651162645, 0.6462041149348685]]",0.5890711198532351,0.0568415675574312,0.7186855784124176,"[[0.5543404039542319, 0.582690573609722, 0.5253596424953114]]",0.5541302066864219,0.0234057265468641,0.5327457703279183,"[[0.630701899636643, 0.5136545081266979, 0.6290533428751947]]",0.5911365835461786,0.054792234506552,0.7497874102671657,"[[0.7849329772171689, 0.47212615356686094, 0.5902302945822064]]",0.6157631417887454,0.1289727928554521,0.7238139048387405,"[[0.6580236426795907, 0.5019870160329615, 0.6064080384137185]]",0.5888062323754236,0.0649062138559537,0.7395837187939492,"[[0.6290268668822504, 0.5680317208045106, 0.5677527727519333]]",0.5882704534795647,0.0288193612940093,0.6530525080893077,"[[0.674151106052575, 0.4968711387377508, 0.5991588847258066]]",0.5900603765053775,0.0726596350191044,0.7832320166940567,0.6213974377967664,0.1331916579351542,0.7546077456134828
7,0.3,[0.0009409732084349539],[2224.9211889274216],[0.0011809012418897182],10,2,1000,"[[0.8197969543147208, 0.6290322580645161, 0.7623762376237624]]",0.737068483334333,0.0799089237996975,0.5787075393537697,"[[0.6288071065989848, 0.5465260545905707, 0.5]]",0.5584443870631851,0.0532563152079725,0.4797017398508699,"[[0.8217005076142132, 0.630272952853598, 0.7708628005657708]]",0.7409454203445273,0.0809626021069148,0.5795360397680199,"[[0.7992638877990247, 0.6187047211670545, 0.7449223690792726]]",0.7214650227413945,0.0668395596466967,0.6060480530240265,"[[0.09724263837848086, 0.10360164129073979, 0.10122847091398983]]",0.1006909168610701,0.0026237317926174,0.1116745857206159,"[[0.09724263837848086, 0.10360164129073979, 0.10122847091398983]]",0.1006909168610701,0.0026237317926174,0.1105520467121809,"[[0.09692487572045128, 0.10316021342474396, 0.10109310461171853]]",0.1003927312523045,0.0025932927850612,0.1106484983111084,"[[0.10116116166170784, 0.10405360731213843, 0.11537548017083843]]",0.1068634163815615,0.0061336765986213,0.1029131853599277,"[[0.836975524968991, 0.6579904129448156, nan]]",,,0.5976140561714741,"[[0.6511894419568157, 0.5923273513896737, nan]]",,,0.547922975928028,"[[0.838729380948663, 0.6573638220117806, nan]]",,,0.6048679830525411,"[[0.8126327045969975, 0.663583655986218, nan]]",,,0.6496465801651742,"[[0.8160244075408052, 0.6121288212853465, 0.791819404663026]]",0.739990877829726,0.090950534793725,0.4973542162759994,"[[0.622174463994915, 0.5446522592810559, 0.5]]",0.555608907758657,0.0504756444403799,0.6622050888191029,"[[0.8182099733473001, 0.6112724853516965, 0.7989924002967347]]",0.7428249529985771,0.0933519061989849,0.5214040073926721,0.7209636593484506,0.0756347274413115,0.7076006864512622
8,0.9,[0.0002722258477886016],[1709.65766211282],[0.00022880985629393947],5,2,1000,"[[0.7272727272727273, 0.7052845528455285, 0.619235836627141]]",0.6839310389151323,0.0466188220426994,0.7234461054287962,"[[0.6096256684491979, 0.5047425474254743, 0.5065876152832675]]",0.54031861038598,0.0490132790978367,0.6636506687647522,"[[0.7272727272727273, 0.7052845528455285, 0.619235836627141]]",0.6839310389151323,0.0466188220426994,0.7234461054287962,"[[0.6974257815755799, 0.7331946685328702, 0.5690400815674598]]",0.6491341376251861,0.0719900289080915,0.6667977970102281,"[[0.10315464723829317, 0.10315266217246358, 0.11058046049167798]]",0.1056292566341449,0.0035010299164921,0.0953795169369705,"[[0.10315464723829317, 0.10315266217246358, 0.11058046049167798]]",0.1056292566341449,0.0035010299164921,0.1071530486416793,"[[0.10309511373395783, 0.10313188740444472, 0.11060520065216425]]",0.1056107339301889,0.0035316531967714,0.0953566998455492,"[[0.10039255822778333, 0.11666045420320877, 0.10031023045309838]]",0.1057877476280301,0.0076882380152225,0.0999846022664543,"[[0.7984935883937182, 0.7617126817265936, 0.6597265892847528]]",0.7399776198016882,0.0586991180972167,0.7697380544745769,"[[0.6833657314267011, 0.5479407580508145, 0.5691379564293355]]",0.600148148635617,0.0594766333331434,0.6825167672245424,"[[0.7984935883937182, 0.7617126817265936, 0.6597265892847528]]",0.7399776198016882,0.0586991180972167,0.7697380544745769,"[[0.7973298809832193, 0.6526443575514078, 0.6168062694585354]]",0.6889268359977209,0.0780363473480323,0.6996399343500961,"[[0.6861426222873795, 0.8006466720497577, 0.6212579291270596]]",0.702682407821399,0.0741631249385658,0.734552545861839,"[[0.5790898596712781, 0.6427967907745976, 0.5069978406028929]]",0.5762948303495895,0.0554749063908845,0.6927517238824539,"[[0.6861426222873795, 0.8006466720497577, 0.6212579291270596]]",0.702682407821399,0.0741631249385658,0.734552545861839,0.6665535105586367,0.0704816994864805,0.6971223085054654
9,0.9,[0.00846972506582488],[3419.2426266302837],[0.00898306998881466],15,2,1000,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.6260500431605136,0.0204538401701707,0.6215397923875432,"[[0.5, 0.5475578406169666, 0.5541611624834875]]",0.533906334366818,0.0241264805772145,0.5,"[[0.6471674876847291, 0.6098971722365039, 0.630779392338177]]",0.6292813507531366,0.0152523703042169,0.6215397923875432,"[[0.6129163617629189, 0.6783872345959202, 0.5301367030378792]]",0.5890254102710676,0.038667228177529,0.6924740484429066,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.1098943714561567,0.0053289616394371,0.1153383051507457,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.1098943714561567,0.0053289616394371,0.1104189893186325,"[[0.10906226347664275, 0.10379463202420601, 0.11666630372006673]]",0.1098410664069718,0.0052836151490384,0.1148407340022359,"[[0.11743765838319638, 0.10653925771927983, 0.11246697757805245]]",0.1121479645601762,0.0044549681059086,0.1078989353373613,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.6125664765874248,"[[0.5, 0.5569704066154029, 0.5591818137816074]]",0.5387174067990034,0.0273922224039759,0.5,"[[0.6165331201572484, 0.6423696511825149, 0.6294857303358508]]",0.6294628338918713,0.0105477320481782,0.6125664765874248,"[[0.576180024800077, 0.6176742428962191, 0.5189500069149448]]",0.5709347582037471,0.0404742989131911,0.694720708071075,"[[0.6322398463387061, 0.648232779743899, 0.6296592208847102]]",0.6367106156557717,0.0082152340558562,0.7114630963069847,"[[0.5, 0.6040934379523409, 0.5503087092314963]]",0.5514673823946125,0.0425038653050806,0.5,"[[0.6297812932611614, 0.6690417658783118, 0.6296592208847102]]",0.6428274266747277,0.0185364040080898,0.7114630963069847,0.6071467664655728,0.0606603725630486,0.758572075406838
10,0.3,[0.0007968167242833825],[2377.4200204197145],[0.0014508112799076617],5,2,100,"[[0.7614678899082569, 0.65, 0.58698224852071]]",0.666150046142989,0.0721430419625778,0.6823232323232323,"[[0.4737876802096986, 0.6346590909090909, 0.4940828402366864]]",0.534176537118492,0.071533353956229,0.6065656565656565,"[[0.7575360419397117, 0.6556818181818181, 0.598224852071006]]",0.6704809040641786,0.0658750003747542,0.6823232323232323,"[[0.7366194644458578, 0.6346874579844693, 0.5567993328392801]]",0.6525584683488707,0.0680970116872223,0.6378787878787879,"[[0.10314027234817758, 0.1397371742168117, 0.1156034727597685]]",0.1194936397749192,0.0151917380210414,0.0944434358252168,"[[0.10314027234817758, 0.1397371742168117, 0.1156034727597685]]",0.1194936397749192,0.0151917380210414,0.0950438416376424,"[[0.10274434272158434, 0.13753924026994513, 0.11524258942546686]]",0.1185087241389987,0.0143914778213921,0.0938265837469194,"[[0.10546637425847877, 0.12338652335690452, 0.1198480770347154]]",0.1162336582166995,0.0077494495921311,0.0880607623358537,"[[0.7536889026587987, 0.7399282914679371, 0.6685796659710821]]",0.7207322866992727,0.0373029086596062,0.6884452908914763,"[[0.44840829410093136, 0.64757149389099, 0.5301345401026107]]",0.542038109364844,0.0817425481151617,0.602189462714804,"[[0.7459011211212968, 0.7444915056083429, 0.6777763960102023]]",0.7227230075799472,0.0317872634103109,0.6884452908914763,"[[0.7337793678469012, 0.7517204248234383, 0.6499823157087232]]",0.7118273694596876,0.0443401878394276,0.6430488481337631,"[[0.7046289298574352, 0.5932950537673896, 0.5857367272226187]]",0.6278869036158145,0.0543524670939081,0.7431109249727731,"[[0.46202819596838174, 0.6286811578299943, 0.49374359042953286]]",0.5281509814093029,0.0722551213402348,0.6684130747743777,"[[0.7017477752853976, 0.5981282430099035, 0.5975689654574016]]",0.6324816612509009,0.048979071128562,0.7431109249727731,0.6427020850898691,0.0736296843149586,0.7026192516195501
