random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.8,[0.015240128403696722],[2542.206637720435],[0.0190501605046209],10,2,1000,"[[0.6980874316939891, 0.5698324022346368, 0.642059553349876]]",0.6366597957595007,0.0524989281283021,0.6530531324345757,"[[0.5, 0.5698324022346368, 0.5800248138957816]]",0.5499524053768061,0.0355659332888851,0.7077716098334655,"[[0.6980874316939891, 0.5698324022346368, 0.642059553349876]]",0.6366597957595007,0.0524989281283021,0.6530531324345757,"[[0.7922140708178146, 0.5791606286827433, 0.6270054838356114]]",0.6447928511507387,0.0355870032504894,0.6391752577319587,"[[0.10450394533905495, 0.11059695072008456, 0.11104718204898573]]",0.1087160260360417,0.0029840570717093,0.0977212032848101,"[[0.10450394533905495, 0.11059695072008456, 0.11104718204898573]]",0.1087160260360417,0.0029840570717093,0.1031539966889319,"[[0.10462772038655412, 0.11017437316149856, 0.11107075321389162]]",0.1086242822539814,0.0028495911250227,0.0982340852295794,"[[0.09840227819873197, 0.1138936016575807, 0.11417416965728182]]",0.1088233498378648,0.0073697005900994,0.1020461922650622,"[[0.7783063601475706, 0.5344222918041263, 0.7214962027990833]]",0.6780749515835934,0.1041918534588204,0.6679760372651967,"[[0.5, 0.5344222918041263, 0.6768014480418559]]",0.570407913281994,0.0765328327028583,0.7436953811466606,"[[0.7783063601475706, 0.5344222918041263, 0.7214962027990833]]",0.6780749515835934,0.1041918534588204,0.6679760372651967,"[[0.7924964129691477, 0.6424520644337333, 0.6927618760304942]]",0.7092367844777918,0.0623532602094141,0.6289365903663914,"[[0.7934411664778143, 0.5569955835134156, 0.6404495468500112]]",0.6636287656137471,0.0979101137530964,0.6660383516933246,"[[0.5, 0.5569955835134156, 0.5768029154886504]]",0.5445994996673553,0.0325568131930231,0.7175137374650042,"[[0.7934411664778143, 0.5569955835134156, 0.6404495468500112]]",0.6636287656137471,0.0979101137530964,0.6660383516933246,0.6661267277787231,0.0912717411438424,0.6508520094053355
2,0.2,[0.002634594790108307],[4712.366730584379],[0.012002723251012965],5,2,500,"[[0.7069182389937106, 0.594316807738815, 0.7220812182741116]]",0.6744387550022125,0.0569919515377592,0.5493885230479775,"[[0.6044025157232704, 0.5767835550181378, 0.5]]",0.5603953569138027,0.0441693792890288,0.5,"[[0.7069182389937106, 0.594316807738815, 0.7220812182741116]]",0.6744387550022125,0.0569919515377592,0.5493885230479775,"[[0.6594351129862815, 0.5850852256516657, 0.6259887867137657]]",0.6023159178675341,0.0377202184996247,0.6509877704609596,"[[0.1101741829809521, 0.10824568792706746, 0.11744011396002257]]",0.1119533282893473,0.0039588201980017,0.0905110931063978,"[[0.1101741829809521, 0.10824568792706746, 0.11744011396002257]]",0.1119533282893473,0.0039588201980017,0.0906616241896371,"[[0.1080443487271981, 0.1078993252384609, 0.11703080872805724]]",0.1109914942312387,0.0042708506292995,0.0897492598807687,"[[0.10968227410711662, 0.12263993160864849, 0.11971917933002263]]",0.1173471283485959,0.0055494859446989,0.095432760281356,"[[0.6998653272124595, 0.5211367084738691, 0.7705561026603033]]",0.6638527127822106,0.1049609128760425,0.5789610847384536,"[[0.6221401025564262, 0.5570975356221711, 0.5]]",0.5597458793928657,0.0498986403065882,0.5,"[[0.6998653272124595, 0.5211367084738691, 0.7705561026603033]]",0.6638527127822106,0.1049609128760425,0.5789610847384536,"[[0.6855975900997742, 0.48577532555111724, 0.6256789936890941]]",0.5990173031133285,0.0837272104738826,0.6810851720497058,"[[0.7144043730140466, 0.6160708412117326, 0.7456264051941215]]",0.6920338731399669,0.0552056186039118,0.5231356020554773,"[[0.6148964473334787, 0.5933483205874439, 0.5]]",0.5694149226403075,0.0498658470661414,0.5,"[[0.7144043730140466, 0.6160708412117326, 0.7456264051941215]]",0.6920338731399669,0.0552056186039118,0.5231356020554773,0.6235030417839043,0.0304040636819024,0.6660698947931514
3,0.9,[0.012805332298304224],[3099.0546635210435],[0.0149056309282331],10,2,500,"[[0.8254189944134078, 0.43123209169054444, 0.7219020172910663]]",0.6595177011316729,0.1668625796807409,0.6190311418685122,"[[0.5, 0.43123209169054444, 0.6793948126801153]]",0.5368756347902198,0.1046137127822261,0.6498269896193771,"[[0.8254189944134078, 0.43123209169054444, 0.7219020172910663]]",0.6595177011316729,0.1668625796807409,0.6114186851211073,"[[0.8510620751233616, 0.5238460080232781, 0.6912953377683361]]",0.6781657101959669,0.1236269306377346,0.6283737024221453,"[[0.10840507559350684, 0.11972282148325428, 0.09079774416297316]]",0.1063085470799114,0.0119013052043966,0.1222762299991612,"[[0.10840507559350684, 0.11972282148325428, 0.09079774416297316]]",0.1063085470799114,0.0119013052043966,0.1262282734649219,"[[0.10904744981233827, 0.11845721838307384, 0.09127850607969386]]",0.1062610580917019,0.0112692379136922,0.1222837370736659,"[[0.09909859025168283, 0.12666180477587866, 0.08742820435484071]]",0.104396199794134,0.0164492624079342,0.1287281246683517,"[[0.8775661757592434, 0.45287545826411857, 0.7777881731491149]]",0.7027432690574923,0.1813180531629832,0.618643434009158,"[[0.5, 0.45287545826411857, 0.7020550410877375]]",0.551643499783952,0.1080830064548832,0.6695338680936547,"[[0.8775661757592434, 0.45287545826411857, 0.7777881731491149]]",0.7027432690574923,0.1813180531629832,0.6173993174470696,"[[0.8568842153405578, 0.5126012723116443, 0.7843483206930137]]",0.7179446027817388,0.1481885657520909,0.6208774762374453,"[[0.8402637245786443, 0.4375411958296713, 0.716126568241228]]",0.6646438295498478,0.1683928206661743,0.6356860187754234,"[[0.5, 0.4375411958296713, 0.6780921132937779]]",0.5385444363744831,0.1019164401352918,0.6586913755858989,"[[0.8402637245786443, 0.4375411958296713, 0.716126568241228]]",0.6646438295498478,0.1683928206661743,0.62754785084018,0.6887344736383253,0.1335976725369392,0.6304256153071317
4,0.2,[0.033647618599646316],[3524.977528884799],[0.16823809299823153],15,2,500,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.6776484060888671,0.1042293875706062,0.5754504504504504,"[[0.5316946959896507, 0.7327707454289732, 0.5]]",0.5881551471395413,0.1030740571625626,0.5754504504504504,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.6776484060888671,0.1042293875706062,0.5754504504504504,"[[0.5423049381993733, 0.6661130297640637, 0.7424011459115049]]",0.6523333803585284,0.0860241216408806,0.625,"[[0.10830587405173123, 0.09369153314796715, 0.11200516794299799]]",0.1046675250475654,0.0079067689337902,0.1175936008174191,"[[0.10830587405173123, 0.09369153314796715, 0.11200516794299799]]",0.1046675250475654,0.0079067689337902,0.1189207164397814,"[[0.10574449845610424, 0.09446435554503982, 0.1123300997507184]]",0.1041796512506208,0.0073771161523577,0.1186231444584895,"[[0.11372419648363659, 0.085017625011799, 0.09972039409500386]]",0.0994874051968131,0.0117205666611286,0.1214645951718861,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.7375782252386985,0.0835068288227867,0.538411328667445,"[[0.627292668620244, 0.7561435830391535, 0.5]]",0.6278120838864658,0.1045708248897942,0.538411328667445,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.7375782252386985,0.0835068288227867,0.538411328667445,"[[0.5879850241832907, 0.6831952379139603, 0.8397573020187313]]",0.7036458547053274,0.1037978508671931,0.5926397255737447,"[[0.5216366029466702, 0.7331035517069554, 0.763782720798426]]",0.6728409584840173,0.1076487210146474,0.6019791871254545,"[[0.5216366029466702, 0.7331035517069554, 0.5]]",0.5849133848845419,0.1051579123791422,0.6019791871254545,"[[0.5216366029466702, 0.7331035517069554, 0.763782720798426]]",0.6728409584840173,0.1076487210146474,0.6019791871254545,0.650273037958314,0.0824532275111119,0.6640270750838153
5,0.9,[0.015962156433968904],[3687.4651655485036],[0.01858022947635414],15,2,500,"[[0.7032085561497327, 0.6349206349206349, 0.7197604790419162]]",0.6859632233707612,0.0367196669794623,0.5405405405405406,"[[0.6677807486631016, 0.5964590964590964, 0.6988023952095809]]",0.6543474134439262,0.0428476259250208,0.6342031686859273,"[[0.7032085561497327, 0.6349206349206349, 0.7197604790419162]]",0.6859632233707612,0.0367196669794623,0.5549860205032618,"[[0.7457911596804802, 0.6476544083886114, 0.7110641680289165]]",0.6717565668516707,0.0280377564297732,0.6397949673811743,"[[0.09216987341297384, 0.12664817064962364, 0.12122059382311942]]",0.1133462126285723,0.015136989011083,0.0870661317617561,"[[0.09216987341297384, 0.12664817064962364, 0.12122059382311942]]",0.1133462126285723,0.015136989011083,0.0920930437303976,"[[0.09244676109492293, 0.1261390054346941, 0.12147921056791798]]",0.113354992365845,0.014906240822977,0.0871540572399845,"[[0.0929773710898854, 0.1275973577716223, 0.12486100387128836]]",0.1151452442442653,0.0157148095398041,0.0878430223771977,"[[0.785707267952767, 0.6497372685067421, 0.7445750975267801]]",0.7266732113287632,0.0569345725924244,0.5689037724334671,"[[0.7549375264529152, 0.6210395137406048, 0.717615505458893]]",0.6978641818841377,0.0564195919830013,0.669678570405716,"[[0.785707267952767, 0.6497372685067421, 0.7445750975267801]]",0.7266732113287632,0.0569345725924244,0.5839561861606398,"[[0.7495907301338324, 0.6503169956466951, 0.7122441419365472]]",0.7040506225723582,0.0409403542521244,0.6803132727153214,"[[0.7725599330493896, 0.6157221040567482, 0.7238737507971746]]",0.7040519293011043,0.0655449189810459,0.5466410633827984,"[[0.749112884274555, 0.5615023808623879, 0.7053424304595748]]",0.6719858985321725,0.0801412041932219,0.6386897141665339,"[[0.7725599330493896, 0.6157221040567482, 0.7238737507971746]]",0.7040519293011043,0.0655449189810459,0.5599895733028761,0.7015032453660027,0.040630562553782,0.6397438563239871
6,0.8,[0.009699356006528085],[2698.903425131885],[0.011047114939316822],15,2,1000,"[[0.5958579881656805, 0.6233850129198967, 0.5608028335301063]]",0.5933486115385611,0.0256106100745573,0.7620266120777891,"[[0.5153846153846153, 0.5962532299741602, 0.5094451003541912]]",0.5403609819043221,0.0395961025474678,0.8019447287615148,"[[0.5958579881656805, 0.6233850129198967, 0.5608028335301063]]",0.5933486115385611,0.0256106100745573,0.7620266120777891,"[[0.5416849548692899, 0.6464674428990325, 0.6606015213247505]]",0.6173569288628649,0.0502856184804054,0.7400204708290685,"[[0.11341790623691912, 0.11329399177033865, 0.12418070246303589]]",0.1169642001567645,0.0051030884668712,0.0877970638608674,"[[0.11341790623691912, 0.11329399177033865, 0.12418070246303589]]",0.1169642001567645,0.0051030884668712,0.0945491816418372,"[[0.11309906777512471, 0.11334064117416132, 0.12415973626148426]]",0.1168664817369234,0.0051580526426679,0.0879626482350817,"[[0.11261371614583038, 0.1154832757468169, 0.12183467449755621]]",0.1166438887967344,0.00385285913055,0.0892693959203087,"[[0.6233669988415156, 0.6297475709027668, 0.6182156951396091]]",0.6237767549612973,0.0047167760679302,0.8068817489313093,"[[0.5723810182020201, 0.6136047813837205, 0.5875247567082735]]",0.5911701854313381,0.0170257946588196,0.8165037226043863,"[[0.6233669988415156, 0.6297475709027668, 0.6182156951396091]]",0.6237767549612973,0.0047167760679302,0.8068817489313093,"[[0.6114109309820437, 0.678894000395034, 0.667630437547429]]",0.6526451229748355,0.0295173497452972,0.7659411525425418,"[[0.5940551736853539, 0.6348620461938904, 0.5622801674268751]]",0.5970657957687064,0.0297078010555477,0.7970824424405359,"[[0.5090579820766077, 0.6073682683120001, 0.4981297956420356]]",0.5381853486768812,0.0491227278803928,0.8025163038001883,"[[0.5940551736853539, 0.6348620461938904, 0.5622801674268751]]",0.5970657957687064,0.0297078010555477,0.7970824424405359,0.6162513063643577,0.0530411703283438,0.7900979808279431
7,0.2,[0.00813507609641482],[2726.554261033308],[0.04067538048207409],15,2,100,"[[0.5475888324873096, 0.6830024813895782, 0.5813295615275813]]",0.603973625134823,0.05755449180121,0.748135874067937,"[[0.5120558375634517, 0.5, 0.5650636492220651]]",0.5257064955951722,0.0282615753399937,0.5,"[[0.5380710659898477, 0.6830024813895782, 0.5813295615275813]]",0.6008010363023357,0.0607488410856274,0.748135874067937,"[[0.517222761980041, 0.6132711702935768, 0.5700346594261567]]",0.5746715132738638,0.0297497166531326,0.7568351284175642,"[[0.10798553550028016, 0.10651254781055176, 0.1151784740734933]]",0.109892185794775,0.0037860318723617,0.1033074531627491,"[[0.10798553550028016, 0.10651254781055176, 0.1151784740734933]]",0.109892185794775,0.0037860318723617,0.1105520504426092,"[[0.10694454391382548, 0.10669348142551212, 0.11509631262509376]]",0.1095781126548104,0.0039033025570052,0.1065893857866733,"[[0.10891768824830785, 0.10489652478334961, 0.11651812416006865]]",0.1101107790639087,0.0048189205076754,0.1022761365361542,"[[0.5429202505131037, 0.7045327530835371, nan]]",,,0.7839240224808947,"[[0.5057889646540211, 0.5, nan]]",,,0.5,"[[0.5450214892738918, 0.7045327530835371, nan]]",,,0.7839240224808947,"[[0.5557006577295922, 0.643620432342315, nan]]",,,0.8142752454020548,"[[0.5389006141240232, 0.6818114988189962, 0.5797857013483402]]",0.6001659380971199,0.0600965655065644,0.8017253348559967,"[[0.5113344013285138, 0.5, 0.5274450383149915]]",0.5129264798811684,0.0112608042227958,0.5,"[[0.5233145091855811, 0.6818114988189962, 0.5797857013483402]]",0.5949705697843058,0.0655909501012495,0.8017253348559967,0.5668428638999249,0.0392764972462487,0.841814160838854
8,0.2,[0.03251440650903269],[3251.4406509032688],[0.16257203254516342],10,2,1000,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.6312267036488857,0.0431024594708647,0.6801730920535012,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.6312267036488857,0.0431024594708647,0.6801730920535012,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.6312267036488857,0.0431024594708647,0.6801730920535012,"[[0.6513321074966058, 0.7704081402440113, 0.7179565191732133]]",0.6597645302966244,0.0408466359835036,0.6483084185680567,"[[0.10773049252250937, 0.11407740858736096, 0.09977124426891457]]",0.1071930484595949,0.0058528180658077,0.1056520969642879,"[[0.10773049252250937, 0.11407740858736096, 0.09977124426891457]]",0.1071930484595949,0.0058528180658077,0.1071530577168126,"[[0.10819398942409124, 0.11579721351057784, 0.10021292315636518]]",0.1080680420303447,0.0063628831788005,0.1068697111311787,"[[0.1058593592211869, 0.11006570715309386, 0.09781845555822614]]",0.1045811739775023,0.005080952079081,0.1031980850631652,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.6584312504086517,0.0317623539377125,0.7210418295478352,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.6584312504086517,0.0317623539377125,0.7210418295478352,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.6584312504086517,0.0317623539377125,0.7210418295478352,"[[0.6157691279124617, 0.7060410154863301, 0.7180337127426375]]",0.6799479520471431,0.0456446221538611,0.6999553134489108,"[[0.6788676141486062, 0.697642436497502, 0.6558788979733696]]",0.6774629828731594,0.0170787983433485,0.6499022114714063,"[[0.6788676141486062, 0.697642436497502, 0.6558788979733696]]",0.6774629828731594,0.0170787983433485,0.6499022114714063,"[[0.6788676141486062, 0.697642436497502, 0.6558788979733696]]",0.6774629828731594,0.0170787983433485,0.6499022114714063,0.7132322556379435,0.04872722984929,0.6155398783146306
9,0.2,[0.03145610691250795],[3145.6106912507935],[0.1572805345625397],10,2,500,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.6412397011962988,0.0462651021636674,0.653114186851211,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.6412397011962988,0.0462651021636674,0.653114186851211,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.6412397011962988,0.0462651021636674,0.653114186851211,"[[0.6564853063450456, 0.44359213903052735, 0.6546584543177989]]",0.6028664684979496,0.06639519145382,0.7006920415224913,"[[0.1189109793913555, 0.10790885502763631, 0.10926663029650714]]",0.1120288215718329,0.0048978880217089,0.1082808980114109,"[[0.1189109793913555, 0.10790885502763631, 0.10926663029650714]]",0.1120288215718329,0.0048978880217089,0.1104189669568404,"[[0.11935895885499778, 0.10887846125973372, 0.11061374808979041]]",0.1129503894015073,0.0045865838359139,0.109970236241014,"[[0.1248807743959001, 0.11234993619260865, 0.10005532762830405]]",0.1124286794056042,0.0101350991500784,0.1050380133808671,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.6943943155795939,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.6943943155795939,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.6943943155795939,"[[0.6234901180234986, 0.5343235435691279, 0.6606122552406528]]",0.6061419722777598,0.0529964042461054,0.74411022962907,"[[0.6911599757397334, 0.546299318093731, 0.6723902682107918]]",0.6366165206814188,0.0643219676970451,0.7213732266433012,"[[0.6911599757397334, 0.546299318093731, 0.6723902682107918]]",0.6366165206814188,0.0643219676970451,0.7213732266433012,"[[0.6911599757397334, 0.546299318093731, 0.6723902682107918]]",0.6366165206814188,0.0643219676970451,0.7213732266433012,0.5849119665644573,0.0999309914816124,0.7885605579712592
10,0.7,[0.030277706111245292],[4193.118255053257],[0.04325386587320757],10,2,100,"[[0.6369593709043251, 0.7210227272727273, 0.5615384615384615]]",0.639840186571838,0.0651410371342167,0.6575757575757576,"[[0.6369593709043251, 0.5, 0.5615384615384615]]",0.5661659441475956,0.0560090916197272,0.6575757575757576,"[[0.6369593709043251, 0.7210227272727273, 0.5615384615384615]]",0.639840186571838,0.0651410371342167,0.6575757575757576,"[[0.7574891512824962, 0.7821718520027141, 0.6178017083733908]]",0.6785747421244951,0.0762183870990331,0.65,"[[0.1053918926828414, 0.12784938361424317, 0.11028487287651942]]",0.1145087163912013,0.0096424535349632,0.0918105879600459,"[[0.1053918926828414, 0.12784938361424317, 0.11028487287651942]]",0.1145087163912013,0.0096424535349632,0.0950438458758214,"[[0.10649751721183923, 0.1279800630481873, 0.11033562579659008]]",0.1149377353522055,0.0093544821048206,0.0925965531966907,"[[0.10494456227783919, 0.1343519522830078, 0.11113542163810071]]",0.1168106453996492,0.0126584562062087,0.0925977093639566,"[[0.7212195784841753, 0.7470986581026906, 0.5656832904794465]]",0.6780005090221041,0.080119909620288,0.6780949998826112,"[[0.7212195784841753, 0.5, 0.5656832904794465]]",0.5956342896545407,0.0927625004689176,0.6780949998826112,"[[0.7212195784841753, 0.7470986581026906, 0.5656832904794465]]",0.6780005090221041,0.080119909620288,0.6780949998826112,"[[0.7272445476149335, 0.8088954803750222, 0.6750953836803383]]",0.7370784705567647,0.0550644834062519,0.6855498212941905,"[[0.7546924753835882, 0.7296228314033586, 0.55759731382938]]",0.6806375402054422,0.0876024913737364,0.6111250192697181,"[[0.7546924753835882, 0.5, 0.55759731382938]]",0.6040965964043227,0.1090525919430412,0.6111250192697181,"[[0.7546924753835882, 0.7296228314033586, 0.55759731382938]]",0.6806375402054422,0.0876024913737364,0.6111250192697181,0.7191542372195338,0.072372003133542,0.6481667507417189
