random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.3,[0.0025719743410439894],[3170.8501802847313],[0.0024416917253299434],10,2,100,"[[0.9050546448087432, 0.5789106145251397, 0.7468982630272953]]",0.7436211741203927,0.1331679055583234,0.7767644726407613,"[[0.5, 0.5495810055865922, 0.6122828784119106]]",0.5539546279995009,0.0459434988210084,0.5,"[[0.9057377049180327, 0.577513966480447, 0.7562034739454094]]",0.7464850484479629,0.1341728771997735,0.7724028548770817,"[[0.7575429099234393, 0.6268375850833808, 0.7152202256302932]]",0.722069987099279,0.1283121435804735,0.7557494052339413,"[[0.08350168396469831, 0.11132001287392618, 0.09903393014451901]]",0.0979518756610478,0.0113825301011212,0.0843253586938501,"[[0.08350168396469831, 0.11132001287392618, 0.09903393014451901]]",0.0979518756610478,0.0113825301011212,0.1031540246963882,"[[0.08244429699135904, 0.11176766906512883, 0.09900691088876198]]",0.0977396256484166,0.0120047086971316,0.0839864840344468,"[[0.09695541112654854, 0.11101850471945068, 0.10694664272488359]]",0.1049735195236276,0.0059083309389472,0.0943614589590499,"[[0.9256957674308819, 0.5887448626210977, 0.8067935133685129]]",0.7737447144734975,0.1395305113450947,0.7537455314095619,"[[0.5, 0.5100518849054141, 0.6774978372936118]]",0.5625165740663419,0.0814075273650701,0.5,"[[0.9249623457362349, 0.5866404912011489, 0.8150347565402937]]",0.7755458644925591,0.1409135639564983,0.7498177638131321,"[[0.8482248944260313, 0.5550753605597758, 0.788294079416945]]",0.7305314448009174,0.1264556675145859,0.7565975593351814,"[[0.9010069308571722, 0.6421360295171125, 0.7460888898282501]]",0.7630772834008449,0.1063641231095234,0.7838727883596535,"[[0.5, 0.5940570740353448, 0.6130494036376647]]",0.5690354925576698,0.049427398410469,0.5,"[[0.9020543104737606, 0.6404110384487026, 0.7555076427147024]]",0.7659909972123886,0.1070723306621517,0.7801603286396479,0.6998669068790377,0.0544534283150567,0.766990296980599
2,0.2,[0.0052935148006715395],[4712.366730584379],[0.008666937229609935],15,2,500,"[[0.7358490566037735, 0.7194679564691656, 0.7728426395939086]]",0.7427198842222826,0.0223251786672825,0.7427093132643462,"[[0.6044025157232704, 0.5767835550181378, 0.5]]",0.5603953569138027,0.0441693792890288,0.5,"[[0.7534591194968554, 0.7013301088270859, 0.774746192893401]]",0.743178473739114,0.0308409803973564,0.7483537158984007,"[[0.7262174916353992, 0.6491334329194797, 0.8556441897682321]]",0.7337729789531685,0.082838552056016,0.729068673565381,"[[0.09481548636545717, 0.10438377895529377, 0.09458870380820475]]",0.0979293230429852,0.0045649285080213,0.0780272264786356,"[[0.09481548636545717, 0.10438377895529377, 0.09458870380820475]]",0.0979293230429852,0.0045649285080213,0.0906616241896371,"[[0.0949834399371121, 0.10459810056639773, 0.09598999639338372]]",0.0985238456322978,0.0043147590684566,0.0781122805518545,"[[0.10395828537561852, 0.11088569859345677, 0.10875782483398634]]",0.1078672696010205,0.0028973643126,0.0844661424962851,"[[0.7484914438005137, 0.7652076776373896, 0.867241838487282]]",0.7936469866417285,0.0524849805947632,0.7182667456462521,"[[0.6221401025564262, 0.5570975356221711, 0.5]]",0.5597458793928657,0.0498986403065882,0.5,"[[0.7797365080783472, 0.7482234797510044, 0.8689193333372828]]",0.7989597737222115,0.0511143993067903,0.7228986819501392,"[[0.7498133271187609, 0.6259050117574914, 0.8818049130628559]]",0.7525077506463694,0.1044880688902914,0.7200192548894644,"[[0.7421761120705297, 0.7252339033011777, 0.8359543911966566]]",0.767788135522788,0.0486945473945663,0.7794188269432776,"[[0.6148964473334787, 0.5933483205874439, 0.5]]",0.5694149226403075,0.0498658470661414,0.5,"[[0.7529778509223485, 0.7077915358376852, 0.8372261457332545]]",0.7659985108310962,0.0536375661146116,0.7846682999240405,0.7436650381077037,0.0852055781898053,0.7475647841521267
3,0.8,[0.0031719785866746435],[3099.0546635210435],[0.0031421734798556065],15,2,500,"[[0.7779329608938548, 0.6984240687679083, 0.6498559077809798]]",0.7087376458142476,0.0527933726089278,0.7138408304498269,"[[0.5, 0.45558739255014324, 0.6087896253602305]]",0.5214590059701246,0.064358877851303,0.6813148788927336,"[[0.7793296089385475, 0.6984240687679083, 0.6455331412103746]]",0.7077622729722769,0.0550198463432718,0.7145328719723183,"[[0.9122136023956751, 0.669550857255727, 0.6406265443782799]]",0.7191096226766415,0.0916696428216994,0.7304498269896194,"[[0.09243476081172243, 0.1103069615433818, 0.09706806380259961]]",0.0999365953859012,0.0075729890545931,0.1136524294299048,"[[0.09243476081172243, 0.1103069615433818, 0.09706806380259961]]",0.0999365953859012,0.0075729890545931,0.1262282729402647,"[[0.09232585495617283, 0.1093531060585189, 0.09679415638409475]]",0.0994910391329288,0.007208176026629,0.1133205824324643,"[[0.10434867308912087, 0.10807430887373455, 0.09856788263158595]]",0.1036636215314804,0.0039110958994312,0.1191852509045047,"[[0.8203278925733771, 0.6888196860355125, 0.682820095354931]]",0.7306558913212736,0.0634549689596308,0.7125466943947566,"[[0.5, 0.46567305369880707, 0.5908762027882527]]",0.5188497521623533,0.0528232398534022,0.6986072938320674,"[[0.8182015812247029, 0.6888196860355125, 0.6817117534105259]]",0.7295776735569137,0.0627337146691311,0.712681124128735,"[[0.9178661914733743, 0.6446778143865155, 0.678712122308751]]",0.7470853760562136,0.1215569789984629,0.7332810058472101,"[[0.805561898374801, 0.7064956850127296, 0.6467741002972998]]",0.7196105612282769,0.0654848134465142,0.7184602717668399,"[[0.5, 0.46539344753452555, 0.6091680542380917]]",0.5248538339242058,0.0612702710876995,0.6907055060804104,"[[0.8062729535122759, 0.7064956850127296, 0.6423578027645311]]",0.7183754804298456,0.0674432666049936,0.7192657638686866,0.7407970013432273,0.1217836669567218,0.7383765882591439
4,0.2,[0.0020645866769860286],[3524.977528884799],[0.0035412505921677776],15,2,500,"[[0.6946959896507116, 0.5921237693389592, 0.708507670850767]]",0.6651091432801458,0.0519155676163655,0.698948948948949,"[[0.5316946959896507, 0.6174402250351617, 0.5]]",0.5497116403416041,0.0496085296893816,0.5754504504504504,"[[0.7011642949547219, 0.6118143459915611, 0.7168758716875872]]",0.6766181708779566,0.0462699701086867,0.6963213213213213,"[[0.5348094000688345, 0.6569878063382194, 0.8347341251028731]]",0.6751306549151539,0.1210276296312949,0.6475225225225225,"[[0.10512531944152638, 0.09246750656598696, 0.09549725982636023]]",0.0976966952779578,0.0053964923130586,0.1033418932669279,"[[0.10512531944152638, 0.09246750656598696, 0.09549725982636023]]",0.0976966952779578,0.0053964923130586,0.1189207164397814,"[[0.10373188113492716, 0.09187505443957253, 0.09397353636044217]]",0.0965268239783139,0.0051662715805244,0.1031006376509484,"[[0.10712949443926673, 0.09099988667258825, 0.10399784431888846]]",0.1007090751435811,0.0069834596818989,0.1136098986881062,"[[0.7762152874548534, 0.5946975940434761, 0.7224643095606639]]",0.6977923970196644,0.076130132915816,0.7293324262039801,"[[0.627292668620244, 0.63541720085726, 0.5]]",0.5875699564925013,0.062010079643509,0.538411328667445,"[[0.7757974286068434, 0.6294240148236915, 0.7242403941266039]]",0.7098206125190463,0.0606203576468097,0.7082983908258574,"[[0.6098821862171068, 0.6729197726350927, 0.8685980985926268]]",0.7171333524816088,0.110150234713648,0.628734974107486,"[[0.6883151727141967, 0.5973385433161866, 0.7134505026710173]]",0.6663680729004668,0.0498782061223792,0.782306976837524,"[[0.5216366029466702, 0.6135582344761691, 0.5]]",0.5450649458076131,0.0492309766389927,0.6019791871254545,"[[0.6965702678255659, 0.6134348842434748, 0.7220615816062735]]",0.6773555778917714,0.0463813401914042,0.7836214476119614,0.6755104438366423,0.1231422652777656,0.7207009590867389
5,0.2,[0.00992804886198145],[3651.9134107638774],[0.005322760686609812],15,2,100,"[[0.7359625668449198, 0.702075702075702, 0.8832335329341318]]",0.7737572672849179,0.0786378596535822,0.597856477166822,"[[0.6951871657754011, 0.6556776556776557, 0.6988023952095809]]",0.6832224055542125,0.0195329193122277,0.5191053122087604,"[[0.75, 0.6776556776556777, 0.8838323353293414]]",0.7704960043283396,0.0854098674527374,0.570363466915191,"[[0.7871385351543185, 0.7592257934041439, 0.8979062645286712]]",0.7810119061792187,0.0791078844089072,0.5549860205032618,"[[0.08815425544060104, 0.12067705117260467, 0.09234522992954379]]",0.1003921788475831,0.014445255293084,0.0910634076608885,"[[0.08815425544060104, 0.12067705117260467, 0.09234522992954379]]",0.1003921788475831,0.014445255293084,0.0920930561609151,"[[0.0872833675914318, 0.11395578838349456, 0.08460942349538028]]",0.0952828598234355,0.0132488034683388,0.0890505130312299,"[[0.08930500594265156, 0.1252178826218367, 0.11218230386688781]]",0.1089017308104586,0.0148437483479862,0.091580940564553,"[[0.8310977305926915, 0.6773195849902397, 0.9051736800143634]]",0.8045303318657648,0.0948990416570937,0.6427148102981535,"[[0.7808812051417184, 0.6377668828663018, 0.717615505458893]]",0.712087864488971,0.0585567725721925,0.5470591993052191,"[[0.8456446215040635, 0.6620695889487452, 0.9052881168148978]]",0.8043341090892356,0.1035011494342819,0.6149733764866354,"[[0.8224333958759998, 0.7188415753424165, 0.9036438090867738]]",0.8149729267683967,0.075629404989969,0.592979461460661,"[[0.7921564927858016, 0.7501379552782906, 0.8837111626784026]]",0.808668536914165,0.0557669922371115,0.597586676704097,"[[0.765402064935685, 0.6914490588117589, 0.7053424304595748]]",0.7207311847356728,0.0320922846108838,0.5214655486229919,"[[0.803007103944649, 0.73198711967234, 0.8831253102369446]]",0.806039844617978,0.0617391626051592,0.572286501859823,0.8147568643623778,0.0598896059374455,0.5570488209047182
6,0.2,[0.002762411380732027],[2240.6770382360505],[0.007544528375422255],15,2,1000,"[[0.6644970414201183, 0.665374677002584, 0.6894923258559622]]",0.6731213480928883,0.0115815728852115,0.8203684749232344,"[[0.6059171597633136, 0.6724806201550387, 0.5861865407319953]]",0.6215281068834492,0.0369183178414039,0.8490276356192425,"[[0.6751479289940828, 0.6679586563307494, 0.6942148760330579]]",0.6791071537859633,0.011078623981297,0.8203684749232344,"[[0.6752332742359693, 0.6887887106607138, 0.6921490126138616]]",0.6797990358244058,0.0031476252908419,0.8254861821903787,"[[0.10713847539702342, 0.10147735394640417, 0.11232784609007777]]",0.1069812251445018,0.0044310902098256,0.0734491787954602,"[[0.10713847539702342, 0.10147735394640417, 0.11232784609007777]]",0.1069812251445018,0.0044310902098256,0.0945491434675256,"[[0.10595576882316363, 0.10349175877132775, 0.11219816041358585]]",0.1072152293360257,0.0036642450770177,0.0759506362763505,"[[0.10811213137657184, 0.11246272931176034, 0.11842286076889046]]",0.1129992404857408,0.004226398650566,0.087423962586373,"[[0.6725171666882566, 0.646865506449135, 0.7278996494781822]]",0.6824274408718579,0.0338161030172375,0.8745524792486862,"[[0.621322294418599, 0.6851604410148568, 0.6189376998906135]]",0.6418068117746898,0.0306710987629084,0.8642965695658412,"[[0.6861346690952157, 0.6531376595287369, 0.7193148263038521]]",0.6861957183092683,0.0270167496916296,0.8745524792486862,"[[0.7086117183000361, 0.67024632960122, 0.6726442297162876]]",0.6838340925391811,0.0175477545571923,0.8664805861656992,"[[0.6676063459391812, 0.672093671102764, 0.6829513817058217]]",0.6742171329159223,0.0064420156381795,0.8816511985194581,"[[0.6050111022553585, 0.6707737844905076, 0.5978696374944518]]",0.624551508080106,0.0328138614729862,0.8685828534747719,"[[0.6778870827050375, 0.6739355749598428, 0.6969307726253924]]",0.6829178100967574,0.0100391215580772,0.8816511985194581,0.6853903325035149,0.0073119665294556,0.8851555773331911
7,0.8,[0.006446908683216491],[2160.7476233029],[0.0009052459327839789],5,2,100,"[[0.6776649746192893, 0.7363523573200993, 0.7333804809052333]]",0.7157992709482074,0.0269923005038178,0.7033968516984258,"[[0.5615482233502538, 0.5465260545905707, 0.5650636492220651]]",0.5577126423876299,0.0080392522318531,0.723695111847556,"[[0.6859137055837563, 0.6978908188585607, 0.7602545968882602]]",0.7146863737768592,0.0325904897042802,0.7141673570836785,"[[0.5738634331084085, 0.6481455985256527, 0.758968532817389]]",0.6592418646268149,0.0668936746588738,0.6818558409279205,"[[0.09900868028417846, 0.1014693107669865, 0.09896002126797462]]",0.0998126707730465,0.00117158979656,0.0979770311266889,"[[0.09900868028417846, 0.1014693107669865, 0.09896002126797462]]",0.0998126707730465,0.00117158979656,0.1105520092746365,"[[0.09397769502518044, 0.09984274181948236, 0.08877440696752187]]",0.0941982812707282,0.0045213200740177,0.0973323865033333,"[[0.10701901746932711, 0.10276496582872896, 0.11024381735537613]]",0.106675933551144,0.0030628510651129,0.1006563701634472,"[[0.6800620779695107, 0.7765669976231682, nan]]",,,0.7502364579554709,"[[0.5622109477425575, 0.5923273513896737, nan]]",,,0.786470120778101,"[[0.676781664949712, 0.6959872416782762, nan]]",,,0.7328180330074192,"[[0.5802366003099371, 0.6688325058453215, nan]]",,,0.737570874653816,"[[0.6653060252983628, 0.7445586128222071, 0.7732032634227226]]",0.7276893005144309,0.0456353939541022,0.7868578084572043,"[[0.5579277106625048, 0.5446522592810559, 0.5274450383149915]]",0.5433416694195173,0.0124789572935225,0.8331172248314088,"[[0.6763663574493013, 0.7105186824023628, 0.7954731539679827]]",0.7274527312732156,0.0500777978256896,0.699316737471423,0.66032585481715,0.0760580632020161,0.8035641577227413
8,0.3,[0.00039163717749543243],[3251.4406509032688],[0.0015009586149439943],10,2,100,"[[0.8001336898395722, 0.7154471544715447, 0.6798418972332015]]",0.7318075805147729,0.05045312344048,0.7431156569630213,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.6312267036488857,0.0431024594708647,0.6801730920535012,"[[0.8001336898395722, 0.7140921409214093, 0.6824769433465085]]",0.7322342580358301,0.0497167296382098,0.7391817466561762,"[[0.7851694654664237, 0.7871367487825907, 0.6928312581087698]]",0.7085554408787521,0.0503222667943652,0.7619984264358772,"[[0.0794658394631154, 0.1016920491707423, 0.09981109446863193]]",0.0936563277008298,0.0100635303602126,0.0821892782067387,"[[0.0794658394631154, 0.1016920491707423, 0.09981109446863193]]",0.0936563277008298,0.0100635303602126,0.1071530577168126,"[[0.08057511927398894, 0.10219165960525384, 0.09912415864322455]]",0.0939636458408224,0.0095495854451425,0.0826400348557274,"[[0.09968450386924982, 0.11130400118577544, 0.09772635305720705]]",0.1029049527040774,0.0059925843172547,0.0944831083687363,"[[0.8502552227746243, 0.7538258426181712, 0.6887368183523268]]",0.7642726279150408,0.0663520923260167,0.78445783097212,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.6584312504086517,0.0317623539377125,0.7210418295478352,"[[0.8502552227746241, 0.753466281613728, 0.6910261705788944]]",0.7649158916557489,0.0655072155993692,0.7810308786612269,"[[0.8286916748707723, 0.7053505167172156, 0.6835399781231724]]",0.7391940565703868,0.0639077077225259,0.8183746455523127,"[[0.8010738401270068, 0.8224939758329938, 0.6836990380178534]]",0.7690889513259513,0.0610097452570165,0.7550803301740766,"[[0.6788676141486062, 0.697642436497502, 0.6558788979733696]]",0.6774629828731594,0.0170787983433485,0.6499022114714063,"[[0.8010738401270068, 0.8216561874734535, 0.6864846170859513]]",0.7697382148954706,0.059465841268997,0.751221643288343,0.7550458241192614,0.0439996721110273,0.76796613595522
9,0.2,[0.014944199238013491],[3145.6106912507935],[0.012757509066675934],15,2,500,"[[0.8048029556650246, 0.5957583547557841, 0.7192866578599736]]",0.7066159894269274,0.0858111129991566,0.676038062283737,"[[0.6754926108374384, 0.5919023136246787, 0.6935270805812418]]",0.6536406683477862,0.0442721045179485,0.6769031141868512,"[[0.7586206896551724, 0.6227506426735219, 0.7595772787318362]]",0.7136495370201769,0.0642764109698555,0.7530276816608996,"[[0.7290137940752525, 0.5731108991177817, 0.7378611856841941]]",0.6687344605994164,0.0800980863082876,0.7482698961937716,"[[0.1107910047877405, 0.1025601821083198, 0.10571981448197242]]",0.1063570004593442,0.0033902915285007,0.1102729668205356,"[[0.1107910047877405, 0.1025601821083198, 0.10571981448197242]]",0.1063570004593442,0.0033902915285007,0.1104189673739353,"[[0.10198119122057538, 0.10015211477425719, 0.10019235049704833]]",0.1007752188306269,0.0008529094451095,0.104665630367517,"[[0.11415189194774794, 0.10527084947251127, 0.10676475620418611]]",0.1087291658748151,0.0038826458227421,0.105575600140233,"[[0.8013138542554071, 0.6396257831098275, 0.6806525266454262]]",0.7071973880035536,0.0686257013860266,0.6699167094678132,"[[0.6870971516511863, 0.6214391191636487, 0.6538086083910192]]",0.6541149597352848,0.026805654824971,0.69931627034725,"[[0.7188654223873849, 0.6732320446503267, 0.7345593231183707]]",0.7088855967186941,0.0260122594348299,0.7574445807427269,"[[0.6994430151380432, 0.5799297712288635, 0.6683471856647794]]",0.6492399906772287,0.0506271833612667,0.7564593059539091,"[[0.8146247568524136, 0.6386682459635726, 0.7165967700701231]]",0.7232965909620365,0.0719899952818977,0.784388694247884,"[[0.6911599757397334, 0.5987950107465196, 0.6905694800570842]]",0.6601748221811125,0.0434027503744285,0.7734923815093213,"[[0.7730887636305203, 0.6635232255244974, 0.7556702245964173]]",0.7307607379171449,0.0480729562233918,0.8357323435654688,0.6799952929590761,0.0756649382461308,0.8328600070203243
10,0.8,[0.003246579182075006],[4193.118255053257],[0.004058223977593757],15,2,500,"[[0.8184796854521625, 0.7846590909090909, 0.6467455621301775]]",0.7499614461638103,0.0742791904077445,0.7419191919191919,"[[0.6369593709043251, 0.5, 0.5615384615384615]]",0.5661659441475956,0.0560090916197272,0.6575757575757576,"[[0.8184796854521625, 0.7857954545454545, 0.6467455621301775]]",0.7503402340425982,0.0744578483616617,0.73989898989899,"[[0.830831346871506, 0.8296284454822401, 0.5105433233288106]]",0.6968049931132146,0.1344612811727764,0.7444444444444445,"[[0.07940157168133948, 0.11531923082313222, 0.10945652954347132]]",0.101392444015981,0.0157330155215608,0.076709568566989,"[[0.07940157168133948, 0.11531923082313222, 0.10945652954347132]]",0.101392444015981,0.0157330155215608,0.0950438458758214,"[[0.08026246038234398, 0.11501947054061916, 0.10876399552535823]]",0.1013486421494404,0.0151273050706972,0.0768640909076438,"[[0.10188296208627524, 0.12193898671480656, 0.1107086166752895]]",0.1115101884921237,0.0082074323637469,0.0850278143353598,"[[0.8935404692799472, 0.8230850728971184, 0.6542166135834266]]",0.7902807185868307,0.1004193581027364,0.745531196436873,"[[0.7212195784841753, 0.5, 0.5656832904794465]]",0.5956342896545407,0.0927625004689176,0.6780949998826112,"[[0.8935404692799472, 0.8226686577233798, 0.6542166135834266]]",0.7901419135289179,0.1003741958615567,0.7429408750089824,"[[0.8541164098651506, 0.8292985195386734, 0.4940619536058063]]",0.7258256276698768,0.1641945642255385,0.7585123229564682,"[[0.874298412197153, 0.7767030601537713, 0.6431640252771769]]",0.7647218325427003,0.0947397789228281,0.7971867414773646,"[[0.7546924753835882, 0.5, 0.55759731382938]]",0.6040965964043227,0.1090525919430412,0.6111250192697181,"[[0.874298412197153, 0.7792061552795592, 0.6431640252771769]]",0.7655561975846297,0.0948525775893775,0.7955273518813126,0.7236677052275189,0.1507024958048537,0.7991231774121543
