time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.4,-0.2,0.5333333333333333,0.3333333333333333,25,1,random_forest
41.1,0.0,0.3653846153846153,0.3653846153846153,50,1,random_forest
54.2,,0.3703703703703703,,75,1,random_forest
34.4,0.4,-0.0533333333333333,0.3466666666666667,25,1,LASSO
41.1,0.0,-0.2307692307692307,-0.2307692307692307,50,1,LASSO
54.2,,-0.3333333333333333,,75,1,LASSO
34.4,0.0,0.0,0.0,25,1,RIDGE
41.1,0.0,0.0,0.0,50,1,RIDGE
54.2,,0.0,,75,1,RIDGE
34.4,0.4,-0.0533333333333333,0.3466666666666667,25,1,ELASTIC_NET
41.1,0.0,0.3076923076923077,0.3076923076923077,50,1,ELASTIC_NET
54.2,,-0.3703703703703703,,75,1,ELASTIC_NET
33.6,0.0,0.3076923076923077,0.3076923076923077,25,2,random_forest
44.5,0.0,0.4230769230769231,0.4230769230769231,50,2,random_forest
54.6,,0.3928571428571428,,75,2,random_forest
33.6,-1.0,0.6282051282051282,-0.3717948717948718,25,2,LASSO
44.5,0.0,0.5384615384615384,0.5384615384615384,50,2,LASSO
54.6,,0.5357142857142857,,75,2,LASSO
33.6,0.0,0.0,0.0,25,2,RIDGE
44.5,0.0,0.0,0.0,50,2,RIDGE
54.6,,0.0,,75,2,RIDGE
33.6,-1.0,0.5512820512820513,-0.4487179487179487,25,2,ELASTIC_NET
44.5,0.0,-0.1153846153846153,-0.1153846153846153,50,2,ELASTIC_NET
54.6,,-0.1428571428571428,,75,2,ELASTIC_NET
34.6,-0.25,0.3733333333333333,0.1233333333333333,25,3,random_forest
42.6,0.0,0.4038461538461538,0.4038461538461538,50,3,random_forest
54.6,,0.2962962962962963,,75,3,random_forest
34.6,0.25,0.0133333333333333,0.2633333333333333,25,3,LASSO
42.6,1.0,0.0192307692307692,1.0192307692307692,50,3,LASSO
54.6,,-0.3703703703703703,,75,3,LASSO
34.6,0.0,0.0,0.0,25,3,RIDGE
42.6,0.0,0.0,0.0,50,3,RIDGE
54.6,,0.0,,75,3,RIDGE
34.6,0.0,0.04,0.04,25,3,ELASTIC_NET
42.6,0.0,0.3461538461538461,0.3461538461538461,50,3,ELASTIC_NET
54.6,,0.2592592592592592,,75,3,ELASTIC_NET
34.7,0.0,0.3466666666666667,0.3466666666666667,25,4,random_forest
46.9,0.0,0.3333333333333333,0.3333333333333333,50,4,random_forest
57.4,0.0,0.1923076923076923,0.1923076923076923,75,4,random_forest
34.7,0.0,-0.2,-0.2,25,4,LASSO
46.9,0.0,-0.1372549019607843,-0.1372549019607843,50,4,LASSO
57.4,0.0,-0.2307692307692307,-0.2307692307692307,75,4,LASSO
34.7,0.0,0.0,0.0,25,4,RIDGE
46.9,0.0,0.0,0.0,50,4,RIDGE
57.4,0.0,0.0,0.0,75,4,RIDGE
34.7,0.0,-0.2,-0.2,25,4,ELASTIC_NET
46.9,0.0,-0.1176470588235294,-0.1176470588235294,50,4,ELASTIC_NET
57.4,0.0,-0.1923076923076923,-0.1923076923076923,75,4,ELASTIC_NET
32.9,0.6666666666666666,-0.2631578947368421,0.4035087719298245,25,5,random_forest
41.8,0.0,0.3461538461538461,0.3461538461538461,50,5,random_forest
55.1,,0.2592592592592592,,75,5,random_forest
32.9,1.0,-0.75,0.25,25,5,LASSO
41.8,0.0,-0.2307692307692307,-0.2307692307692307,50,5,LASSO
55.1,,-0.4074074074074074,,75,5,LASSO
32.9,0.0,0.0,0.0,25,5,RIDGE
41.8,0.0,0.0,0.0,50,5,RIDGE
55.1,,0.0,,75,5,RIDGE
32.9,1.0,-0.75,0.25,25,5,ELASTIC_NET
41.8,0.0,-0.2307692307692307,-0.2307692307692307,50,5,ELASTIC_NET
55.1,,-0.4074074074074074,,75,5,ELASTIC_NET
33.6,0.0,0.3506493506493506,0.3506493506493506,25,6,random_forest
45.3,0.0,0.4901960784313725,0.4901960784313725,50,6,random_forest
