time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,0.3446327683615819,0.3446327683615819,25,1,random_forest
46.95,0.0,0.361344537815126,0.361344537815126,50,1,random_forest
59.4,0.0,0.25,0.25,75,1,random_forest
34.45,0.0,0.3446327683615819,0.3446327683615819,25,1,LASSO
46.95,0.0,0.361344537815126,0.361344537815126,50,1,LASSO
59.4,0.0,0.2,0.2,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.0,0.3502824858757062,0.3502824858757062,25,1,ELASTIC_NET
46.95,0.0,0.3445378151260504,0.3445378151260504,50,1,ELASTIC_NET
59.4,0.0,0.2,0.2,75,1,ELASTIC_NET
34.45,0.3333333333333333,0.28,0.6133333333333333,25,2,random_forest
45.3,0.0,0.3032786885245901,0.3032786885245901,50,2,random_forest
59.25,0.0,0.1833333333333333,0.1833333333333333,75,2,random_forest
34.45,0.1666666666666666,0.6171428571428571,0.7838095238095237,25,2,LASSO
45.3,0.0,0.4918032786885246,0.4918032786885246,50,2,LASSO
59.25,0.0,0.4666666666666667,0.4666666666666667,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.1666666666666666,0.5714285714285714,0.738095238095238,25,2,ELASTIC_NET
45.3,0.0,0.4344262295081967,0.4344262295081967,50,2,ELASTIC_NET
59.25,0.0,0.3666666666666666,0.3666666666666666,75,2,ELASTIC_NET
34.4,0.0,0.5363128491620112,0.5363128491620112,25,3,random_forest
45.8,0.0,0.5083333333333333,0.5083333333333333,50,3,random_forest
59.25,0.0,0.4166666666666667,0.4166666666666667,75,3,random_forest
34.4,0.25,0.6368715083798883,0.8868715083798883,25,3,LASSO
45.8,0.0,0.6083333333333333,0.6083333333333333,50,3,LASSO
59.25,0.0,0.4666666666666667,0.4666666666666667,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,0.3351955307262569,0.585195530726257,25,3,ELASTIC_NET
45.8,0.0,0.35,0.35,50,3,ELASTIC_NET
59.25,0.0,0.2333333333333333,0.2333333333333333,75,3,ELASTIC_NET
34.4,0.0,0.5310734463276836,0.5310734463276836,25,4,random_forest
44.4,,0.5365853658536586,,50,4,random_forest
58.175,,0.4590163934426229,,75,4,random_forest
34.4,0.0,0.5932203389830508,0.5932203389830508,25,4,LASSO
44.4,,0.5853658536585366,,50,4,LASSO
58.175,,0.5409836065573771,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.0,0.5423728813559322,0.5423728813559322,25,4,ELASTIC_NET
44.4,,0.4146341463414634,,50,4,ELASTIC_NET
58.175,,0.3770491803278688,,75,4,ELASTIC_NET
35.05,0.0,0.4034090909090909,0.4034090909090909,25,5,random_forest
45.8,0.0,0.3801652892561983,0.3801652892561983,50,5,random_forest
58.5,0.0,0.25,0.25,75,5,random_forest
35.05,0.0,0.6193181818181818,0.6193181818181818,25,5,LASSO
45.8,0.0,0.5785123966942148,0.5785123966942148,50,5,LASSO
58.5,0.0,0.2833333333333333,0.2833333333333333,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.2,0.5511363636363636,0.7511363636363637,25,5,ELASTIC_NET
45.8,0.0,0.5454545454545454,0.5454545454545454,50,5,ELASTIC_NET
58.5,0.0,0.25,0.25,75,5,ELASTIC_NET
34.625,0.0,0.375,0.375,25,6,random_forest
45.2,,0.371900826446281,,50,6,random_forest
58.975,,0.3114754098360656,,75,6,random_forest
34.625,0.2,0.3579545454545454,0.5579545454545455,25,6,LASSO
45.2,,0.3140495867768595,,50,6,LASSO
58.975,,0.2459016393442623,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.0,0.2329545454545454,0.2329545454545454,25,6,ELASTIC_NET
45.2,,0.3057851239669421,,50,6,ELASTIC_NET
58.975,,0.2622950819672131,,75,6,ELASTIC_NET
34.675,0.0,0.3107344632768362,0.3107344632768362,25,7,random_forest
45.2,0.0,0.3083333333333333,0.3083333333333333,50,7,random_forest
59.075,,0.180327868852459,,75,7,random_forest
34.675,0.0,0.4745762711864407,0.4745762711864407,25,7,LASSO
45.2,0.0,0.4583333333333333,0.4583333333333333,50,7,LASSO
59.075,,0.4098360655737705,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,0.0,0.480225988700565,0.480225988700565,25,7,ELASTIC_NET
45.2,0.0,0.4583333333333333,0.4583333333333333,50,7,ELASTIC_NET
59.075,,0.4098360655737705,,75,7,ELASTIC_NET
34.6,0.25,0.435754189944134,0.6857541899441341,25,8,random_forest
45.3,1.0,0.4552845528455284,1.4552845528455285,50,8,random_forest
59.1,1.0,0.2622950819672131,1.2622950819672132,75,8,random_forest
34.6,0.25,0.3798882681564245,0.6298882681564246,25,8,LASSO
45.3,0.0,0.3821138211382114,0.3821138211382114,50,8,LASSO
59.1,0.0,0.2622950819672131,0.2622950819672131,75,8,LASSO
34.6,0.0,0.0,0.0,25,8,RIDGE
45.3,0.0,0.0,0.0,50,8,RIDGE
59.1,0.0,0.0,0.0,75,8,RIDGE
34.6,0.25,0.3798882681564245,0.6298882681564246,25,8,ELASTIC_NET
45.3,0.0,0.3821138211382114,0.3821138211382114,50,8,ELASTIC_NET
59.1,0.0,0.2622950819672131,0.2622950819672131,75,8,ELASTIC_NET
34.625,0.0,0.2571428571428571,0.2571428571428571,25,9,random_forest
45.3,0.0,0.4098360655737705,0.4098360655737705,50,9,random_forest
57.4,,0.4032258064516129,,75,9,random_forest
34.625,0.1666666666666666,0.48,0.6466666666666666,25,9,LASSO
45.3,0.0,0.4344262295081967,0.4344262295081967,50,9,LASSO
57.4,,0.3709677419354839,,75,9,LASSO
34.625,0.0,0.0,0.0,25,9,RIDGE
45.3,0.0,0.0,0.0,50,9,RIDGE
57.4,,0.0,,75,9,RIDGE
34.625,0.0,0.2,0.2,25,9,ELASTIC_NET
45.3,0.0,-0.2131147540983606,-0.2131147540983606,50,9,ELASTIC_NET
57.4,,-0.2741935483870967,,75,9,ELASTIC_NET
34.6,0.3333333333333333,0.4375,0.7708333333333333,25,10,random_forest
43.25,0.0,0.4957983193277311,0.4957983193277311,50,10,random_forest
55.675,0.0,0.4166666666666667,0.4166666666666667,75,10,random_forest
34.6,0.1666666666666666,0.3352272727272727,0.5018939393939393,25,10,LASSO
43.25,0.0,0.3193277310924369,0.3193277310924369,50,10,LASSO
55.675,0.0,0.3166666666666666,0.3166666666666666,75,10,LASSO
34.6,0.0,0.0,0.0,25,10,RIDGE
43.25,0.0,0.0,0.0,50,10,RIDGE
55.675,0.0,0.0,0.0,75,10,RIDGE
34.6,0.1666666666666666,0.4318181818181818,0.5984848484848485,25,10,ELASTIC_NET
43.25,0.0,0.4369747899159664,0.4369747899159664,50,10,ELASTIC_NET
55.675,0.0,0.4,0.4,75,10,ELASTIC_NET
34.6,0.3333333333333333,0.4602272727272727,0.793560606060606,25,11,random_forest
45.6,0.0,0.5333333333333333,0.5333333333333333,50,11,random_forest
58.975,0.0,0.4166666666666667,0.4166666666666667,75,11,random_forest
34.6,0.0,0.25,0.25,25,11,LASSO
45.6,0.0,0.2666666666666666,0.2666666666666666,50,11,LASSO
58.975,0.0,0.1166666666666666,0.1166666666666666,75,11,LASSO
34.6,0.0,0.0,0.0,25,11,RIDGE
45.6,0.0,0.0,0.0,50,11,RIDGE
58.975,0.0,0.0,0.0,75,11,RIDGE
34.6,0.0,0.2897727272727273,0.2897727272727273,25,11,ELASTIC_NET
45.6,0.0,0.2,0.2,50,11,ELASTIC_NET
58.975,0.0,0.05,0.05,75,11,ELASTIC_NET
32.025,-0.3333333333333333,0.5116279069767442,0.1782945736434109,25,12,random_forest
45.35,0.0,0.4201680672268907,0.4201680672268907,50,12,random_forest
58.075,0.0,0.35,0.35,75,12,random_forest
32.025,-0.2222222222222222,0.5406976744186046,0.3184754521963824,25,12,LASSO
45.35,0.0,0.2941176470588235,0.2941176470588235,50,12,LASSO
58.075,0.0,0.2833333333333333,0.2833333333333333,75,12,LASSO
32.025,0.0,0.0,0.0,25,12,RIDGE
45.35,0.0,0.0,0.0,50,12,RIDGE
58.075,0.0,0.0,0.0,75,12,RIDGE
32.025,-0.2222222222222222,0.5406976744186046,0.3184754521963824,25,12,ELASTIC_NET
45.35,0.0,0.361344537815126,0.361344537815126,50,12,ELASTIC_NET
58.075,0.0,0.45,0.45,75,12,ELASTIC_NET
34.675,0.2857142857142857,0.3103448275862069,0.5960591133004927,25,13,random_forest
45.6,0.0,0.1932773109243697,0.1932773109243697,50,13,random_forest
59.075,0.0,0.1166666666666666,0.1166666666666666,75,13,random_forest
34.675,0.1428571428571428,0.396551724137931,0.5394088669950738,25,13,LASSO
45.6,0.0,0.4117647058823529,0.4117647058823529,50,13,LASSO
59.075,0.0,0.3166666666666666,0.3166666666666666,75,13,LASSO
34.675,0.0,0.0,0.0,25,13,RIDGE
45.6,0.0,0.0,0.0,50,13,RIDGE
59.075,0.0,0.0,0.0,75,13,RIDGE
34.675,0.1428571428571428,0.396551724137931,0.5394088669950738,25,13,ELASTIC_NET
45.6,0.0,0.4201680672268907,0.4201680672268907,50,13,ELASTIC_NET
59.075,0.0,0.3166666666666666,0.3166666666666666,75,13,ELASTIC_NET
34.4,0.0,0.4147727272727273,0.4147727272727273,25,14,random_forest
44.55,0.0,0.4705882352941176,0.4705882352941176,50,14,random_forest
56.975,0.0,0.4,0.4,75,14,random_forest
34.4,0.2857142857142857,0.4375,0.7232142857142857,25,14,LASSO
44.55,0.5,0.3865546218487395,0.8865546218487395,50,14,LASSO
56.975,1.0,0.2333333333333333,1.2333333333333334,75,14,LASSO
34.4,0.0,0.0,0.0,25,14,RIDGE
44.55,0.0,0.0,0.0,50,14,RIDGE
56.975,0.0,0.0,0.0,75,14,RIDGE
34.4,0.2857142857142857,0.3465909090909091,0.6323051948051948,25,14,ELASTIC_NET
44.55,0.5,0.3025210084033613,0.8025210084033614,50,14,ELASTIC_NET
56.975,0.0,0.2833333333333333,0.2833333333333333,75,14,ELASTIC_NET
34.45,0.2,0.25,0.45,25,15,random_forest
45.05,0.5,0.2521008403361344,0.7521008403361344,50,15,random_forest
57.775,1.0,0.0833333333333333,1.0833333333333333,75,15,random_forest
34.45,0.2,0.3181818181818182,0.5181818181818182,25,15,LASSO
45.05,0.0,0.2941176470588235,0.2941176470588235,50,15,LASSO
57.775,0.0,0.2,0.2,75,15,LASSO
34.45,0.0,0.0,0.0,25,15,RIDGE
45.05,0.0,0.0,0.0,50,15,RIDGE
57.775,0.0,0.0,0.0,75,15,RIDGE
34.45,0.2,0.3181818181818182,0.5181818181818182,25,15,ELASTIC_NET
45.05,0.0,0.3781512605042016,0.3781512605042016,50,15,ELASTIC_NET
57.775,0.0,0.2833333333333333,0.2833333333333333,75,15,ELASTIC_NET
34.4,0.125,0.4171428571428571,0.5421428571428571,25,16,random_forest
