time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,-0.25,0.2711864406779661,0.0211864406779661,25,1,random_forest
46.95,-0.5,0.2436974789915966,-0.2563025210084033,50,1,random_forest
59.4,0.0,-0.0666666666666666,-0.0666666666666666,75,1,random_forest
34.45,0.0,0.1977401129943503,0.1977401129943503,25,1,LASSO
46.95,0.0,0.2184873949579832,0.2184873949579832,50,1,LASSO
59.4,0.0,0.0666666666666666,0.0666666666666666,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.0,-0.2259887005649717,-0.2259887005649717,25,1,ELASTIC_NET
46.95,0.0,-0.2521008403361344,-0.2521008403361344,50,1,ELASTIC_NET
59.4,0.0,-0.35,-0.35,75,1,ELASTIC_NET
34.45,0.3333333333333333,0.4514285714285714,0.7847619047619048,25,2,random_forest
45.3,0.0,0.5737704918032787,0.5737704918032787,50,2,random_forest
59.25,0.0,0.3666666666666666,0.3666666666666666,75,2,random_forest
34.45,0.0,0.2342857142857143,0.2342857142857143,25,2,LASSO
45.3,0.0,0.2704918032786885,0.2704918032786885,50,2,LASSO
59.25,0.0,0.1,0.1,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.2342857142857143,0.2342857142857143,25,2,ELASTIC_NET
45.3,0.0,0.040983606557377,0.040983606557377,50,2,ELASTIC_NET
59.25,0.0,-0.0666666666666666,-0.0666666666666666,75,2,ELASTIC_NET
34.4,-0.25,0.435754189944134,0.185754189944134,25,3,random_forest
45.8,-0.5,0.4416666666666666,-0.0583333333333333,50,3,random_forest
59.25,0.0,0.1166666666666666,0.1166666666666666,75,3,random_forest
34.4,0.0,0.2290502793296089,0.2290502793296089,25,3,LASSO
45.8,0.0,0.25,0.25,50,3,LASSO
59.25,0.0,0.1166666666666666,0.1166666666666666,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.0,0.2290502793296089,0.2290502793296089,25,3,ELASTIC_NET
45.8,0.0,0.25,0.25,50,3,ELASTIC_NET
59.25,0.0,0.1166666666666666,0.1166666666666666,75,3,ELASTIC_NET
34.4,0.0,0.4632768361581921,0.4632768361581921,25,4,random_forest
44.4,,0.4715447154471545,,50,4,random_forest
58.175,,0.3770491803278688,,75,4,random_forest
