random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.3,[0.0022369721178815403],[2632.495525586823],[0.00490592759662291],10,2,100,"[[0.8189890710382514, 0.5251396648044693, 0.7363523573200993]]",0.6934936977209399,0.1237322833458431,0.6149881046788264,"[[0.5, 0.5593575418994413, 0.5583126550868487]]",0.5392233989954299,0.0277384116185336,0.5400475812846947,"[[0.8258196721311475, 0.5174581005586593, 0.7295285359801489]]",0.6909354362233185,0.128811969467888,0.5927835051546392,"[[0.7932300936415716, 0.653690636008289, 0.7139758358989555]]",0.6806757446674844,0.0639731359429342,0.570578905630452,"[[0.09128930612342603, 0.11530599444714601, 0.09949629411378223]]",0.1020305315614514,0.0099671827878812,0.1027424390040725,"[[0.09128930612342603, 0.11530599444714601, 0.09949629411378223]]",0.1020305315614514,0.0099671827878812,0.1031540251059681,"[[0.09220311191406294, 0.1141413986576214, 0.10074643570754271]]",0.1023636487597423,0.0090289770499505,0.102932998435657,"[[0.0972765344325634, 0.11137263819149747, 0.10678629632563272]]",0.1051451563165645,0.0058705502690793,0.1071948718336354,"[[0.843396783190117, 0.553049292452914, 0.7423900079235133]]",0.7129453611888481,0.1203485403881699,0.5944363970482839,"[[0.5, 0.580461571863634, 0.5659938953193087]]",0.5488184890609809,0.0350215369146438,0.4977505923326145,"[[0.8626486827122951, 0.5404010921588153, 0.7336814865560689]]",0.7122437538090597,0.1324274888215684,0.5702281848230732,"[[0.8269210003048139, 0.6372840428857642, 0.686130097862357]]",0.7167783803509783,0.0803949908033884,0.547720752793179,"[[0.7830877283993665, 0.5918725771037006, 0.7373907541794709]]",0.7041170198941793,0.0815318529419524,0.6022779262525487,"[[0.5, 0.5943396045964255, 0.5607201708784744]]",0.5516865918249666,0.0390401025591161,0.5517402592445513,"[[0.8202334885585206, 0.5852350951872913, 0.7307059400868059]]",0.7120581746108726,0.0968396116944535,0.5822313694336118,0.7202988551829387,0.0571419314152452,0.5678671544538502
2,0.2,[0.007728982367437017],[2052.885564075979],[0.023167016001356476],5,2,1000,"[[0.6364779874213836, 0.6717049576783555, 0.6389593908629442]]",0.6490474453208944,0.0160532756871471,0.6735653809971778,"[[0.6075471698113207, 0.5580411124546554, 0.467005076142132]]",0.544197786136036,0.0582050873257804,0.6053621825023519,"[[0.6427672955974842, 0.6444981862152358, 0.6351522842639594]]",0.6408059220255599,0.0040596970771393,0.6909689557855127,"[[0.6231670235660302, 0.6305631355353082, 0.7299347461039234]]",0.6383107521128909,0.0080248349907106,0.6204139228598307,"[[0.1009440394718216, 0.11603972969294638, 0.11321614471506193]]",0.1100666379599433,0.0065528370656504,0.0824871783925268,"[[0.1009440394718216, 0.11603972969294638, 0.11321614471506193]]",0.1100666379599433,0.0065528370656504,0.0906616114162945,"[[0.10298344634459548, 0.1137883257195881, 0.11548343123961324]]",0.1107517344345989,0.0055364290878972,0.0844803738301907,"[[0.1010886626141723, 0.11280828187374639, 0.11311372087806601]]",0.1090035551219948,0.0055980631057613,0.0862672585502225,"[[0.6771084690666348, 0.6881383408760707, 0.7712640755604702]]",0.7121702951677252,0.0420275360437465,0.6292609962578574,"[[0.585778456663454, 0.5782623968166116, 0.561829338031633]]",0.5752900638372329,0.0100005380960387,0.5416014274943042,"[[0.6760829203137547, 0.677691140477635, 0.7641750024390169]]",0.7059830210768022,0.0411531822517541,0.6474586377272911,"[[0.6985304119086212, 0.6343012785505574, 0.7195722781182688]]",0.6841346561924825,0.0362694929548072,0.6056757957651615,"[[0.6200331018663732, 0.6707095923495834, 0.7262625148003302]]",0.6723350696720956,0.043383204703109,0.7232465190608678,"[[0.5942413618435817, 0.5712893824241795, 0.4171407440939923]]",0.5275571627872512,0.0786364524360933,0.6580117451391697,"[[0.6218403260762231, 0.6443758047435594, 0.7233083649328622]]",0.6631748319175482,0.0435047376298979,0.7384466594287047,0.6612216350684206,0.0486812375849158,0.6689371179587559
3,0.2,[0.006514220045413113],[2510.2733210721694],[0.0195258616016855],5,2,1000,"[[0.6948324022346368, 0.832378223495702, 0.5569164265129684]]",0.6947090174144357,0.1124568415499907,0.5882352941176471,"[[0.6284916201117319, 0.5, 0.4596541786743516]]",0.5293819329286945,0.0719907118766021,0.5404844290657439,"[[0.7039106145251397, 0.8116045845272206, 0.5756484149855908]]",0.6970545380126504,0.0964506188853426,0.613840830449827,"[[0.7735252458650967, 0.7586945304660505, 0.5642479382356549]]",0.6758417327349785,0.0783761245335557,0.5754325259515571,"[[0.10807457198279209, 0.09021934513151444, 0.10628317064332328]]",0.1015256959192099,0.0080281777006815,0.1256460475137111,"[[0.10807457198279209, 0.09021934513151444, 0.10628317064332328]]",0.1015256959192099,0.0080281777006815,0.1262282812697643,"[[0.10723384278879942, 0.09355731553625352, 0.10484591456300413]]",0.101879024296019,0.00596454400686,0.1230507493658942,"[[0.10553145912777784, 0.0854016126351772, 0.11018858485342954]]",0.1003738855387948,0.0107563600389547,0.1308535037907294,"[[0.6876077025853565, 0.8134431925160809, 0.6153803333149823]]",0.7054770761388065,0.0818401284298564,0.5901388144522106,"[[0.6445252762947611, 0.5, 0.4284586765259696]]",0.5243279842735769,0.089870581015233,0.5226137758398245,"[[0.6891063830750546, 0.7967551720669281, 0.6095679118970067]]",0.6984764890129965,0.0767055702299238,0.6151157513477578,"[[0.7214221873139637, 0.7498152938149175, 0.610340410605947]]",0.6938592972449427,0.0601835827185271,0.5709489128483751,"[[0.6899403486901283, 0.8355380863115504, 0.5481920016368315]]",0.6912234788795034,0.117312056532381,0.577066436701685,"[[0.7141980452100999, 0.5, 0.4606627020184202]]",0.55828691574284,0.1114093532038203,0.5445581656995073,"[[0.6948413019426067, 0.814929470689463, 0.572704285620917]]",0.6941583527509957,0.0988891968655544,0.6064067236827103,0.6988225715222675,0.0953510582810753,0.5614668888124209
4,0.8,[0.002806137656146262],[2276.1447683401375],[0.0040329705002539636],15,2,100,"[[0.6921086675291074, 0.5203938115330521, 0.6311018131101813]]",0.6145347640574469,0.0710743661159365,0.6951951951951952,"[[0.5, 0.4578059071729958, 0.5244072524407253]]",0.4940710532045737,0.027511198997803,0.5,"[[0.6972833117723156, 0.5218002812939522, 0.6311018131101813]]",0.616728468725483,0.0723579908882145,0.6959459459459459,"[[0.5703296226028113, 0.48606302855961714, 0.6551063695083792]]",0.5822503727306896,0.0536955412585228,0.6257507507507507,"[[0.09958552565553642, 0.11383501507050534, 0.11502725943149907]]",0.1094826000525136,0.0070151941226909,0.1069656029874645,"[[0.09958552565553642, 0.11383501507050534, 0.11502725943149907]]",0.1094826000525136,0.0070151941226909,0.1189207284210167,"[[0.1000903779783558, 0.11242967085281734, 0.11428764245444807]]",0.108935897095207,0.0063005513490515,0.1076494512470083,"[[0.10558275101818172, 0.09733404270467977, 0.1099838064166306]]",0.1043002000464973,0.005243270813673,0.1126302645024668,"[[0.7845315945394533, 0.5776616578261313, 0.617541595488599]]",0.6599116159513946,0.0896110359812776,0.7535980329026905,"[[0.5, 0.45792728962997564, 0.5376939148725043]]",0.4985404015008266,0.032580939688511,0.5,"[[0.7871700108080947, 0.5780935388030457, 0.617541595488599]]",0.6609350483665798,0.0907027621814781,0.7393443668454623,"[[0.6145909131804242, 0.6080601898183885, 0.6667855004099373]]",0.62981220113625,0.0262796655394,0.6549909575004057,"[[0.6883495148595792, 0.4842618752206399, 0.6372831982398157]]",0.6032981961066782,0.0867147678343214,0.7329257451214005,"[[0.5, 0.4493274740168211, 0.5258113494037501]]",0.4917129411401904,0.0317695064169011,0.5,"[[0.6937355438560685, 0.4871770618616896, 0.6372831982398157]]",0.6060652679858579,0.0871684996542568,0.7399877357671156,0.5704996735569359,0.0690117597117819,0.7131950667291299
5,0.3,[0.0029621795588449145],[4608.192073733504],[0.02747480194163219],10,2,100,"[[0.7212566844919787, 0.6721611721611722, 0.644311377245509]]",0.6792430779662201,0.0318094338122836,0.5219012115563839,"[[0.5929144385026738, 0.5854700854700855, 0.5]]",0.5594615079909198,0.0421553302081252,0.5,"[[0.7092245989304813, 0.6837606837606838, 0.7101796407185629]]",0.7010549744699093,0.012235124152909,0.5177073625349488,"[[0.7905275918319127, 0.7255849829607135, 0.6928804022659663]]",0.7007600578488216,0.0299229009041108,0.5111835973904939,"[[0.09018618682388195, 0.13096985754981003, 0.11658127975183327]]",0.1125791080418417,0.0168886546388874,0.0989069571538863,"[[0.09018618682388195, 0.13096985754981003, 0.11658127975183327]]",0.1125791080418417,0.0168886546388874,0.0920930616007229,"[[0.09087168890193911, 0.1268233594746295, 0.11873276266843645]]",0.1121426036816683,0.015399205625507,0.0962247361991371,"[[0.08983923568704501, 0.12897676362066984, 0.12118608185328653]]",0.1133340270536671,0.0169150346658623,0.0977374424672831,"[[0.8027553885205861, 0.6658602628692362, 0.700842579384032]]",0.7231527435912848,0.0580710853293367,0.5505970538711613,"[[0.6695724235653566, 0.5696157583920427, 0.5]]",0.5797293939857998,0.06959605317904,0.5,"[[0.8185867976033923, 0.6948394867393062, 0.718561454585704]]",0.7439959129761341,0.0536254478876965,0.542232112916015,"[[0.8187109333323557, 0.6842295121653973, 0.6961750441992244]]",0.7330384965656592,0.0607755364712398,0.5419158325841289,"[[0.7444193778733355, 0.7314672484487348, 0.6377090940792061]]",0.7045319068004255,0.0475458069594594,0.5055844467351398,"[[0.6753476302674536, 0.6351179342316472, 0.5]]",0.6034885214997002,0.0749978340684084,0.5,"[[0.7602586136475996, 0.7332282581558216, 0.7173037034383716]]",0.7369301917472644,0.0177305632925616,0.5021781641746303,0.7363309923528641,0.0405820234909014,0.4922937052663226
6,0.2,[0.02222051690314601],[2222.0516903146004],[0.015032710472907381],15,2,1000,"[[0.6201183431952663, 0.5762273901808785, 0.5501770956316411]]",0.5821742763359286,0.0288613769467653,0.5624360286591606,"[[0.6201183431952663, 0.5762273901808785, 0.5501770956316411]]",0.5821742763359286,0.0288613769467653,0.5624360286591606,"[[0.6834319526627219, 0.5116279069767442, 0.5850059031877214]]",0.5933552542757292,0.0703867472194896,0.6837256908904811,"[[0.7618598193722442, 0.5549719766188823, 0.5776347767051259]]",0.6243984279274571,0.0935221559223437,0.6791197543500512,"[[0.11211673048407006, 0.11657862709500373, 0.1232968219023865]]",0.11733072649382,0.0045951315657445,0.0942272068851805,"[[0.11211673048407006, 0.11657862709500373, 0.1232968219023865]]",0.11733072649382,0.0045951315657445,0.0945491832131833,"[[0.10662580131794949, 0.11899475130743381, 0.12382778300227557]]",0.1164827785425529,0.0072438272041603,0.0888353359189178,"[[0.10892600014002465, 0.11596744491673072, 0.12250533989755126]]",0.1157995949847688,0.0055450126096839,0.0899892119672035,"[[0.5543404039542319, 0.582690573609722, 0.5253596424953114]]",0.5541302066864219,0.0234057265468641,0.5327457703279183,"[[0.5543404039542319, 0.582690573609722, 0.5253596424953114]]",0.5541302066864219,0.0234057265468641,0.5327457703279183,"[[0.6540682853752884, 0.5136545081266979, 0.6338045847413035]]",0.6005091260810965,0.0619701427347576,0.7249686513501878,"[[0.75916370034213, 0.5309711787451435, 0.5889407896332429]]",0.6263585562401722,0.0968435978664766,0.6875923918384764,"[[0.6290268668822504, 0.5680317208045106, 0.5677527727519333]]",0.5882704534795647,0.0288193612940093,0.6530525080893077,"[[0.6290268668822504, 0.5680317208045106, 0.5677527727519333]]",0.5882704534795647,0.0288193612940093,0.6530525080893077,"[[0.6910512698199865, 0.4968711387377508, 0.5708741578367253]]",0.5862655221314875,0.0800172956217138,0.7440888109757952,0.6314888575654174,0.0926493079260536,0.7199566500433869
7,0.2,[0.0031537682998530147],[2224.9211889274216],[0.0023416229158929806],10,2,100,"[[0.817258883248731, 0.6110421836228288, 0.768033946251768]]",0.7321116710411092,0.0879361101155553,0.5745650372825186,"[[0.6288071065989848, 0.5136476426799007, 0.5]]",0.5474849164262952,0.0577727646245292,0.4797017398508699,"[[0.817258883248731, 0.608560794044665, 0.7807637906647807]]",0.7355278226527256,0.0910071158787334,0.5737365368682684,"[[0.8076707609974765, 0.5656632528124489, 0.7521945121600425]]",0.6993711197982145,0.0986012885435006,0.5265120132560066,"[[0.09821844054059006, 0.10681061121893194, 0.10292681936600181]]",0.1026519570418412,0.0035131193370347,0.1110167071836414,"[[0.09821844054059006, 0.10681061121893194, 0.10292681936600181]]",0.1026519570418412,0.0035131193370347,0.1105520467121809,"[[0.09714964672801195, 0.10565068804787588, 0.101522008220221]]",0.1014407809987029,0.0034710108303533,0.1108647973726768,"[[0.09866545350827373, 0.105986544265361, 0.1148801933810525]]",0.1065107303848957,0.0066300088286218,0.1074351401657731,"[[0.8377204549989686, 0.650431091724507, nan]]",,,0.6196473278630753,"[[0.6511894419568157, 0.5639501118688417, nan]]",,,0.547922975928028,"[[0.8344303175827658, 0.6452326139778785, nan]]",,,0.6140418941942479,"[[0.8303662565039779, 0.6136757376588755, nan]]",,,0.5901150347762691,"[[0.81546955579039, 0.5952339457086718, 0.795332928397976]]",0.7353454766323461,0.0994142906025654,0.6123833895475324,"[[0.622174463994915, 0.5221246503279238, 0.5]]",0.5480997047742796,0.0531518422586308,0.6622050888191029,"[[0.8140087149336503, 0.5896391819515161, 0.806751788680138]]",0.7367998951884348,0.1041005039531868,0.6115907371359279,0.7085095086566561,0.1035155162372602,0.6340594336967879
8,0.3,[0.005343904052006984],[1631.9510827898716],[0.012277819251115587],10,2,1000,"[[0.6818181818181818, 0.6592140921409214, 0.5474308300395256]]",0.6294877013328762,0.0587522130781728,0.7092840283241542,"[[0.6129679144385026, 0.5298102981029811, 0.5065876152832675]]",0.5497886092749171,0.0456694040545845,0.6636506687647522,"[[0.7012032085561497, 0.6686991869918699, 0.5823451910408433]]",0.650749195529621,0.0501561476925699,0.7167584579071598,"[[0.6695500605153666, 0.7592195173215776, 0.5490703279978609]]",0.6262813452555203,0.0619143763760297,0.6793863099921322,"[[0.10587474918809546, 0.11036845685448353, 0.10765427399284254]]",0.1079658266784738,0.0018477285072365,0.0983008352233138,"[[0.10587474918809546, 0.11036845685448353, 0.10765427399284254]]",0.1079658266784738,0.0018477285072365,0.1071530418555656,"[[0.10443590266200796, 0.11085631404879986, 0.10265395311576943]]",0.105982056608859,0.0035225582786235,0.0998408741885751,"[[0.10303095794144454, 0.11290374825013419, 0.1014742042618805]]",0.105802970151153,0.005061070882263,0.1011760527027953,"[[0.7655104291967165, 0.6998097312732198, 0.5881832845748644]]",0.6845011483482669,0.0731983314396006,0.7542493017076155,"[[0.6852636808488747, 0.570662979772808, 0.5691379564293355]]",0.6083548723503395,0.0543863036836041,0.6825167672245424,"[[0.7743805796682393, 0.7084190434099584, 0.6264307323512958]]",0.7030767851431645,0.0605182844150899,0.7558637412799527,"[[0.7487772351137459, 0.673505045338044, 0.5817526711814606]]",0.6680116505444168,0.0682980442812311,0.706293744910905,"[[0.6398385071131983, 0.771583115759112, 0.5508405962571751]]",0.6540874063764952,0.0906792454264937,0.7300328124013036,"[[0.6032270968430417, 0.6742378178265926, 0.5069978406028929]]",0.5948209184241757,0.0685336918221165,0.6927517238824539,"[[0.6770550676790987, 0.7775044055370781, 0.5850980118751077]]",0.6798858283637615,0.078575080804038,0.7348019887749325,0.6592799686116017,0.0860998510805435,0.705554672931061
9,0.6,[0.00846972506582488],[3419.2426266302837],[0.014116208443041471],10,2,1000,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.6260500431605136,0.0204538401701707,0.6215397923875432,"[[0.5, 0.5475578406169666, 0.5541611624834875]]",0.533906334366818,0.0241264805772145,0.5,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.6260500431605136,0.0204538401701707,0.6215397923875432,"[[0.5808469679122458, 0.6552048687927213, 0.5118426904559423]]",0.5656382023688896,0.0356785283425609,0.6647923875432526,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.1098943714561567,0.0053289616394371,0.1153383051507457,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.1098943714561567,0.0053289616394371,0.1104189893186325,"[[0.11143678372095618, 0.1039867752133954, 0.11545218173029945]]",0.1102919135548836,0.0047502233226336,0.1133484878338908,"[[0.11314497985362111, 0.10456595954679014, 0.11294595922651962]]",0.1102189662089769,0.0039981050131738,0.1091950525596512,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.6125664765874248,"[[0.5, 0.5569704066154029, 0.5591818137816074]]",0.5387174067990034,0.0273922224039759,0.5,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.6125664765874248,"[[0.5714790689776831, 0.5848263059824079, 0.5105782510116914]]",0.5556278753239275,0.0323175769710569,0.6650997801275668,"[[0.6322398463387061, 0.648232779743899, 0.6296592208847102]]",0.6367106156557717,0.0082152340558562,0.7114630963069847,"[[0.5, 0.6040934379523409, 0.5503087092314963]]",0.5514673823946125,0.0425038653050806,0.5,"[[0.6322398463387061, 0.648232779743899, 0.6296592208847102]]",0.6367106156557717,0.0082152340558562,0.7114630963069847,0.5826315090536365,0.0585409656262495,0.7400631590814999
10,0.4,[0.0035303932763716453],[2609.215537469113],[0.004601874950725031],10,2,500,"[[0.716251638269987, 0.5943181818181819, 0.5899408284023668]]",0.6335035494968452,0.05853901805598,0.6696969696969697,"[[0.5, 0.5556818181818182, 0.4940828402366864]]",0.5165882194728348,0.0277486971457569,0.6065656565656565,"[[0.7241153342070773, 0.6068181818181818, 0.5840236686390533]]",0.6383190615547708,0.0613766935057059,0.6696969696969697,"[[0.7623024049562435, 0.5422224409454194, 0.5857602309652153]]",0.6445664339189392,0.0798935085496953,0.604040404040404,"[[0.1076732686323534, 0.14326274286578602, 0.11423341635977262]]",0.121723142619304,0.0154644682769906,0.0921362871934839,"[[0.1076732686323534, 0.14326274286578602, 0.11423341635977262]]",0.121723142619304,0.0154644682769906,0.0950438473848096,"[[0.10576879029457885, 0.1390938417077178, 0.1141937268022366]]",0.1196854529348444,0.0141482402877239,0.0914025727842144,"[[0.10432459215517409, 0.1300735454892874, 0.11580385333950911]]",0.1167339969946568,0.0105325218526553,0.0910165655013082,"[[0.699458332532976, 0.6781236138026148, 0.683554791259082]]",0.6870455791982243,0.0090528726988712,0.680501963395285,"[[0.5, 0.5823933036009356, 0.5301345401026107]]",0.5375092812345155,0.0340387448323322,0.602189462714804,"[[0.7085376605270554, 0.6882642768343973, 0.6796248188793155]]",0.6921422520802561,0.0121179514782117,0.680501963395285,"[[0.769266813498166, 0.682257816237092, 0.6494792294581397]]",0.7003346197311325,0.0505459819765343,0.6115802442933376,"[[0.6749976937568136, 0.5495602765840034, 0.5870813324931892]]",0.6038797676113353,0.0525691733088276,0.73300095653259,"[[0.5, 0.5428205647299365, 0.49374359042953286]]",0.5121880517198231,0.0218105296460896,0.6684130747743777,"[[0.6805329875955032, 0.563708067613321, 0.5809137701680128]]",0.608384941792279,0.0514976661931925,0.73300095653259,0.6300950256222927,0.0951594386725609,0.675724175842036
