random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.010945171503770128],[2774.99992110722],[0.0522384828341143],15,2,100,"[[0.755464480874317, 0.6263966480446927, 0.6290322580645161]]",0.6702977956611753,0.060231552156047,0.7454401268834259,"[[0.6666666666666666, 0.6284916201117319, 0.6011166253101737]]",0.6320916373628575,0.0268814939269352,0.7850911974623315,"[[0.755464480874317, 0.645949720670391, 0.6377171215880894]]",0.6797104410442657,0.0536715308448356,0.7454401268834259,"[[0.8198259343673479, 0.6541631264703195, 0.6155436812442453]]",0.6674119628879606,0.0528263388952925,0.7220459952418715,"[[0.09980166125275343, 0.10830225706150884, 0.11224747460433804]]",0.1067837976395334,0.0051931914887192,0.0908149187852006,"[[0.09980166125275343, 0.10830225706150884, 0.11224747460433804]]",0.1067837976395334,0.0051931914887192,0.1031539843037917,"[[0.10246487725764059, 0.107121739606434, 0.1112662629535179]]",0.1069509599391975,0.0035951793476778,0.0969516221536718,"[[0.0992080002253092, 0.11099789982227938, 0.11300767219491596]]",0.1077378574141681,0.0060870706690054,0.091511643928819,"[[0.8222092461786037, 0.5477213036022192, 0.6778159857217168]]",0.6825821785008465,0.1121099017338492,0.7560903961844784,"[[0.6549948380267383, 0.5509099981008546, 0.657459708275768]]",0.6211215148011203,0.0496572364941231,0.8090433780041629,"[[0.8222092461786037, 0.5642814259116361, 0.6933194009325667]]",0.6932700243409355,0.1052985974754748,0.7560903961844784,"[[0.8474538769184523, 0.596528014921805, 0.7109666459701554]]",0.7183161792701375,0.1025717920433806,0.7411823057559613,"[[0.8329567997724031, 0.640523899388316, 0.6294280842347485]]",0.7009695944651558,0.0934389142777019,0.7598311289771017,"[[0.6778344693960472, 0.6359818168638436, 0.6009720188791022]]",0.6382627683796643,0.0314203875398399,0.7971475230205596,"[[0.8329567997724031, 0.6704898010452529, 0.6379360294435948]]",0.7137942100870837,0.0853023215657389,0.7598311289771017,0.6965109140273041,0.0886108009537267,0.7332256369257029
2,0.2,[0.008830114882676654],[3734.4700447600826],[0.027727847464043727],5,2,500,"[[0.679874213836478, 0.5646916565900847, 0.7899746192893401]]",0.6781801632386343,0.0919791848779188,0.6749764816556915,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.679874213836478, 0.5598548972188634, 0.7874365482233503]]",0.6757218864262305,0.0929562023595823,0.6707431796801505,"[[0.7061732065282019, 0.629761286718356, 0.8373523875953717]]",0.6913804348607956,0.0669671280467903,0.6876763875823142,"[[0.10583567062582053, 0.1084400834090889, 0.11280896986279956]]",0.1090282412992363,0.0028770555364724,0.0850598260333976,"[[0.10583567062582053, 0.1084400834090889, 0.11280896986279956]]",0.1090282412992363,0.0028770555364724,0.0906616075302641,"[[0.10409610597246595, 0.10857740495545862, 0.11362461279237106]]",0.1087660412400985,0.0038922828169046,0.0854593685167706,"[[0.10957215286633491, 0.11400666433852434, 0.10526174370090716]]",0.1096135203019221,0.003570218731684,0.0912260326934376,"[[0.6534354966633031, 0.5099666436572512, 0.7444317584471306]]",0.6359446329225616,0.0965156990655085,0.6920200468792765,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.6534354966633031, 0.5081119400279142, 0.7715569976214289]]",0.6443681447708821,0.10774193626553,0.685127833148141,"[[0.7239710294126358, 0.5466239105851635, 0.8369736363473709]]",0.7025228587817233,0.1195010706510108,0.7425076460318155,"[[0.7027383970827514, 0.5944575905926258, 0.7445031420381444]]",0.6805663765711739,0.0632303500297222,0.6506044816582721,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.7027383970827514, 0.5892238626240898, 0.7694266429798045]]",0.6871296342288818,0.0743907952207069,0.6562548603097613,0.7244289602806431,0.0857261947506329,0.6506895899982723
3,0.3,[0.001781960916889167],[3042.4356891400066],[0.0021346784971607055],15,2,100,"[[0.7458100558659218, 0.5193409742120344, 0.776657060518732]]",0.6806026968655626,0.1147225401244243,0.6643598615916955,"[[0.6641061452513967, 0.4584527220630373, 0.7579250720461095]]",0.6268279797868478,0.1250684301130055,0.6986159169550173,"[[0.7458100558659218, 0.5193409742120344, 0.7968299711815562]]",0.6873270004198374,0.1205963976535511,0.6657439446366782,"[[0.869792301121792, 0.5013735217936045, 0.7843178755183766]]",0.705121501064294,0.157074404056677,0.68719723183391,"[[0.0972371656678907, 0.12173502471644183, 0.08326627094016768]]",0.1007461537748334,0.0158996017230181,0.1207718857371967,"[[0.0972371656678907, 0.12173502471644183, 0.08326627094016768]]",0.1007461537748334,0.0158996017230181,0.1262282476198966,"[[0.0967262847583507, 0.12009328439455814, 0.08304961301063693]]",0.0999563940545152,0.0152945219375841,0.1215437224147126,"[[0.09952495635142938, 0.11809734679123786, 0.08665480346224458]]",0.1014257022016372,0.0129065360402967,0.11841410603762,"[[0.7657200651749583, 0.49515592512911283, 0.8198993528991423]]",0.6935917810677378,0.1420479742813345,0.6512743550823012,"[[0.6519001259462902, 0.4257751697701626, 0.7562294532031155]]",0.6113015829731895,0.137927975476214,0.6819198502757394,"[[0.7699701304250858, 0.49515592512911283, 0.8387564964878927]]",0.7012941840140304,0.1484421938468767,0.6550238159694575,"[[0.8676994791100686, 0.44474355425003015, 0.8382840048504608]]",0.7169090127368531,0.1928243503407291,0.6818175898320223,"[[0.7861001005565681, 0.5347957557035758, 0.7723026893109562]]",0.6977328485237,0.1153515331548898,0.680018971667704,"[[0.68916262879435, 0.47757936065679835, 0.7598226357049537]]",0.6421882083853673,0.1199173707379295,0.7166343526025252,"[[0.79413088036719, 0.5347957557035758, 0.7926393356469892]]",0.7071886572392517,0.1219017105467351,0.6812541743688221,0.7184945661445911,0.1574433872499482,0.7015748085720408
4,0.2,[0.03211828240463841],[3524.977528884799],[0.16823809299823153],15,2,500,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.7228018126364021,0.0951420254552229,0.6216216216216216,"[[0.591849935316947, 0.7327707454289732, 0.6311018131101813]]",0.6519074979520338,0.0593819617502448,0.6216216216216216,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.7228018126364021,0.0951420254552229,0.6216216216216216,"[[0.5825591772138817, 0.7707856037362535, 0.7601481466913812]]",0.7031737243501016,0.0860406255287242,0.6430180180180181,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.1034406419504749,0.0076808343137682,0.1157414722776572,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.1034406419504749,0.0076808343137682,0.1189207029291355,"[[0.10550123261938837, 0.09440413477590646, 0.11191453524765721]]",0.1039399675476506,0.0072333345301892,0.1182682186911809,"[[0.10913181356133059, 0.08304787855787771, 0.09798361937086554]]",0.0967211038300246,0.0106860774042438,0.1134295601617213,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.7750955941681443,0.0746479360561519,0.5806317242752314,"[[0.6697092520862239, 0.7561435830391535, 0.6633792510045144]]",0.6964106953766306,0.0423165108029265,0.5806317242752314,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.7750955941681443,0.0746479360561519,0.5806317242752314,"[[0.6374182369251924, 0.7849035203249644, 0.827383453738869]]",0.749901736996342,0.0814065498057114,0.589663855163632,"[[0.5890900108809312, 0.8198306498832895, 0.7606618408519856]]",0.7231941672054022,0.0978542472189099,0.6775812655781117,"[[0.5890900108809312, 0.7331035517069554, 0.6328565970100262]]",0.6516833865326376,0.0602816223410793,0.6775812655781117,"[[0.5890900108809312, 0.8198306498832895, 0.7606618408519856]]",0.7231941672054022,0.0978542472189099,0.6775812655781117,0.7044976425471722,0.0863328090163252,0.6903607097855783
5,0.7,[0.013252062696751816],[3687.4651655485036],[0.01893151813821689],5,2,500,"[[0.6483957219251337, 0.6544566544566545, 0.7437125748502994]]",0.6821883170773625,0.0435745296143744,0.6286113699906803,"[[0.6290106951871658, 0.6544566544566545, 0.6988023952095809]]",0.6607565816178004,0.0288384830817145,0.6835973904939422,"[[0.6483957219251337, 0.6605616605616605, 0.7425149700598802]]",0.6838241175155582,0.0417968471299885,0.6286113699906803,"[[0.738875875502589, 0.5794394208937649, 0.735229384855837]]",0.6664256636870234,0.0466487031324915,0.6230195712954334,"[[0.09562830906480688, 0.12398659137520894, 0.117907231687048]]",0.1125073773756879,0.0121906210899213,0.0817242187835263,"[[0.09562830906480688, 0.12398659137520894, 0.117907231687048]]",0.1125073773756879,0.0121906210899213,0.0920930315849367,"[[0.0947560935182475, 0.12288066894451723, 0.11811704754737186]]",0.1119179366700455,0.0122900954018272,0.0829265136520101,"[[0.10195680800276793, 0.14128813926580694, 0.12500018049639147]]",0.1227483759216554,0.0161357031168529,0.0814517253729812,"[[0.7003006289908323, 0.6745484085001687, 0.7575361125891886]]",0.7107950500267299,0.0346827470283684,0.6409244539797658,"[[0.6908984572921376, 0.6745484085001687, 0.717615505458893]]",0.6943541237503997,0.0177510550506368,0.7021549926312153,"[[0.7003006289908323, 0.674512776207073, 0.755246041040004]]",0.7100198154126365,0.0336681050963903,0.6409244539797658,"[[0.7028882838886132, 0.6408424885328341, 0.6910577780840117]]",0.6782628501684863,0.0268973705729193,0.6471563581413262,"[[0.7386257404761414, 0.6318202511807951, 0.74758375838423]]",0.7060099166803888,0.0525873328943806,0.6385831024293493,"[[0.7272123063609112, 0.6318202511807951, 0.7053424304595748]]",0.6881249960004269,0.0408022963805377,0.6924918005790732,"[[0.7386257404761414, 0.6464044939558584, 0.7464831787547944]]",0.7105044710622647,0.0454388976748414,0.6385831024293493,0.6845148937507303,0.0743144915010765,0.6308974065605907
6,0.7,[0.01962854170907712],[2983.363808583022],[0.005504517896561341],15,2,1000,"[[0.5899408284023668, 0.7222222222222222, 0.6103896103896104]]",0.6408508870047331,0.0581406846508145,0.834186284544524,"[[0.5899408284023668, 0.6692506459948321, 0.6080283353010626]]",0.6224066032327538,0.0339368308594478,0.7072671443193449,"[[0.6035502958579881, 0.7002583979328165, 0.6174734356552538]]",0.6404273764820195,0.0426870534732163,0.8239508700102354,"[[0.5500310252404849, 0.6847070280135773, 0.7042108470014885]]",0.6414354223022299,0.0624886468540679,0.8244626407369499,"[[0.10983353916233907, 0.1137641926724618, 0.12421458038718708]]",0.1159374374073293,0.0060688181818163,0.0868299181359021,"[[0.10983353916233907, 0.1137641926724618, 0.12421458038718708]]",0.1159374374073293,0.0060688181818163,0.0945491582394171,"[[0.11054489221039232, 0.10879429463464649, 0.12613783862067116]]",0.1151590084885699,0.0077960323785115,0.0812825504811185,"[[0.11042109188365558, 0.1121009948575706, 0.1216156019923393]]",0.1147125629111884,0.0049291297350454,0.0817822675223745,"[[0.6574673996947601, 0.7038966651960619, 0.5867122795318093]]",0.6493587814742104,0.0481826893393747,0.8785189515033703,"[[0.6574673996947601, 0.642347612922632, 0.5459564073474221]]",0.6152571399882715,0.0493902530629104,0.7343686091768716,"[[0.6734191006369299, 0.6875471779351698, 0.5717203742398397]]",0.6442288842706465,0.0515946616243836,0.890104615796879,"[[0.6228799706107863, 0.677705554588575, 0.6559702025665466]]",0.652185242588636,0.0225418959000373,0.8626922873276484,"[[0.5898190377840518, 0.7398508542603577, 0.6150160001839242]]",0.6482286307427779,0.0655982500288646,0.8630288319489896,"[[0.5898190377840518, 0.681112126848182, 0.6187174808464915]]",0.6298828818262417,0.0380973022841667,0.7293159498312707,"[[0.6032728733815486, 0.7165032918849731, 0.633740454417466]]",0.6511722065613292,0.0478412751064669,0.8646929578700369,0.6463163000851836,0.0685479897722156,0.8538351242641682
7,0.6,[0.0042231621618469255],[3938.535166569007],[0.005843572366392546],10,2,1000,"[[0.5862944162436549, 0.8064516129032258, 0.6442715700141443]]",0.6790058663870083,0.0931742143107512,0.7373653686826843,"[[0.5653553299492385, 0.5, 0.6117397454031117]]",0.5590316917841167,0.0458361863991075,0.6342170671085335,"[[0.5862944162436549, 0.8101736972704715, 0.6442715700141443]]",0.6802465611760903,0.0948723110645659,0.7473073736536868,"[[0.5278117955008653, 0.6973117608860293, 0.6669611707796437]]",0.6280150140587847,0.0727837476002394,0.7738193869096934,"[[0.10775761999592294, 0.09918154205737874, 0.1171063990011668]]",0.1080151870181561,0.0073200582735396,0.0977272950330426,"[[0.10775761999592294, 0.09918154205737874, 0.1171063990011668]]",0.1080151870181561,0.0073200582735396,0.1105520420903395,"[[0.10731368884217427, 0.0992443941840631, 0.11645473562566097]]",0.1076709395506327,0.0070306322231416,0.0979636236573247,"[[0.11028369371424993, 0.09892291015365359, 0.11308428827997943]]",0.1074302973826276,0.0061233193927358,0.0972896326648967,"[[0.5524701616962666, 0.7968698640303159, nan]]",,,0.7865350018698548,"[[0.5270414046433992, 0.5, nan]]",,,0.6630914425200216,"[[0.5524701616962666, 0.8032197576948641, nan]]",,,0.7946100245046469,"[[0.5063190523080615, 0.7244873274165194, nan]]",,,0.8330911046190981,"[[0.592949790321361, 0.8151450270834728, 0.6485438362031112]]",0.685546217869315,0.0944089084662081,0.8082443921852895,"[[0.5775517516627845, 0.5, 0.641629620597277]]",0.5730604574200205,0.0579072024916502,0.6690814080847475,"[[0.592949790321361, 0.8185670457177521, 0.6485438362031112]]",0.6866868907474081,0.0959755383439863,0.8144025545819416,0.6306949090555128,0.0737969776751294,0.8522450156425427
8,0.4,[0.0018536570509615664],[3473.4148780997707],[0.002201593188690429],5,2,1000,"[[0.7580213903743316, 0.7317073170731707, 0.6363636363636364]]",0.7086974479370461,0.0522637084790704,0.6726986624704957,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.7513368983957219, 0.7317073170731707, 0.6363636363636364]]",0.7064692839441763,0.0502157444283484,0.6711250983477577,"[[0.7060676508604087, 0.8145303604920168, 0.6318773955880909]]",0.6703129847116497,0.033494142953957,0.6789929189614476,"[[0.09291348781803407, 0.10113757440921858, 0.10334950800144005]]",0.0991335234095642,0.0044899736171478,0.0985798122185608,"[[0.09291348781803407, 0.10113757440921858, 0.10334950800144005]]",0.0991335234095642,0.0044899736171478,0.1071530453950365,"[[0.09319942583407882, 0.10133670327819307, 0.10322681915267008]]",0.0992543160883139,0.004350433426519,0.0985696218968925,"[[0.10165250192230794, 0.09877141149260582, 0.09970219281013254]]",0.1000420354083487,0.0012004971913619,0.1106178287130082,"[[0.7768477775016936, 0.7675010671664085, 0.5999534197143948]]",0.7147674214608323,0.0812753816613458,0.6611939413094642,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.779122936046475, 0.7675010671664085, 0.5999534197143948]]",0.7155258076424261,0.081859634324482,0.6602923221268567,"[[0.6794395938063018, 0.7765580351519018, 0.576660691042222]]",0.6775527733334753,0.0816186543797778,0.7392226155834495,"[[0.7802235061402515, 0.831050044829546, 0.638546227176236]]",0.7499399260486778,0.0814544918759212,0.6764885178912092,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.7729247590103587, 0.831050044829546, 0.638546227176236]]",0.7475070103387136,0.0806183453622722,0.675120746116458,0.7174918023135054,0.0750040435548474,0.6481662915869233
9,0.8,[0.027265988322721344],[4764.808894823339],[0.035705348602827404],15,2,500,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.6927339901477833, 0.6902313624678663, 0.6704095112285336]]",0.6844582879480611,0.0099863867944458,0.5627162629757786,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.7390102710196207, 0.592861335160459, 0.6935651929932899]]",0.6724565178381038,0.0484883190909499,0.6708477508650519,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1091645804776606,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1104189881995052,"[[0.11445647148528601, 0.10289683925780842, 0.1036345650037698]]",0.1069959585822881,0.005283969429694,0.1091481604246066,"[[0.11094189687736482, 0.1037193968499035, 0.09809068108069864]]",0.1042506582693223,0.0052599186232578,0.1098217625956787,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.6912365604610979, 0.7028782278977161, 0.6261386942263305]]",0.6734178275283815,0.0337675331200551,0.537554826742158,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.7143226351345315, 0.619247880816894, 0.626730373823916]]",0.6534336299251139,0.0431632570746957,0.7115222288503225,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,"[[0.7016122983096397, 0.7102438460124701, 0.6763547098115725]]",0.6960702847112273,0.0143794720383952,0.5901265465024373,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,0.6751455997244565,0.0610701177627448,0.7688522017954047
10,0.5,[0.005795020512293106],[3902.4541194538047],[0.02677449799607884],5,2,100,"[[0.7418086500655308, 0.7846590909090909, 0.6118343195266273]]",0.7127673535004163,0.0734830959268293,0.6838383838383838,"[[0.7129750982961992, 0.6806818181818182, 0.6100591715976331]]",0.6679053626918835,0.0429755771977594,0.704040404040404,"[[0.7129750982961992, 0.7988636363636363, 0.6159763313609468]]",0.7092716886735942,0.0747093390632938,0.704040404040404,"[[0.7747828874935865, 0.8594917585536008, 0.6371226261605213]]",0.7131459886267578,0.0995828098062,0.6722222222222223,"[[0.09692912116878512, 0.11441784884546793, 0.1048091602187218]]",0.1053853767443249,0.0071513596865946,0.0904191128153756,"[[0.09692912116878512, 0.11441784884546793, 0.1048091602187218]]",0.1053853767443249,0.0071513596865946,0.0950438289450667,"[[0.09959355457202093, 0.1189737281609655, 0.10549534073405846]]",0.1080208744890149,0.0081109605943634,0.0885585433113383,"[[0.10659822958605221, 0.1297277128873738, 0.1032037228027101]]",0.1131765550920453,0.0117851965716864,0.0939088975481499,"[[0.7965808791038274, 0.7570377551303987, 0.5876274304689398]]",0.7137486882343888,0.0906305445518546,0.6816308426873807,"[[0.788273480367336, 0.6545888652468488, 0.5817378137292457]]",0.6748667197811434,0.0855283147532465,0.711601094965327,"[[0.788273480367336, 0.7662480742196782, 0.5886669338678207]]",0.7143961628182783,0.089357554757464,0.711601094965327,"[[0.7350049047328239, 0.863496851642632, 0.6926734017446072]]",0.7637250527066876,0.072635151882525,0.7181834314509008,"[[0.8092359273070655, 0.8022399286822287, 0.6137494845855765]]",0.7417417801916235,0.0905492749835468,0.6746391758674483,"[[0.8070278622196119, 0.697223323661263, 0.6123484314170798]]",0.705533205765985,0.0796944615384082,0.7046344700472035,"[[0.8070278622196119, 0.818416086974485, 0.6179777658090728]]",0.7478072383343899,0.0919209510681811,0.7046344700472035,0.7571324240692362,0.0916357350405523,0.6652584671299497
