time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,-0.192090395480226,-0.192090395480226,25,1,random_forest
46.95,0.0,-0.1428571428571428,-0.1428571428571428,50,1,random_forest
59.4,0.0,-0.2333333333333333,-0.2333333333333333,75,1,random_forest
34.45,0.0,-0.2542372881355932,-0.2542372881355932,25,1,LASSO
46.95,0.0,-0.2016806722689075,-0.2016806722689075,50,1,LASSO
59.4,0.0,-0.3333333333333333,-0.3333333333333333,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.0,-0.480225988700565,-0.480225988700565,25,1,ELASTIC_NET
46.95,0.0,-0.4285714285714285,-0.4285714285714285,50,1,ELASTIC_NET
59.4,0.0,-0.4166666666666667,-0.4166666666666667,75,1,ELASTIC_NET
34.45,0.3333333333333333,0.0571428571428571,0.3904761904761905,25,2,random_forest
45.3,0.0,0.1311475409836065,0.1311475409836065,50,2,random_forest
59.25,0.0,0.0,0.0,75,2,random_forest
34.45,0.0,0.3142857142857143,0.3142857142857143,25,2,LASSO
45.3,0.0,0.3442622950819672,0.3442622950819672,50,2,LASSO
59.25,0.0,0.1833333333333333,0.1833333333333333,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.3142857142857143,0.3142857142857143,25,2,ELASTIC_NET
45.3,0.0,0.1721311475409836,0.1721311475409836,50,2,ELASTIC_NET
59.25,0.0,0.1,0.1,75,2,ELASTIC_NET
34.4,0.0,-0.0335195530726257,-0.0335195530726257,25,3,random_forest
45.8,0.0,0.0333333333333333,0.0333333333333333,50,3,random_forest
59.25,0.0,-0.25,-0.25,75,3,random_forest
34.4,-0.25,0.3184357541899441,0.0684357541899441,25,3,LASSO
45.8,0.0,0.375,0.375,50,3,LASSO
59.25,0.0,0.25,0.25,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,-0.25,0.2569832402234637,0.0069832402234636,25,3,ELASTIC_NET
45.8,0.0,0.375,0.375,50,3,ELASTIC_NET
59.25,0.0,0.2833333333333333,0.2833333333333333,75,3,ELASTIC_NET
34.4,0.2,0.2203389830508474,0.4203389830508475,25,4,random_forest
44.4,,0.1219512195121951,,50,4,random_forest
58.175,,0.081967213114754,,75,4,random_forest
34.4,0.2,-0.5819209039548022,-0.3819209039548022,25,4,LASSO
44.4,,-0.3008130081300813,,50,4,LASSO
58.175,,-0.3934426229508196,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.2,-0.288135593220339,-0.0881355932203389,25,4,ELASTIC_NET
44.4,,-0.2845528455284553,,50,4,ELASTIC_NET
58.175,,-0.3770491803278688,,75,4,ELASTIC_NET
35.05,0.0,-0.1818181818181818,-0.1818181818181818,25,5,random_forest
45.8,0.0,-0.1570247933884297,-0.1570247933884297,50,5,random_forest
58.5,0.0,-0.15,-0.15,75,5,random_forest
35.05,0.2,-0.1988636363636363,0.0011363636363636,25,5,LASSO
45.8,-0.5,-0.1074380165289256,-0.6074380165289256,50,5,LASSO
58.5,0.0,0.0833333333333333,0.0833333333333333,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,0.3125,0.3125,25,5,ELASTIC_NET
45.8,0.0,0.3471074380165289,0.3471074380165289,50,5,ELASTIC_NET
58.5,0.0,0.2833333333333333,0.2833333333333333,75,5,ELASTIC_NET
34.625,0.0,0.2329545454545454,0.2329545454545454,25,6,random_forest
45.2,,0.2314049586776859,,50,6,random_forest
58.975,,0.1311475409836065,,75,6,random_forest
34.625,0.0,0.4090909090909091,0.4090909090909091,25,6,LASSO
45.2,,0.0,,50,6,LASSO
58.975,,0.0,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.2,0.3011363636363636,0.5011363636363637,25,6,ELASTIC_NET
45.2,,0.3223140495867768,,50,6,ELASTIC_NET
58.975,,0.2131147540983606,,75,6,ELASTIC_NET
34.675,0.25,-0.2090395480225988,0.0409604519774011,25,7,random_forest
45.2,0.0,-0.1666666666666666,-0.1666666666666666,50,7,random_forest
59.075,,-0.2622950819672131,,75,7,random_forest
34.675,0.25,0.0112994350282485,0.2612994350282486,25,7,LASSO
45.2,0.0,-0.0083333333333333,-0.0083333333333333,50,7,LASSO
59.075,,0.0327868852459016,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,0.25,-0.0508474576271186,0.1991525423728813,25,7,ELASTIC_NET
45.2,0.0,-0.0416666666666666,-0.0416666666666666,50,7,ELASTIC_NET
