random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.0037547074677132725],[2648.871891929608],[0.002920554417479571],15,2,1000,"[[0.8476775956284153, 0.6655027932960894, 0.6892059553349876]]",0.7341287814198308,0.0808721619957172,0.7771609833465504,"[[0.6666666666666666, 0.61731843575419, 0.6141439205955335]]",0.6327096743387967,0.0240461692387706,0.7688342585249802,"[[0.8476775956284153, 0.6655027932960894, 0.6892059553349876]]",0.7341287814198308,0.0808721619957172,0.7771609833465504,"[[0.933516866436563, 0.6721509529898009, 0.6559053017214349]]",0.7332631256458914,0.1196784926934671,0.7422680412371134,"[[0.08101183378879125, 0.13310450950366087, 0.09749039503859576]]",0.1038689127770159,0.021739761301789,0.0909208000846129,"[[0.08101183378879125, 0.13310450950366087, 0.09749039503859576]]",0.1038689127770159,0.021739761301789,0.1031539701482258,"[[0.07875710393726798, 0.13342140056740942, 0.09666083764509187]]",0.1029464473832564,0.0227548968920597,0.0913146867866186,"[[0.09509315513504336, 0.11479381551999407, 0.10918429314602279]]",0.1063570879336867,0.0082874934644634,0.0930747461686015,"[[0.8484609819639931, 0.6462309915859625, 0.7204991989737826]]",0.7383970575079127,0.0835244166183573,0.7589534428376218,"[[0.6549948380267383, 0.5516716721171787, 0.6569806040633583]]",0.6212157047357585,0.0491817389642985,0.7674523787196047,"[[0.8484609819639931, 0.6462309915859625, 0.7204991989737826]]",0.7383970575079127,0.0835244166183573,0.7589534428376218,"[[0.9554763677149393, 0.6027261549053783, 0.7288394683618965]]",0.7623473303274046,0.1459457907795957,0.7573536667573781,"[[0.7694969109129084, 0.6926256686166036, 0.6908061189647144]]",0.7176428994980754,0.0366738468584097,0.7903582912776774,"[[0.6778344693960472, 0.6678776382600656, 0.6158129016138295]]",0.6538416697566474,0.0271958946217104,0.7832506593374051,"[[0.7694969109129084, 0.6926256686166036, 0.6908061189647144]]",0.7176428994980754,0.0366738468584097,0.7903582912776774,0.7538577070492662,0.1272112166440677,0.756095981523969
2,0.3,[0.003648614418966295],[3734.4700447600826],[0.010097145966551516],15,2,100,"[[0.7433962264150943, 0.5888754534461911, 0.8343908629441624]]",0.7222208476018159,0.1013434805538521,0.7666980244590781,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.7433962264150943, 0.5816203143893591, 0.8623096446700508]]",0.7291087284915014,0.1150354278212971,0.7826904985888994,"[[0.7654934961135088, 0.6202569829906438, 0.8453922423286216]]",0.7285700593739506,0.0968024293266021,0.7375352775164629,"[[0.08952096222048662, 0.125243559699568, 0.09048486743617987]]",0.1017497964520781,0.0166172593400764,0.07767220817219,"[[0.08952096222048662, 0.125243559699568, 0.09048486743617987]]",0.1017497964520781,0.0166172593400764,0.0906616075302641,"[[0.09201601442759551, 0.11858198728961146, 0.09440138091329019]]",0.1016664608768323,0.0120006602230554,0.0779742577796705,"[[0.10133427944952828, 0.11196811366050925, 0.10239412438184858]]",0.1052321724972953,0.0047826419014216,0.0823264655567782,"[[0.7263336530758259, 0.5442649423323073, 0.8665118136891947]]",0.712370136365776,0.1319267381895711,0.7403697046902953,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.7263336530758259, 0.5340016450020666, 0.908942183183795]]",0.7230924937538958,0.1530859902763011,0.7668400414679898,"[[0.7485086159358955, 0.5643413895608594, 0.9022667223244489]]",0.7383722426070679,0.1381435055272636,0.7304846788232277,"[[0.7621868687185006, 0.6099010217999311, 0.7446462455618544]]",0.7055780453600954,0.0680317964542073,0.7891185081299943,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.7621868687185006, 0.6045436893504508, 0.8724703008347661]]",0.7464002863012391,0.1099487135704022,0.8020717366345578,0.7437142404775914,0.0931923574525136,0.7474996540720887
3,0.2,[0.004733044621037788],[3042.4356891400066],[0.0038568417107165483],10,2,1000,"[[0.8491620111731844, 0.6432664756446992, 0.7161383285302594]]",0.736188938449381,0.0852438193506798,0.7086505190311418,"[[0.6641061452513967, 0.4706303724928367, 0.6628242074927954]]",0.599186908412343,0.0909047048170837,0.7134948096885814,"[[0.8477653631284916, 0.6432664756446992, 0.7262247838616714]]",0.7390855408782874,0.0839801486416384,0.7086505190311418,"[[0.8842515379372037, 0.6060442899652306, 0.6869507580925761]]",0.7182832776771534,0.116194462830363,0.7231833910034602,"[[0.08495137404832351, 0.10386301477364482, 0.09195599593349846]]",0.0935901282518222,0.0078066352144079,0.1116568014921464,"[[0.08495137404832351, 0.10386301477364482, 0.09195599593349846]]",0.0935901282518222,0.0078066352144079,0.1262282466440792,"[[0.08233494842080695, 0.10285527733311377, 0.09147851192297694]]",0.0922229125589658,0.0083939094545771,0.1118985880394386,"[[0.09576215721165186, 0.11185969933819681, 0.10193037308771752]]",0.1031840765458553,0.0066313168576426,0.1141201976955422,"[[0.8617678317185292, 0.5912570631561512, 0.7169211803542885]]",0.7233153584096564,0.1105280752020496,0.694994391858637,"[[0.6519001259462902, 0.4316409889215955, 0.6341256456173656]]",0.5725555868284171,0.0999055419389459,0.6947485870134067,"[[0.857410579456639, 0.5912570631561512, 0.7319929329650056]]",0.7268868585259319,0.1087166885591827,0.694994391858637,"[[0.8837402047604184, 0.5718443644543965, 0.7176189435950036]]",0.7244011709366062,0.1274212246993798,0.7189126568541071,"[[0.8768240639051995, 0.6618650308489327, 0.7177010319711074]]",0.7521300422417466,0.09107090290641,0.7249781083574988,"[[0.68916262879435, 0.4922899787956464, 0.6655712018088761]]",0.6156746031329575,0.0877760901344903,0.7316438421603377,"[[0.8760095940629911, 0.6618650308489327, 0.7269638614906377]]",0.7549461621341872,0.0896352994101262,0.7249781083574988,0.7257488619983369,0.1168440209739644,0.7366777073935293
4,0.2,[0.004769463000901417],[3524.977528884799],[0.0035412505921677776],15,2,500,"[[0.6267787839586029, 0.7714486638537271, 0.7147838214783822]]",0.7043370897635707,0.0595213921760255,0.6921921921921922,"[[0.591849935316947, 0.6174402250351617, 0.6311018131101813]]",0.6134639911540967,0.0162693024739117,0.6216216216216216,"[[0.6921086675291074, 0.7827004219409283, 0.7147838214783822]]",0.7298643036494726,0.0384905373543277,0.68993993993994,"[[0.6607378027114409, 0.7804292622432812, 0.8204476315824463]]",0.7539473750890623,0.0685188282554164,0.6681681681681682,"[[0.10949098101903441, 0.0842614555330653, 0.0902225671239183]]",0.0946583345586726,0.0107669018636811,0.1014694977951311,"[[0.10949098101903441, 0.0842614555330653, 0.0902225671239183]]",0.0946583345586726,0.0107669018636811,0.1189207029291355,"[[0.10789979311667623, 0.08331612145286095, 0.08896396916196808]]",0.0933932945771684,0.0105135918646253,0.1014786305418814,"[[0.10718934429413753, 0.08870437297048915, 0.09916532808110595]]",0.0983530151152442,0.0075682860444051,0.1104524241305252,"[[0.709345225018872, 0.7931513717255834, 0.7358489322613118]]",0.7461151763352557,0.0349753663978525,0.687307137502641,"[[0.6697092520862239, 0.63541720085726, 0.6633792510045144]]",0.6561685679826661,0.0148992540440486,0.5806317242752314,"[[0.7544023748743947, 0.8062403077606746, 0.7358489322613118]]",0.7654972049654604,0.0297887884640657,0.6916391618129074,"[[0.7087149960315394, 0.8029848915891169, 0.8714200371809487]]",0.7943733082672016,0.0667025843044603,0.6418046530411494,"[[0.625212026739013, 0.7730157994932144, 0.7182495812718286]]",0.7054924691680187,0.0610111833574565,0.7557226219565496,"[[0.5890900108809312, 0.6135582344761691, 0.6328565970100262]]",0.6118349474557089,0.017909137406457,0.6775812655781117,"[[0.6926858512446151, 0.7825347874777194, 0.7182495812718286]]",0.7311567399980543,0.0377990643212509,0.7534506728599883,0.7538715655123894,0.067851754097881,0.7253710538034663
5,0.9,[0.004102282100665835],[3651.9134107638774],[0.003612209343334506],10,2,100,"[[0.7272727272727273, 0.7411477411477412, 0.8862275449101796]]",0.784882671110216,0.071885170406957,0.5866728797763281,"[[0.6483957219251337, 0.6892551892551892, 0.6988023952095809]]",0.6788177687966347,0.0218618844456547,0.6067101584342963,"[[0.7272727272727273, 0.7411477411477412, 0.8862275449101796]]",0.784882671110216,0.071885170406957,0.5866728797763281,"[[0.8081097557734331, 0.7755403442337543, 0.7729516424059103]]",0.7516042907818181,0.0135101383258171,0.6174277726001864,"[[0.07750251908394927, 0.11785178002341391, 0.09400885755581519]]",0.0964543855543927,0.0165630345445135,0.0872560641412478,"[[0.07750251908394927, 0.11785178002341391, 0.09400885755581519]]",0.0964543855543927,0.0165630345445135,0.0920930431665862,"[[0.07747111570264402, 0.11756916063233702, 0.09369184223631938]]",0.0962440395237668,0.0164691344650421,0.0872374786756461,"[[0.08448620566182265, 0.12664648159818864, 0.1099398856724472]]",0.1070241909774861,0.0173349007000962,0.0923376017744612,"[[0.8252736995022129, 0.7337685799191741, 0.8941234917695381]]",0.8177219237303084,0.0656820443582381,0.6024871245327785,"[[0.7099936228149175, 0.6763324159068212, 0.717615505458893]]",0.7013138480602105,0.0179365035255932,0.6237417312185011,"[[0.8252736995022129, 0.7337685799191741, 0.8941234917695381]]",0.8177219237303084,0.0656820443582381,0.6024871245327785,"[[0.8371968592827506, 0.7346571476753387, 0.7797720664036986]]",0.7838753577872626,0.0419620929273602,0.6413805088530237,"[[0.7953812351149048, 0.7835700914717785, 0.8864279482381463]]",0.8217930916082765,0.045957402720436,0.5989385456678985,"[[0.7389255655616312, 0.7289636187956339, 0.7053424304595748]]",0.7244105382722799,0.014083196784581,0.6146402280690917,"[[0.7953812351149048, 0.7835700914717785, 0.8864279482381463]]",0.8217930916082765,0.045957402720436,0.5989385456678985,0.7855339141376992,0.0159984752077538,0.6249322673665743
6,0.2,[0.005336192271229026],[2983.363808583022],[0.053608268096929444],10,2,1000,"[[0.6266272189349112, 0.7144702842377261, 0.6829988193624558]]",0.6746987741783643,0.0363388597600614,0.8505629477993859,"[[0.5899408284023668, 0.6692506459948321, 0.6322314049586777]]",0.6304742931186255,0.0324019276499754,0.7072671443193449,"[[0.6408284023668639, 0.7235142118863049, 0.6629279811097993]]",0.6757568651209894,0.0349539790076489,0.8464687819856704,"[[0.6991151009680622, 0.6878368105289716, 0.6890020596149221]]",0.6814387548328026,0.0122918196993514,0.9037871033776868,"[[0.10614956680538526, 0.11170678689991677, 0.10556212466672685]]",0.1078061594573429,0.0027685667653002,0.0716512913141727,"[[0.10614956680538526, 0.11170678689991677, 0.10556212466672685]]",0.1078061594573429,0.0027685667653002,0.0945491582394171,"[[0.10873901996491625, 0.11295282904883172, 0.11954731129634105]]",0.1137463867700296,0.0044480026055817,0.0865228277684679,"[[0.10673265563564385, 0.10885908457968006, 0.11569865567074505]]",0.1104301319620229,0.0038252173415841,0.0755460876703413,"[[0.6680913364887346, 0.6925329849421686, 0.6366992392496287]]",0.665774520226844,0.022852826487597,0.869942952124121,"[[0.6574673996947601, 0.642347612922632, 0.5602571071403556]]",0.6200240399192493,0.0427100041235949,0.7343686091768716,"[[0.6943460891798183, 0.7007461898130606, 0.5994415605361757]]",0.6648446131763516,0.0463206922301406,0.8784997841735147,"[[0.7199167451531274, 0.6667122943306683, 0.6283742355892036]]",0.6716677583576663,0.0375359847977681,0.9309738692299756,"[[0.6288970355990335, 0.7259529908056436, 0.6941024570050803]]",0.6829841611365858,0.0403953544155051,0.8777429350057411,"[[0.5898190377840518, 0.681112126848182, 0.6512801024690458]]",0.6407370890337598,0.0380085374351629,0.7293159498312707,"[[0.6415163388140696, 0.7354857900069127, 0.6800527505053408]]",0.6856849597754411,0.0385690357265832,0.8946733240145391,0.6919846570373186,0.0050643771808706,0.928803646742104
7,0.4,[0.002201960251343655],[3938.535166569007],[0.0015678154441741633],10,2,1000,"[[0.6586294416243654, 0.8021091811414393, 0.6951909476661952]]",0.7186431901439999,0.0608775529014329,0.7775476387738194,"[[0.5653553299492385, 0.5, 0.6117397454031117]]",0.5590316917841167,0.0458361863991075,0.6342170671085335,"[[0.6586294416243654, 0.8107940446650124, 0.6951909476661952]]",0.7215381446518577,0.0648544405900906,0.7775476387738194,"[[0.6187439541509423, 0.8435539745948686, 0.6322107069748897]]",0.687658436992102,0.1046169905354445,0.7949461474730737,"[[0.10147057120450818, 0.08826751663511664, 0.10587477342047566]]",0.0985376204200334,0.0074813333528414,0.086958360165618,"[[0.10147057120450818, 0.08826751663511664, 0.10587477342047566]]",0.0985376204200334,0.0074813333528414,0.1105520420903395,"[[0.10158662660287981, 0.08734060481923882, 0.10668760939225595]]",0.0985382802714582,0.0081872241125754,0.0860093206188975,"[[0.10193388385125757, 0.09355887969176399, 0.1105288029293005]]",0.1020071888241073,0.0069281360593959,0.0908251243045297,"[[0.6210792797698577, 0.7965194689055517, nan]]",,,0.7966228674169633,"[[0.5270414046433992, 0.5, nan]]",,,0.6630914425200216,"[[0.6210792797698577, 0.8117303290766836, nan]]",,,0.8023985367690215,"[[0.5847910057331772, 0.8582104704389876, nan]]",,,0.8308785340984587,"[[0.6683967535146187, 0.8130515112550153, 0.7279121558412021]]",0.7364534735369453,0.0593630935583039,0.7198354975164792,"[[0.5775517516627845, 0.5, 0.641629620597277]]",0.5730604574200205,0.0579072024916502,0.6690814080847475,"[[0.6683967535146187, 0.8208294997081076, 0.7279121558412021]]",0.7390461363546428,0.0627264413655432,0.7439651336645479,0.6981695452402334,0.1029492191389683,0.8269711403919628
8,0.2,[0.0019419203268569714],[3473.4148780997707],[0.0026396408844587393],5,2,100,"[[0.8469251336898396, 0.7201897018970189, 0.5895915678524374]]",0.7189021344797654,0.1050599333683354,0.7726199842643587,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.8469251336898396, 0.741869918699187, 0.5869565217391305]]",0.7252505247093857,0.106780375826072,0.7726199842643587,"[[0.7615607431032033, 0.8018342193874729, 0.6474650483589272]]",0.6921944635047373,0.0439969717365964,0.6884343036978757,"[[0.08402890334506372, 0.09546799756346709, 0.10582873244847474]]",0.0951085444523351,0.0089033717260675,0.0856055950620841,"[[0.08402890334506372, 0.09546799756346709, 0.10582873244847474]]",0.0951085444523351,0.0089033717260675,0.1071530453950365,"[[0.08359679189386622, 0.0952837653406924, 0.10327593786129824]]",0.0940521650319522,0.0080810406092384,0.0865955110644385,"[[0.08728088433096329, 0.09995958446834627, 0.10083915494891617]]",0.0960265412494085,0.0061945296974526,0.0926212473666412,"[[0.8857104409395844, 0.78702983729696, 0.5455748186127211]]",0.7394383656164218,0.1428793699278293,0.7838507971424727,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.8857104409395844, 0.8157093259025183, 0.5429514914354899]]",0.7481237527591976,0.1478665651617948,0.7838507971424727,"[[0.7899838612020798, 0.7600386237082023, 0.5985530287550197]]",0.7161918378884339,0.0840767362706517,0.7082679858261994,"[[0.8560896673036977, 0.8233654595344403, 0.5977144805062606]]",0.7590565357814661,0.1148656100082527,0.7886119735061624,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.8560896673036977, 0.8368461907292971, 0.5951404958539857]]",0.7626921179623268,0.1187370691935747,0.7886119735061624,0.7369533369498678,0.065378913874972,0.7012051207699547
9,0.2,[0.01879338811502467],[4341.516404970832],[0.08969599810321822],15,2,1000,"[[0.8343596059113301, 0.6298200514138818, 0.7463672391017173]]",0.736848965475643,0.083773724950485,0.6219723183391004,"[[0.6927339901477833, 0.6902313624678663, 0.7073976221928666]]",0.6967876582695055,0.007571626296789,0.5627162629757786,"[[0.8343596059113301, 0.6928020565552699, 0.7463672391017173]]",0.7578429671894392,0.0583575427645866,0.6548442906574394,"[[0.8647053800166419, 0.7032889816287798, 0.7564842350625529]]",0.7606233572243336,0.0745899794644516,0.7249134948096886,"[[0.10939093514190291, 0.09412451953443082, 0.10013218689256798]]",0.1012158805229672,0.0062794190436399,0.114909899246377,"[[0.10939093514190291, 0.09412451953443082, 0.10013218689256798]]",0.1012158805229672,0.0062794190436399,0.1104189869712754,"[[0.11488511550867439, 0.10332585800869673, 0.10578457964704394]]",0.1079985177214716,0.0049719379076136,0.1092471619372854,"[[0.10690789478261718, 0.09996554155963366, 0.10214028141077013]]",0.1030045725843403,0.0028993466497012,0.1105724673145176,"[[0.8357592841388767, 0.6512544377246486, 0.6865152039155723]]",0.7245096419263658,0.0799716307090687,0.6083983386605877,"[[0.6912365604610979, 0.7028782278977161, 0.6600361452802853]]",0.6847169778796998,0.0180875597861521,0.537554826742158,"[[0.8357592841388767, 0.7085559377354638, 0.6865152039155723]]",0.7436101419299709,0.0657776395350663,0.6668635616920281,"[[0.8664167759936113, 0.6881938025701132, 0.6868218212255266]]",0.7471441332630837,0.0843403543631221,0.7251290613732314,"[[0.8471083214025865, 0.6813587248047465, 0.7497764821249512]]",0.7594145094440948,0.0680093173569626,0.73701489597585,"[[0.7016122983096397, 0.7102438460124701, 0.711594689066928]]",0.7078169444630126,0.0044218713727612,0.5901265465024373,"[[0.8471083214025865, 0.7279328230456127, 0.7497764821249512]]",0.7749392088577168,0.0518045812943806,0.7589173573771424,0.7748261989026582,0.0671621626873398,0.7940589115971465
10,0.3,[0.012778777870026212],[3902.4541194538047],[0.01603709278996964],5,2,500,"[[0.7673656618610747, 0.8426136363636364, 0.6224852071005917]]",0.7441548351084343,0.0913534826971934,0.7505050505050505,"[[0.7129750982961992, 0.6806818181818182, 0.6023668639053255]]",0.6653412601277809,0.0464402477729794,0.704040404040404,"[[0.7870249017038008, 0.8431818181818181, 0.6224852071005917]]",0.7508973089954036,0.0936505944165595,0.7686868686868686,"[[0.7532950007211829, 0.8202238797111956, 0.6191939985706353]]",0.714125042212551,0.0778745655950851,0.7121212121212122,"[[0.10282891826124671, 0.11091334002389455, 0.10272182108073079]]",0.1054880264552906,0.0038365251586799,0.0781380142440258,"[[0.10282891826124671, 0.11091334002389455, 0.10272182108073079]]",0.1054880264552906,0.0038365251586799,0.0950438289450667,"[[0.10115933499130673, 0.10816901539997925, 0.10268929659211233]]",0.1040058823277994,0.0030093136933519,0.0770800191832557,"[[0.09674691219794054, 0.11333319053231551, 0.10380172752443463]]",0.1046272767515635,0.0067964356291195,0.0777093783580695,"[[0.8145100699488509, 0.822556743467966, 0.5925200242237734]]",0.7431956125468634,0.1065943617210053,0.7520846182118497,"[[0.788273480367336, 0.6545888652468488, 0.564542369187274]]",0.6691349049338196,0.0919151528327349,0.711601094965327,"[[0.8384621633626902, 0.8253343410825426, 0.5925200242237734]]",0.7521055095563355,0.1129711770794563,0.783944064014491,"[[0.7822269005133017, 0.7887615850960604, 0.6004401069957658]]",0.723809530868376,0.0872761387231884,0.7319156636418013,"[[0.8273813004476844, 0.8543473029057105, 0.6242832800042664]]",0.7686706277858871,0.102689080794729,0.798335857484273,"[[0.8070278622196119, 0.697223323661263, 0.6050560760875792]]",0.7031024206561515,0.0825593662542188,0.7046344700472035,"[[0.8359832380208309, 0.8527394424535781, 0.6242832800042664]]",0.7710019868262252,0.1039710754501107,0.8123425592828182,0.7309042930010046,0.083583336146247,0.7625275892907847
