random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.013811239998370398],[2774.99992110722],[0.07578909424069913],15,2,100,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.6696599433737864,0.078378699346507,0.7850911974623315,"[[0.6666666666666666, 0.6284916201117319, 0.6011166253101737]]",0.6320916373628575,0.0268814939269352,0.7850911974623315,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.6696599433737864,0.078378699346507,0.7850911974623315,"[[0.8358461668412396, 0.6359818168638436, 0.605748748533631]]",0.6667186605541323,0.0695707165901596,0.767644726407613,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.1084696460394426,0.0041672702942909,0.0902450441635408,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.1084696460394426,0.0041672702942909,0.1031539843037917,"[[0.10466021096770875, 0.10802069265840944, 0.11173148164536767]]",0.1081374617571619,0.0028880147178753,0.0985189669526495,"[[0.09784301629725049, 0.1200073204894022, 0.11380699578461187]]",0.1105524441904215,0.009336600903255,0.0827877780419317,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.6895629233357811,0.1283392763236265,0.8090433780041629,"[[0.6549948380267383, 0.5509099981008546, 0.657459708275768]]",0.6211215148011203,0.0496572364941231,0.8090433780041629,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.6895629233357811,0.1283392763236265,0.8090433780041629,"[[0.8484330811869575, 0.5509099981008546, 0.6980399858055469]]",0.6991276883644529,0.1214657251104401,0.7961901348832207,"[[0.8472551896059213, 0.6359818168638436, 0.6009720188791022]]",0.6947363417829556,0.1087900752050075,0.7971475230205596,"[[0.6778344693960472, 0.6359818168638436, 0.6009720188791022]]",0.6382627683796643,0.0314203875398399,0.7971475230205596,"[[0.8472551896059213, 0.6359818168638436, 0.6009720188791022]]",0.6947363417829556,0.1087900752050075,0.7971475230205596,0.6925255774129048,0.1020917989547603,0.7797529654566571
2,0.2,[0.01947155776466564],[3734.4700447600826],[0.10199355322808817],10,2,100,"[[0.650314465408805, 0.5532043530834341, 0.8553299492385786]]",0.6862829225769392,0.1259371970370345,0.7107243650047037,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.650314465408805, 0.5532043530834341, 0.8553299492385786]]",0.6862829225769392,0.1259371970370345,0.7107243650047037,"[[0.6729968902391105, 0.5769988200423236, 0.8037736343915163]]",0.6460967973654334,0.0741844792153971,0.7107243650047037,"[[0.1054753899153663, 0.11054608983699996, 0.11393351855134994]]",0.109984999434572,0.0034757351103024,0.0854018664718435,"[[0.1054753899153663, 0.11054608983699996, 0.11393351855134994]]",0.109984999434572,0.0034757351103024,0.0906616075302641,"[[0.1061065713154904, 0.11269651923408437, 0.11806740303735147]]",0.1122901645289754,0.0048914358477814,0.0883495408985031,"[[0.1124189045225817, 0.1137222505213455, 0.09401949049004757]]",0.1067202151779915,0.0089965172297334,0.0847890383551152,"[[0.6395849686612711, 0.5229426911195888, 0.8970799419020123]]",0.686535867227624,0.1563073057855336,0.7239284214817872,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.6395849686612711, 0.5229426911195888, 0.8970799419020123]]",0.686535867227624,0.1563073057855336,0.7239284214817872,"[[0.6395849686612711, 0.5229426911195888, 0.8485586285924981]]",0.6703620961244527,0.1347017900530751,0.7239284214817872,"[[0.6729968902391105, 0.5769988200423236, 0.8954893512694886]]",0.7151616871836408,0.1333977940756406,0.6935088439120085,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.6729968902391105, 0.5769988200423236, 0.8954893512694886]]",0.7151616871836408,0.1333977940756406,0.6935088439120085,0.6845897815576502,0.0929426362606538,0.6935088439120085
3,0.3,[0.002467813388156337],[3042.4356891400066],[0.002571227807144366],10,2,100,"[[0.8023743016759777, 0.5164756446991404, 0.7881844380403458]]",0.7023447948051545,0.1315569427493876,0.6986159169550173,"[[0.6641061452513967, 0.4706303724928367, 0.7579250720461095]]",0.6308871965967809,0.1196165679999773,0.6986159169550173,"[[0.8023743016759777, 0.5164756446991404, 0.7881844380403458]]",0.7023447948051545,0.1315569427493876,0.6986159169550173,"[[0.6905747672841342, 0.4922899787956464, 0.6567982608096706]]",0.6136041801589983,0.1029342572636261,0.6868512110726643,"[[0.09828928079793975, 0.12581732028084547, 0.08208540663988292]]",0.1020640025728893,0.0180518966876772,0.11305130224336,"[[0.09828928079793975, 0.12581732028084547, 0.08208540663988292]]",0.1020640025728893,0.0180518966876772,0.1262282476198966,"[[0.09785127940641072, 0.12503158255569488, 0.08197660954185451]]",0.1016198238346533,0.0177779661498226,0.1130701609261302,"[[0.09488714754477216, 0.13345704728282415, 0.08090294518588277]]",0.103082380004493,0.0222239328668529,0.113588441408441,"[[0.817131380664006, 0.45875943342774317, 0.7777841256105773]]",0.6845583132341089,0.1604699394724072,0.6819198502757394,"[[0.6519001259462902, 0.4316409889215955, 0.7562294532031155]]",0.6132568560236671,0.1353006393650659,0.6819198502757394,"[[0.817131380664006, 0.45875943342774317, 0.7777841256105773]]",0.6845583132341089,0.1604699394724072,0.6819198502757394,"[[0.7182005541729225, 0.4316409889215955, 0.7143761928088957]]",0.6214059119678046,0.1341931467425737,0.6556653220420433,"[[0.8260191094106728, 0.5408887953162521, 0.7913453160777338]]",0.7194177402682196,0.1270301962140519,0.7166343526025252,"[[0.68916262879435, 0.4922899787956464, 0.7598226357049537]]",0.6470917477649833,0.1131986451661521,0.7166343526025252,"[[0.8260191094106728, 0.5408887953162521, 0.7913453160777338]]",0.7194177402682196,0.1270301962140519,0.7166343526025252,0.6132210022964837,0.0866158085306407,0.7062183429202842
4,0.3,[0.03211828240463841],[3524.977528884799],[0.11215872866548769],10,2,100,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.7228018126364021,0.0951420254552229,0.6216216216216216,"[[0.591849935316947, 0.7327707454289732, 0.6311018131101813]]",0.6519074979520338,0.0593819617502448,0.6216216216216216,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.7228018126364021,0.0951420254552229,0.6216216216216216,"[[0.5890900108809312, 0.6685732198476612, 0.786543488681174]]",0.6833421951883306,0.081304600055936,0.6216216216216216,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.1034406419504749,0.0076808343137682,0.1157414722776572,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.1034406419504749,0.0076808343137682,0.1189207029291355,"[[0.10538557540426469, 0.09429475577928183, 0.11170682939065975]]",0.103795720191402,0.0071967958870787,0.1179564600069655,"[[0.11638763530382769, 0.07912383040692145, 0.09043093351792136]]",0.0953141330762235,0.015599829428412,0.1114534282369289,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.7750955941681443,0.0746479360561519,0.5806317242752314,"[[0.6697092520862239, 0.7561435830391535, 0.6633792510045144]]",0.6964106953766306,0.0423165108029265,0.5806317242752314,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.7750955941681443,0.0746479360561519,0.5806317242752314,"[[0.6697092520862239, 0.6953951113624677, 0.8543976717121095]]",0.7398340117202671,0.0816846170125669,0.5806317242752314,"[[0.5890900108809312, 0.8198306498832895, 0.7606618408519856]]",0.7231941672054022,0.0978542472189099,0.6775812655781117,"[[0.5890900108809312, 0.7331035517069554, 0.6328565970100262]]",0.6516833865326376,0.0602816223410793,0.6775812655781117,"[[0.5890900108809312, 0.8198306498832895, 0.7606618408519856]]",0.7231941672054022,0.0978542472189099,0.6775812655781117,0.6814022398032554,0.0811188707540504,0.6775812655781117
5,0.2,[0.022105772903460556],[3687.4651655485036],[0.12130529235908905],5,2,100,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.6887006933942476,0.0672288465442673,0.6835973904939422,"[[0.6290106951871658, 0.6544566544566545, 0.6988023952095809]]",0.6607565816178004,0.0288384830817145,0.6835973904939422,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.6887006933942476,0.0672288465442673,0.6835973904939422,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.6887006933942476,0.0672288465442673,0.6835973904939422,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.1122158134920926,0.0141659601081542,0.0837491398389403,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.1122158134920926,0.0141659601081542,0.0920930315849367,"[[0.09517065960414373, 0.12158295756827067, 0.1250817850932705]]",0.1139451340885616,0.0133521812858915,0.089772879512279,"[[0.09011264916627001, 0.1370095535209129, 0.11535747403177007]]",0.1141598922396509,0.0191642994675645,0.0760936697808809,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.7115767079842104,0.0413470311211196,0.7021549926312153,"[[0.6908984572921376, 0.6745484085001687, 0.717615505458893]]",0.6943541237503997,0.0177510550506368,0.7021549926312153,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.7115767079842104,0.0413470311211196,0.7021549926312153,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.7115767079842104,0.0413470311211196,0.7021549926312153,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.7160766429290731,0.0647296517834835,0.6924918005790732,"[[0.7272123063609112, 0.6318202511807951, 0.7053424304595748]]",0.6881249960004269,0.0408022963805377,0.6924918005790732,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.7160766429290731,0.0647296517834835,0.6924918005790732,0.7160766429290731,0.0647296517834835,0.6924918005790732
6,0.2,[0.010234337915247567],[2983.363808583022],[0.030676621963164532],5,2,500,"[[0.5899408284023668, 0.7099483204134367, 0.6959858323494688]]",0.6652916603884241,0.0535851265369871,0.834186284544524,"[[0.5899408284023668, 0.6692506459948321, 0.6080283353010626]]",0.6224066032327538,0.0339368308594478,0.7072671443193449,"[[0.5899408284023668, 0.7099483204134367, 0.6959858323494688]]",0.6652916603884241,0.0535851265369871,0.834186284544524,"[[0.49693348415443134, 0.6191359787235273, 0.7118765181473973]]",0.6033337481621756,0.0787231487962932,0.7932446264073695,"[[0.11052520339432302, 0.11128367905273191, 0.12444974473757649]]",0.1154195423948771,0.0063928208220195,0.0814003306602907,"[[0.11052520339432302, 0.11128367905273191, 0.12444974473757649]]",0.1154195423948771,0.0063928208220195,0.0945491582394171,"[[0.10982208255683608, 0.11243246543754112, 0.12258650898618265]]",0.1149470189935199,0.0055060500183564,0.0843636533376789,"[[0.11624981568804607, 0.10935860444073928, 0.1200323114566745]]",0.1152135771951532,0.00441869875462,0.0742869075468369,"[[0.6574673996947601, 0.6986108266176202, 0.6118058874962943]]",0.6559613712695582,0.0354539650361555,0.8785189515033703,"[[0.6574673996947601, 0.642347612922632, 0.5459564073474221]]",0.6152571399882715,0.0493902530629104,0.7343686091768716,"[[0.6574673996947601, 0.6986108266176202, 0.6118058874962943]]",0.6559613712695582,0.0354539650361555,0.8785189515033703,"[[0.5225351800615199, 0.6525861046142826, 0.6118058874962943]]",0.5956423907240321,0.0543093283281812,0.846738531544679,"[[0.5898190377840518, 0.7264726256264816, 0.7118765181473973]]",0.6760560605193101,0.0612692400043521,0.8630288319489896,"[[0.5898190377840518, 0.681112126848182, 0.6187174808464915]]",0.6298828818262417,0.0380973022841667,0.7293159498312707,"[[0.5898190377840518, 0.7264726256264816, 0.7118765181473973]]",0.6760560605193101,0.0612692400043521,0.8630288319489896,0.6093153270084519,0.0880244695737381,0.8366706013121658
7,0.2,[0.0053290262422305175],[3938.535166569007],[0.033622342218990124],15,2,100,"[[0.5653553299492385, 0.8430521091811415, 0.6386138613861386]]",0.6823404335055062,0.1175099573963153,0.7572493786246893,"[[0.5653553299492385, 0.5, 0.6117397454031117]]",0.5590316917841167,0.0458361863991075,0.6342170671085335,"[[0.5653553299492385, 0.8430521091811415, 0.6386138613861386]]",0.6823404335055062,0.1175099573963153,0.7572493786246893,"[[0.5379972194126036, 0.671389433442923, 0.6119492961231678]]",0.6082379086574483,0.0589160404417619,0.7572493786246893,"[[0.10788460657683192, 0.09950189199656181, 0.11161004926140412]]",0.1063321826115992,0.00506355495763,0.09804284303392,"[[0.10788460657683192, 0.09950189199656181, 0.11161004926140412]]",0.1063321826115992,0.00506355495763,0.1105520420903395,"[[0.10565074696953362, 0.10276816865798262, 0.11175231911975445]]",0.1067237449157569,0.0037454179405764,0.1024406089682536,"[[0.10961196428834823, 0.09596248472850917, 0.11195091050432707]]",0.1058417865070614,0.0070506794033904,0.094947839388084,"[[0.5270414046433992, 0.8521345507135697, nan]]",,,0.8068781854403749,"[[0.5270414046433992, 0.5, nan]]",,,0.6630914425200216,"[[0.5270414046433992, 0.8521345507135697, nan]]",,,0.8068781854403749,"[[0.4989177569458395, 0.7894021528755364, nan]]",,,0.8068781854403749,"[[0.5775517516627845, 0.8473813725311248, 0.6482089431298156]]",0.6910473557745749,0.1142463807535569,0.8303870896753742,"[[0.5775517516627845, 0.5, 0.641629620597277]]",0.5730604574200205,0.0579072024916502,0.6690814080847475,"[[0.5775517516627845, 0.8473813725311248, 0.6482089431298156]]",0.6910473557745749,0.1142463807535569,0.8303870896753742,0.6071119829928981,0.0545644596767153,0.8303870896753742
8,0.2,[0.004282188207194876],[3473.4148780997707],[0.005062594339433656],15,2,100,"[[0.7800802139037433, 0.6673441734417345, 0.6245059288537549]]",0.6906434387330775,0.0656149442558174,0.6986624704956726,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.7800802139037433, 0.6673441734417345, 0.6245059288537549]]",0.6906434387330775,0.0656149442558174,0.6986624704956726,"[[0.7670307294283111, 0.692212218258735, 0.629110750870941]]",0.6320529909747675,0.0950096069461814,0.6986624704956726,"[[0.09276091414196098, 0.10169418297341826, 0.10232761390066172]]",0.0989275703386803,0.0043681456913508,0.0969295931443918,"[[0.09276091414196098, 0.10169418297341826, 0.10232761390066172]]",0.0989275703386803,0.0043681456913508,0.1071530453950365,"[[0.09279251882213722, 0.10177829846209485, 0.10118609194993679]]",0.0985856364113896,0.0041034810986478,0.0969468308237357,"[[0.0928300129269978, 0.10234205903682585, 0.10350873454175728]]",0.0995602688351936,0.0047827845010903,0.0967337937463216,"[[0.8050056356123676, 0.7137901680879156, 0.5820200812851692]]",0.7002719616618175,0.0915339492151625,0.6960651189625309,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.8050056356123676, 0.7137901680879156, 0.5820200812851692]]",0.7002719616618175,0.0915339492151625,0.6960651189625309,"[[0.7806366597597142, 0.582696029775942, 0.5820200812851692]]",0.6484509236069419,0.0934698377669798,0.6960651189625309,"[[0.7949089088565939, 0.7881291148957498, 0.629110750870941]]",0.7373829248744282,0.0766100043472084,0.7065949749091909,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.7949089088565939, 0.7881291148957498, 0.629110750870941]]",0.7373829248744282,0.0766100043472084,0.7065949749091909,0.696117899519329,0.0563732849311821,0.7065949749091909
9,0.2,[0.027265988322721344],[4764.808894823339],[0.15674630405240916],5,2,100,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.6927339901477833, 0.6902313624678663, 0.6704095112285336]]",0.6844582879480611,0.0099863867944458,0.5627162629757786,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.7598517376347868, 0.6384268425598946, 0.7289333153051891]]",0.7011816730661483,0.0436576036993865,0.6427335640138409,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1091645804776606,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1104189881995052,"[[0.11812113851199618, 0.10746690382516835, 0.10904422024263538]]",0.1115440875265999,0.0046950457234961,0.1099181984739726,"[[0.10578237984424503, 0.09816888682395661, 0.09008884168081234]]",0.0980133694496713,0.0064078037975611,0.111346853564238,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.6912365604610979, 0.7028782278977161, 0.6261386942263305]]",0.6734178275283815,0.0337675331200551,0.537554826742158,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.7335012139913739, 0.6587237203663312, 0.6699921300303512]]",0.6874056881293521,0.0329174967908282,0.6617026511729689,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,"[[0.7016122983096397, 0.7102438460124701, 0.6763547098115725]]",0.6960702847112273,0.0143794720383952,0.5901265465024373,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,0.7090706318332902,0.0515227841640037,0.7268357745708323
10,0.2,[0.010609165886951858],[3902.4541194538047],[0.01254263020834826],15,2,500,"[[0.7234600262123198, 0.79375, 0.6100591715976331]]",0.7090897326033176,0.0756767648779713,0.704040404040404,"[[0.7129750982961992, 0.6806818181818182, 0.6100591715976331]]",0.6679053626918835,0.0429755771977594,0.704040404040404,"[[0.7234600262123198, 0.79375, 0.6100591715976331]]",0.7090897326033176,0.0756767648779713,0.704040404040404,"[[0.729473221930733, 0.7912677371392789, 0.5967047634646292]]",0.6580026962569305,0.0839451804623376,0.6898989898989899,"[[0.0975464242074114, 0.1159294850591367, 0.10457228918824608]]",0.106016066151598,0.0075739730001053,0.0870286496339316,"[[0.0975464242074114, 0.1159294850591367, 0.10457228918824608]]",0.106016066151598,0.0075739730001053,0.0950438289450667,"[[0.09754369924380171, 0.11535493063400916, 0.10472121465431428]]",0.1058732815107083,0.007316895263251,0.087006954517644,"[[0.09773116219645188, 0.1213309189738997, 0.10528152812616971]]",0.1081145364321737,0.0098406159033226,0.0856209676249931,"[[0.780245895653086, 0.7796227956038609, 0.5817378137292457]]",0.7138688349953975,0.0934310874354107,0.711601094965327,"[[0.788273480367336, 0.6545888652468488, 0.5817378137292457]]",0.6748667197811434,0.0855283147532465,0.711601094965327,"[[0.780245895653086, 0.7796227956038609, 0.5817378137292457]]",0.7138688349953975,0.0934310874354107,0.711601094965327,"[[0.6831745750870863, 0.7703788427454413, 0.5797472984304173]]",0.6777669054209815,0.0779188834211409,0.6995385246361906,"[[0.8169858775977258, 0.8088152248945901, 0.6123484314170798]]",0.7460498446364653,0.0946000028683736,0.7046344700472035,"[[0.8070278622196119, 0.697223323661263, 0.6123484314170798]]",0.705533205765985,0.0796944615384082,0.7046344700472035,"[[0.8169858775977258, 0.8088152248945901, 0.6123484314170798]]",0.7460498446364653,0.0946000028683736,0.7046344700472035,0.7058152408448803,0.0811725024585482,0.682147007139402
