time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.25,-0.3220338983050847,-0.0720338983050847,25,1,random_forest
46.95,0.0,0.3025210084033613,0.3025210084033613,50,1,random_forest
59.4,0.0,0.1833333333333333,0.1833333333333333,75,1,random_forest
34.45,0.5,-0.3672316384180791,0.1327683615819209,25,1,LASSO
46.95,0.5,-0.3025210084033613,0.1974789915966386,50,1,LASSO
59.4,0.0,0.15,0.15,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.5,-0.7909604519774012,-0.2909604519774011,25,1,ELASTIC_NET
46.95,0.0,-0.7226890756302521,-0.7226890756302521,50,1,ELASTIC_NET
59.4,0.0,-0.25,-0.25,75,1,ELASTIC_NET
34.45,-0.3333333333333333,0.6228571428571429,0.2895238095238095,25,2,random_forest
45.3,0.0,0.3524590163934426,0.3524590163934426,50,2,random_forest
59.25,0.0,0.2,0.2,75,2,random_forest
34.45,0.0,0.2971428571428571,0.2971428571428571,25,2,LASSO
45.3,0.0,-0.1639344262295081,-0.1639344262295081,50,2,LASSO
59.25,0.0,-0.2833333333333333,-0.2833333333333333,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,-0.1542857142857142,-0.1542857142857142,25,2,ELASTIC_NET
45.3,0.0,-0.1639344262295081,-0.1639344262295081,50,2,ELASTIC_NET
59.25,0.0,-0.2833333333333333,-0.2833333333333333,75,2,ELASTIC_NET
34.4,0.25,-0.2346368715083799,0.0153631284916201,25,3,random_forest
45.8,0.0,-0.1333333333333333,-0.1333333333333333,50,3,random_forest
59.25,0.0,-0.2333333333333333,-0.2333333333333333,75,3,random_forest
34.4,0.25,-0.3519553072625698,-0.1019553072625698,25,3,LASSO
45.8,0.0,-0.2583333333333333,-0.2583333333333333,50,3,LASSO
59.25,0.0,0.2166666666666666,0.2166666666666666,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,-0.3519553072625698,-0.1019553072625698,25,3,ELASTIC_NET
45.8,0.0,-0.2583333333333333,-0.2583333333333333,50,3,ELASTIC_NET
59.25,0.0,0.2166666666666666,0.2166666666666666,75,3,ELASTIC_NET
34.4,-0.6,0.7231638418079096,0.1231638418079096,25,4,random_forest
44.4,,0.3821138211382114,,50,4,random_forest
58.175,,0.3114754098360656,,75,4,random_forest
34.4,0.0,-0.1412429378531073,-0.1412429378531073,25,4,LASSO
44.4,,0.0,,50,4,LASSO
58.175,,0.0,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.0,0.0,0.0,25,4,ELASTIC_NET
44.4,,0.0,,50,4,ELASTIC_NET
58.175,,0.0,,75,4,ELASTIC_NET
35.05,0.2,-0.2727272727272727,-0.0727272727272727,25,5,random_forest
45.8,0.0,-0.1487603305785124,-0.1487603305785124,50,5,random_forest
58.5,0.0,-0.1833333333333333,-0.1833333333333333,75,5,random_forest
35.05,0.0,-0.3011363636363636,-0.3011363636363636,25,5,LASSO
45.8,0.0,-0.2479338842975206,-0.2479338842975206,50,5,LASSO
58.5,0.0,-0.1666666666666666,-0.1666666666666666,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,-0.1306818181818181,-0.1306818181818181,25,5,ELASTIC_NET
45.8,0.0,-0.1570247933884297,-0.1570247933884297,50,5,ELASTIC_NET
58.5,0.0,-0.1833333333333333,-0.1833333333333333,75,5,ELASTIC_NET
34.625,0.0,0.3806818181818182,0.3806818181818182,25,6,random_forest
45.2,,0.4297520661157025,,50,6,random_forest
58.975,,0.3114754098360656,,75,6,random_forest
34.625,0.0,0.2670454545454545,0.2670454545454545,25,6,LASSO
45.2,,0.4710743801652892,,50,6,LASSO
58.975,,0.4262295081967213,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.0,0.4090909090909091,0.4090909090909091,25,6,ELASTIC_NET
45.2,,0.0,,50,6,ELASTIC_NET
58.975,,0.0,,75,6,ELASTIC_NET
34.675,0.0,0.4180790960451977,0.4180790960451977,25,7,random_forest
45.2,0.0,0.4416666666666666,0.4416666666666666,50,7,random_forest
59.075,,0.3442622950819672,,75,7,random_forest
34.675,0.0,0.3615819209039548,0.3615819209039548,25,7,LASSO
45.2,0.0,0.2416666666666666,0.2416666666666666,50,7,LASSO
59.075,,0.1147540983606557,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,0.0,0.423728813559322,0.423728813559322,25,7,ELASTIC_NET
45.2,0.0,0.475,0.475,50,7,ELASTIC_NET
59.075,,0.0,,75,7,ELASTIC_NET
34.6,0.0,0.4078212290502793,0.4078212290502793,25,8,random_forest
45.3,0.0,0.4308943089430894,0.4308943089430894,50,8,random_forest
59.1,0.0,0.3114754098360656,0.3114754098360656,75,8,random_forest
34.6,0.0,0.4022346368715084,0.4022346368715084,25,8,LASSO
45.3,0.0,0.3089430894308943,0.3089430894308943,50,8,LASSO
59.1,0.0,0.1639344262295081,0.1639344262295081,75,8,LASSO
34.6,0.0,0.0,0.0,25,8,RIDGE
45.3,0.0,0.0,0.0,50,8,RIDGE
59.1,0.0,0.0,0.0,75,8,RIDGE
34.6,0.0,0.4022346368715084,0.4022346368715084,25,8,ELASTIC_NET
45.3,0.0,0.3089430894308943,0.3089430894308943,50,8,ELASTIC_NET
59.1,0.0,0.1639344262295081,0.1639344262295081,75,8,ELASTIC_NET
34.625,0.0,0.44,0.44,25,9,random_forest
45.3,0.0,0.4672131147540984,0.4672131147540984,50,9,random_forest
57.4,,0.4354838709677419,,75,9,random_forest
34.625,0.3333333333333333,-0.3028571428571429,0.0304761904761904,25,9,LASSO
45.3,0.0,0.360655737704918,0.360655737704918,50,9,LASSO
57.4,,-0.2096774193548387,,75,9,LASSO
34.625,0.0,0.0,0.0,25,9,RIDGE
45.3,0.0,0.0,0.0,50,9,RIDGE
57.4,,0.0,,75,9,RIDGE
34.625,0.0,-0.1257142857142857,-0.1257142857142857,25,9,ELASTIC_NET
45.3,0.0,-0.1475409836065573,-0.1475409836065573,50,9,ELASTIC_NET
57.4,,-0.1774193548387097,,75,9,ELASTIC_NET
34.6,0.0,0.4204545454545454,0.4204545454545454,25,10,random_forest
43.25,0.0,0.4705882352941176,0.4705882352941176,50,10,random_forest
55.675,0.0,0.3833333333333333,0.3833333333333333,75,10,random_forest
34.6,0.0,0.3011363636363636,0.3011363636363636,25,10,LASSO
43.25,0.0,0.3529411764705882,0.3529411764705882,50,10,LASSO
55.675,0.0,0.2666666666666666,0.2666666666666666,75,10,LASSO
34.6,0.0,0.0,0.0,25,10,RIDGE
43.25,0.0,0.0,0.0,50,10,RIDGE
55.675,0.0,0.0,0.0,75,10,RIDGE
34.6,0.0,0.3011363636363636,0.3011363636363636,25,10,ELASTIC_NET
43.25,0.0,0.3529411764705882,0.3529411764705882,50,10,ELASTIC_NET
55.675,0.0,0.2666666666666666,0.2666666666666666,75,10,ELASTIC_NET
34.6,0.3333333333333333,0.2443181818181818,0.5776515151515151,25,11,random_forest
45.6,0.0,0.3333333333333333,0.3333333333333333,50,11,random_forest
58.975,0.0,0.2,0.2,75,11,random_forest
34.6,0.3333333333333333,-0.1931818181818181,0.1401515151515151,25,11,LASSO
45.6,0.0,-0.1666666666666666,-0.1666666666666666,50,11,LASSO
58.975,0.0,-0.2666666666666666,-0.2666666666666666,75,11,LASSO
34.6,0.0,0.0,0.0,25,11,RIDGE
45.6,0.0,0.0,0.0,50,11,RIDGE
58.975,0.0,0.0,0.0,75,11,RIDGE
34.6,0.0,0.3977272727272727,0.3977272727272727,25,11,ELASTIC_NET
