time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.4,-0.2,0.0933333333333333,-0.1066666666666666,25,1,random_forest
41.1,0.0,0.0961538461538461,0.0961538461538461,50,1,random_forest
54.2,,-0.074074074074074,,75,1,random_forest
34.4,0.0,0.3066666666666666,0.3066666666666666,25,1,LASSO
41.1,0.0,0.2307692307692307,0.2307692307692307,50,1,LASSO
54.2,,0.1111111111111111,,75,1,LASSO
34.4,0.0,0.0,0.0,25,1,RIDGE
41.1,0.0,0.0,0.0,50,1,RIDGE
54.2,,0.0,,75,1,RIDGE
34.4,0.0,0.72,0.72,25,1,ELASTIC_NET
41.1,0.0,0.6923076923076923,0.6923076923076923,50,1,ELASTIC_NET
54.2,,0.5925925925925926,,75,1,ELASTIC_NET
33.6,1.0,-0.141025641025641,0.858974358974359,25,2,random_forest
44.5,0.0,-0.0384615384615384,-0.0384615384615384,50,2,random_forest
54.6,,0.0,,75,2,random_forest
33.6,0.0,0.3333333333333333,0.3333333333333333,25,2,LASSO
44.5,0.0,0.4423076923076923,0.4423076923076923,50,2,LASSO
54.6,,0.4642857142857143,,75,2,LASSO
33.6,0.0,0.0,0.0,25,2,RIDGE
44.5,0.0,0.0,0.0,50,2,RIDGE
54.6,,0.0,,75,2,RIDGE
33.6,0.0,0.4615384615384615,0.4615384615384615,25,2,ELASTIC_NET
44.5,0.0,0.4423076923076923,0.4423076923076923,50,2,ELASTIC_NET
54.6,,0.4642857142857143,,75,2,ELASTIC_NET
34.6,-0.25,0.0533333333333333,-0.1966666666666666,25,3,random_forest
42.6,0.0,0.1153846153846153,0.1153846153846153,50,3,random_forest
54.6,,0.1111111111111111,,75,3,random_forest
34.6,-0.25,0.2933333333333333,0.0433333333333333,25,3,LASSO
42.6,0.0,0.2692307692307692,0.2692307692307692,50,3,LASSO
54.6,,0.1851851851851851,,75,3,LASSO
34.6,0.0,0.0,0.0,25,3,RIDGE
42.6,0.0,0.0,0.0,50,3,RIDGE
54.6,,0.0,,75,3,RIDGE
34.6,-0.25,0.3066666666666666,0.0566666666666666,25,3,ELASTIC_NET
42.6,0.0,0.3269230769230769,0.3269230769230769,50,3,ELASTIC_NET
54.6,,0.1851851851851851,,75,3,ELASTIC_NET
34.7,0.25,-0.2933333333333333,-0.0433333333333333,25,4,random_forest
46.9,0.0,-0.2352941176470588,-0.2352941176470588,50,4,random_forest
57.4,0.0,-0.2692307692307692,-0.2692307692307692,75,4,random_forest
34.7,0.25,0.6666666666666666,0.9166666666666666,25,4,LASSO
46.9,0.0,0.5882352941176471,0.5882352941176471,50,4,LASSO
57.4,0.0,0.5384615384615384,0.5384615384615384,75,4,LASSO
34.7,0.0,0.0,0.0,25,4,RIDGE
46.9,0.0,0.0,0.0,50,4,RIDGE
57.4,0.0,0.0,0.0,75,4,RIDGE
34.7,0.25,0.6666666666666666,0.9166666666666666,25,4,ELASTIC_NET
46.9,0.0,0.5882352941176471,0.5882352941176471,50,4,ELASTIC_NET
57.4,0.0,0.5384615384615384,0.5384615384615384,75,4,ELASTIC_NET
32.9,-0.6666666666666666,-0.0394736842105263,-0.706140350877193,25,5,random_forest
41.8,0.0,-0.0769230769230769,-0.0769230769230769,50,5,random_forest
55.1,,0.074074074074074,,75,5,random_forest
32.9,-0.6666666666666666,0.4078947368421052,-0.2587719298245614,25,5,LASSO
41.8,0.0,0.2307692307692307,0.2307692307692307,50,5,LASSO
55.1,,0.5555555555555556,,75,5,LASSO
32.9,0.0,0.0,0.0,25,5,RIDGE
41.8,0.0,0.0,0.0,50,5,RIDGE
55.1,,0.0,,75,5,RIDGE
32.9,-0.6666666666666666,0.7368421052631579,0.0701754385964912,25,5,ELASTIC_NET
41.8,0.0,0.5769230769230769,0.5769230769230769,50,5,ELASTIC_NET
55.1,,0.5925925925925926,,75,5,ELASTIC_NET
33.6,0.0,-0.0129870129870129,-0.0129870129870129,25,6,random_forest
45.3,0.0,-0.1764705882352941,-0.1764705882352941,50,6,random_forest
54.5,0.0,-0.1923076923076923,-0.1923076923076923,75,6,random_forest
33.6,0.0,0.0779220779220779,0.0779220779220779,25,6,LASSO
45.3,0.0,0.0,0.0,50,6,LASSO
