time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.4,0.0,0.32,0.32,25,1,random_forest
41.1,0.0,0.4615384615384615,0.4615384615384615,50,1,random_forest
54.2,,0.4444444444444444,,75,1,random_forest
34.4,0.2,0.4133333333333333,0.6133333333333333,25,1,LASSO
41.1,0.0,0.4230769230769231,0.4230769230769231,50,1,LASSO
54.2,,0.4444444444444444,,75,1,LASSO
34.4,0.0,0.0,0.0,25,1,RIDGE
41.1,0.0,0.0,0.0,50,1,RIDGE
54.2,,0.0,,75,1,RIDGE
34.4,0.2,0.4133333333333333,0.6133333333333333,25,1,ELASTIC_NET
41.1,0.0,0.4230769230769231,0.4230769230769231,50,1,ELASTIC_NET
54.2,,0.4444444444444444,,75,1,ELASTIC_NET
33.6,0.0,0.2948717948717949,0.2948717948717949,25,2,random_forest
44.5,0.0,0.2692307692307692,0.2692307692307692,50,2,random_forest
54.6,,0.2857142857142857,,75,2,random_forest
33.6,0.0,0.5769230769230769,0.5769230769230769,25,2,LASSO
44.5,0.0,0.3653846153846153,0.3653846153846153,50,2,LASSO
54.6,,0.3928571428571428,,75,2,LASSO
33.6,0.0,0.0,0.0,25,2,RIDGE
44.5,0.0,0.0,0.0,50,2,RIDGE
54.6,,0.0,,75,2,RIDGE
33.6,0.0,0.4871794871794871,0.4871794871794871,25,2,ELASTIC_NET
44.5,0.0,0.3461538461538461,0.3461538461538461,50,2,ELASTIC_NET
54.6,,0.3571428571428571,,75,2,ELASTIC_NET
34.6,0.0,0.4133333333333333,0.4133333333333333,25,3,random_forest
42.6,0.0,0.4230769230769231,0.4230769230769231,50,3,random_forest
54.6,,0.2962962962962963,,75,3,random_forest
34.6,0.0,0.5333333333333333,0.5333333333333333,25,3,LASSO
42.6,0.0,0.4615384615384615,0.4615384615384615,50,3,LASSO
54.6,,0.3333333333333333,,75,3,LASSO
34.6,0.0,0.0,0.0,25,3,RIDGE
42.6,0.0,0.0,0.0,50,3,RIDGE
54.6,,0.0,,75,3,RIDGE
34.6,0.0,0.3333333333333333,0.3333333333333333,25,3,ELASTIC_NET
42.6,0.0,0.2692307692307692,0.2692307692307692,50,3,ELASTIC_NET
54.6,,0.2592592592592592,,75,3,ELASTIC_NET
34.7,0.0,0.4666666666666667,0.4666666666666667,25,4,random_forest
