Promoter_id,log2foldChange,pValues,FDR
627,-1.455822499,2.88E-20,2.01E-19
698,-1.2403628,2.16E-40,2.40E-38
1077,-1.31196596,3.12E-22,2.57E-21
1104,-1.987382162,8.34E-44,4.44E-41
1234,-1.302838634,1.48E-37,8.40E-36
1235,-1.559811008,1.07E-34,3.50E-33
1255,-1.536265342,2.10E-23,1.89E-22
1514,-1.603782465,5.63E-36,2.32E-34
1516,-1.314083156,2.79E-30,4.93E-29
1726,-1.638921781,8.17E-30,1.36E-28
2027,-1.265782251,1.36E-36,6.74E-35
2094,-1.786538981,2.22E-32,5.05E-31
2420,-2.043999437,1.02E-39,1.00E-37
2519,-1.283467596,6.65E-19,4.15E-18
2588,-1.221719745,4.37E-38,2.72E-36
2706,-1.354404621,7.75E-32,1.68E-30
3103,-1.393334903,4.25E-35,1.53E-33
3283,-2.038604726,1.77E-45,1.84E-42
3417,-1.284095017,1.18E-30,2.25E-29
3514,-1.426235985,7.25E-19,4.51E-18
3672,-1.312308635,6.27E-38,3.76E-36
3746,-1.458482387,2.11E-34,6.45E-33
4247,-1.787518786,3.16E-41,4.58E-39
4458,-1.298308346,1.17E-19,7.73E-19
4636,-1.267972997,1.11E-31,2.34E-30
4703,-1.493486559,7.34E-28,9.73E-27
5434,-1.490887005,1.12E-31,2.37E-30
5546,-1.811644508,4.18E-30,7.23E-29
5674,-1.358972666,1.40E-30,2.63E-29
5800,-1.405018065,3.34E-20,2.32E-19
5801,-1.53110746,6.69E-24,6.30E-23
5888,-1.906467177,1.64E-35,6.33E-34
6144,-1.716502213,7.22E-42,1.45E-39
6245,-1.483542761,4.34E-28,5.82E-27
6256,-1.289681602,4.30E-28,5.79E-27
6293,-1.275947269,1.41E-24,1.41E-23
6335,-1.853440855,4.25E-33,1.05E-31
6696,-1.610473575,3.70E-34,1.10E-32
6835,-1.344176612,5.42E-22,4.37E-21
7049,-1.334758054,1.32E-24,1.32E-23
7061,-1.38101053,6.48E-35,2.26E-33
7403,-1.231131978,2.02E-26,2.35E-25
7849,-2.25438312,1.66E-45,1.84E-42
8079,-1.625044825,2.20E-24,2.16E-23
8175,-1.240841685,3.04E-24,2.96E-23
8277,-2.057499219,6.67E-42,1.39E-39
8661,-1.480413323,5.28E-30,8.97E-29
9085,-1.426494092,1.03E-40,1.28E-38
9491,-1.483393329,8.37E-25,8.50E-24
9499,-1.906372098,8.58E-35,2.89E-33
9917,-1.227523776,5.12E-37,2.76E-35
10108,-1.499781529,3.87E-21,2.90E-20
10128,-1.588642313,3.78E-25,3.96E-24
10207,-2.23024824,4.10E-40,4.46E-38
10346,-1.307626162,1.51E-25,1.66E-24
10518,-1.229075478,8.22E-27,9.98E-26
10532,-2.151110655,3.54E-45,3.08E-42
10533,-1.364879743,1.04E-34,3.45E-33
10667,-1.448210665,9.70E-34,2.72E-32
10699,-1.485072278,1.85E-30,3.38E-29
10819,-1.890232313,4.91E-35,1.74E-33
10928,-1.629699439,1.74E-33,4.65E-32
11183,-1.21726411,2.61E-18,1.55E-17
11192,-1.333760834,4.74E-39,3.93E-37
11692,-1.751829597,3.63E-31,7.24E-30
11978,-2.042416282,8.48E-26,9.44E-25
12076,-1.257232742,8.42E-30,1.40E-28
12261,-1.843567072,7.19E-32,1.57E-30
12325,-1.955629232,3.23E-43,1.44E-40
12606,-1.714551187,6.77E-36,2.74E-34
12618,-1.70609947,4.44E-36,1.90E-34
12716,-1.338369848,2.17E-25,2.34E-24
12721,-2.037117072,4.16E-33,1.03E-31
12862,-1.291884556,4.69E-30,8.05E-29
