"","Run","batch","Tumor_Normal1","tnbctype_4","bl1_vs_rest"
"SRR8518122","SRR8518122","batch1","Tumor","LAR","REST"
"SRR8518124","SRR8518124","batch1","Tumor","BL2","REST"
"SRR8518125","SRR8518125","batch1","Tumor","LAR","REST"
"SRR8518126","SRR8518126","batch1","Tumor","M","REST"
"SRR8518127","SRR8518127","batch1","Tumor","BL2","REST"
"SRR8518128","SRR8518128","batch1","Tumor","BL2","REST"
"SRR8518129","SRR8518129","batch1","Tumor","LAR","REST"
"SRR8518130","SRR8518130","batch2","Tumor","BL1","BL1"
"SRR8518133","SRR8518133","batch2","Tumor","BL1","BL1"
"SRR8518135","SRR8518135","batch2","Tumor","M","REST"
"SRR8518137","SRR8518137","batch2","Tumor","BL1","BL1"
"SRR8518138","SRR8518138","batch1","Tumor","BL2","REST"
"SRR8518139","SRR8518139","batch1","Tumor","M","REST"
"SRR8518141","SRR8518141","batch2","Tumor","BL1","BL1"
"SRR8518143","SRR8518143","batch2","Tumor","BL1","BL1"
"SRR8518144","SRR8518144","batch2","Tumor","BL1","BL1"
"SRR8518145","SRR8518145","batch1","Tumor","M","REST"
"SRR8518146","SRR8518146","batch1","Tumor","LAR","REST"
"SRR8518149","SRR8518149","batch1","Tumor","LAR","REST"
"SRR8518151","SRR8518151","batch1","Tumor","LAR","REST"
"SRR8518152","SRR8518152","batch1","Tumor","BL1","BL1"
"SRR8518154","SRR8518154","batch1","Tumor","BL1","BL1"
"SRR8518155","SRR8518155","batch1","Tumor","M","REST"
"SRR8518156","SRR8518156","batch1","Tumor","BL1","BL1"
"SRR8518157","SRR8518157","batch1","Tumor","LAR","REST"
"SRR8518158","SRR8518158","batch1","Tumor","M","REST"
"SRR8518159","SRR8518159","batch1","Tumor","BL1","BL1"
"SRR8518160","SRR8518160","batch1","Tumor","LAR","REST"
"SRR8518161","SRR8518161","batch1","Tumor","M","REST"
"SRR8518162","SRR8518162","batch1","Tumor","BL1","BL1"
"SRR8518164","SRR8518164","batch1","Tumor","BL1","BL1"
"SRR8518165","SRR8518165","batch1","Tumor","BL2","REST"
"SRR8518167","SRR8518167","batch1","Tumor","BL1","BL1"
"SRR8518168","SRR8518168","batch1","Tumor","BL1","BL1"
"SRR8518169","SRR8518169","batch1","Tumor","BL1","BL1"
"SRR8518170","SRR8518170","batch1","Tumor","BL1","BL1"
"SRR8518171","SRR8518171","batch1","Tumor","BL2","REST"
"SRR8518172","SRR8518172","batch1","Tumor","M","REST"
"SRR8518173","SRR8518173","batch1","Tumor","BL2","REST"
"SRR8518175","SRR8518175","batch1","Tumor","BL1","BL1"
"SRR8518177","SRR8518177","batch1","Tumor","LAR","REST"
"SRR8518178","SRR8518178","batch1","Tumor","BL1","BL1"
"SRR8518179","SRR8518179","batch1","Tumor","BL1","BL1"
"SRR8518180","SRR8518180","batch1","Tumor","BL1","BL1"
"SRR8518181","SRR8518181","batch1","Tumor","LAR","REST"
"SRR8518182","SRR8518182","batch2","Tumor","LAR","REST"
"SRR8518184","SRR8518184","batch2","Tumor","LAR","REST"
"SRR8518185","SRR8518185","batch1","Tumor","BL1","BL1"
"SRR8518186","SRR8518186","batch1","Tumor","BL2","REST"
"SRR8518187","SRR8518187","batch1","Tumor","M","REST"
"SRR8518188","SRR8518188","batch1","Tumor","BL1","BL1"
"SRR8518189","SRR8518189","batch1","Tumor","LAR","REST"
"SRR8518191","SRR8518191","batch1","Tumor","BL2","REST"
"SRR8518192","SRR8518192","batch1","Tumor","M","REST"
"SRR8518193","SRR8518193","batch1","Tumor","LAR","REST"
"SRR8518194","SRR8518194","batch1","Tumor","BL1","BL1"
"SRR8518195","SRR8518195","batch1","Tumor","BL2","REST"
"SRR8518196","SRR8518196","batch1","Tumor","BL2","REST"
"SRR8518197","SRR8518197","batch1","Tumor","BL1","BL1"
"SRR8518199","SRR8518199","batch1","Tumor","BL2","REST"
"SRR8518200","SRR8518200","batch1","Tumor","M","REST"
"SRR8518201","SRR8518201","batch1","Tumor","BL1","BL1"
"SRR8518202","SRR8518202","batch1","Tumor","M","REST"
"SRR8518203","SRR8518203","batch1","Tumor","BL2","REST"
"SRR8518204","SRR8518204","batch1","Tumor","LAR","REST"
"SRR8518205","SRR8518205","batch2","Tumor","M","REST"
"SRR8518208","SRR8518208","batch1","Tumor","LAR","REST"
"SRR8518209","SRR8518209","batch1","Tumor","LAR","REST"
"SRR8518210","SRR8518210","batch1","Tumor","M","REST"
"SRR8518211","SRR8518211","batch1","Tumor","LAR","REST"
"SRR8518212","SRR8518212","batch1","Tumor","LAR","REST"
"SRR8518213","SRR8518213","batch1","Tumor","M","REST"
"SRR8518214","SRR8518214","batch1","Tumor","BL2","REST"
"SRR8518215","SRR8518215","batch1","Tumor","LAR","REST"
"SRR8518216","SRR8518216","batch1","Tumor","BL1","BL1"
"SRR8518219","SRR8518219","batch1","Tumor","BL1","BL1"
"SRR8518222","SRR8518222","batch2","Tumor","BL1","BL1"
"SRR8518225","SRR8518225","batch1","Tumor","M","REST"
"SRR8518229","SRR8518229","batch1","Tumor","LAR","REST"
"SRR8518230","SRR8518230","batch1","Tumor","BL1","BL1"
"SRR8518231","SRR8518231","batch1","Tumor","BL1","BL1"
"SRR8518232","SRR8518232","batch1","Tumor","LAR","REST"
"SRR8518236","SRR8518236","batch1","Tumor","BL2","REST"
"SRR8518238","SRR8518238","batch1","Tumor","LAR","REST"
"SRR8518239","SRR8518239","batch1","Tumor","M","REST"
"SRR8518240","SRR8518240","batch1","Tumor","M","REST"
"SRR8518241","SRR8518241","batch1","Tumor","LAR","REST"
"SRR8518242","SRR8518242","batch1","Tumor","LAR","REST"
"SRR8518243","SRR8518243","batch1","Tumor","M","REST"
"SRR8518244","SRR8518244","batch1","Tumor","BL1","BL1"
"SRR8518245","SRR8518245","batch1","Tumor","LAR","REST"
"SRR8518246","SRR8518246","batch1","Tumor","BL2","REST"
"SRR8518247","SRR8518247","batch1","Tumor","LAR","REST"
"SRR8518248","SRR8518248","batch1","Tumor","BL1","BL1"
"SRR8518252","SRR8518252","batch1","Tumor","BL2","REST"
"SRR8518253","SRR8518253","batch2","Tumor","BL1","BL1"
"SRR8518257","SRR8518257","batch2","Tumor","BL1","BL1"
"SRR8518258","SRR8518258","batch1","Tumor","BL1","BL1"
"SRR8518260","SRR8518260","batch1","Tumor","M","REST"
"SRR8518261","SRR8518261","batch1","Tumor","BL2","REST"
"SRR8518262","SRR8518262","batch1","Tumor","BL1","BL1"
"SRR8518263","SRR8518263","batch1","Tumor","BL1","BL1"
"SRR8518264","SRR8518264","batch1","Tumor","M","REST"
"SRR8518265","SRR8518265","batch1","Tumor","BL1","BL1"
"SRR8518266","SRR8518266","batch1","Tumor","LAR","REST"
"SRR8518268","SRR8518268","batch1","Tumor","BL2","REST"
"SRR8518270","SRR8518270","batch2","Tumor","BL2","REST"
"SRR8518272","SRR8518272","batch2","Tumor","BL1","BL1"
"SRR8518274","SRR8518274","batch2","Tumor","LAR","REST"
"SRR8518276","SRR8518276","batch1","Tumor","BL2","REST"
"SRR8518277","SRR8518277","batch1","Tumor","BL1","BL1"
"SRR8518285","SRR8518285","batch1","Tumor","LAR","REST"
"SRR8518286","SRR8518286","batch1","Tumor","LAR","REST"
"SRR8518287","SRR8518287","batch1","Tumor","BL2","REST"
"SRR8518289","SRR8518289","batch1","Tumor","BL1","BL1"
"SRR8518290","SRR8518290","batch1","Tumor","LAR","REST"
"SRR8518291","SRR8518291","batch1","Tumor","BL1","BL1"
"SRR8518292","SRR8518292","batch2","Tumor","BL1","BL1"
"SRR8518294","SRR8518294","batch2","Tumor","BL2","REST"
"SRR8518295","SRR8518295","batch1","Tumor","M","REST"
"SRR8518297","SRR8518297","batch1","Tumor","BL1","BL1"
"SRR8518298","SRR8518298","batch1","Tumor","BL1","BL1"
"SRR8518300","SRR8518300","batch1","Tumor","LAR","REST"
"SRR8518301","SRR8518301","batch1","Tumor","M","REST"
"SRR8518302","SRR8518302","batch1","Tumor","BL1","BL1"
"SRR8518303","SRR8518303","batch2","Tumor","LAR","REST"
"SRR8518307","SRR8518307","batch2","Tumor","M","REST"
"SRR8518308","SRR8518308","batch2","Tumor","LAR","REST"
"SRR8518311","SRR8518311","batch1","Tumor","BL1","BL1"
"SRR8518312","SRR8518312","batch1","Tumor","BL2","REST"
"SRR8518313","SRR8518313","batch1","Tumor","BL1","BL1"
"SRR8518314","SRR8518314","batch1","Tumor","BL2","REST"
"SRR8518315","SRR8518315","batch1","Tumor","LAR","REST"
"SRR8518316","SRR8518316","batch1","Tumor","BL1","BL1"
"SRR8518323","SRR8518323","batch1","Tumor","BL1","BL1"
"SRR8518325","SRR8518325","batch1","Tumor","LAR","REST"
"SRR8518326","SRR8518326","batch1","Tumor","M","REST"
"SRR8518327","SRR8518327","batch1","Tumor","M","REST"
"SRR8518328","SRR8518328","batch1","Tumor","LAR","REST"
"SRR8518329","SRR8518329","batch1","Tumor","BL1","BL1"
"SRR8518330","SRR8518330","batch1","Tumor","BL1","BL1"
"SRR8518331","SRR8518331","batch1","Tumor","BL1","BL1"
"SRR8518332","SRR8518332","batch1","Tumor","BL2","REST"
"SRR8518337","SRR8518337","batch1","Tumor","LAR","REST"
"SRR8518338","SRR8518338","batch1","Tumor","BL2","REST"
"SRR8518340","SRR8518340","batch1","Tumor","LAR","REST"
"SRR8518342","SRR8518342","batch2","Tumor","LAR","REST"
"SRR8518343","SRR8518343","batch2","Tumor","M","REST"
"SRR8518345","SRR8518345","batch1","Tumor","M","REST"
"SRR8518349","SRR8518349","batch1","Tumor","BL1","BL1"
"SRR8518350","SRR8518350","batch1","Tumor","BL2","REST"
"SRR8518351","SRR8518351","batch2","Tumor","BL1","BL1"
"SRR8518353","SRR8518353","batch1","Tumor","BL2","REST"
"SRR8518354","SRR8518354","batch2","Tumor","BL2","REST"
"SRR8518356","SRR8518356","batch2","Tumor","BL1","BL1"
"SRR8518357","SRR8518357","batch2","Tumor","BL1","BL1"
"SRR8518360","SRR8518360","batch1","Tumor","BL1","BL1"
"SRR8518362","SRR8518362","batch1","Tumor","BL1","BL1"
"SRR8518365","SRR8518365","batch1","Tumor","M","REST"
"SRR8518368","SRR8518368","batch1","Tumor","LAR","REST"
"SRR8518369","SRR8518369","batch1","Tumor","BL2","REST"
"SRR8518374","SRR8518374","batch1","Tumor","M","REST"
"SRR8518375","SRR8518375","batch2","Tumor","M","REST"
"SRR8518376","SRR8518376","batch2","Tumor","BL1","BL1"
"SRR8518377","SRR8518377","batch1","Tumor","BL2","REST"
"SRR8518380","SRR8518380","batch1","Tumor","M","REST"
"SRR8518381","SRR8518381","batch1","Tumor","LAR","REST"
"SRR8518383","SRR8518383","batch1","Tumor","BL1","BL1"
"SRR8518384","SRR8518384","batch1","Tumor","BL2","REST"
"SRR8518385","SRR8518385","batch1","Tumor","BL2","REST"
