random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.01310199226384447],[0.06550996131922238],5,2,100,"[[0.7684426229508197, 0.5195530726256983, 0.6141439205955335]]",0.634046538724017,0.102578710336783,0.559476605868358,"[[0.7684426229508197, 0.5195530726256983, 0.6141439205955335]]",0.634046538724017,0.102578710336783,0.559476605868358,"[[0.6850038369845954, 0.588896751346383, 0.6335278387795273]]",0.639836447739733,0.101779021467596,0.569785884218874,"[[0.10406709547971821, 0.11103503379903432, 0.11032686641209488]]",0.108476331896949,0.0031311765200169,0.103648764938469,"[[0.10530757617311232, 0.10853979627390252, 0.11154901618610398]]",0.108465462877706,0.0025485992818652,0.103119457881257,"[[0.09630826603804662, 0.10801639424320023, 0.10824331528760987]]",0.104189325189619,0.005573520329979,0.104402014593472,"[[0.7114793398350008, 0.5258851353662662, 0.620897695603105]]",0.619420723601457,0.0757757140857845,0.488115510731475,"[[0.7114793398350008, 0.5258851353662662, 0.620897695603105]]",0.619420723601457,0.0757757140857845,0.488115510731475,"[[0.7114793398350008, 0.5258851353662662, 0.6385434045619532]]",0.62530262658774,0.0763447917198347,0.523686511247082
2,0.2,[0.0018275096978327887],[0.0016343871801882594],5,2,1000,"[[0.6729559748427673, 0.599758162031439, 0.6307106598984772]]",0.634474932257561,0.0300011917528352,0.60865475070555,"[[0.6729559748427673, 0.599758162031439, 0.6307106598984772]]",0.634474932257561,0.0300011917528352,0.60865475070555,"[[0.6863753334209054, 0.5920531320734397, 0.5074921676784481]]",0.641183527645402,0.0388122339006496,0.609595484477893,"[[0.09964333874340155, 0.11298107387820848, 0.11092809825568462]]",0.107850836959098,0.0058637841847034,0.0855127230218077,"[[0.09944750418313973, 0.11298164865306787, 0.11081313765233891]]",0.107747430162849,0.0059353286031782,0.0854997930313021,"[[0.09966185745404679, 0.11444069092478044, 0.11206872242336931]]",0.108723756934065,0.0064804873933161,0.0863639172167583,"[[0.6571777923067375, 0.6202929463761453, 0.6705213988839888]]",0.64933071252229,0.0212431456583181,0.535812092547455,"[[0.6571777923067375, 0.6202929463761453, 0.6705213988839888]]",0.64933071252229,0.0212431456583181,0.535812092547455,"[[0.6798069783312177, 0.6202929463761453, 0.6705213988839888]]",0.656873774530451,0.0261428541894824,0.537201624377592
3,0.2,[0.002819850350903943],[0.002521862001078393],5,2,100,"[[0.7053072625698324, 0.7865329512893983, 0.47406340057636887]]",0.655301204811866,0.132375122008305,0.564705882352941,"[[0.7053072625698324, 0.7865329512893983, 0.47406340057636887]]",0.655301204811866,0.132375122008305,0.564705882352941,"[[0.734540862987004, 0.7953811280632429, 0.47581792861292704]]",0.643196921757863,0.128862815847637,0.552941176470588,"[[0.10149898484229794, 0.087211111229538, 0.10270482287645784]]",0.0971383063160979,0.007036827554901,0.128437060561989,"[[0.101507942433246, 0.0864517617653904, 0.10278633534828419]]",0.0969153465156402,0.0074172558483826,0.128299423273816,"[[0.10293554758394484, 0.08373875070054115, 0.1136362708897955]]",0.100103523058094,0.0123687967766468,0.132378573287914,"[[0.677548427269899, 0.7234271127339242, 0.45583763619043194]]",0.618937725398085,0.116840183640261,0.539192529547339,"[[0.677548427269899, 0.7234271127339242, 0.45583763619043194]]",0.618937725398085,0.116840183640261,0.539192529547339,"[[0.6909029725398196, 0.7234271127339242, 0.45583763619043194]]",0.623389240488059,0.119218594748953,0.551576244086461
4,0.2,[0.01081353169584745],[0.05406765847923726],5,2,100,"[[0.5776196636481242, 0.5028129395218003, 0.5244072524407253]]",0.534946618536883,0.0314358624494341,0.621996996996997,"[[0.5776196636481242, 0.5028129395218003, 0.5244072524407253]]",0.534946618536883,0.0314358624494341,0.621996996996997,"[[0.3323257905416586, 0.4062352117581297, 0.5278142832985986]]",0.426141414295519,0.0767807025075324,0.621246246246246,"[[0.10580032681829925, 0.10293878142619972, 0.11467797331628289]]",0.107805693853594,0.0049978848371241,0.114506063144576,"[[0.10589898711999667, 0.09653254043423488, 0.11132550832758538]]",0.104585678627272,0.0061101859857793,0.117359746969404,"[[0.10845343857394715, 0.10314381657773129, 0.12065340169010057]]",0.11075021894726,0.0073304293991666,0.112017567430668,"[[0.5793003057388483, 0.5056002976429376, 0.5228099973000113]]",0.535903533560599,0.0314801876020439,0.650122959223777,"[[0.5793003057388483, 0.5056002976429376, 0.5228099973000113]]",0.535903533560599,0.0314801876020439,0.650122959223777,"[[0.3728721812731349, 0.4152661282923641, 0.5228099973000113]]",0.43698276895517,0.0631086181646925,0.650965351822042
5,0.4,[0.019041106790780072],[0.04140245910004916],10,2,500,"[[0.6330213903743316, 0.6355311355311355, 0.7952095808383234]]",0.68792070224793,0.0758716122014733,0.42497670083877,"[[0.6330213903743316, 0.6355311355311355, 0.7952095808383234]]",0.68792070224793,0.0758716122014733,0.42497670083877,"[[0.7062088301133024, 0.6884152026520097, 0.8065242342000523]]",0.68792070224793,0.0758716122014733,0.42497670083877,"[[0.09125714227355328, 0.1359193393961365, 0.11722273534268239]]",0.114799739004124,0.0183135859659183,0.0992991350877808,"[[0.09271591405468929, 0.12740170056546948, 0.12014056442577603]]",0.113419393015312,0.0149366786873675,0.0956882519477609,"[[0.0916580636903211, 0.13861081435533643, 0.1015206174998627]]",0.110596498515173,0.020214168478336,0.103579641539723,"[[0.7382632235183886, 0.6235920839571887, 0.7667440663800698]]",0.709533124618549,0.0618718377238849,0.425642197365579,"[[0.7382632235183886, 0.6235920839571887, 0.7667440663800698]]",0.709533124618549,0.0618718377238849,0.425642197365579,"[[0.7382632235183886, 0.6235920839571887, 0.7667440663800698]]",0.709533124618549,0.0618718377238849,0.425642197365579
6,0.2,[0.010076734454358482],[0.04382114870661272],10,2,100,"[[0.6698224852071006, 0.6162790697674418, 0.5602125147579693]]",0.615438023244171,0.0447520347761275,0.612589559877175,"[[0.6698224852071006, 0.6162790697674418, 0.5602125147579693]]",0.615438023244171,0.0447520347761275,0.612589559877175,"[[0.5806672707483759, 0.6474787811220514, 0.5725630932869736]]",0.591345856218193,0.0370503395980655,0.612589559877175,"[[0.10825828103362385, 0.11281571797138408, 0.11852171446949424]]",0.113198571158167,0.0041987656039291,0.0933245088627145,"[[0.11027228327759013, 0.11512434901505476, 0.12112315837128289]]",0.115506596887976,0.0044380895027774,0.0935768418031108,"[[0.1050969615145391, 0.10905633723460323, 0.1180419288846486]]",0.110731742544597,0.0054159198829541,0.0930165621193865,"[[0.6171786382013336, 0.60013038499947, 0.5534848082063015]]",0.590264610469035,0.0269224333369409,0.584119319873371,"[[0.6171786382013336, 0.60013038499947, 0.5534848082063015]]",0.590264610469035,0.0269224333369409,0.584119319873371,"[[0.4915021697071304, 0.624969233694387, 0.5534848082063015]]",0.55665207053594,0.0545337079572085,0.584119319873371
7,0.2,[0.00934053213685532],[0.04061959254974635],5,2,100,"[[0.6104060913705583, 0.5880893300248139, 0.6294200848656294]]",0.609305168753667,0.016891158375201,0.685169842584921,"[[0.6104060913705583, 0.5880893300248139, 0.6294200848656294]]",0.609305168753667,0.016891158375201,0.685169842584921,"[[0.6073919972299666, 0.5936752528046398, 0.6791251408213659]]",0.609305168753667,0.016891158375201,0.67937033968517,"[[0.10371535145274467, 0.10448206166101401, 0.11269771060179717]]",0.106965041238519,0.0040656762174223,0.108684934734733,"[[0.10555317512735586, 0.10563031204104427, 0.11489337031707474]]",0.108692285828492,0.0043849419723848,0.109266227439775,"[[0.10195985079790146, 0.10364167255496316, 0.1127080717396274]]",0.106103198364164,0.0047205504859116,0.102469357109146,"[[0.5964332146312363, 0.5508920718348883, nan]]",,,0.664902172033779,"[[0.5964332146312363, 0.5508920718348883, nan]]",,,0.664902172033779,"[[0.5964332146312363, 0.5508920718348883, nan]]",,,0.637767830637516
8,0.2,[0.004436603026387844],[0.021174762858298692],5,2,100,"[[0.6991978609625669, 0.5562330623306233, 0.5434782608695652]]",0.599636394720918,0.0705928958192344,0.667191188040913,"[[0.6991978609625669, 0.5562330623306233, 0.5434782608695652]]",0.599636394720918,0.0705928958192344,0.667191188040913,"[[0.7296295500021364, 0.6621823519049206, 0.5474000834889482]]",0.610331581886694,0.0856842344254422,0.65381589299764,"[[0.10660857293487912, 0.11591099653498319, 0.10040489814544547]]",0.107641489205102,0.006372333891256,0.0985001457131392,"[[0.10722242787658208, 0.1152943558890379, 0.0996353910737544]]",0.107384058279791,0.0063937671765557,0.102054935467097,"[[0.10342856372719109, 0.11857219027197001, 0.10190560313897938]]",0.107968785712713,0.0075234740833278,0.0969588853871267,"[[0.7127429019789578, 0.5966599120246551, 0.5603004127122982]]",0.623234408905304,0.065009389305436,0.67546654183198,"[[0.7127429019789578, 0.5966599120246551, 0.5603004127122982]]",0.623234408905304,0.065009389305436,0.67546654183198,"[[0.7467521815442568, 0.5966599120246551, 0.5603004127122982]]",0.63457083542707,0.0807010702533713,0.689963180183233
9,0.2,[0.0025270671818607058],[0.012635335909303538],15,2,1000,"[[0.6748768472906403, 0.5983290488431876, 0.619550858652576]]",0.630918918262135,0.032267795568263,0.583044982698962,"[[0.6748768472906403, 0.5983290488431876, 0.619550858652576]]",0.630918918262135,0.032267795568263,0.583044982698962,"[[0.6742744231976479, 0.562487115978536, 0.492071893467902]]",0.556548772272519,0.083672465834978,0.583044982698962,"[[0.11272708399409537, 0.10431604830147073, 0.12099888317163203]]",0.112680671822399,0.0068108178849791,0.110222085910081,"[[0.11333928633173992, 0.10422384343429356, 0.11722565606888842]]",0.111596261944974,0.0054491824130428,0.1104001134477,"[[0.11630454097059825, 0.10547232839768023, 0.11446446899893709]]",0.112080446122405,0.0047326441596702,0.111173673644243,"[[0.6256683231143828, 0.6276701300895084, 0.6249252164052833]]",0.626087889869725,0.0011592138083209,0.573456775725101,"[[0.6256683231143828, 0.6276701300895084, 0.6249252164052833]]",0.626087889869725,0.0011592138083209,0.573456775725101,"[[0.6256683231143828, 0.493463210495878, 0.5023756879862807]]",0.540502407198847,0.0603312135302741,0.573456775725101
10,0.2,[0.004059094366013431],[0.006645852029135498],5,2,100,"[[0.7254259501965924, 0.6306818181818182, 0.5360946745562131]]",0.630734147644875,0.0772941784685101,0.618686868686869,"[[0.7254259501965924, 0.6306818181818182, 0.5360946745562131]]",0.630734147644875,0.0772941784685101,0.618686868686869,"[[0.5969697108769048, 0.5950905494069229, 0.5590555229710708]]",0.631774133300245,0.0699385321540388,0.63989898989899,"[[0.10176938175424152, 0.12189153517357382, 0.11482560588949392]]",0.112828840939103,0.0083352891274835,0.086071744518051,"[[0.1018179154766188, 0.12207208664414669, 0.11406023771348216]]",0.112650079944749,0.0083286361876927,0.0865338089800153,"[[0.10152263832141603, 0.12265444065186476, 0.1147889143868324]]",0.112988664453371,0.008720433563399,0.0869284773422704,"[[0.6945007833488342, 0.6055570027276751, 0.5310079948344334]]",0.610355260303648,0.0668318308935579,0.606450904974435,"[[0.6945007833488342, 0.6055570027276751, 0.5310079948344334]]",0.610355260303648,0.0668318308935579,0.606450904974435,"[[0.6945007833488342, 0.6212909589247599, 0.5560003471600937]]",0.623930696477896,0.056573367508513,0.628329289741026
