random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.0028402985050205967],[0.002209292312950968],10,2,100,"[[0.8859289617486339, 0.6222067039106145, 0.6532258064516129]]",0.720453824036954,0.117691863443306,0.797383029341792,"[[0.8859289617486339, 0.6222067039106145, 0.6532258064516129]]",0.720453824036954,0.117691863443306,0.797383029341792,"[[0.8698326187585097, 0.5891358347244466, 0.644346177136774]]",0.682918523555147,0.128143419534928,0.750594766058684,"[[0.08421107165793236, 0.10967908188305936, 0.1017742930450758]]",0.0985548155286891,0.0106435790601871,0.0818047286315736,"[[0.08243443073277835, 0.10930042466356044, 0.10168078013525071]]",0.0978052118438631,0.0113051737317658,0.0815650730676681,"[[0.08942654099332278, 0.11851815943811911, 0.10995323892075419]]",0.105965979784065,0.0122066714682787,0.0868719503742873,"[[0.8696214897315662, 0.5740255558082172, 0.697167263404725]]",0.713604769648169,0.121234986002753,0.779152273070009,"[[0.8696214897315662, 0.5740255558082172, 0.697167263404725]]",0.713604769648169,0.121234986002753,0.779152273070009,"[[0.907155804658151, 0.549467415314558, 0.7100176555114392]]",0.722213625161383,0.146280101687551,0.759382055568022
2,0.2,[0.00439476898468414],[0.01093643439828444],15,2,500,"[[0.7433962264150943, 0.596130592503023, 0.8229695431472082]]",0.720832120688442,0.0939710293397968,0.761053621825024,"[[0.7433962264150943, 0.5864570737605804, 0.8559644670050761]]",0.728605922393584,0.110521863819329,0.777046095954845,"[[0.7405079307847556, 0.618012272772931, 0.8163756872516852]]",0.703141441278783,0.0810534296388978,0.741298212605833,"[[0.09002616192926846, 0.10760170479391197, 0.0911657427694462]]",0.0962645364975422,0.0080300767890883,0.0780322599233521,"[[0.09207949739589837, 0.10764300035254112, 0.09407226204659741]]",0.0979315865983456,0.0069150293114419,0.0784422621323675,"[[0.10344067642044527, 0.11260607379527095, 0.10074763670872831]]",0.105598128974815,0.0050758633864686,0.0822775482333063,"[[0.7263336530758259, 0.5563997349327432, 0.8557716317044524]]",0.712835006571007,0.122590220483444,0.731302174834693,"[[0.7263336530758259, 0.5422590068950969, 0.9008511689877564]]",0.723147942986226,0.146411967270788,0.757772511612387,"[[0.7021434142806778, 0.5612160069641745, 0.8580778898222527]]",0.707145770355702,0.121244964289208,0.743393826830762
3,0.2,[0.004517920438323215],[0.004645579494775819],15,2,500,"[[0.8303072625698324, 0.6310888252148997, 0.69164265129683]]",0.717679579693854,0.0833883991763807,0.700346020761246,"[[0.8303072625698324, 0.6310888252148997, 0.69164265129683]]",0.717679579693854,0.0833883991763807,0.700346020761246,"[[0.8990400832149794, 0.5852123071151868, 0.6266950317437162]]",0.680618663928459,0.122533665879723,0.716955017301038,"[[0.08497351717416765, 0.1022135049429227, 0.09039321292344002]]",0.0925267450135101,0.0071980675161798,0.110882768401727,"[[0.08381736081273888, 0.10066245188225748, 0.08945506946803428]]",0.0913116273876768,0.0070011607974123,0.110773990302782,"[[0.09781069122294349, 0.1188024507365239, 0.10440538711548364]]",0.107006176358317,0.0087649518113612,0.11451995678368,"[[0.8544994507031217, 0.5610631782922307, 0.6784023099261964]]",0.69798831297385,0.12059275856683,0.684261433405959,"[[0.8544994507031217, 0.5610631782922307, 0.6784023099261964]]",0.69798831297385,0.12059275856683,0.684261433405959,"[[0.8924912726356029, 0.5077129224682436, 0.6246988747186181]]",0.674967689940821,0.161056532574252,0.712250475115527
4,0.2,[0.016746499065409922],[0.03302582154407846],15,2,1000,"[[0.591849935316947, 0.7109704641350211, 0.7782426778242678]]",0.693687692425412,0.0770695973923351,0.668168168168168,"[[0.6157826649417852, 0.7468354430379747, 0.7782426778242678]]",0.713620261934676,0.0703597903078067,0.671171171171171,"[[0.5919045409649544, 0.7762413388289051, 0.8058414966004039]]",0.724851173225834,0.0910829449330932,0.650900900900901,"[[0.11061230343334, 0.09044025792056878, 0.09542860359753096]]",0.0988270549838132,0.0085786540867831,0.108902375554841,"[[0.10475254740228683, 0.08781565496132349, 0.09773429538586287]]",0.0967674992498244,0.0069481701411563,0.108036820449614,"[[0.10980847275735456, 0.08964012847712141, 0.09864162285616372]]",0.0993634080302132,0.0082494952625241,0.11043145488771,"[[0.6697092520862239, 0.7252747187577524, 0.8309093768847511]]",0.741964449242909,0.0668594565064935,0.653413640436843,"[[0.6952096731006736, 0.7630170059083271, 0.8309093768847511]]",0.763045351964584,0.0553991757122538,0.659490838770774,"[[0.6749160465929103, 0.7833400974252114, 0.8621969401165921]]",0.773484361378238,0.0767740621109667,0.619734026381865
5,0.2,[0.005422975511485825],[0.0035020211026217255],15,2,500,"[[0.7272727272727273, 0.7411477411477412, 0.9029940119760479]]",0.790471493465506,0.0797668138241064,0.584342963653308,"[[0.7272727272727273, 0.7411477411477412, 0.9029940119760479]]",0.790471493465506,0.0797668138241064,0.592730661696179,"[[0.7778121707475506, 0.7387531897459851, 0.8822585125929254]]",0.763124289770996,0.0802861885466752,0.638397017707363,"[[0.07761121733858205, 0.11860851080209178, 0.08259509546614259]]",0.0929382745356054,0.0182652773093378,0.0872127658072249,"[[0.07747621590443399, 0.1174184369702677, 0.08034668603527377]]",0.0917471129699918,0.0181901540517274,0.0869665534420923,"[[0.08825537012779074, 0.13184380369208945, 0.10515311866041857]]",0.108417430826766,0.01794398108163,0.0914787252417342,"[[0.8252736995022129, 0.7337685799191741, 0.9079181756818648]]",0.822320151701084,0.0711269429004101,0.602816267624785,"[[0.8252736995022129, 0.7337685799191741, 0.9079181756818648]]",0.822320151701084,0.0711269429004101,0.608040966702205,"[[0.7791130356882733, 0.7061351722007908, 0.8790782600765326]]",0.788108822655199,0.0708896844793131,0.664010270903901
6,0.3,[0.0046411479056781705],[0.012260101146603506],15,2,100,"[[0.6692307692307692, 0.727390180878553, 0.6824085005903188]]",0.69300981689988,0.0248987311781895,0.842374616171955,"[[0.6692307692307692, 0.7454780361757106, 0.6658795749704841]]",0.693529460125655,0.0367586592153366,0.841351074718526,"[[0.6496577129918477, 0.7279955305196493, 0.6640397962152262]]",0.670623221005397,0.0320404460645311,0.854657113613101,"[[0.1043549675362054, 0.10058341856812936, 0.10415340616417601]]",0.103030597422837,0.001732372170728,0.0710701768046635,"[[0.10491654918394953, 0.10328236513310664, 0.10798262384281801]]",0.105393846053291,0.0019483270106541,0.0746858463449543,"[[0.10833220453796996, 0.10901195069208246, 0.11646934476403989]]",0.111271166664697,0.0036861276314374,0.080013933887473,"[[0.713765651974473, 0.6910063235646366, 0.6120280498607792]]",0.672266675133296,0.0435967562895738,0.861531710922498,"[[0.713765651974473, 0.7255542029116129, 0.5809599196356479]]",0.673426591507244,0.0655606921793668,0.87562796259885,"[[0.6941637313053103, 0.7127456506818747, 0.5574699637758839]]",0.654793115254356,0.0692347157246302,0.879638755623568
7,0.4,[0.002201960251343655],[0.0016424681567837787],15,2,500,"[[0.633248730964467, 0.7971464019851117, 0.7142857142857143]]",0.714893615745098,0.0669123247224112,0.780447390223695,"[[0.633248730964467, 0.7959057071960298, 0.7142857142857143]]",0.714480050815404,0.0664045746627639,0.780447390223695,"[[0.5728855359940309, 0.8284463136766607, 0.6912785405655709]]",0.681521156774356,0.105704309085839,0.80115990057995,"[[0.10082636411968669, 0.08963967339037755, 0.09618907856620436]]",0.0955517053587561,0.004589131785896,0.0872098619464264,"[[0.10076959706949629, 0.08894378281335644, 0.09626494297300821]]",0.0953261076186203,0.0048732965962249,0.0861609120161703,"[[0.10611911554326375, 0.09517141233327205, 0.11033365638536845]]",0.103874728087301,0.0063901678362514,0.0925070123688224,"[[0.5895163495903337, 0.7952510953521693, nan]]",,,0.809431668329369,"[[0.5895163495903337, 0.794510208182875, nan]]",,,0.809431668329369,"[[0.5215036569084563, 0.8621026928187862, nan]]",,,0.841891534727316
8,0.2,[0.0019419203268569714],[0.032542726577029196],15,2,1000,"[[0.8422459893048129, 0.6944444444444444, 0.5994729907773386]]",0.712054474842199,0.0998908306818419,0.752163650668765,"[[0.8262032085561497, 0.714769647696477, 0.6389986824769434]]",0.726657179576523,0.0768867943008178,0.745869394177813,"[[0.8131335547016388, 0.7843624750613998, 0.6528049531283439]]",0.70275231679698,0.0704564918898075,0.752950432730134,"[[0.08152900902521254, 0.09634764753608756, 0.10870913253506227]]",0.0955285963654541,0.0111113429166702,0.0811446139391561,"[[0.09752721762243709, 0.10462605890856885, 0.0987458516372115]]",0.100299709389406,0.0030993808346144,0.0950059741053561,"[[0.09416689489063763, 0.1056117284271773, 0.10107173153851604]]",0.100283451618777,0.004705464383294,0.0923119065906478,"[[0.8768154112731251, 0.7532326219702566, 0.5563525859725778]]",0.72880020640532,0.13196416886831,0.753728026677635,"[[0.8602884677274869, 0.7714108046987698, 0.5913254700732503]]",0.741008247499836,0.111888367402407,0.744841239549515,"[[0.8307436053274009, 0.7154282824855888, 0.6017611796749409]]",0.715977689162644,0.093482491052937,0.764183908095533
9,0.2,[0.004241704757434448],[0.08969599810321822],10,2,500,"[[0.7900246305418719, 0.6831619537275064, 0.7642007926023778]]",0.745795792290585,0.0455262997349934,0.668685121107266,"[[0.8343596059113301, 0.6928020565552699, 0.7463672391017173]]",0.757842967189439,0.0583575427645866,0.654844290657439,"[[0.843870157481975, 0.6906795647243683, 0.7552146146309822]]",0.742109544619291,0.0774394451697367,0.687716262975779,"[[0.09421872664544526, 0.09094328589116288, 0.09580100621832371]]",0.0936543395849772,0.002022912299919,0.111653157696779,"[[0.11488511550867439, 0.10332585800869673, 0.10578457964704394]]",0.107998517721472,0.0049719379076136,0.109247161937285,"[[0.10469733839402208, 0.09900240338449763, 0.10168313709968771]]",0.101794292959402,0.0023262756944006,0.119508766452633,"[[0.7565990781785327, 0.705141635588794, 0.7065979851338944]]",0.722779566300407,0.0239213959494478,0.677716045280875,"[[0.8357592841388767, 0.7085559377354638, 0.6865152039155723]]",0.743610141929971,0.0657776395350663,0.666863561692028,"[[0.8305115991190644, 0.6634197020749684, 0.6830901043757108]]",0.725673801856581,0.0745652018160634,0.68492771439566
10,0.2,[0.0036394417728608363],[0.003742278400703276],15,2,100,"[[0.8211009174311926, 0.84375, 0.621301775147929]]",0.762050897526374,0.0999532618211432,0.761616161616162,"[[0.8211009174311926, 0.84375, 0.621301775147929]]",0.762050897526374,0.0999532618211432,0.761616161616162,"[[0.8447556208633835, 0.8425840705614389, 0.5888661720487526]]",0.731722598443664,0.103437162573161,0.755555555555556,"[[0.08640494655709065, 0.10525940692082032, 0.10417653133296126]]",0.0986136282702907,0.0086441535836026,0.0712787122809803,"[[0.08616515677390715, 0.10505642575817209, 0.10365904200740952]]",0.0982935415131629,0.0085950162933443,0.0713527786592137,"[[0.09619505665191616, 0.11609498500187115, 0.10774870670579127]]",0.106679582786526,0.0081592097881022,0.0831278360061692,"[[0.8765587369022112, 0.8275016942663332, 0.5922638086937567]]",0.765441413287434,0.12408199011849,0.765122754434405,"[[0.8765587369022112, 0.8275016942663332, 0.5922638086937567]]",0.765441413287434,0.12408199011849,0.765122754434405,"[[0.8518032717436027, 0.8093091678688293, 0.5554683000868472]]",0.738860246566426,0.130832951357081,0.755346429931002
