random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.013811239998370398],[0.07578909424069913],15,2,100,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.669659943373786,0.078378699346507,0.785091197462331,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.669659943373786,0.078378699346507,0.785091197462331,"[[0.8358461668412396, 0.6359818168638436, 0.605748748533631]]",0.666718660554132,0.0695707165901596,0.767644726407613,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.108469646039443,0.0041672702942909,0.0902450441635408,"[[0.10466021096770875, 0.10802069265840944, 0.11173148164536767]]",0.108137461757162,0.0028880147178753,0.0985189669526495,"[[0.09784301629725049, 0.1200073204894022, 0.11380699578461187]]",0.110552444190422,0.009336600903255,0.0827877780419317,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.689562923335781,0.128339276323626,0.809043378004163,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.689562923335781,0.128339276323626,0.809043378004163,"[[0.8484330811869575, 0.5509099981008546, 0.6980399858055469]]",0.699127688364453,0.12146572511044,0.796190134883221
2,0.2,[0.01947155776466564],[0.10199355322808817],10,2,100,"[[0.650314465408805, 0.5532043530834341, 0.8553299492385786]]",0.686282922576939,0.125937197037034,0.710724365004704,"[[0.650314465408805, 0.5532043530834341, 0.8553299492385786]]",0.686282922576939,0.125937197037034,0.710724365004704,"[[0.6729968902391105, 0.5769988200423236, 0.8037736343915163]]",0.646096797365433,0.0741844792153971,0.710724365004704,"[[0.1054753899153663, 0.11054608983699996, 0.11393351855134994]]",0.109984999434572,0.0034757351103024,0.0854018664718435,"[[0.1061065713154904, 0.11269651923408437, 0.11806740303735147]]",0.112290164528975,0.0048914358477814,0.0883495408985031,"[[0.1124189045225817, 0.1137222505213455, 0.09401949049004757]]",0.106720215177992,0.0089965172297334,0.0847890383551152,"[[0.6395849686612711, 0.5229426911195888, 0.8970799419020123]]",0.686535867227624,0.156307305785534,0.723928421481787,"[[0.6395849686612711, 0.5229426911195888, 0.8970799419020123]]",0.686535867227624,0.156307305785534,0.723928421481787,"[[0.6395849686612711, 0.5229426911195888, 0.8485586285924981]]",0.670362096124453,0.134701790053075,0.723928421481787
3,0.3,[0.002467813388156337],[0.002571227807144366],10,2,100,"[[0.8023743016759777, 0.5164756446991404, 0.7881844380403458]]",0.702344794805155,0.131556942749388,0.698615916955017,"[[0.8023743016759777, 0.5164756446991404, 0.7881844380403458]]",0.702344794805155,0.131556942749388,0.698615916955017,"[[0.6905747672841342, 0.4922899787956464, 0.6567982608096706]]",0.613604180158998,0.102934257263626,0.686851211072664,"[[0.09828928079793975, 0.12581732028084547, 0.08208540663988292]]",0.102064002572889,0.0180518966876772,0.11305130224336,"[[0.09785127940641072, 0.12503158255569488, 0.08197660954185451]]",0.101619823834653,0.0177779661498226,0.11307016092613,"[[0.09488714754477216, 0.13345704728282415, 0.08090294518588277]]",0.103082380004493,0.0222239328668529,0.113588441408441,"[[0.817131380664006, 0.45875943342774317, 0.7777841256105773]]",0.684558313234109,0.160469939472407,0.681919850275739,"[[0.817131380664006, 0.45875943342774317, 0.7777841256105773]]",0.684558313234109,0.160469939472407,0.681919850275739,"[[0.7182005541729225, 0.4316409889215955, 0.7143761928088957]]",0.621405911967805,0.134193146742574,0.655665322042043
4,0.3,[0.03211828240463841],[0.11215872866548769],10,2,100,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.722801812636402,0.0951420254552229,0.621621621621622,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.722801812636402,0.0951420254552229,0.621621621621622,"[[0.5890900108809312, 0.6685732198476612, 0.786543488681174]]",0.683342195188331,0.081304600055936,0.621621621621622,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.103440641950475,0.0076808343137682,0.115741472277657,"[[0.10538557540426469, 0.09429475577928183, 0.11170682939065975]]",0.103795720191402,0.0071967958870787,0.117956460006966,"[[0.11638763530382769, 0.07912383040692145, 0.09043093351792136]]",0.0953141330762235,0.015599829428412,0.111453428236929,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.775095594168144,0.0746479360561519,0.580631724275231,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.775095594168144,0.0746479360561519,0.580631724275231,"[[0.6697092520862239, 0.6953951113624677, 0.8543976717121095]]",0.739834011720267,0.0816846170125669,0.580631724275231
5,0.2,[0.022105772903460556],[0.12130529235908905],5,2,100,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.688700693394248,0.0672288465442673,0.683597390493942,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.688700693394248,0.0672288465442673,0.683597390493942,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.688700693394248,0.0672288465442673,0.683597390493942,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.112215813492093,0.0141659601081542,0.0837491398389403,"[[0.09517065960414373, 0.12158295756827067, 0.1250817850932705]]",0.113945134088562,0.0133521812858915,0.089772879512279,"[[0.09011264916627001, 0.1370095535209129, 0.11535747403177007]]",0.114159892239651,0.0191642994675645,0.0760936697808809,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.71157670798421,0.0413470311211196,0.702154992631215,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.71157670798421,0.0413470311211196,0.702154992631215,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.71157670798421,0.0413470311211196,0.702154992631215
6,0.2,[0.010234337915247567],[0.030676621963164532],5,2,500,"[[0.5899408284023668, 0.7099483204134367, 0.6959858323494688]]",0.665291660388424,0.0535851265369871,0.834186284544524,"[[0.5899408284023668, 0.7099483204134367, 0.6959858323494688]]",0.665291660388424,0.0535851265369871,0.834186284544524,"[[0.49693348415443134, 0.6191359787235273, 0.7118765181473973]]",0.603333748162176,0.0787231487962932,0.793244626407369,"[[0.11052520339432302, 0.11128367905273191, 0.12444974473757649]]",0.115419542394877,0.0063928208220195,0.0814003306602907,"[[0.10982208255683608, 0.11243246543754112, 0.12258650898618265]]",0.11494701899352,0.0055060500183564,0.0843636533376789,"[[0.11624981568804607, 0.10935860444073928, 0.1200323114566745]]",0.115213577195153,0.00441869875462,0.0742869075468369,"[[0.6574673996947601, 0.6986108266176202, 0.6118058874962943]]",0.655961371269558,0.0354539650361555,0.87851895150337,"[[0.6574673996947601, 0.6986108266176202, 0.6118058874962943]]",0.655961371269558,0.0354539650361555,0.87851895150337,"[[0.5225351800615199, 0.6525861046142826, 0.6118058874962943]]",0.595642390724032,0.0543093283281812,0.846738531544679
7,0.2,[0.0053290262422305175],[0.033622342218990124],15,2,100,"[[0.5653553299492385, 0.8430521091811415, 0.6386138613861386]]",0.682340433505506,0.117509957396315,0.757249378624689,"[[0.5653553299492385, 0.8430521091811415, 0.6386138613861386]]",0.682340433505506,0.117509957396315,0.757249378624689,"[[0.5379972194126036, 0.671389433442923, 0.6119492961231678]]",0.608237908657448,0.0589160404417619,0.757249378624689,"[[0.10788460657683192, 0.09950189199656181, 0.11161004926140412]]",0.106332182611599,0.00506355495763,0.09804284303392,"[[0.10565074696953362, 0.10276816865798262, 0.11175231911975445]]",0.106723744915757,0.0037454179405764,0.102440608968254,"[[0.10961196428834823, 0.09596248472850917, 0.11195091050432707]]",0.105841786507061,0.0070506794033904,0.094947839388084,"[[0.5270414046433992, 0.8521345507135697, nan]]",,,0.806878185440375,"[[0.5270414046433992, 0.8521345507135697, nan]]",,,0.806878185440375,"[[0.4989177569458395, 0.7894021528755364, nan]]",,,0.806878185440375
8,0.2,[0.004282188207194876],[0.005062594339433656],15,2,100,"[[0.7800802139037433, 0.6673441734417345, 0.6245059288537549]]",0.690643438733078,0.0656149442558174,0.698662470495673,"[[0.7800802139037433, 0.6673441734417345, 0.6245059288537549]]",0.690643438733078,0.0656149442558174,0.698662470495673,"[[0.7670307294283111, 0.692212218258735, 0.629110750870941]]",0.632052990974768,0.0950096069461814,0.698662470495673,"[[0.09276091414196098, 0.10169418297341826, 0.10232761390066172]]",0.0989275703386803,0.0043681456913508,0.0969295931443918,"[[0.09279251882213722, 0.10177829846209485, 0.10118609194993679]]",0.0985856364113896,0.0041034810986478,0.0969468308237357,"[[0.0928300129269978, 0.10234205903682585, 0.10350873454175728]]",0.0995602688351936,0.0047827845010903,0.0967337937463216,"[[0.8050056356123676, 0.7137901680879156, 0.5820200812851692]]",0.700271961661817,0.0915339492151625,0.696065118962531,"[[0.8050056356123676, 0.7137901680879156, 0.5820200812851692]]",0.700271961661817,0.0915339492151625,0.696065118962531,"[[0.7806366597597142, 0.582696029775942, 0.5820200812851692]]",0.648450923606942,0.0934698377669798,0.696065118962531
9,0.2,[0.027265988322721344],[0.15674630405240916],5,2,100,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.7598517376347868, 0.6384268425598946, 0.7289333153051891]]",0.701181673066148,0.0436576036993865,0.642733564013841,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.105653655142318,0.0054329646752084,0.109164580477661,"[[0.11812113851199618, 0.10746690382516835, 0.10904422024263538]]",0.1115440875266,0.0046950457234961,0.109918198473973,"[[0.10578237984424503, 0.09816888682395661, 0.09008884168081234]]",0.0980133694496713,0.0064078037975611,0.111346853564238,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.7335012139913739, 0.6587237203663312, 0.6699921300303512]]",0.687405688129352,0.0329174967908282,0.661702651172969
10,0.2,[0.010609165886951858],[0.01254263020834826],15,2,500,"[[0.7234600262123198, 0.79375, 0.6100591715976331]]",0.709089732603318,0.0756767648779713,0.704040404040404,"[[0.7234600262123198, 0.79375, 0.6100591715976331]]",0.709089732603318,0.0756767648779713,0.704040404040404,"[[0.729473221930733, 0.7912677371392789, 0.5967047634646292]]",0.658002696256931,0.0839451804623376,0.68989898989899,"[[0.0975464242074114, 0.1159294850591367, 0.10457228918824608]]",0.106016066151598,0.0075739730001053,0.0870286496339316,"[[0.09754369924380171, 0.11535493063400916, 0.10472121465431428]]",0.105873281510708,0.007316895263251,0.087006954517644,"[[0.09773116219645188, 0.1213309189738997, 0.10528152812616971]]",0.108114536432174,0.0098406159033226,0.0856209676249931,"[[0.780245895653086, 0.7796227956038609, 0.5817378137292457]]",0.713868834995398,0.0934310874354107,0.711601094965327,"[[0.780245895653086, 0.7796227956038609, 0.5817378137292457]]",0.713868834995398,0.0934310874354107,0.711601094965327,"[[0.6831745750870863, 0.7703788427454413, 0.5797472984304173]]",0.677766905420982,0.0779188834211409,0.699538524636191
