time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0,0.4745762711864407,0.4745762711864407,25,1,random_forest
46.95,0.5,0.4201680672268907,0.9201680672268908,50,1,random_forest
59.4,1,0.2833333333333333,1.2833333333333332,75,1,random_forest
34.45,0,0.384180790960452,0.384180790960452,25,1,LASSO
46.95,0,0.4285714285714285,0.4285714285714285,50,1,LASSO
59.4,0,0.5666666666666667,0.5666666666666667,75,1,LASSO
34.45,0,0.4858757062146893,0.4858757062146893,25,1,ELASTIC_NET
46.95,0,0.5546218487394958,0.5546218487394958,50,1,ELASTIC_NET
59.4,0,0.5666666666666667,0.5666666666666667,75,1,ELASTIC_NET
34.45,0.3333333333333333,0.2171428571428571,0.5504761904761905,25,2,random_forest
45.3,1,0.221311475409836,1.221311475409836,50,2,random_forest
59.25,1,0.05,1.05,75,2,random_forest
34.45,0.5,0.36,0.86,25,2,LASSO
45.3,0,0.4590163934426229,0.4590163934426229,50,2,LASSO
59.25,0,0.4166666666666667,0.4166666666666667,75,2,LASSO
34.45,0.3333333333333333,0.2914285714285714,0.6247619047619047,25,2,ELASTIC_NET
45.3,0,0.3524590163934426,0.3524590163934426,50,2,ELASTIC_NET
59.25,0,0.2666666666666666,0.2666666666666666,75,2,ELASTIC_NET
34.4,0,0.5307262569832403,0.5307262569832403,25,3,random_forest
45.8,0.5,0.5,1,50,3,random_forest
59.25,1,0.35,1.35,75,3,random_forest
34.4,0.25,-0.1229050279329608,0.1270949720670391,25,3,LASSO
45.8,0,0.6416666666666667,0.6416666666666667,50,3,LASSO
59.25,0,0.35,0.35,75,3,LASSO
34.4,0.25,-0.1229050279329608,0.1270949720670391,25,3,ELASTIC_NET
45.8,0,0.4416666666666666,0.4416666666666666,50,3,ELASTIC_NET
59.25,0,0.35,0.35,75,3,ELASTIC_NET
34.4,-0.4,0.4576271186440678,0.0576271186440677,25,4,random_forest
44.4,NA,0.23577235772357719,NA,50,4,random_forest
58.175,NA,0.1639344262295081,NA,75,4,random_forest
34.4,0,0.288135593220339,0.288135593220339,25,4,LASSO
44.4,NA,0.4146341463414634,NA,50,4,LASSO
58.175,NA,0.4426229508196721,NA,75,4,LASSO
34.4,0,0.4406779661016949,0.4406779661016949,25,4,ELASTIC_NET
44.4,NA,0.4146341463414634,NA,50,4,ELASTIC_NET
58.175,NA,0.4426229508196721,NA,75,4,ELASTIC_NET
35.05,-0.2,0.5454545454545454,0.3454545454545454,25,5,random_forest
45.8,0,0.5619834710743802,0.5619834710743802,50,5,random_forest
58.5,0,0.4,0.4,75,5,random_forest
35.05,0,0.6534090909090909,0.6534090909090909,25,5,LASSO
45.8,0,0.7851239669421488,0.7851239669421488,50,5,LASSO
58.5,0,0.55,0.55,75,5,LASSO
35.05,0,0.7556818181818182,0.7556818181818182,25,5,ELASTIC_NET
45.8,0,0.8181818181818182,0.8181818181818182,50,5,ELASTIC_NET
