random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.3,[0.0022369721178815403],[0.00490592759662291],10,2,100,"[[0.8189890710382514, 0.5251396648044693, 0.7363523573200993]]",0.69349369772094,0.123732283345843,0.614988104678826,"[[0.8258196721311475, 0.5174581005586593, 0.7295285359801489]]",0.690935436223319,0.128811969467888,0.592783505154639,"[[0.7932300936415716, 0.653690636008289, 0.7139758358989555]]",0.680675744667484,0.0639731359429342,0.570578905630452,"[[0.09128930612342603, 0.11530599444714601, 0.09949629411378223]]",0.102030531561451,0.0099671827878812,0.102742439004073,"[[0.09220311191406294, 0.1141413986576214, 0.10074643570754271]]",0.102363648759742,0.0090289770499505,0.102932998435657,"[[0.0972765344325634, 0.11137263819149747, 0.10678629632563272]]",0.105145156316565,0.0058705502690793,0.107194871833635,"[[0.843396783190117, 0.553049292452914, 0.7423900079235133]]",0.712945361188848,0.12034854038817,0.594436397048284,"[[0.8626486827122951, 0.5404010921588153, 0.7336814865560689]]",0.71224375380906,0.132427488821568,0.570228184823073,"[[0.8269210003048139, 0.6372840428857642, 0.686130097862357]]",0.716778380350978,0.0803949908033884,0.547720752793179
2,0.2,[0.007728982367437017],[0.023167016001356476],5,2,1000,"[[0.6364779874213836, 0.6717049576783555, 0.6389593908629442]]",0.649047445320894,0.0160532756871471,0.673565380997178,"[[0.6427672955974842, 0.6444981862152358, 0.6351522842639594]]",0.64080592202556,0.0040596970771393,0.690968955785513,"[[0.6231670235660302, 0.6305631355353082, 0.7299347461039234]]",0.638310752112891,0.0080248349907106,0.620413922859831,"[[0.1009440394718216, 0.11603972969294638, 0.11321614471506193]]",0.110066637959943,0.0065528370656504,0.0824871783925268,"[[0.10298344634459548, 0.1137883257195881, 0.11548343123961324]]",0.110751734434599,0.0055364290878972,0.0844803738301907,"[[0.1010886626141723, 0.11280828187374639, 0.11311372087806601]]",0.109003555121995,0.0055980631057613,0.0862672585502225,"[[0.6771084690666348, 0.6881383408760707, 0.7712640755604702]]",0.712170295167725,0.0420275360437465,0.629260996257857,"[[0.6760829203137547, 0.677691140477635, 0.7641750024390169]]",0.705983021076802,0.0411531822517541,0.647458637727291,"[[0.6985304119086212, 0.6343012785505574, 0.7195722781182688]]",0.684134656192482,0.0362694929548072,0.605675795765162
3,0.2,[0.006514220045413113],[0.0195258616016855],5,2,1000,"[[0.6948324022346368, 0.832378223495702, 0.5569164265129684]]",0.694709017414436,0.112456841549991,0.588235294117647,"[[0.7039106145251397, 0.8116045845272206, 0.5756484149855908]]",0.69705453801265,0.0964506188853426,0.613840830449827,"[[0.7735252458650967, 0.7586945304660505, 0.5642479382356549]]",0.675841732734978,0.0783761245335557,0.575432525951557,"[[0.10807457198279209, 0.09021934513151444, 0.10628317064332328]]",0.10152569591921,0.0080281777006815,0.125646047513711,"[[0.10723384278879942, 0.09355731553625352, 0.10484591456300413]]",0.101879024296019,0.00596454400686,0.123050749365894,"[[0.10553145912777784, 0.0854016126351772, 0.11018858485342954]]",0.100373885538795,0.0107563600389547,0.130853503790729,"[[0.6876077025853565, 0.8134431925160809, 0.6153803333149823]]",0.705477076138807,0.0818401284298564,0.590138814452211,"[[0.6891063830750546, 0.7967551720669281, 0.6095679118970067]]",0.698476489012996,0.0767055702299238,0.615115751347758,"[[0.7214221873139637, 0.7498152938149175, 0.610340410605947]]",0.693859297244943,0.0601835827185271,0.570948912848375
4,0.8,[0.002806137656146262],[0.0040329705002539636],15,2,100,"[[0.6921086675291074, 0.5203938115330521, 0.6311018131101813]]",0.614534764057447,0.0710743661159365,0.695195195195195,"[[0.6972833117723156, 0.5218002812939522, 0.6311018131101813]]",0.616728468725483,0.0723579908882145,0.695945945945946,"[[0.5703296226028113, 0.48606302855961714, 0.6551063695083792]]",0.58225037273069,0.0536955412585228,0.625750750750751,"[[0.09958552565553642, 0.11383501507050534, 0.11502725943149907]]",0.109482600052514,0.0070151941226909,0.106965602987465,"[[0.1000903779783558, 0.11242967085281734, 0.11428764245444807]]",0.108935897095207,0.0063005513490515,0.107649451247008,"[[0.10558275101818172, 0.09733404270467977, 0.1099838064166306]]",0.104300200046497,0.005243270813673,0.112630264502467,"[[0.7845315945394533, 0.5776616578261313, 0.617541595488599]]",0.659911615951395,0.0896110359812776,0.75359803290269,"[[0.7871700108080947, 0.5780935388030457, 0.617541595488599]]",0.66093504836658,0.0907027621814781,0.739344366845462,"[[0.6145909131804242, 0.6080601898183885, 0.6667855004099373]]",0.62981220113625,0.0262796655394,0.654990957500406
5,0.3,[0.0029621795588449145],[0.02747480194163219],10,2,100,"[[0.7212566844919787, 0.6721611721611722, 0.644311377245509]]",0.67924307796622,0.0318094338122836,0.521901211556384,"[[0.7092245989304813, 0.6837606837606838, 0.7101796407185629]]",0.701054974469909,0.012235124152909,0.517707362534949,"[[0.7905275918319127, 0.7255849829607135, 0.6928804022659663]]",0.700760057848822,0.0299229009041108,0.511183597390494,"[[0.09018618682388195, 0.13096985754981003, 0.11658127975183327]]",0.112579108041842,0.0168886546388874,0.0989069571538863,"[[0.09087168890193911, 0.1268233594746295, 0.11873276266843645]]",0.112142603681668,0.015399205625507,0.0962247361991371,"[[0.08983923568704501, 0.12897676362066984, 0.12118608185328653]]",0.113334027053667,0.0169150346658623,0.0977374424672831,"[[0.8027553885205861, 0.6658602628692362, 0.700842579384032]]",0.723152743591285,0.0580710853293367,0.550597053871161,"[[0.8185867976033923, 0.6948394867393062, 0.718561454585704]]",0.743995912976134,0.0536254478876965,0.542232112916015,"[[0.8187109333323557, 0.6842295121653973, 0.6961750441992244]]",0.733038496565659,0.0607755364712398,0.541915832584129
6,0.2,[0.02222051690314601],[0.015032710472907381],15,2,1000,"[[0.6201183431952663, 0.5762273901808785, 0.5501770956316411]]",0.582174276335929,0.0288613769467653,0.562436028659161,"[[0.6834319526627219, 0.5116279069767442, 0.5850059031877214]]",0.593355254275729,0.0703867472194896,0.683725690890481,"[[0.7618598193722442, 0.5549719766188823, 0.5776347767051259]]",0.624398427927457,0.0935221559223437,0.679119754350051,"[[0.11211673048407006, 0.11657862709500373, 0.1232968219023865]]",0.11733072649382,0.0045951315657445,0.0942272068851805,"[[0.10662580131794949, 0.11899475130743381, 0.12382778300227557]]",0.116482778542553,0.0072438272041603,0.0888353359189178,"[[0.10892600014002465, 0.11596744491673072, 0.12250533989755126]]",0.115799594984769,0.0055450126096839,0.0899892119672035,"[[0.5543404039542319, 0.582690573609722, 0.5253596424953114]]",0.554130206686422,0.0234057265468641,0.532745770327918,"[[0.6540682853752884, 0.5136545081266979, 0.6338045847413035]]",0.600509126081097,0.0619701427347576,0.724968651350188,"[[0.75916370034213, 0.5309711787451435, 0.5889407896332429]]",0.626358556240172,0.0968435978664766,0.687592391838476
7,0.2,[0.0031537682998530147],[0.0023416229158929806],10,2,100,"[[0.817258883248731, 0.6110421836228288, 0.768033946251768]]",0.732111671041109,0.0879361101155553,0.574565037282519,"[[0.817258883248731, 0.608560794044665, 0.7807637906647807]]",0.735527822652726,0.0910071158787334,0.573736536868268,"[[0.8076707609974765, 0.5656632528124489, 0.7521945121600425]]",0.699371119798215,0.0986012885435006,0.526512013256007,"[[0.09821844054059006, 0.10681061121893194, 0.10292681936600181]]",0.102651957041841,0.0035131193370347,0.111016707183641,"[[0.09714964672801195, 0.10565068804787588, 0.101522008220221]]",0.101440780998703,0.0034710108303533,0.110864797372677,"[[0.09866545350827373, 0.105986544265361, 0.1148801933810525]]",0.106510730384896,0.0066300088286218,0.107435140165773,"[[0.8377204549989686, 0.650431091724507, nan]]",,,0.619647327863075,"[[0.8344303175827658, 0.6452326139778785, nan]]",,,0.614041894194248,"[[0.8303662565039779, 0.6136757376588755, nan]]",,,0.590115034776269
8,0.3,[0.005343904052006984],[0.012277819251115587],10,2,1000,"[[0.6818181818181818, 0.6592140921409214, 0.5474308300395256]]",0.629487701332876,0.0587522130781728,0.709284028324154,"[[0.7012032085561497, 0.6686991869918699, 0.5823451910408433]]",0.650749195529621,0.0501561476925699,0.71675845790716,"[[0.6695500605153666, 0.7592195173215776, 0.5490703279978609]]",0.62628134525552,0.0619143763760297,0.679386309992132,"[[0.10587474918809546, 0.11036845685448353, 0.10765427399284254]]",0.107965826678474,0.0018477285072365,0.0983008352233138,"[[0.10443590266200796, 0.11085631404879986, 0.10265395311576943]]",0.105982056608859,0.0035225582786235,0.0998408741885751,"[[0.10303095794144454, 0.11290374825013419, 0.1014742042618805]]",0.105802970151153,0.005061070882263,0.101176052702795,"[[0.7655104291967165, 0.6998097312732198, 0.5881832845748644]]",0.684501148348267,0.0731983314396006,0.754249301707616,"[[0.7743805796682393, 0.7084190434099584, 0.6264307323512958]]",0.703076785143165,0.0605182844150899,0.755863741279953,"[[0.7487772351137459, 0.673505045338044, 0.5817526711814606]]",0.668011650544417,0.0682980442812311,0.706293744910905
9,0.6,[0.00846972506582488],[0.014116208443041471],10,2,1000,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.626050043160514,0.0204538401701707,0.621539792387543,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.626050043160514,0.0204538401701707,0.621539792387543,"[[0.5808469679122458, 0.6552048687927213, 0.5118426904559423]]",0.56563820236889,0.0356785283425609,0.664792387543253,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.109894371456157,0.0053289616394371,0.115338305150746,"[[0.11143678372095618, 0.1039867752133954, 0.11545218173029945]]",0.110291913554884,0.0047502233226336,0.113348487833891,"[[0.11314497985362111, 0.10456595954679014, 0.11294595922651962]]",0.110218966208977,0.0039981050131738,0.109195052559651,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.612566476587425,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.612566476587425,"[[0.5714790689776831, 0.5848263059824079, 0.5105782510116914]]",0.555627875323928,0.0323175769710569,0.665099780127567
10,0.4,[0.0035303932763716453],[0.004601874950725031],10,2,500,"[[0.716251638269987, 0.5943181818181819, 0.5899408284023668]]",0.633503549496845,0.05853901805598,0.66969696969697,"[[0.7241153342070773, 0.6068181818181818, 0.5840236686390533]]",0.638319061554771,0.0613766935057059,0.66969696969697,"[[0.7623024049562435, 0.5422224409454194, 0.5857602309652153]]",0.644566433918939,0.0798935085496953,0.604040404040404,"[[0.1076732686323534, 0.14326274286578602, 0.11423341635977262]]",0.121723142619304,0.0154644682769906,0.0921362871934839,"[[0.10576879029457885, 0.1390938417077178, 0.1141937268022366]]",0.119685452934844,0.0141482402877239,0.0914025727842144,"[[0.10432459215517409, 0.1300735454892874, 0.11580385333950911]]",0.116733996994657,0.0105325218526553,0.0910165655013082,"[[0.699458332532976, 0.6781236138026148, 0.683554791259082]]",0.687045579198224,0.0090528726988712,0.680501963395285,"[[0.7085376605270554, 0.6882642768343973, 0.6796248188793155]]",0.692142252080256,0.0121179514782117,0.680501963395285,"[[0.769266813498166, 0.682257816237092, 0.6494792294581397]]",0.700334619731133,0.0505459819765343,0.611580244293338
