random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.3,[0.0013493719001057244],[0.001342016581955446],5,2,100,"[[0.8504098360655737, 0.6145251396648045, 0.717741935483871]]",0.72755897040475,0.096549393680123,0.750594766058684,"[[0.851775956284153, 0.6131284916201117, 0.717741935483871]]",0.727548794462712,0.0976738926561813,0.747422680412371,"[[0.8653537639324709, 0.6656608539238832, 0.7614865746452029]]",0.726136377495432,0.0763949715719032,0.747422680412371,"[[0.07248078353940773, 0.11478209132734563, 0.0928477539471828]]",0.0933702096046453,0.0172733876252454,0.0954250787322038,"[[0.07248878170160476, 0.11514532874399219, 0.0922705086536081]]",0.093301539699735,0.0174297163900891,0.0955465606545105,"[[0.0900477078332873, 0.10596854972955959, 0.10474303323381277]]",0.10025309693222,0.0072336227745068,0.0920943420194685,"[[0.882822549979396, 0.6332523554033318, 0.778112537815277]]",0.764729147732668,0.102325157717155,0.735866385411426,"[[0.8832403210513877, 0.6294588376830358, 0.7790494115222736]]",0.763916190085566,0.104157000463882,0.734926745652698,"[[0.9007514250556464, 0.6377558423907023, 0.8059199547107235]]",0.781475740719024,0.108749892945763,0.757532026338519
2,0.3,[0.010635904637075788],[0.024436388347405885],5,2,1000,"[[0.7119496855345911, 0.6088270858524788, 0.7753807106598984]]",0.698719160682323,0.0686358146306651,0.770460959548448,"[[0.710062893081761, 0.619105199516324, 0.7519035532994924]]",0.693690548632526,0.0554369969061167,0.786453433678269,"[[0.7656866017500167, 0.6501922143690976, 0.7423249701035775]]",0.689504385550598,0.0511561884632604,0.782690498588899,"[[0.09144695673563415, 0.11247272686987929, 0.10481551723049098]]",0.102911733612001,0.0086886533856538,0.0776228367969011,"[[0.09551171144307098, 0.10936089990958987, 0.10874597358934462]]",0.104539528314002,0.0063885648720261,0.0797224140593823,"[[0.09714643622307241, 0.11054677394188187, 0.10903074263926138]]",0.105574650934739,0.0059916992663233,0.0788139378790439,"[[0.6993652868311766, 0.5835921651215691, 0.8514675184130402]]",0.711474990121929,0.109694378192626,0.738959557170898,"[[0.6934019793799725, 0.6045731014565984, 0.8174886193645673]]",0.705154566733713,0.0873187529443518,0.764530554818833,"[[0.7832725083627158, 0.6212297521823935, 0.7438532282400359]]",0.716118496261715,0.068999397224714,0.751854884887195
3,0.2,[0.0014121735521697315],[0.0085048402152413],5,2,100,"[[0.7730446927374302, 0.6876790830945558, 0.696685878962536]]",0.719136551598174,0.0382957469681193,0.710034602076125,"[[0.821927374301676, 0.6389684813753582, 0.7197406340057637]]",0.726878829894266,0.0748630060203877,0.711418685121107,"[[0.8659822068286714, 0.6034473660099869, 0.7339145457310745]]",0.723474687451904,0.100206628456653,0.691349480968858,"[[0.08670368451989424, 0.09755714803042224, 0.09208766192691403]]",0.0921161648257435,0.0044309537615147,0.11199828032435,"[[0.08769355482038557, 0.09969496552444006, 0.09134322450659756]]",0.092910581617141,0.0050233402536444,0.114651523558459,"[[0.09751465076833786, 0.10714092080716751, 0.09410802566024702]]",0.0995878657452508,0.0055189222518548,0.117921502132675,"[[0.8155729261145812, 0.6653660097476498, 0.729884512702706]]",0.736941149521646,0.0615243936636051,0.697279705714893,"[[0.8405568019881624, 0.615944260694917, 0.7522475437214576]]",0.736249535468179,0.0923928230531875,0.700675475561143,"[[0.848816838934148, 0.580612429485837, 0.8060107312068934]]",0.745146666542293,0.117648422818446,0.687211746364367
4,0.2,[0.00102754965419656],[0.05509039065915052],10,2,100,"[[0.6778783958602846, 0.7025316455696202, 0.700139470013947]]",0.693516503814617,0.0111008540592097,0.722222222222222,"[[0.6138421733505821, 0.7412095639943741, 0.7859135285913529]]",0.713655088645436,0.0728998155343587,0.680930930930931,"[[0.571481596757946, 0.7542009446404893, 0.8122945277115295]]",0.713392248992731,0.103001292116782,0.679054054054054,"[[0.1046921368973543, 0.09049901431221091, 0.07791715210463845]]",0.0910361011047345,0.0109374372174828,0.0977629497644073,"[[0.1047601548819826, 0.09064557714792798, 0.10238424359893887]]",0.0992633252096164,0.0061703822057349,0.111931101198102,"[[0.10812117920967006, 0.0874678100144296, 0.09459103963552347]]",0.096726676286541,0.0085658672535283,0.109323482178886,"[[0.7460113778531735, 0.7090484965605517, 0.7232663431934161]]",0.72610873920238,0.0152232948616464,0.721454087969852,"[[0.6917561231334571, 0.7807701559745565, 0.8312459380093824]]",0.767924072372465,0.0576663883122217,0.673570904866671,"[[0.6504043918197027, 0.7946909750456295, 0.8664482033281223]]",0.770514523397818,0.0898409993023994,0.660859593308224
5,0.2,[0.012527776791907058],[0.049640244309907204],5,2,100,"[[0.7212566844919787, 0.721001221001221, 0.8311377245508982]]",0.757798543348033,0.0518587372261019,0.594128611369991,"[[0.7012032085561497, 0.7362637362637363, 0.8407185628742515]]",0.759395169231379,0.0592589285310874,0.606244175209692,"[[0.8127046640006435, 0.7732892306065811, 0.8085410077953458]]",0.768969104095909,0.0277069019142143,0.540540540540541,"[[0.08318563148252753, 0.12369945924513784, 0.10923985594198148]]",0.105374982223216,0.016763959290516,0.0874975674054772,"[[0.08869601139184474, 0.1208530610685782, 0.11350078315554077]]",0.107683285205321,0.0137574567121151,0.0886790550424131,"[[0.08532621183901215, 0.1272834795070579, 0.10715963016260677]]",0.106589773836226,0.0171337217151158,0.0917202028998488,"[[0.8162279426591899, 0.7157516705906298, 0.8523723806723335]]",0.794783997974051,0.0577995771527306,0.611969336460866,"[[0.7794089183089772, 0.730209589212107, 0.8426976885922124]]",0.784105398704432,0.0460429931087296,0.622567772894084,"[[0.8337851600409926, 0.7385328538421263, 0.8213959294526215]]",0.79790464777858,0.0422857792886096,0.585210389058878
6,0.2,[0.01962854170907712],[0.09368197097461002],10,2,500,"[[0.6295857988165681, 0.7170542635658915, 0.6198347107438017]]",0.655491591042087,0.0437130256396237,0.808085977482088,"[[0.6248520710059171, 0.7183462532299741, 0.6576151121605667]]",0.666937812132153,0.0387339220710258,0.78403275332651,"[[0.6383105359632304, 0.6742442262865387, 0.7059618845435939]]",0.666409644877689,0.0242193846962882,0.881269191402252,"[[0.10970426233780105, 0.11344913872110828, 0.1216221134924037]]",0.114925171517104,0.0049761295968492,0.0860593074386251,"[[0.11041947877912214, 0.11560734930524509, 0.12328767899617679]]",0.116438169026848,0.0052861668698534,0.0912249822122418,"[[0.10722197128872923, 0.11168445751507715, 0.11786744964388886]]",0.112257959482565,0.0043648772974412,0.0815152785198325,"[[0.6772583231428724, 0.6983946762894856, 0.585626792215617]]",0.653759930549325,0.0489440480581975,0.818923768488308,"[[0.6738394244956362, 0.7013489377602796, 0.6199222094522898]]",0.665036857236069,0.0338200326582259,0.810873737803269,"[[0.6736375860997639, 0.6599635706153925, 0.6729885844936584]]",0.668863247069605,0.0062985967491936,0.930683831299386
7,0.3,[0.0018281060849938008],[0.008439064008567079],10,2,100,"[[0.6738578680203046, 0.6923076923076923, 0.7751060820367751]]",0.713757214121591,0.0440292455830207,0.693454846727423,"[[0.6833756345177665, 0.6985111662531017, 0.768033946251768]]",0.716640249007545,0.0368624033178426,0.709196354598177,"[[0.6376839098342182, 0.6354756922960765, 0.7445762244075331]]",0.665344515065538,0.0462851456817966,0.71830985915493,"[[0.09055322998103564, 0.09752115000594451, 0.11231943100074358]]",0.100131270329241,0.0090756605924545,0.0929764082472804,"[[0.09163890008328737, 0.09647694963399321, 0.1071094711950058]]",0.0984084403040954,0.006461817844704,0.0918206154578204,"[[0.10087564299517814, 0.10085096178541818, 0.10844363708660719]]",0.103390080622401,0.0035734182508458,0.0984543575630043,"[[0.6420406984773881, 0.719301145208505, nan]]",,,0.742694059582457,"[[0.6479190121594584, 0.7269149189690045, nan]]",,,0.777647666560897,"[[0.6184336093137122, 0.6909206309075991, nan]]",,,0.795678806573207
8,0.3,[0.005930344087887744],[0.00983848742333831],10,2,1000,"[[0.7947860962566845, 0.7357723577235772, 0.6073781291172595]]",0.712645527699174,0.0782371362677434,0.75609756097561,"[[0.804144385026738, 0.7466124661246613, 0.6205533596837944]]",0.723770070278398,0.0766713655050627,0.756490952006294,"[[0.8074674003617784, 0.8152083583486172, 0.6480422722934758]]",0.710995368401332,0.0583409532412127,0.764358772619984,"[[0.08329983251407624, 0.09116349562852423, 0.107046524674574]]",0.0938366176057248,0.0098770958272191,0.0866551135781979,"[[0.08406345945167691, 0.09287603007329105, 0.1018039302839947]]",0.0929144732696542,0.0072425679031491,0.0892248277788068,"[[0.09587285620445136, 0.10465311363933902, 0.09839433995946177]]",0.0996401032677507,0.0036911763997343,0.0965397123778812,"[[0.8273394773108691, 0.7933627753566884, 0.586841389435883]]",0.735847880701147,0.10627262080238,0.762853495722498,"[[0.8400285074911548, 0.800498181903686, 0.5958166211171936]]",0.745447770170678,0.107028881571167,0.762807775250491,"[[0.8075742757425278, 0.7536883352211239, 0.6228345287161031]]",0.728032379893252,0.0775708904408785,0.791992408527461
9,0.2,[0.012953553440336083],[0.08561917655816975],15,2,1000,"[[0.7986453201970444, 0.634318766066838, 0.7675033025099075]]",0.733489129591263,0.0712672298118449,0.649221453287197,"[[0.7820197044334976, 0.6934447300771208, 0.7463672391017173]]",0.740610557870779,0.0363889731892705,0.654844290657439,"[[0.8105370675431641, 0.6735233435322864, 0.7190457231971656]]",0.715742025788219,0.0663851863892587,0.732698961937716,"[[0.0997709754766012, 0.09281667191996072, 0.09617960700443737]]",0.0962557514669997,0.0028395930428918,0.122468893021196,"[[0.1146040817281358, 0.1029491184264264, 0.10548987200036153]]",0.107681024051641,0.0050040252380737,0.109232670837828,"[[0.11134714923838583, 0.10268818957584841, 0.10447260610769493]]",0.106169314973976,0.0037330515972906,0.107065875520386,"[[0.7692261057967108, 0.6582892160277275, 0.7131389082260482]]",0.713551410016829,0.0452907348597144,0.643858218098982,"[[0.7821867048613034, 0.7123051074243115, 0.6865152039155723]]",0.727002338733729,0.0404167084213459,0.666863561692028,"[[0.8094640934698828, 0.6438738789919822, 0.6382970860312175]]",0.697211686164361,0.0794070834974034,0.742693331467387
10,0.2,[0.01539208318462715],[0.01442097682273537],5,2,1000,"[[0.7673656618610747, 0.7846590909090909, 0.5952662721893491]]",0.715763674986505,0.085496525203093,0.752020202020202,"[[0.799475753604194, 0.772159090909091, 0.6088757396449704]]",0.726836861386085,0.0841533112718133,0.753535353535353,"[[0.7993825374183416, 0.7415082374279787, 0.5683743832730812]]",0.681336140629542,0.0782222243571125,0.781818181818182,"[[0.10238933635374607, 0.11858300057571158, 0.10191169831153693]]",0.107628011746998,0.0077488007546444,0.0796524502306556,"[[0.09273066184674138, 0.11819801674167599, 0.10403191968344952]]",0.104986866090622,0.0104189085582117,0.0772349403915869,"[[0.0985580809851732, 0.11888798683741574, 0.1078463015890057]]",0.108430789803865,0.0083099333268582,0.0829780127286214,"[[0.8139979989497587, 0.804026169542228, 0.5832191027827043]]",0.733747757091564,0.106517654785362,0.748576719901684,"[[0.8474186197886243, 0.7989646457863308, 0.6180812419409112]]",0.754821502505289,0.098692691534764,0.754874679201947,"[[0.7955283342185611, 0.791542209628162, 0.5943753799878638]]",0.727148641278196,0.0938989757933691,0.807614796510857
11,0.2,[0.015282332047591121],[0.047988749584877956],10,2,100,"[[0.7341269841269841, 0.7664941785252264, 0.6568241469816273]]",0.719148436544613,0.0460083080935862,0.709821428571429,"[[0.7486772486772487, 0.7943078913324709, 0.655511811023622]]",0.732832317011114,0.0577603345552607,0.709415584415584,"[[0.7298920513724192, 0.8459677568939501, 0.6210329858775933]]",0.719699447066745,0.0838466929870026,0.726055194805195,"[[0.09435155548183705, 0.10790355522131463, 0.10504326112805572]]",0.102432790610402,0.0058323861027514,0.0984233668564301,"[[0.09640406840511952, 0.11035152052762215, 0.10355681466821091]]",0.103437467866984,0.0056946488285991,0.10097244196597,"[[0.0943888028888059, 0.10655417700305637, 0.10347407085804573]]",0.101472350249969,0.005164251858015,0.0988275239423657,"[[0.7251272386590698, 0.7771611074089508, 0.6526276515736313]]",0.718305332547217,0.0510689025260387,0.780866089819427,"[[0.7430661837080778, 0.8142672793343759, 0.6651240334768816]]",0.740819165506445,0.0609082028647816,0.774567381647483,"[[0.7149808032359054, 0.8546196303503931, 0.6579812698363882]]",0.742527234474229,0.0826065599166099,0.773031163046454
12,0.2,[0.007885770486196741],[0.02847082132182368],15,2,500,"[[0.7266584766584766, 0.7685185185185185, 0.7588383838383839]]",0.751338459671793,0.0178932468268445,0.656891495601173,"[[0.7242014742014742, 0.7574074074074074, 0.7765151515151515]]",0.752708011041344,0.0216139376818742,0.695992179863148,"[[0.819777321615195, 0.75975334507486, 0.7409306778576952]]",0.740865107531774,0.0164566883385489,0.675953079178886,"[[0.11674814176081179, 0.08677986998003365, 0.09284518545893]]",0.0987910657332584,0.012936755068644,0.0773224438772113,"[[0.11900268458819221, 0.09399992629684997, 0.09603511659506202]]",0.103012575826701,0.011337200816801,0.0800367977748415,"[[0.1237399849160284, 0.1008535788977122, 0.1023366652778522]]",0.108976743030531,0.0104567321067982,0.0820571012395838,"[[0.7972622279988584, 0.7920933565072003, 0.7819001892188931]]",0.790418591241651,0.0063823552544134,0.56279865240423,"[[0.7918157873060072, 0.7829755479718626, 0.8110870697548758]]",0.795292801677582,0.011736883059947,0.621281790762089,"[[0.7867894477693772, 0.7773881873252051, 0.8127624054449074]]",0.792313346846496,0.0149603681473355,0.607589022221308
13,0.9,[0.0007016273345545781],[0.0007441525437231436],15,2,1000,"[[0.7417519908987485, 0.6533412887828163, 0.8280680437424058]]",0.741053774474657,0.071333607574122,0.714362272240086,"[[0.7417519908987485, 0.6533412887828163, 0.8268529769137303]]",0.740648752198432,0.0708401455448923,0.714362272240086,"[[0.8153968499967809, 0.7306463323830625, 0.7580097712099789]]",0.716746569053022,0.0919811488682682,0.731511254019293,"[[0.09629654932032852, 0.19283153594199987, 0.08187785010763354]]",0.123668645123321,0.0492585276647198,0.0616159783307821,"[[0.09634624023578345, 0.1928018934363229, 0.08175478439620196]]",0.123634306022769,0.0492703021257111,0.061601805376339,"[[0.1057240410495786, 0.15036186235834237, 0.10219975904714566]]",0.119428554151689,0.021920421351851,0.0745018878526,"[[0.7426524291110058, 0.721294388825547, 0.8093185251277232]]",0.757755114354759,0.0374889358710444,0.693149326254997,"[[0.7428402476750527, 0.721294388825547, 0.8066211974217319]]",0.756918611307444,0.0362290519539854,0.693510036958122,"[[0.8060955430447192, 0.6436525954840843, 0.7446935838215949]]",0.731480574116799,0.0669719619051687,0.70995975092177
