random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.010945171503770128],[0.0522384828341143],15,2,100,"[[0.755464480874317, 0.6263966480446927, 0.6290322580645161]]",0.670297795661175,0.060231552156047,0.745440126883426,"[[0.755464480874317, 0.645949720670391, 0.6377171215880894]]",0.679710441044266,0.0536715308448356,0.745440126883426,"[[0.8198259343673479, 0.6541631264703195, 0.6155436812442453]]",0.667411962887961,0.0528263388952925,0.722045995241871,"[[0.09980166125275343, 0.10830225706150884, 0.11224747460433804]]",0.106783797639533,0.0051931914887192,0.0908149187852006,"[[0.10246487725764059, 0.107121739606434, 0.1112662629535179]]",0.106950959939198,0.0035951793476778,0.0969516221536718,"[[0.0992080002253092, 0.11099789982227938, 0.11300767219491596]]",0.107737857414168,0.0060870706690054,0.091511643928819,"[[0.8222092461786037, 0.5477213036022192, 0.6778159857217168]]",0.682582178500846,0.112109901733849,0.756090396184478,"[[0.8222092461786037, 0.5642814259116361, 0.6933194009325667]]",0.693270024340936,0.105298597475475,0.756090396184478,"[[0.8474538769184523, 0.596528014921805, 0.7109666459701554]]",0.718316179270137,0.102571792043381,0.741182305755961
2,0.2,[0.008830114882676654],[0.027727847464043727],5,2,500,"[[0.679874213836478, 0.5646916565900847, 0.7899746192893401]]",0.678180163238634,0.0919791848779188,0.674976481655691,"[[0.679874213836478, 0.5598548972188634, 0.7874365482233503]]",0.675721886426231,0.0929562023595823,0.67074317968015,"[[0.7061732065282019, 0.629761286718356, 0.8373523875953717]]",0.691380434860796,0.0669671280467903,0.687676387582314,"[[0.10583567062582053, 0.1084400834090889, 0.11280896986279956]]",0.109028241299236,0.0028770555364724,0.0850598260333976,"[[0.10409610597246595, 0.10857740495545862, 0.11362461279237106]]",0.108766041240099,0.0038922828169046,0.0854593685167706,"[[0.10957215286633491, 0.11400666433852434, 0.10526174370090716]]",0.109613520301922,0.003570218731684,0.0912260326934376,"[[0.6534354966633031, 0.5099666436572512, 0.7444317584471306]]",0.635944632922562,0.0965156990655085,0.692020046879277,"[[0.6534354966633031, 0.5081119400279142, 0.7715569976214289]]",0.644368144770882,0.10774193626553,0.685127833148141,"[[0.7239710294126358, 0.5466239105851635, 0.8369736363473709]]",0.702522858781723,0.119501070651011,0.742507646031816
3,0.3,[0.001781960916889167],[0.0021346784971607055],15,2,100,"[[0.7458100558659218, 0.5193409742120344, 0.776657060518732]]",0.680602696865563,0.114722540124424,0.664359861591695,"[[0.7458100558659218, 0.5193409742120344, 0.7968299711815562]]",0.687327000419837,0.120596397653551,0.665743944636678,"[[0.869792301121792, 0.5013735217936045, 0.7843178755183766]]",0.705121501064294,0.157074404056677,0.68719723183391,"[[0.0972371656678907, 0.12173502471644183, 0.08326627094016768]]",0.100746153774833,0.0158996017230181,0.120771885737197,"[[0.0967262847583507, 0.12009328439455814, 0.08304961301063693]]",0.0999563940545152,0.0152945219375841,0.121543722414713,"[[0.09952495635142938, 0.11809734679123786, 0.08665480346224458]]",0.101425702201637,0.0129065360402967,0.11841410603762,"[[0.7657200651749583, 0.49515592512911283, 0.8198993528991423]]",0.693591781067738,0.142047974281334,0.651274355082301,"[[0.7699701304250858, 0.49515592512911283, 0.8387564964878927]]",0.70129418401403,0.148442193846877,0.655023815969457,"[[0.8676994791100686, 0.44474355425003015, 0.8382840048504608]]",0.716909012736853,0.192824350340729,0.681817589832022
4,0.2,[0.03211828240463841],[0.16823809299823153],15,2,500,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.722801812636402,0.0951420254552229,0.621621621621622,"[[0.591849935316947, 0.8150492264416315, 0.7615062761506276]]",0.722801812636402,0.0951420254552229,0.621621621621622,"[[0.5825591772138817, 0.7707856037362535, 0.7601481466913812]]",0.703173724350102,0.0860406255287242,0.643018018018018,"[[0.1077986045275858, 0.09264487789422048, 0.10987844342961857]]",0.103440641950475,0.0076808343137682,0.115741472277657,"[[0.10550123261938837, 0.09440413477590646, 0.11191453524765721]]",0.103939967547651,0.0072333345301892,0.118268218691181,"[[0.10913181356133059, 0.08304787855787771, 0.09798361937086554]]",0.0967211038300246,0.0106860774042438,0.113429560161721,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.775095594168144,0.0746479360561519,0.580631724275231,"[[0.6697092520862239, 0.8331516667660368, 0.8224258636521724]]",0.775095594168144,0.0746479360561519,0.580631724275231,"[[0.6374182369251924, 0.7849035203249644, 0.827383453738869]]",0.749901736996342,0.0814065498057114,0.589663855163632
5,0.7,[0.013252062696751816],[0.01893151813821689],5,2,500,"[[0.6483957219251337, 0.6544566544566545, 0.7437125748502994]]",0.682188317077362,0.0435745296143744,0.62861136999068,"[[0.6483957219251337, 0.6605616605616605, 0.7425149700598802]]",0.683824117515558,0.0417968471299885,0.62861136999068,"[[0.738875875502589, 0.5794394208937649, 0.735229384855837]]",0.666425663687023,0.0466487031324915,0.623019571295433,"[[0.09562830906480688, 0.12398659137520894, 0.117907231687048]]",0.112507377375688,0.0121906210899213,0.0817242187835263,"[[0.0947560935182475, 0.12288066894451723, 0.11811704754737186]]",0.111917936670046,0.0122900954018272,0.0829265136520101,"[[0.10195680800276793, 0.14128813926580694, 0.12500018049639147]]",0.122748375921655,0.0161357031168529,0.0814517253729812,"[[0.7003006289908323, 0.6745484085001687, 0.7575361125891886]]",0.71079505002673,0.0346827470283684,0.640924453979766,"[[0.7003006289908323, 0.674512776207073, 0.755246041040004]]",0.710019815412637,0.0336681050963903,0.640924453979766,"[[0.7028882838886132, 0.6408424885328341, 0.6910577780840117]]",0.678262850168486,0.0268973705729193,0.647156358141326
6,0.7,[0.01962854170907712],[0.005504517896561341],15,2,1000,"[[0.5899408284023668, 0.7222222222222222, 0.6103896103896104]]",0.640850887004733,0.0581406846508145,0.834186284544524,"[[0.6035502958579881, 0.7002583979328165, 0.6174734356552538]]",0.640427376482019,0.0426870534732163,0.823950870010235,"[[0.5500310252404849, 0.6847070280135773, 0.7042108470014885]]",0.64143542230223,0.0624886468540679,0.82446264073695,"[[0.10983353916233907, 0.1137641926724618, 0.12421458038718708]]",0.115937437407329,0.0060688181818163,0.0868299181359021,"[[0.11054489221039232, 0.10879429463464649, 0.12613783862067116]]",0.11515900848857,0.0077960323785115,0.0812825504811185,"[[0.11042109188365558, 0.1121009948575706, 0.1216156019923393]]",0.114712562911188,0.0049291297350454,0.0817822675223745,"[[0.6574673996947601, 0.7038966651960619, 0.5867122795318093]]",0.64935878147421,0.0481826893393747,0.87851895150337,"[[0.6734191006369299, 0.6875471779351698, 0.5717203742398397]]",0.644228884270647,0.0515946616243836,0.890104615796879,"[[0.6228799706107863, 0.677705554588575, 0.6559702025665466]]",0.652185242588636,0.0225418959000373,0.862692287327648
7,0.6,[0.0042231621618469255],[0.005843572366392546],10,2,1000,"[[0.5862944162436549, 0.8064516129032258, 0.6442715700141443]]",0.679005866387008,0.0931742143107512,0.737365368682684,"[[0.5862944162436549, 0.8101736972704715, 0.6442715700141443]]",0.68024656117609,0.0948723110645659,0.747307373653687,"[[0.5278117955008653, 0.6973117608860293, 0.6669611707796437]]",0.628015014058785,0.0727837476002394,0.773819386909693,"[[0.10775761999592294, 0.09918154205737874, 0.1171063990011668]]",0.108015187018156,0.0073200582735396,0.0977272950330426,"[[0.10731368884217427, 0.0992443941840631, 0.11645473562566097]]",0.107670939550633,0.0070306322231416,0.0979636236573247,"[[0.11028369371424993, 0.09892291015365359, 0.11308428827997943]]",0.107430297382628,0.0061233193927358,0.0972896326648967,"[[0.5524701616962666, 0.7968698640303159, nan]]",,,0.786535001869855,"[[0.5524701616962666, 0.8032197576948641, nan]]",,,0.794610024504647,"[[0.5063190523080615, 0.7244873274165194, nan]]",,,0.833091104619098
8,0.4,[0.0018536570509615664],[0.002201593188690429],5,2,1000,"[[0.7580213903743316, 0.7317073170731707, 0.6363636363636364]]",0.708697447937046,0.0522637084790704,0.672698662470496,"[[0.7513368983957219, 0.7317073170731707, 0.6363636363636364]]",0.706469283944176,0.0502157444283484,0.671125098347758,"[[0.7060676508604087, 0.8145303604920168, 0.6318773955880909]]",0.67031298471165,0.033494142953957,0.678992918961448,"[[0.09291348781803407, 0.10113757440921858, 0.10334950800144005]]",0.0991335234095642,0.0044899736171478,0.0985798122185608,"[[0.09319942583407882, 0.10133670327819307, 0.10322681915267008]]",0.0992543160883139,0.004350433426519,0.0985696218968925,"[[0.10165250192230794, 0.09877141149260582, 0.09970219281013254]]",0.100042035408349,0.0012004971913619,0.110617828713008,"[[0.7768477775016936, 0.7675010671664085, 0.5999534197143948]]",0.714767421460832,0.0812753816613458,0.661193941309464,"[[0.779122936046475, 0.7675010671664085, 0.5999534197143948]]",0.715525807642426,0.081859634324482,0.660292322126857,"[[0.6794395938063018, 0.7765580351519018, 0.576660691042222]]",0.677552773333475,0.0816186543797778,0.739222615583449
9,0.8,[0.027265988322721344],[0.035705348602827404],15,2,500,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.7390102710196207, 0.592861335160459, 0.6935651929932899]]",0.672456517838104,0.0484883190909499,0.670847750865052,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.105653655142318,0.0054329646752084,0.109164580477661,"[[0.11445647148528601, 0.10289683925780842, 0.1036345650037698]]",0.106995958582288,0.005283969429694,0.109148160424607,"[[0.11094189687736482, 0.1037193968499035, 0.09809068108069864]]",0.104250658269322,0.0052599186232578,0.109821762595679,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.7143226351345315, 0.619247880816894, 0.626730373823916]]",0.653433629925114,0.0431632570746957,0.711522228850322
10,0.5,[0.005795020512293106],[0.02677449799607884],5,2,100,"[[0.7418086500655308, 0.7846590909090909, 0.6118343195266273]]",0.712767353500416,0.0734830959268293,0.683838383838384,"[[0.7129750982961992, 0.7988636363636363, 0.6159763313609468]]",0.709271688673594,0.0747093390632938,0.704040404040404,"[[0.7747828874935865, 0.8594917585536008, 0.6371226261605213]]",0.713145988626758,0.0995828098062,0.672222222222222,"[[0.09692912116878512, 0.11441784884546793, 0.1048091602187218]]",0.105385376744325,0.0071513596865946,0.0904191128153756,"[[0.09959355457202093, 0.1189737281609655, 0.10549534073405846]]",0.108020874489015,0.0081109605943634,0.0885585433113383,"[[0.10659822958605221, 0.1297277128873738, 0.1032037228027101]]",0.113176555092045,0.0117851965716864,0.0939088975481499,"[[0.7965808791038274, 0.7570377551303987, 0.5876274304689398]]",0.713748688234389,0.0906305445518546,0.681630842687381,"[[0.788273480367336, 0.7662480742196782, 0.5886669338678207]]",0.714396162818278,0.089357554757464,0.711601094965327,"[[0.7350049047328239, 0.863496851642632, 0.6926734017446072]]",0.763725052706688,0.072635151882525,0.718183431450901
