random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.0021352982827193786],[0.0030407030494970858],15,2,100,"[[0.7616120218579235, 0.5754189944134078, 0.6830024813895782]]",0.673344499220303,0.0763191471472485,0.528548770816812,"[[0.7616120218579235, 0.5754189944134078, 0.6830024813895782]]",0.673344499220303,0.0763191471472485,0.521411578112609,"[[0.6990497683311043, 0.6151506942870081, 0.6700359233780033]]",0.672885679124065,0.0923967779246335,0.507137192704203,"[[0.0945803980288132, 0.10878877868169906, 0.10467896242310742]]",0.10268271304454,0.005969828522406,0.106546224861962,"[[0.09454020232557303, 0.10943239985111568, 0.10434641106518645]]",0.102773004413958,0.0061806738118396,0.106585154442512,"[[0.09929987808453729, 0.10692560185331207, 0.10891279364245929]]",0.105046091193436,0.0041433848177043,0.110498632294323,"[[0.7458336931198924, 0.6170101559523489, 0.6620919154331874]]",0.674978588168476,0.0533755604668728,0.480148923127772,"[[0.7458336931198924, 0.6170101559523489, 0.6620919154331874]]",0.674978588168476,0.0533755604668728,0.451597929019701,"[[0.7527293854975907, 0.5975666959583312, 0.6330309355507229]]",0.661109005668882,0.0663834747128848,0.439504929983347
2,0.2,[0.0026514036625962284],[0.008325793865525543],15,2,1000,"[[0.7075471698113207, 0.6021765417170496, 0.6478426395939086]]",0.65252211704076,0.0431444507681423,0.628410159924741,"[[0.7075471698113207, 0.6021765417170496, 0.6478426395939086]]",0.65252211704076,0.0431444507681423,0.628410159924741,"[[0.6850738870973401, 0.6105935716936393, 0.518123567171377]]",0.651312927197954,0.0445659357453626,0.610536218250235,"[[0.09965367698882857, 0.11772433445911304, 0.11142460587310803]]",0.10960087244035,0.0074891774393634,0.0846931166957286,"[[0.10075326901258254, 0.11662030648906685, 0.11257115239735561]]",0.109981575966335,0.006731525292191,0.0851706378718928,"[[0.10484829848228373, 0.11416179959058328, 0.11516378119972401]]",0.111391293090864,0.0046446439133115,0.0860909414080778,"[[0.7151293226493944, 0.5764148059364355, 0.6845400578117931]]",0.658694728799208,0.0595058263845036,0.573728262959617,"[[0.7151293226493944, 0.5764148059364355, 0.6845400578117931]]",0.658694728799208,0.0595058263845036,0.573728262959617,"[[0.7151293226493944, 0.5696883045435986, 0.6845400578117931]]",0.656452561668262,0.0626096532313362,0.558784630478696
3,0.2,[0.003094782278992238],[0.003037591708343021],10,2,100,"[[0.7562849162011173, 0.8044412607449857, 0.5295389048991355]]",0.696755027281746,0.119862927458727,0.556747404844291,"[[0.7562849162011173, 0.8044412607449857, 0.5295389048991355]]",0.696755027281746,0.119862927458727,0.556747404844291,"[[0.769257174551332, 0.8009621119456639, 0.5312576048011485]]",0.684637742998246,0.109729693333589,0.541522491349481,"[[0.1010079849632763, 0.08727848002823968, 0.10527071824430084]]",0.0978523944119389,0.0076767385783999,0.126475212542733,"[[0.10078993029070765, 0.0866541024941377, 0.10589998193059569]]",0.0977813382384803,0.0081400118109338,0.126176747186222,"[[0.10194079151898165, 0.08693613958674809, 0.10857139237275416]]",0.0991494411594946,0.009050405825179,0.135212411600491,"[[0.7025083030889024, 0.7623573053239818, 0.5448526038779898]]",0.669906070763625,0.091739678628247,0.547465948006569,"[[0.7025083030889024, 0.7623573053239818, 0.5448526038779898]]",0.669906070763625,0.091739678628247,0.547465948006569,"[[0.7121953484608842, 0.750507487582143, 0.5502987905947865]]",0.671000542212605,0.086770346830849,0.530543345684211
4,0.2,[0.01081353169584745],[0.05406765847923726],15,2,100,"[[0.6267787839586029, 0.5337552742616034, 0.5676429567642957]]",0.576059004994834,0.0384401330205034,0.638513513513513,"[[0.6267787839586029, 0.5337552742616034, 0.5676429567642957]]",0.576059004994834,0.0384401330205034,0.638513513513513,"[[0.3323257905416586, 0.5150528149771573, 0.570380116446505]]",0.479465645788279,0.101684857553119,0.636261261261261,"[[0.10550675226581649, 0.10234556392049261, 0.11421873941860468]]",0.107357018534971,0.0050206698127056,0.114860185047944,"[[0.10582640301476653, 0.09634202032528986, 0.11111294520519967]]",0.104427122848419,0.0061108397780739,0.117400170978083,"[[0.10645745669897051, 0.0971272036039386, 0.11073007572332698]]",0.104771578675412,0.0056798574516646,0.11265959502441,"[[0.6492502728239831, 0.5520751750967184, 0.5512082966214807]]",0.584177914847394,0.046014466558882,0.674195960559234,"[[0.6492502728239831, 0.5520751750967184, 0.5512082966214807]]",0.584177914847394,0.046014466558882,0.674195960559234,"[[0.3728721812731349, 0.5520751750967184, 0.5512082966214807]]",0.492051884330445,0.0842735193094252,0.657475139371946
5,0.5,[0.0019489163491655675],[0.01502040975651887],15,2,500,"[[0.7072192513368984, 0.6978021978021978, 0.670059880239521]]",0.691693776459539,0.0157731696996881,0.428704566635601,"[[0.6938502673796791, 0.6978021978021978, 0.6904191616766467]]",0.694023875619508,0.0030166107332015,0.426840633737185,"[[0.7321189139323915, 0.7311763694176981, 0.767210063078952]]",0.707128974635139,0.0376573000971779,0.421248835041938,"[[0.09094534578301673, 0.1365281407594246, 0.11459643082735727]]",0.114023305789933,0.0186135103924846,0.103011874151034,"[[0.09029815687390819, 0.1314331712514736, 0.1164144949733884]]",0.112715274366257,0.0169957941225821,0.0996371173856485,"[[0.0915461512112145, 0.1296715423955024, 0.11398262489709368]]",0.11173343950127,0.0156456701027756,0.103667116057169,"[[0.7815553366486907, 0.7175714075361244, 0.6841739721016008]]",0.727766905428805,0.0404041555059464,0.42373525547873,"[[0.7954998491578292, 0.7175714075361244, 0.6590922522388264]]",0.724054502977593,0.055876536633198,0.422019280756665,"[[0.7691386584592952, 0.7125604828299744, 0.7330263355468647]]",0.738241825612045,0.0233905036549815,0.415220166381413
6,0.2,[0.010076734454358482],[0.04382114870661272],15,2,100,"[[0.6698224852071006, 0.58656330749354, 0.5672963400236127]]",0.607894044241418,0.0444908444454351,0.627942681678608,"[[0.6698224852071006, 0.58656330749354, 0.5672963400236127]]",0.607894044241418,0.0444908444454351,0.627942681678608,"[[0.763163678351786, 0.5858240715065451, 0.578074333219759]]",0.634304147753489,0.0867484645360815,0.620777891504606,"[[0.10825828103362385, 0.116579510927414, 0.11900188296188358]]",0.114613224974307,0.0046011560819186,0.093289955289263,"[[0.11027228327759013, 0.11592329411870628, 0.12135459001552719]]",0.115850055803941,0.0045246291594997,0.0935005475614539,"[[0.10922736226071751, 0.11281798404781863, 0.12025123228935078]]",0.114098859532629,0.0045907086677142,0.0932716168903868,"[[0.6171786382013336, 0.5699234120481163, 0.5942702039502663]]",0.593790751399905,0.0192948439703281,0.601986103486707,"[[0.6171786382013336, 0.5699234120481163, 0.5942702039502663]]",0.593790751399905,0.0192948439703281,0.601986103486707,"[[0.7158970478673137, 0.5610736070233499, 0.5942702039502663]]",0.623746952946977,0.066554406351758,0.603808315890734
7,0.2,[0.00510205758921933],[0.03701105989991508],10,2,500,"[[0.6833756345177665, 0.6315136476426799, 0.6131541725601132]]",0.64268115157352,0.0297354814758567,0.637531068765534,"[[0.6833756345177665, 0.6488833746898263, 0.6089108910891089]]",0.647056633432234,0.030427534035153,0.637531068765534,"[[0.6825348574582853, 0.6349582528668501, 0.6492326240881711]]",0.649076022414644,0.0326605882395622,0.612676056338028,"[[0.10209542269499872, 0.10284909356090972, 0.11712309715389588]]",0.107355871136601,0.0069133220667643,0.10583361983099,"[[0.10536011772096182, 0.10537906948604994, 0.11604867078724364]]",0.108929285998085,0.0050341712078173,0.108724047427349,"[[0.10120264914376503, 0.10251059434231984, 0.11911464202665223]]",0.107609295170912,0.0081530131388654,0.103376639259036,"[[0.6822285906187878, 0.6057759791521722, nan]]",,,0.625716715738015,"[[0.6822285906187878, 0.6346914987449669, nan]]",,,0.625716715738015,"[[0.6971101262854761, 0.6239981472975853, nan]]",,,0.601844407974716
8,0.2,[0.001001350051874491],[0.002068795415600769],15,2,100,"[[0.6691176470588235, 0.6565040650406504, 0.5171277997364954]]",0.614249837278656,0.0688684409827317,0.691188040912667,"[[0.6691176470588235, 0.6565040650406504, 0.5171277997364954]]",0.614249837278656,0.0688684409827317,0.691188040912667,"[[0.6627308232735422, 0.7128942405817901, 0.5012084371612588]]",0.601790076549917,0.0736884981482807,0.700629425649095,"[[0.1037701216517449, 0.1155955116096122, 0.10203148182149623]]",0.107132371694284,0.0060262907350288,0.0982913534394723,"[[0.1033679847641058, 0.11523438092916298, 0.10174136068201231]]",0.106781242125094,0.0060140470681429,0.0986649067129386,"[[0.10657173881887735, 0.11491040890035961, 0.10122681360182093]]",0.107569653773686,0.0056306939043259,0.0981238522980136,"[[0.6752050770927768, 0.7349766920679587, 0.5419047989826025]]",0.650695522714446,0.0807041001302869,0.736300040591422,"[[0.6752050770927768, 0.7349766920679587, 0.5419047989826025]]",0.650695522714446,0.0807041001302869,0.736300040591422,"[[0.6714087398930275, 0.7063701162162729, 0.5335478877418335]]",0.637108914617045,0.0746066984221928,0.726445888673005
9,0.2,[0.001257727291277108],[0.0075746848751168305],15,2,500,"[[0.6650246305418719, 0.5726221079691517, 0.6162483487450462]]",0.617965029085357,0.0377426972008592,0.64143598615917,"[[0.6650246305418719, 0.5726221079691517, 0.6162483487450462]]",0.617965029085357,0.0377426972008592,0.64143598615917,"[[0.622881022777354, 0.6512772363498386, 0.514540410663371]]",0.581336936184966,0.0432335791224599,0.644031141868512,"[[0.11146821478161259, 0.10584276330003589, 0.12434942151010527]]",0.113886799863918,0.0077464514403411,0.109483534274238,"[[0.11151692137469635, 0.10477087294416956, 0.12090125639945322]]",0.11239635023944,0.0066144974084571,0.109965980273786,"[[0.11642623865488072, 0.10626045506826336, 0.11391660596857318]]",0.112201099897239,0.0043238108032207,0.109012122061711,"[[0.6218596885873383, 0.6102164555962849, 0.6363597725736123]]",0.622811972252412,0.0106941849861915,0.639186048851489,"[[0.6218596885873383, 0.6102164555962849, 0.6363597725736123]]",0.622811972252412,0.0106941849861915,0.639186048851489,"[[0.5837720029756117, 0.6275591587869431, 0.5473864358827322]]",0.586239199215096,0.0327768380357424,0.64048733996208
10,0.2,[0.0024333631429834003],[0.003630148613084809],10,2,500,"[[0.6231979030144168, 0.6482954545454546, 0.6082840236686391]]",0.626592460409504,0.0165100154478819,0.659090909090909,"[[0.6231979030144168, 0.6482954545454546, 0.6082840236686391]]",0.626592460409504,0.0165100154478819,0.659090909090909,"[[0.5283813095990392, 0.630214027368839, 0.6084064006017696]]",0.626589978182251,0.0134540607641498,0.66010101010101,"[[0.11412939342502015, 0.11726079199403776, 0.11357158266639265]]",0.114987256028484,0.0016236815267803,0.0906428732110569,"[[0.1125220964982137, 0.11732413976197321, 0.11288307218456581]]",0.114243102814918,0.0021836005989154,0.0905375770918595,"[[0.1073308136992621, 0.1234942214408825, 0.1116805545755692]]",0.114168529905238,0.0068291753228945,0.0870996555644754,"[[0.6070098338535862, 0.656435724307402, 0.6147264115055974]]",0.626057323222195,0.021710547851757,0.680243990071065,"[[0.6070098338535862, 0.656435724307402, 0.6147264115055974]]",0.626057323222195,0.021710547851757,0.680243990071065,"[[0.6034307246109155, 0.6337445368583255, 0.6147264115055974]]",0.617300557658279,0.0125087029584561,0.687231070996132
