random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.0037547074677132725],[0.002920554417479571],15,2,1000,"[[0.8476775956284153, 0.6655027932960894, 0.6892059553349876]]",0.734128781419831,0.0808721619957172,0.77716098334655,"[[0.8476775956284153, 0.6655027932960894, 0.6892059553349876]]",0.734128781419831,0.0808721619957172,0.77716098334655,"[[0.933516866436563, 0.6721509529898009, 0.6559053017214349]]",0.733263125645891,0.119678492693467,0.742268041237113,"[[0.08101183378879125, 0.13310450950366087, 0.09749039503859576]]",0.103868912777016,0.021739761301789,0.0909208000846129,"[[0.07875710393726798, 0.13342140056740942, 0.09666083764509187]]",0.102946447383256,0.0227548968920597,0.0913146867866186,"[[0.09509315513504336, 0.11479381551999407, 0.10918429314602279]]",0.106357087933687,0.0082874934644634,0.0930747461686015,"[[0.8484609819639931, 0.6462309915859625, 0.7204991989737826]]",0.738397057507913,0.0835244166183573,0.758953442837622,"[[0.8484609819639931, 0.6462309915859625, 0.7204991989737826]]",0.738397057507913,0.0835244166183573,0.758953442837622,"[[0.9554763677149393, 0.6027261549053783, 0.7288394683618965]]",0.762347330327405,0.145945790779596,0.757353666757378
2,0.3,[0.003648614418966295],[0.010097145966551516],15,2,100,"[[0.7433962264150943, 0.5888754534461911, 0.8343908629441624]]",0.722220847601816,0.101343480553852,0.766698024459078,"[[0.7433962264150943, 0.5816203143893591, 0.8623096446700508]]",0.729108728491501,0.115035427821297,0.782690498588899,"[[0.7654934961135088, 0.6202569829906438, 0.8453922423286216]]",0.728570059373951,0.0968024293266021,0.737535277516463,"[[0.08952096222048662, 0.125243559699568, 0.09048486743617987]]",0.101749796452078,0.0166172593400764,0.07767220817219,"[[0.09201601442759551, 0.11858198728961146, 0.09440138091329019]]",0.101666460876832,0.0120006602230554,0.0779742577796705,"[[0.10133427944952828, 0.11196811366050925, 0.10239412438184858]]",0.105232172497295,0.0047826419014216,0.0823264655567782,"[[0.7263336530758259, 0.5442649423323073, 0.8665118136891947]]",0.712370136365776,0.131926738189571,0.740369704690295,"[[0.7263336530758259, 0.5340016450020666, 0.908942183183795]]",0.723092493753896,0.153085990276301,0.76684004146799,"[[0.7485086159358955, 0.5643413895608594, 0.9022667223244489]]",0.738372242607068,0.138143505527264,0.730484678823228
3,0.2,[0.004733044621037788],[0.0038568417107165483],10,2,1000,"[[0.8491620111731844, 0.6432664756446992, 0.7161383285302594]]",0.736188938449381,0.0852438193506798,0.708650519031142,"[[0.8477653631284916, 0.6432664756446992, 0.7262247838616714]]",0.739085540878287,0.0839801486416384,0.708650519031142,"[[0.8842515379372037, 0.6060442899652306, 0.6869507580925761]]",0.718283277677153,0.116194462830363,0.72318339100346,"[[0.08495137404832351, 0.10386301477364482, 0.09195599593349846]]",0.0935901282518222,0.0078066352144079,0.111656801492146,"[[0.08233494842080695, 0.10285527733311377, 0.09147851192297694]]",0.0922229125589658,0.0083939094545771,0.111898588039439,"[[0.09576215721165186, 0.11185969933819681, 0.10193037308771752]]",0.103184076545855,0.0066313168576426,0.114120197695542,"[[0.8617678317185292, 0.5912570631561512, 0.7169211803542885]]",0.723315358409656,0.11052807520205,0.694994391858637,"[[0.857410579456639, 0.5912570631561512, 0.7319929329650056]]",0.726886858525932,0.108716688559183,0.694994391858637,"[[0.8837402047604184, 0.5718443644543965, 0.7176189435950036]]",0.724401170936606,0.12742122469938,0.718912656854107
4,0.2,[0.004769463000901417],[0.0035412505921677776],15,2,500,"[[0.6267787839586029, 0.7714486638537271, 0.7147838214783822]]",0.704337089763571,0.0595213921760255,0.692192192192192,"[[0.6921086675291074, 0.7827004219409283, 0.7147838214783822]]",0.729864303649473,0.0384905373543277,0.68993993993994,"[[0.6607378027114409, 0.7804292622432812, 0.8204476315824463]]",0.753947375089062,0.0685188282554164,0.668168168168168,"[[0.10949098101903441, 0.0842614555330653, 0.0902225671239183]]",0.0946583345586726,0.0107669018636811,0.101469497795131,"[[0.10789979311667623, 0.08331612145286095, 0.08896396916196808]]",0.0933932945771684,0.0105135918646253,0.101478630541881,"[[0.10718934429413753, 0.08870437297048915, 0.09916532808110595]]",0.0983530151152442,0.0075682860444051,0.110452424130525,"[[0.709345225018872, 0.7931513717255834, 0.7358489322613118]]",0.746115176335256,0.0349753663978525,0.687307137502641,"[[0.7544023748743947, 0.8062403077606746, 0.7358489322613118]]",0.76549720496546,0.0297887884640657,0.691639161812907,"[[0.7087149960315394, 0.8029848915891169, 0.8714200371809487]]",0.794373308267202,0.0667025843044603,0.641804653041149
5,0.9,[0.004102282100665835],[0.003612209343334506],10,2,100,"[[0.7272727272727273, 0.7411477411477412, 0.8862275449101796]]",0.784882671110216,0.071885170406957,0.586672879776328,"[[0.7272727272727273, 0.7411477411477412, 0.8862275449101796]]",0.784882671110216,0.071885170406957,0.586672879776328,"[[0.8081097557734331, 0.7755403442337543, 0.7729516424059103]]",0.751604290781818,0.0135101383258171,0.617427772600186,"[[0.07750251908394927, 0.11785178002341391, 0.09400885755581519]]",0.0964543855543927,0.0165630345445135,0.0872560641412478,"[[0.07747111570264402, 0.11756916063233702, 0.09369184223631938]]",0.0962440395237668,0.0164691344650421,0.0872374786756461,"[[0.08448620566182265, 0.12664648159818864, 0.1099398856724472]]",0.107024190977486,0.0173349007000962,0.0923376017744612,"[[0.8252736995022129, 0.7337685799191741, 0.8941234917695381]]",0.817721923730308,0.0656820443582381,0.602487124532779,"[[0.8252736995022129, 0.7337685799191741, 0.8941234917695381]]",0.817721923730308,0.0656820443582381,0.602487124532779,"[[0.8371968592827506, 0.7346571476753387, 0.7797720664036986]]",0.783875357787263,0.0419620929273602,0.641380508853024
6,0.2,[0.005336192271229026],[0.053608268096929444],10,2,1000,"[[0.6266272189349112, 0.7144702842377261, 0.6829988193624558]]",0.674698774178364,0.0363388597600614,0.850562947799386,"[[0.6408284023668639, 0.7235142118863049, 0.6629279811097993]]",0.675756865120989,0.0349539790076489,0.84646878198567,"[[0.6991151009680622, 0.6878368105289716, 0.6890020596149221]]",0.681438754832803,0.0122918196993514,0.903787103377687,"[[0.10614956680538526, 0.11170678689991677, 0.10556212466672685]]",0.107806159457343,0.0027685667653002,0.0716512913141727,"[[0.10873901996491625, 0.11295282904883172, 0.11954731129634105]]",0.11374638677003,0.0044480026055817,0.0865228277684679,"[[0.10673265563564385, 0.10885908457968006, 0.11569865567074505]]",0.110430131962023,0.0038252173415841,0.0755460876703413,"[[0.6680913364887346, 0.6925329849421686, 0.6366992392496287]]",0.665774520226844,0.022852826487597,0.869942952124121,"[[0.6943460891798183, 0.7007461898130606, 0.5994415605361757]]",0.664844613176352,0.0463206922301406,0.878499784173515,"[[0.7199167451531274, 0.6667122943306683, 0.6283742355892036]]",0.671667758357666,0.0375359847977681,0.930973869229976
7,0.4,[0.002201960251343655],[0.0015678154441741633],10,2,1000,"[[0.6586294416243654, 0.8021091811414393, 0.6951909476661952]]",0.718643190144,0.0608775529014329,0.777547638773819,"[[0.6586294416243654, 0.8107940446650124, 0.6951909476661952]]",0.721538144651858,0.0648544405900906,0.777547638773819,"[[0.6187439541509423, 0.8435539745948686, 0.6322107069748897]]",0.687658436992102,0.104616990535444,0.794946147473074,"[[0.10147057120450818, 0.08826751663511664, 0.10587477342047566]]",0.0985376204200334,0.0074813333528414,0.086958360165618,"[[0.10158662660287981, 0.08734060481923882, 0.10668760939225595]]",0.0985382802714582,0.0081872241125754,0.0860093206188975,"[[0.10193388385125757, 0.09355887969176399, 0.1105288029293005]]",0.102007188824107,0.0069281360593959,0.0908251243045297,"[[0.6210792797698577, 0.7965194689055517, nan]]",,,0.796622867416963,"[[0.6210792797698577, 0.8117303290766836, nan]]",,,0.802398536769021,"[[0.5847910057331772, 0.8582104704389876, nan]]",,,0.830878534098459
8,0.2,[0.0019419203268569714],[0.0026396408844587393],5,2,100,"[[0.8469251336898396, 0.7201897018970189, 0.5895915678524374]]",0.718902134479765,0.105059933368335,0.772619984264359,"[[0.8469251336898396, 0.741869918699187, 0.5869565217391305]]",0.725250524709386,0.106780375826072,0.772619984264359,"[[0.7615607431032033, 0.8018342193874729, 0.6474650483589272]]",0.692194463504737,0.0439969717365964,0.688434303697876,"[[0.08402890334506372, 0.09546799756346709, 0.10582873244847474]]",0.0951085444523351,0.0089033717260675,0.0856055950620841,"[[0.08359679189386622, 0.0952837653406924, 0.10327593786129824]]",0.0940521650319522,0.0080810406092384,0.0865955110644385,"[[0.08728088433096329, 0.09995958446834627, 0.10083915494891617]]",0.0960265412494085,0.0061945296974526,0.0926212473666412,"[[0.8857104409395844, 0.78702983729696, 0.5455748186127211]]",0.739438365616422,0.142879369927829,0.783850797142473,"[[0.8857104409395844, 0.8157093259025183, 0.5429514914354899]]",0.748123752759198,0.147866565161795,0.783850797142473,"[[0.7899838612020798, 0.7600386237082023, 0.5985530287550197]]",0.716191837888434,0.0840767362706517,0.708267985826199
9,0.2,[0.01879338811502467],[0.08969599810321822],15,2,1000,"[[0.8343596059113301, 0.6298200514138818, 0.7463672391017173]]",0.736848965475643,0.083773724950485,0.6219723183391,"[[0.8343596059113301, 0.6928020565552699, 0.7463672391017173]]",0.757842967189439,0.0583575427645866,0.654844290657439,"[[0.8647053800166419, 0.7032889816287798, 0.7564842350625529]]",0.760623357224334,0.0745899794644516,0.724913494809689,"[[0.10939093514190291, 0.09412451953443082, 0.10013218689256798]]",0.101215880522967,0.0062794190436399,0.114909899246377,"[[0.11488511550867439, 0.10332585800869673, 0.10578457964704394]]",0.107998517721472,0.0049719379076136,0.109247161937285,"[[0.10690789478261718, 0.09996554155963366, 0.10214028141077013]]",0.10300457258434,0.0028993466497012,0.110572467314518,"[[0.8357592841388767, 0.6512544377246486, 0.6865152039155723]]",0.724509641926366,0.0799716307090687,0.608398338660588,"[[0.8357592841388767, 0.7085559377354638, 0.6865152039155723]]",0.743610141929971,0.0657776395350663,0.666863561692028,"[[0.8664167759936113, 0.6881938025701132, 0.6868218212255266]]",0.747144133263084,0.0843403543631221,0.725129061373231
10,0.3,[0.012778777870026212],[0.01603709278996964],5,2,500,"[[0.7673656618610747, 0.8426136363636364, 0.6224852071005917]]",0.744154835108434,0.0913534826971934,0.75050505050505,"[[0.7870249017038008, 0.8431818181818181, 0.6224852071005917]]",0.750897308995404,0.0936505944165595,0.768686868686869,"[[0.7532950007211829, 0.8202238797111956, 0.6191939985706353]]",0.714125042212551,0.0778745655950851,0.712121212121212,"[[0.10282891826124671, 0.11091334002389455, 0.10272182108073079]]",0.105488026455291,0.0038365251586799,0.0781380142440258,"[[0.10115933499130673, 0.10816901539997925, 0.10268929659211233]]",0.104005882327799,0.0030093136933519,0.0770800191832557,"[[0.09674691219794054, 0.11333319053231551, 0.10380172752443463]]",0.104627276751564,0.0067964356291195,0.0777093783580695,"[[0.8145100699488509, 0.822556743467966, 0.5925200242237734]]",0.743195612546863,0.106594361721005,0.75208461821185,"[[0.8384621633626902, 0.8253343410825426, 0.5925200242237734]]",0.752105509556335,0.112971177079456,0.783944064014491,"[[0.7822269005133017, 0.7887615850960604, 0.6004401069957658]]",0.723809530868376,0.0872761387231884,0.731915663641801
