random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.4,[0.0008823078982141463],[0.0012048525828495232],10,2,500,"[[0.8312841530054644, 0.5614525139664804, 0.7617866004962779]]",0.718174422489408,0.114393458173951,0.603092783505155,"[[0.8312841530054644, 0.5642458100558659, 0.7593052109181141]]",0.718278391326481,0.112811846587345,0.604678826328311,"[[0.8507877319592865, 0.6231183264405781, 0.7343888954865813]]",0.703887201020786,0.110609878642584,0.566613798572561,"[[0.08835386858493419, 0.11173600218344194, 0.09849572899145553]]",0.0995285332532772,0.0095736115228978,0.103122517206276,"[[0.08848772318081453, 0.11167027453594058, 0.09854143515682295]]",0.099566477624526,0.0094919511825795,0.10324534672873,"[[0.09655260926963821, 0.10883747180242725, 0.10695708910680973]]",0.104115723392958,0.0054027450555107,0.103588572934493,"[[0.8506699583037263, 0.5958749358160839, 0.758746313487248]]",0.735097069202353,0.105355243304275,0.588385636191415,"[[0.8506699583037263, 0.5992305238847014, 0.755415205485317]]",0.735105229224582,0.103649469035538,0.590060648620956,"[[0.8709233551848374, 0.6075098317934039, 0.7104413818914966]]",0.729624856289913,0.108390268148232,0.523132415523904
2,0.2,[0.008097003681160576],[0.015968125491261285],10,2,1000,"[[0.6855345911949685, 0.6717049576783555, 0.7068527918781726]]",0.688030780250499,0.0144571961801074,0.673565380997178,"[[0.7194968553459119, 0.6541717049576784, 0.7176395939086294]]",0.69710271807074,0.0303662781189595,0.654750705550329,"[[0.7240529053895728, 0.6227711953796718, 0.7997103172416089]]",0.70411739635301,0.0595682513553795,0.64346190028222,"[[0.09994141374078266, 0.11576081384694434, 0.11033161806280864]]",0.108677948550179,0.0065632472690713,0.0827604138691838,"[[0.09908275269581639, 0.11453653093898257, 0.11112593532320267]]",0.108248406319334,0.0066289740469808,0.0829842622212622,"[[0.10083158528974755, 0.11272829271796465, 0.11275350426172054]]",0.108771127423144,0.0056141135169303,0.0843069258108301,"[[0.7052859807789142, 0.6881383408760707, 0.8004038020077087]]",0.731276041220898,0.0493794550537521,0.629260996257857,"[[0.7394966424365401, 0.687398106464747, 0.8132672453637203]]",0.746720664755002,0.0516391318390455,0.619965289123143,"[[0.7828203518364112, 0.6482004835227017, 0.8288260081491754]]",0.753282281169429,0.0766410170891667,0.619960686456207
3,0.2,[0.006514220045413113],[0.0195258616016855],5,2,1000,"[[0.6948324022346368, 0.832378223495702, 0.5756484149855908]]",0.700953013571977,0.104898824450886,0.588235294117647,"[[0.7039106145251397, 0.8116045845272206, 0.5756484149855908]]",0.69705453801265,0.0964506188853426,0.613840830449827,"[[0.7606679464341943, 0.8080339625073073, 0.5553307208036588]]",0.700596711840672,0.102502787620917,0.602768166089965,"[[0.10807457198279209, 0.09021934513151444, 0.10609173656359176]]",0.101461884559299,0.0079907833852042,0.125646047513711,"[[0.10723384278879942, 0.09355731553625352, 0.10484591456300413]]",0.101879024296019,0.00596454400686,0.123050749365894,"[[0.10379951560585435, 0.08396238616489418, 0.10637131380475913]]",0.0980444051918358,0.0100126913265226,0.128159592884114,"[[0.6876077025853565, 0.8134431925160809, 0.6095679118970067]]",0.703539602332815,0.0839906803720859,0.590138814452211,"[[0.6891063830750546, 0.7967551720669281, 0.6095679118970067]]",0.698476489012996,0.0767055702299238,0.615115751347758,"[[0.7407909590282747, 0.797160792602686, 0.6054950249397175]]",0.714482258856893,0.0804282388301916,0.610629873593453
4,0.4,[0.0033800027412816537],[0.0092738720897994],5,2,1000,"[[0.6921086675291074, 0.5147679324894515, 0.6311018131101813]]",0.612659471042913,0.0735641400946409,0.695195195195195,"[[0.6882276843467011, 0.530239099859353, 0.6297071129707112]]",0.616057965725588,0.065216677940888,0.693693693693694,"[[0.749077552584855, 0.49436684147273785, 0.6086346748669702]]",0.630719541490467,0.0889337666034373,0.623123123123123,"[[0.09997934235425181, 0.1124402049146506, 0.11562681526243755]]",0.109348787510447,0.0067517157463054,0.107441194371937,"[[0.10149817672251524, 0.10665840480183361, 0.11159302344871799]]",0.106583201657689,0.0041215469782634,0.109729925524578,"[[0.09596958726064626, 0.0998798588019209, 0.11340216692279004]]",0.103083870995119,0.0074687338962668,0.113443720024432,"[[0.7845315945394533, 0.5758391554346771, 0.617541595488599]]",0.659304115154243,0.0901710026246156,0.75359803290269,"[[0.7818559836034933, 0.5802167944597244, 0.6156055482014156]]",0.659226108754878,0.0879077381003813,0.73991606963085,"[[0.7663845881404681, 0.6045654030292918, 0.5934759651212854]]",0.654808652097015,0.0790258862072355,0.653831136556249
5,0.4,[0.002138933287258444],[0.020606101456224126],10,2,1000,"[[0.7553475935828877, 0.673992673992674, 0.644311377245509]]",0.691217214940357,0.0469380722709834,0.521901211556384,"[[0.7092245989304813, 0.6923076923076923, 0.6952095808383234]]",0.698913957358832,0.0073863494129515,0.517707362534949,"[[0.7948011500325728, 0.7408748543426766, 0.7171556543849192]]",0.716658742090232,0.0233668680631732,0.506057781919851,"[[0.08985397310488369, 0.12825167222810333, 0.11616933292489083]]",0.111424992752626,0.0160307495612224,0.0987436515472953,"[[0.0904311755078229, 0.12793761614918955, 0.11786497100179114]]",0.112077920886268,0.0158493056456904,0.0971441826546267,"[[0.08996800060686716, 0.12748075461600866, 0.11812100497861386]]",0.11185658673383,0.0159422683517074,0.0961669602577355,"[[0.8451765827352564, 0.6677413082665492, 0.6991767100252511]]",0.737364867009019,0.0773070529633143,0.550597053871161,"[[0.8185867976033923, 0.687447689792355, 0.6976308925452646]]",0.734555126647004,0.0595646186779184,0.542232112916015,"[[0.8286095920408612, 0.7068967871114671, 0.7169490815258184]]",0.750818486892716,0.0551594910894797,0.547544044071858
6,0.2,[0.0036213905968604412],[0.013697245906380471],15,2,1000,"[[0.6497041420118344, 0.5155038759689923, 0.6121605667060213]]",0.592456194895616,0.0565309623293549,0.677072671443194,"[[0.6662721893491125, 0.5116279069767442, 0.5991735537190083]]",0.592357883348288,0.0633169463338629,0.707778915046059,"[[0.8015947015469814, 0.48379368811342427, 0.5788039237298933]]",0.616868280163125,0.131997073370138,0.731320368474923,"[[0.1053207123436533, 0.12580136667248637, 0.12818987412645572]]",0.119770651047532,0.0102640728879524,0.08665183548696,"[[0.10643409952450876, 0.11932810578985484, 0.12396884192585349]]",0.116577015746739,0.0074181385845496,0.0884645312978006,"[[0.10981183106440419, 0.11691510781928957, 0.1222087983621492]]",0.116311912415281,0.0050789817264817,0.0902152348513071,"[[0.6094771795085724, 0.5115320651162645, 0.6462041149348685]]",0.589071119853235,0.0568415675574312,0.718685578412418,"[[0.630701899636643, 0.5136545081266979, 0.6290533428751947]]",0.591136583546179,0.054792234506552,0.749787410267166,"[[0.7849329772171689, 0.47212615356686094, 0.5902302945822064]]",0.615763141788745,0.128972792855452,0.72381390483874
7,0.3,[0.0009409732084349539],[0.0011809012418897182],10,2,1000,"[[0.8197969543147208, 0.6290322580645161, 0.7623762376237624]]",0.737068483334333,0.0799089237996975,0.57870753935377,"[[0.8217005076142132, 0.630272952853598, 0.7708628005657708]]",0.740945420344527,0.0809626021069148,0.57953603976802,"[[0.7992638877990247, 0.6187047211670545, 0.7449223690792726]]",0.721465022741394,0.0668395596466967,0.606048053024027,"[[0.09724263837848086, 0.10360164129073979, 0.10122847091398983]]",0.10069091686107,0.0026237317926174,0.111674585720616,"[[0.09692487572045128, 0.10316021342474396, 0.10109310461171853]]",0.100392731252304,0.0025932927850612,0.110648498311108,"[[0.10116116166170784, 0.10405360731213843, 0.11537548017083843]]",0.106863416381562,0.0061336765986213,0.102913185359928,"[[0.836975524968991, 0.6579904129448156, nan]]",,,0.597614056171474,"[[0.838729380948663, 0.6573638220117806, nan]]",,,0.604867983052541,"[[0.8126327045969975, 0.663583655986218, nan]]",,,0.649646580165174
8,0.9,[0.0002722258477886016],[0.00022880985629393947],5,2,1000,"[[0.7272727272727273, 0.7052845528455285, 0.619235836627141]]",0.683931038915132,0.0466188220426994,0.723446105428796,"[[0.7272727272727273, 0.7052845528455285, 0.619235836627141]]",0.683931038915132,0.0466188220426994,0.723446105428796,"[[0.6974257815755799, 0.7331946685328702, 0.5690400815674598]]",0.649134137625186,0.0719900289080915,0.666797797010228,"[[0.10315464723829317, 0.10315266217246358, 0.11058046049167798]]",0.105629256634145,0.0035010299164921,0.0953795169369705,"[[0.10309511373395783, 0.10313188740444472, 0.11060520065216425]]",0.105610733930189,0.0035316531967714,0.0953566998455492,"[[0.10039255822778333, 0.11666045420320877, 0.10031023045309838]]",0.10578774762803,0.0076882380152225,0.0999846022664543,"[[0.7984935883937182, 0.7617126817265936, 0.6597265892847528]]",0.739977619801688,0.0586991180972167,0.769738054474577,"[[0.7984935883937182, 0.7617126817265936, 0.6597265892847528]]",0.739977619801688,0.0586991180972167,0.769738054474577,"[[0.7973298809832193, 0.6526443575514078, 0.6168062694585354]]",0.688926835997721,0.0780363473480323,0.699639934350096
9,0.9,[0.00846972506582488],[0.00898306998881466],15,2,1000,"[[0.6483990147783252, 0.5989717223650386, 0.630779392338177]]",0.626050043160514,0.0204538401701707,0.621539792387543,"[[0.6471674876847291, 0.6098971722365039, 0.630779392338177]]",0.629281350753137,0.0152523703042169,0.621539792387543,"[[0.6129163617629189, 0.6783872345959202, 0.5301367030378792]]",0.589025410271068,0.038667228177529,0.692474048442907,"[[0.10896978670530576, 0.10387934914795309, 0.11683397851521153]]",0.109894371456157,0.0053289616394371,0.115338305150746,"[[0.10906226347664275, 0.10379463202420601, 0.11666630372006673]]",0.109841066406972,0.0052836151490384,0.114840734002236,"[[0.11743765838319638, 0.10653925771927983, 0.11246697757805245]]",0.112147964560176,0.0044549681059086,0.107898935337361,"[[0.6168517038404725, 0.6502744876375206, 0.6294857303358508]]",0.632203973937948,0.0137795078624337,0.612566476587425,"[[0.6165331201572484, 0.6423696511825149, 0.6294857303358508]]",0.629462833891871,0.0105477320481782,0.612566476587425,"[[0.576180024800077, 0.6176742428962191, 0.5189500069149448]]",0.570934758203747,0.0404742989131911,0.694720708071075
10,0.3,[0.0007968167242833825],[0.0014508112799076617],5,2,100,"[[0.7614678899082569, 0.65, 0.58698224852071]]",0.666150046142989,0.0721430419625778,0.682323232323232,"[[0.7575360419397117, 0.6556818181818181, 0.598224852071006]]",0.670480904064179,0.0658750003747542,0.682323232323232,"[[0.7366194644458578, 0.6346874579844693, 0.5567993328392801]]",0.652558468348871,0.0680970116872223,0.637878787878788,"[[0.10314027234817758, 0.1397371742168117, 0.1156034727597685]]",0.119493639774919,0.0151917380210414,0.0944434358252168,"[[0.10274434272158434, 0.13753924026994513, 0.11524258942546686]]",0.118508724138999,0.0143914778213921,0.0938265837469194,"[[0.10546637425847877, 0.12338652335690452, 0.1198480770347154]]",0.116233658216699,0.0077494495921311,0.0880607623358537,"[[0.7536889026587987, 0.7399282914679371, 0.6685796659710821]]",0.720732286699273,0.0373029086596062,0.688445290891476,"[[0.7459011211212968, 0.7444915056083429, 0.6777763960102023]]",0.722723007579947,0.0317872634103109,0.688445290891476,"[[0.7337793678469012, 0.7517204248234383, 0.6499823157087232]]",0.711827369459688,0.0443401878394276,0.643048848133763
