random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.0023434872292439606],[0.0017400020792129722],5,2,500,"[[0.869535519125683, 0.630586592178771, 0.7915632754342432]]",0.763895128912899,0.0994930221044508,0.687549563838224,"[[0.8681693989071039, 0.6277932960893855, 0.7915632754342432]]",0.762508656810244,0.100260646480388,0.67208564631245,"[[0.8964538648807909, 0.6451124968650739, 0.8017513054114188]]",0.747843918623471,0.107016324720265,0.702220459952419,"[[0.07639928663439849, 0.11394535765046855, 0.09374543450011495]]",0.0946966929283273,0.0153428709098368,0.106445039008182,"[[0.07486025522478738, 0.11516262330334075, 0.09352370470541785]]",0.0945155277445153,0.016468313066623,0.106546621454676,"[[0.09037336396633484, 0.10772145605037559, 0.10255932464904469]]",0.100218048221918,0.0072732503609804,0.0971179142970331,"[[0.9165632765943266, 0.6573611703544736, 0.8419693342755629]]",0.805297927074788,0.108949612357755,0.676947497193795,"[[0.9139966313694354, 0.656112351239698, 0.8398601932959876]]",0.80332305863504,0.108404480662109,0.668523636252197,"[[0.9087889574903173, 0.623680033593703, 0.8506197443549518]]",0.794362911812991,0.123005143597364,0.703086432170894
2,0.2,[0.0052935148006715395],[0.01093643439828444],10,2,100,"[[0.7465408805031446, 0.6952841596130592, 0.7588832487309645]]",0.733569429615723,0.027536702026573,0.736124176857949,"[[0.7566037735849057, 0.6922611850060459, 0.756979695431472]]",0.735281551340808,0.0304203798901495,0.748353715898401,"[[0.7498802231236174, 0.6577006562556718, 0.7969536918812653]]",0.73266175164433,0.0632711488998185,0.75211665098777,"[[0.09379944430789854, 0.11077496560829324, 0.10639186929008475]]",0.103655426402092,0.0071952841321925,0.079018356580369,"[[0.0937606153731188, 0.10888225600119, 0.10753025037639623]]",0.103391040583568,0.0068320712868507,0.0797526250317581,"[[0.09990421448495834, 0.11054358106876608, 0.110193420670942]]",0.106880405408222,0.0049349828047266,0.0832252698283656,"[[0.7489331121458239, 0.7383764556242655, 0.8378509773886802]]",0.775053515052923,0.0446131647692072,0.709824983908237,"[[0.7612675539385892, 0.7226791821659153, 0.8171747392816435]]",0.767040491795383,0.03879302074065,0.724745056206185,"[[0.7976795470621749, 0.6508332543704118, 0.8305926632751675]]",0.759701821569252,0.0781455564855681,0.733635144232884
3,0.2,[0.0034812425830458298],[0.0071922687604774665],5,2,100,"[[0.7674581005586593, 0.6275071633237822, 0.6822766570605188]]",0.692413973647653,0.0575826368443414,0.663321799307958,"[[0.7981843575418994, 0.6289398280802292, 0.6952449567723343]]",0.707456380798154,0.0696312518233459,0.655017301038062,"[[0.8612435538746921, 0.6255303303711227, 0.7159808930814513]]",0.728202448856538,0.0868491174221291,0.673702422145329,"[[0.09407674139283022, 0.10355987541566308, 0.09602274415252675]]",0.0978864536536733,0.0040896224399692,0.120710614005679,"[[0.09347628357539135, 0.10152975798557119, 0.09449039497416066]]",0.0964988121783744,0.0035814259049054,0.121405787065321,"[[0.09770856773729765, 0.10406952587106484, 0.09500350782524848]]",0.0989272004778703,0.0038001728135321,0.121104457080973,"[[0.8100790388208741, 0.646279255873254, 0.7211733579388998]]",0.725843884211009,0.0669524835743764,0.668505202361937,"[[0.8139914276674626, 0.6485307224153256, 0.7362011511963339]]",0.732907767093041,0.0675891807405717,0.664982602671379,"[[0.8489251880065345, 0.6682274177534321, 0.7940574542153362]]",0.770403353325101,0.0756419566568044,0.687959766684349
4,0.5,[0.0011277344769635414],[0.025336224815820953],15,2,1000,"[[0.6752910737386805, 0.6476793248945147, 0.702231520223152]]",0.675067306285449,0.0222714025557184,0.692192192192192,"[[0.591849935316947, 0.6708860759493671, 0.7845188284518828]]",0.682418279906066,0.079078313046981,0.654654654654655,"[[0.5761383194818691, 0.6488524426036184, 0.8079312976486104]]",0.678834662375582,0.0971088334165383,0.652402402402402,"[[0.10299986493804164, 0.09558187655501414, 0.08397949652454086]]",0.0941870793391988,0.0078274175435349,0.114113806036652,"[[0.10918773847394392, 0.09272615516736599, 0.10262848666643937]]",0.10151412676925,0.0067664505577247,0.113521778962685,"[[0.10768728892813796, 0.09106663147891038, 0.10285404405410345]]",0.100535988153717,0.0069805253326249,0.114441919189779,"[[0.7559063347657153, 0.682515179342361, 0.7211942970951384]]",0.719871937067738,0.0299764007248512,0.697520823627727,"[[0.6852350848710898, 0.7323534920529641, 0.8276517763557263]]",0.74841345109326,0.0592400214755729,0.646324128851885,"[[0.6269269860018301, 0.6808359690704237, 0.851917675147339]]",0.719893543406531,0.0959142781699998,0.629684854412589
5,0.2,[0.00992804886198145],[0.047384018594338315],5,2,100,"[[0.7479946524064172, 0.7197802197802198, 0.7922155688622754]]",0.753330147016304,0.0298113018412918,0.577819198508854,"[[0.7426470588235294, 0.7332112332112332, 0.8065868263473054]]",0.760815039460689,0.0325939775351394,0.516309412861137,"[[0.8026709508053657, 0.7844813996085677, 0.7854799060899315]]",0.760569093802627,0.0160382867287338,0.534948741845294,"[[0.08813751305775312, 0.12048027839556663, 0.11375837618871028]]",0.107458722547343,0.0139350360464815,0.0914431007019252,"[[0.08890176678069693, 0.12165482862910021, 0.11621361184226146]]",0.108923402417353,0.0143306461870031,0.0912705418968128,"[[0.08476817562480825, 0.12117157389687151, 0.11324135682347747]]",0.106393702115052,0.0156305178564878,0.0939754081503377,"[[0.8440174544179844, 0.692984897023293, 0.8275097020585181]]",0.788170684499932,0.0676430685049658,0.622139531361747,"[[0.8317841628942703, 0.7198091096011487, 0.8276729031300808]]",0.7930887252085,0.0518436891812495,0.550481695590294,"[[0.8574067392352422, 0.7462721266654941, 0.796103638589303]]",0.79992750149668,0.0454510137283927,0.586179321839772
6,0.2,[0.021388348087258317],[0.10208107328619256],15,2,1000,"[[0.6059171597633136, 0.6531007751937985, 0.5861865407319953]]",0.615068158563036,0.0280735258167629,0.765097236438076,"[[0.6059171597633136, 0.6531007751937985, 0.5861865407319953]]",0.615068158563036,0.0280735258167629,0.765097236438076,"[[0.5990244078401092, 0.6197457933493392, 0.6392741490516154]]",0.613790324466857,0.0105879381473401,0.86949846468782,"[[0.11244607218405002, 0.11509332764097084, 0.12319734889411475]]",0.116912249573045,0.0045737545095418,0.0905965356004102,"[[0.11190060236853624, 0.11676421337752028, 0.12403975907255706]]",0.117568191606205,0.0049882907637347,0.0933150121661664,"[[0.10996993654277194, 0.11431462834131058, 0.12177069360697357]]",0.115351752830352,0.0048731363772149,0.0866964461166235,"[[0.621322294418599, 0.659474916743988, 0.6189376998906135]]",0.633244970351067,0.0185729038942462,0.731105420621805,"[[0.621322294418599, 0.659474916743988, 0.6189376998906135]]",0.633244970351067,0.0185729038942462,0.731105420621805,"[[0.6296361244802011, 0.6299272496509221, 0.6129457641387799]]",0.624169712756634,0.0079374200425761,0.905889913340992
7,0.2,[0.003521480242482483],[0.002869567682142973],5,2,100,"[[0.7157360406091371, 0.6575682382133995, 0.7425742574257426]]",0.705292845416093,0.0354805211344884,0.693869096934548,"[[0.7195431472081218, 0.6563275434243176, 0.7432814710042432]]",0.706384053878894,0.0366980261351954,0.693869096934548,"[[0.7069198422362769, 0.6295642576336884, 0.7450008101622246]]",0.690010159018698,0.0300772969891244,0.695111847555924,"[[0.09635497985940858, 0.10024734469992459, 0.11773008377807088]]",0.104777469445801,0.0092957083123811,0.0969086806881722,"[[0.09488268113870035, 0.09994461923614861, 0.11770185239971928]]",0.104176384258189,0.0097846655763411,0.0963535714601898,"[[0.1001738444028628, 0.10291834460259029, 0.11558129116307525]]",0.106224493389509,0.0067104554623428,0.0986677537614124,"[[0.7240896937653887, 0.6992672124376317, nan]]",,,0.726815440343618,"[[0.734458928227657, 0.696905651264827, nan]]",,,0.726637205762836,"[[0.7258206408163621, 0.7198010668413999, nan]]",,,0.750014451818714
8,0.2,[0.00045028758448319807],[0.023044165574726518],5,2,500,"[[0.7600267379679144, 0.7066395663956639, 0.6508563899868248]]",0.705840898116801,0.0445721858176359,0.762391817466562,"[[0.7560160427807486, 0.6869918699186992, 0.689064558629776]]",0.710690823776408,0.0320609379979941,0.793863099921322,"[[0.7054414657172435, 0.8035284920903759, 0.6399069053880483]]",0.674621030969668,0.0279879966992367,0.769472856018883,"[[0.09047107852750137, 0.10030345544457661, 0.10701942087592146]]",0.0992646516159998,0.0067956478065414,0.0875010360162381,"[[0.09750694835639556, 0.10802945017719402, 0.09794883211307595]]",0.101161743548889,0.004859551492539,0.0958365865483527,"[[0.09934515197150665, 0.11065448160197362, 0.0979373022275938]]",0.102645645267025,0.0056921937660482,0.0959913431196049,"[[0.7942146544002453, 0.7575901521113537, 0.6631237456191765]]",0.738309517376925,0.0552268880654068,0.804081868726781,"[[0.8023557056168933, 0.7379043501232609, 0.7195243513410425]]",0.753261469027066,0.0355165608185071,0.848161229610059,"[[0.7190226170433598, 0.7362373101493851, 0.6576454703167551]]",0.704301799169833,0.0337312533734773,0.831487115869842
9,0.2,[0.015655778534570237],[0.06498851191091835],10,2,500,"[[0.7974137931034483, 0.5539845758354756, 0.7192866578599736]]",0.690228342266299,0.101481476910093,0.676038062283737,"[[0.7432266009852216, 0.5906169665809768, 0.7192866578599736]]",0.684376741808724,0.0670146839992464,0.693339100346021,"[[0.7549376216290197, 0.6341901923887412, 0.6680874984429794]]",0.666210047459084,0.0635465266387369,0.7530276816609,"[[0.11169835511902984, 0.10294937020009974, 0.10626528232046095]]",0.10697100254653,0.0036064493208721,0.109967905793483,"[[0.11600608101772637, 0.10528602210636459, 0.10793577283551571]]",0.109742625319869,0.0045591265750453,0.108188629157738,"[[0.11295273347868423, 0.10608421176425743, 0.10566067389088309]]",0.108232539711275,0.0033421567870626,0.104595868514782,"[[0.7955298968917567, 0.5936046247659897, 0.6806525266454262]]",0.689929016101058,0.082696206375027,0.669916709467813,"[[0.7267720545640878, 0.6301585165847883, 0.6806525266454262]]",0.679194365931434,0.0394557862653059,0.704018315874804,"[[0.7319862511131209, 0.607064479367751, 0.6116611525468527]]",0.650237294342575,0.0578356942892727,0.765325800155841
10,0.2,[0.013730571871931987],[0.004843323508479722],5,2,500,"[[0.7608125819134993, 0.8136363636363636, 0.5763313609467455]]",0.716926768832203,0.10172803454222,0.723737373737374,"[[0.8132372214941023, 0.7539772727272728, 0.5958579881656805]]",0.721024160795685,0.0917527963610007,0.742929292929293,"[[0.7444589551071517, 0.7570811156454242, 0.5617295028100243]]",0.680636939806841,0.0883964852956135,0.742424242424242,"[[0.10261357911686587, 0.1191362532430924, 0.10779715306719553]]",0.109848995142385,0.0068996247239254,0.0819281158453794,"[[0.08856650299536328, 0.11674736762145341, 0.11893574674439795]]",0.108083205787071,0.0138292809331345,0.0823588162118713,"[[0.09984029834034698, 0.11868371854501772, 0.11410521832642771]]",0.110876411737264,0.0080244424622573,0.084689268777129,"[[0.8198412810889726, 0.8515822553521865, 0.6028243117336668]]",0.758082616058275,0.1105463045006,0.725270335335909,"[[0.8714573370548885, 0.82104112095079, 0.6463657444932043]]",0.779621400832961,0.0964477446477911,0.74669761455382,"[[0.7695454138955544, 0.8329298619825335, 0.610746620737076]]",0.737740632205055,0.0934523275129073,0.758076582505576
