random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.8,[0.015240128403696722],[0.0190501605046209],10,2,1000,"[[0.6980874316939891, 0.5698324022346368, 0.642059553349876]]",0.636659795759501,0.0524989281283021,0.653053132434576,"[[0.6980874316939891, 0.5698324022346368, 0.642059553349876]]",0.636659795759501,0.0524989281283021,0.653053132434576,"[[0.7922140708178146, 0.5791606286827433, 0.6270054838356114]]",0.644792851150739,0.0355870032504894,0.639175257731959,"[[0.10450394533905495, 0.11059695072008456, 0.11104718204898573]]",0.108716026036042,0.0029840570717093,0.0977212032848101,"[[0.10462772038655412, 0.11017437316149856, 0.11107075321389162]]",0.108624282253981,0.0028495911250227,0.0982340852295794,"[[0.09840227819873197, 0.1138936016575807, 0.11417416965728182]]",0.108823349837865,0.0073697005900994,0.102046192265062,"[[0.7783063601475706, 0.5344222918041263, 0.7214962027990833]]",0.678074951583593,0.10419185345882,0.667976037265197,"[[0.7783063601475706, 0.5344222918041263, 0.7214962027990833]]",0.678074951583593,0.10419185345882,0.667976037265197,"[[0.7924964129691477, 0.6424520644337333, 0.6927618760304942]]",0.709236784477792,0.0623532602094141,0.628936590366391
2,0.2,[0.002634594790108307],[0.012002723251012965],5,2,500,"[[0.7069182389937106, 0.594316807738815, 0.7220812182741116]]",0.674438755002212,0.0569919515377592,0.549388523047977,"[[0.7069182389937106, 0.594316807738815, 0.7220812182741116]]",0.674438755002212,0.0569919515377592,0.549388523047977,"[[0.6594351129862815, 0.5850852256516657, 0.6259887867137657]]",0.602315917867534,0.0377202184996247,0.65098777046096,"[[0.1101741829809521, 0.10824568792706746, 0.11744011396002257]]",0.111953328289347,0.0039588201980017,0.0905110931063978,"[[0.1080443487271981, 0.1078993252384609, 0.11703080872805724]]",0.110991494231239,0.0042708506292995,0.0897492598807687,"[[0.10968227410711662, 0.12263993160864849, 0.11971917933002263]]",0.117347128348596,0.0055494859446989,0.095432760281356,"[[0.6998653272124595, 0.5211367084738691, 0.7705561026603033]]",0.663852712782211,0.104960912876043,0.578961084738454,"[[0.6998653272124595, 0.5211367084738691, 0.7705561026603033]]",0.663852712782211,0.104960912876043,0.578961084738454,"[[0.6855975900997742, 0.48577532555111724, 0.6256789936890941]]",0.599017303113328,0.0837272104738826,0.681085172049706
3,0.9,[0.012805332298304224],[0.0149056309282331],10,2,500,"[[0.8254189944134078, 0.43123209169054444, 0.7219020172910663]]",0.659517701131673,0.166862579680741,0.619031141868512,"[[0.8254189944134078, 0.43123209169054444, 0.7219020172910663]]",0.659517701131673,0.166862579680741,0.611418685121107,"[[0.8510620751233616, 0.5238460080232781, 0.6912953377683361]]",0.678165710195967,0.123626930637735,0.628373702422145,"[[0.10840507559350684, 0.11972282148325428, 0.09079774416297316]]",0.106308547079911,0.0119013052043966,0.122276229999161,"[[0.10904744981233827, 0.11845721838307384, 0.09127850607969386]]",0.106261058091702,0.0112692379136922,0.122283737073666,"[[0.09909859025168283, 0.12666180477587866, 0.08742820435484071]]",0.104396199794134,0.0164492624079342,0.128728124668352,"[[0.8775661757592434, 0.45287545826411857, 0.7777881731491149]]",0.702743269057492,0.181318053162983,0.618643434009158,"[[0.8775661757592434, 0.45287545826411857, 0.7777881731491149]]",0.702743269057492,0.181318053162983,0.61739931744707,"[[0.8568842153405578, 0.5126012723116443, 0.7843483206930137]]",0.717944602781739,0.148188565752091,0.620877476237445
4,0.2,[0.033647618599646316],[0.16823809299823153],15,2,500,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.677648406088867,0.104229387570606,0.57545045045045,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.677648406088867,0.104229387570606,0.57545045045045,"[[0.5423049381993733, 0.6661130297640637, 0.7424011459115049]]",0.652333380358528,0.0860241216408806,0.625,"[[0.10830587405173123, 0.09369153314796715, 0.11200516794299799]]",0.104667525047565,0.0079067689337902,0.117593600817419,"[[0.10574449845610424, 0.09446435554503982, 0.1123300997507184]]",0.104179651250621,0.0073771161523577,0.11862314445849,"[[0.11372419648363659, 0.085017625011799, 0.09972039409500386]]",0.0994874051968131,0.0117205666611286,0.121464595171886,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.737578225238699,0.0835068288227867,0.538411328667445,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.737578225238699,0.0835068288227867,0.538411328667445,"[[0.5879850241832907, 0.6831952379139603, 0.8397573020187313]]",0.703645854705327,0.103797850867193,0.592639725573745
5,0.9,[0.015962156433968904],[0.01858022947635414],15,2,500,"[[0.7032085561497327, 0.6349206349206349, 0.7197604790419162]]",0.685963223370761,0.0367196669794623,0.540540540540541,"[[0.7032085561497327, 0.6349206349206349, 0.7197604790419162]]",0.685963223370761,0.0367196669794623,0.554986020503262,"[[0.7457911596804802, 0.6476544083886114, 0.7110641680289165]]",0.671756566851671,0.0280377564297732,0.639794967381174,"[[0.09216987341297384, 0.12664817064962364, 0.12122059382311942]]",0.113346212628572,0.015136989011083,0.0870661317617561,"[[0.09244676109492293, 0.1261390054346941, 0.12147921056791798]]",0.113354992365845,0.014906240822977,0.0871540572399845,"[[0.0929773710898854, 0.1275973577716223, 0.12486100387128836]]",0.115145244244265,0.0157148095398041,0.0878430223771977,"[[0.785707267952767, 0.6497372685067421, 0.7445750975267801]]",0.726673211328763,0.0569345725924244,0.568903772433467,"[[0.785707267952767, 0.6497372685067421, 0.7445750975267801]]",0.726673211328763,0.0569345725924244,0.58395618616064,"[[0.7495907301338324, 0.6503169956466951, 0.7122441419365472]]",0.704050622572358,0.0409403542521244,0.680313272715321
6,0.8,[0.009699356006528085],[0.011047114939316822],15,2,1000,"[[0.5958579881656805, 0.6233850129198967, 0.5608028335301063]]",0.593348611538561,0.0256106100745573,0.762026612077789,"[[0.5958579881656805, 0.6233850129198967, 0.5608028335301063]]",0.593348611538561,0.0256106100745573,0.762026612077789,"[[0.5416849548692899, 0.6464674428990325, 0.6606015213247505]]",0.617356928862865,0.0502856184804054,0.740020470829069,"[[0.11341790623691912, 0.11329399177033865, 0.12418070246303589]]",0.116964200156765,0.0051030884668712,0.0877970638608674,"[[0.11309906777512471, 0.11334064117416132, 0.12415973626148426]]",0.116866481736923,0.0051580526426679,0.0879626482350817,"[[0.11261371614583038, 0.1154832757468169, 0.12183467449755621]]",0.116643888796734,0.00385285913055,0.0892693959203087,"[[0.6233669988415156, 0.6297475709027668, 0.6182156951396091]]",0.623776754961297,0.0047167760679302,0.806881748931309,"[[0.6233669988415156, 0.6297475709027668, 0.6182156951396091]]",0.623776754961297,0.0047167760679302,0.806881748931309,"[[0.6114109309820437, 0.678894000395034, 0.667630437547429]]",0.652645122974835,0.0295173497452972,0.765941152542542
7,0.2,[0.00813507609641482],[0.04067538048207409],15,2,100,"[[0.5475888324873096, 0.6830024813895782, 0.5813295615275813]]",0.603973625134823,0.05755449180121,0.748135874067937,"[[0.5380710659898477, 0.6830024813895782, 0.5813295615275813]]",0.600801036302336,0.0607488410856274,0.748135874067937,"[[0.517222761980041, 0.6132711702935768, 0.5700346594261567]]",0.574671513273864,0.0297497166531326,0.756835128417564,"[[0.10798553550028016, 0.10651254781055176, 0.1151784740734933]]",0.109892185794775,0.0037860318723617,0.103307453162749,"[[0.10694454391382548, 0.10669348142551212, 0.11509631262509376]]",0.10957811265481,0.0039033025570052,0.106589385786673,"[[0.10891768824830785, 0.10489652478334961, 0.11651812416006865]]",0.110110779063909,0.0048189205076754,0.102276136536154,"[[0.5429202505131037, 0.7045327530835371, nan]]",,,0.783924022480895,"[[0.5450214892738918, 0.7045327530835371, nan]]",,,0.783924022480895,"[[0.5557006577295922, 0.643620432342315, nan]]",,,0.814275245402055
8,0.2,[0.03251440650903269],[0.16257203254516342],10,2,1000,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.631226703648886,0.0431024594708647,0.680173092053501,"[[0.6657754010695187, 0.5704607046070461, 0.6574440052700923]]",0.631226703648886,0.0431024594708647,0.680173092053501,"[[0.6513321074966058, 0.7704081402440113, 0.7179565191732133]]",0.659764530296624,0.0408466359835036,0.648308418568057,"[[0.10773049252250937, 0.11407740858736096, 0.09977124426891457]]",0.107193048459595,0.0058528180658077,0.105652096964288,"[[0.10819398942409124, 0.11579721351057784, 0.10021292315636518]]",0.108068042030345,0.0063628831788005,0.106869711131179,"[[0.1058593592211869, 0.11006570715309386, 0.09781845555822614]]",0.104581173977502,0.005080952079081,0.103198085063165,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.658431250408652,0.0317623539377125,0.721041829547835,"[[0.6932788391953892, 0.6164614816343459, 0.66555343039622]]",0.658431250408652,0.0317623539377125,0.721041829547835,"[[0.6157691279124617, 0.7060410154863301, 0.7180337127426375]]",0.679947952047143,0.0456446221538611,0.699955313448911
9,0.2,[0.03145610691250795],[0.1572805345625397],10,2,500,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.641239701196299,0.0462651021636674,0.653114186851211,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.641239701196299,0.0462651021636674,0.653114186851211,"[[0.6564853063450456, 0.44359213903052735, 0.6546584543177989]]",0.60286646849795,0.06639519145382,0.700692041522491,"[[0.1189109793913555, 0.10790885502763631, 0.10926663029650714]]",0.112028821571833,0.0048978880217089,0.108280898011411,"[[0.11935895885499778, 0.10887846125973372, 0.11061374808979041]]",0.112950389401507,0.0045865838359139,0.109970236241014,"[[0.1248807743959001, 0.11234993619260865, 0.10005532762830405]]",0.112428679405604,0.0101350991500784,0.105038013380867,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.694394315579594,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.694394315579594,"[[0.6234901180234986, 0.5343235435691279, 0.6606122552406528]]",0.60614197227776,0.0529964042461054,0.74411022962907
10,0.7,[0.030277706111245292],[0.04325386587320757],10,2,100,"[[0.6369593709043251, 0.7210227272727273, 0.5615384615384615]]",0.639840186571838,0.0651410371342167,0.657575757575758,"[[0.6369593709043251, 0.7210227272727273, 0.5615384615384615]]",0.639840186571838,0.0651410371342167,0.657575757575758,"[[0.7574891512824962, 0.7821718520027141, 0.6178017083733908]]",0.678574742124495,0.0762183870990331,0.65,"[[0.1053918926828414, 0.12784938361424317, 0.11028487287651942]]",0.114508716391201,0.0096424535349632,0.0918105879600459,"[[0.10649751721183923, 0.1279800630481873, 0.11033562579659008]]",0.114937735352205,0.0093544821048206,0.0925965531966907,"[[0.10494456227783919, 0.1343519522830078, 0.11113542163810071]]",0.116810645399649,0.0126584562062087,0.0925977093639566,"[[0.7212195784841753, 0.7470986581026906, 0.5656832904794465]]",0.678000509022104,0.080119909620288,0.678094999882611,"[[0.7212195784841753, 0.7470986581026906, 0.5656832904794465]]",0.678000509022104,0.080119909620288,0.678094999882611,"[[0.7272445476149335, 0.8088954803750222, 0.6750953836803383]]",0.737078470556765,0.0550644834062519,0.685549821294191
