random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.4,[0.0016921873719395956],[0.0013223242222784716],10,2,100,"[[0.8073770491803278, 0.5349162011173184, 0.6761786600496278]]",0.672823970115758,0.111256966494142,0.611022997620936,"[[0.7841530054644809, 0.5349162011173184, 0.6823821339950372]]",0.667150446858945,0.102318943765904,0.611022997620936,"[[0.7205656382845381, 0.5487922627493436, 0.6673111971969682]]",0.652410964105362,0.144781295991446,0.598334655035686,"[[0.09406299624778261, 0.10522526343225275, 0.10486655836980707]]",0.101384939349947,0.0051794662159956,0.0977658687190254,"[[0.0937377635828911, 0.10535660755721588, 0.10459010978568078]]",0.101228160308596,0.0053057460700501,0.0979184023032892,"[[0.09874500063740851, 0.10935178668750063, 0.10805080865030184]]",0.105382531991737,0.0047233993989561,0.101470965824179,"[[0.7543170717049232, 0.5642330242624628, 0.7047809151638273]]",0.674443670377071,0.0805118938996616,0.581746173733221,"[[0.745638637990271, 0.5642330242624628, 0.7102799914221137]]",0.673383884558282,0.0785195992487274,0.581746173733221,"[[0.7628782593132357, 0.485186607002581, 0.6948693723779895]]",0.647644746231269,0.118182873623264,0.559390290172584
2,0.2,[0.012892719639131463],[0.01524234954346595],10,2,100,"[[0.7062893081761006, 0.6148730350665055, 0.6592639593908629]]",0.660142100877823,0.0373257024641676,0.641580432737535,"[[0.6748427672955974, 0.6360338573155986, 0.6719543147208121]]",0.660943646444003,0.0176533091399387,0.619002822201317,"[[0.6720691019691754, 0.6063014436066345, 0.759075767015291]]",0.653123088986498,0.0403017445080112,0.587017873941675,"[[0.10533215229868068, 0.11363812951531363, 0.1127666681576631]]",0.110578983323886,0.0037270889516047,0.0855799309467263,"[[0.10027726317064298, 0.11282337191766409, 0.11123118186908425]]",0.108110605652464,0.0055770188043328,0.0839609817032342,"[[0.10211139610262869, 0.11371678631453656, 0.11352431418174967]]",0.109784165532972,0.0054260362714648,0.0861166560857207,"[[0.7129574863590731, 0.6404281984833311, 0.771853743700996]]",0.7084131428478,0.0537503908661847,0.566540584879338,"[[0.6930767212851238, 0.6608745761797434, 0.7830578798633537]]",0.71233639244274,0.0517068088655319,0.560414464331863,"[[0.6886778688440321, 0.6257521825589478, 0.7936009252305735]]",0.702676992211184,0.0692352592994733,0.537781081607264
3,0.2,[0.0007666012010233829],[0.007701402164510904],15,2,100,"[[0.630586592178771, 0.8123209169054442, 0.5446685878962536]]",0.662525365660156,0.111578092965219,0.619723183391003,"[[0.6710893854748603, 0.8166189111747851, 0.5273775216138329]]",0.671695272754493,0.11808308002796,0.623875432525952,"[[0.7642100464335785, 0.81342623626287, 0.4238855443589353]]",0.640361736875689,0.156426488136961,0.605882352941176,"[[0.10981997529701273, 0.08096601919080192, 0.10101904076743701]]",0.0972683450850838,0.0120744491750418,0.123310748996426,"[[0.10700482323677458, 0.08819520453916156, 0.10288943155699061]]",0.0993631531109755,0.0080736781641133,0.122942017418558,"[[0.10698876729077396, 0.09740085178004085, 0.10458419892720187]]",0.102991272666006,0.0040730898603268,0.124829545589593,"[[0.6524368666618784, 0.7718191142006497, 0.5452465030546593]]",0.656500827972396,0.0925425086704414,0.611039984172955,"[[0.684181170604221, 0.7790808172051101, 0.52539301212371]]",0.66288499997768,0.104656647421527,0.597776260295891,"[[0.7188974598117713, 0.764640405927594, 0.4836684339244225]]",0.655735433221262,0.123094525914309,0.580100328064338
4,0.4,[0.004265079723868271],[0.008852360290597275],15,2,100,"[[0.6565329883570504, 0.48945147679324896, 0.5732217573221757]]",0.573068740824158,0.0682108272790944,0.659159159159159,"[[0.6565329883570504, 0.48945147679324896, 0.5732217573221757]]",0.573068740824158,0.0682108272790944,0.662162162162162,"[[0.4316236109699967, 0.4779089145598877, 0.5647126784330652]]",0.497941860409849,0.0459048000294361,0.61036036036036,"[[0.10195647567606356, 0.11261228739343243, 0.12060080345332509]]",0.11172318884094,0.0076374346366444,0.10777048822335,"[[0.10242973211232653, 0.10788064878239022, 0.1154824581465471]]",0.108597613013755,0.005352814992313,0.109174110864072,"[[0.10597000709178574, 0.09850707327975027, 0.1108847683165955]]",0.105120616229377,0.0050887413135367,0.112073461859462,"[[0.702444096932211, 0.505425771748989, 0.5737721730298426]]",0.593880680570347,0.081679533018296,0.697570640828977,"[[0.702444096932211, 0.505425771748989, 0.5737721730298426]]",0.593880680570347,0.081679533018296,0.698088405929756,"[[0.5385222717210142, 0.5421840705418354, 0.5593882341416323]]",0.546698192134827,0.0090968883783375,0.654495212292717
5,0.4,[0.0017757799921442358],[0.0015954555999197083],15,2,500,"[[0.6758021390374331, 0.6306471306471306, 0.8317365269461078]]",0.712728598876891,0.0861468084267705,0.523299161230196,"[[0.6758021390374331, 0.6306471306471306, 0.8317365269461078]]",0.712728598876891,0.0861468084267705,0.523299161230196,"[[0.7239141442450635, 0.7009548449113958, 0.8240198310160629]]",0.702552134570451,0.0795868549957783,0.512115563839702,"[[0.09020955204431888, 0.12326862627799645, 0.09875729021773462]]",0.10407848951335,0.0140109949386114,0.0966439422706928,"[[0.08982406466483026, 0.1229894842073293, 0.09803114363773566]]",0.103614897503298,0.0141036636795995,0.0962459390737796,"[[0.09203977323951189, 0.12890988204324438, 0.11345160998785563]]",0.111467088423537,0.0151174286874278,0.0970581814966651,"[[0.7778921489158941, 0.6008321119209965, 0.896824225805521]]",0.758516162214137,0.121612511735587,0.55987991859092,"[[0.7778921489158941, 0.6008321119209965, 0.896824225805521]]",0.758516162214137,0.121612511735587,0.55987991859092,"[[0.7679560015247916, 0.6100185821843764, 0.808934419880179]]",0.728969667863116,0.0857586857829975,0.544572298238773
6,0.2,[0.003456792805202812],[0.0030914954115375754],15,2,1000,"[[0.6260355029585799, 0.6253229974160207, 0.6770956316410862]]",0.642818044005229,0.0242396600173826,0.679119754350051,"[[0.6260355029585799, 0.6343669250645995, 0.6770956316410862]]",0.645832686554755,0.022366372827385,0.668884339815763,"[[0.6970103952838441, 0.6254579503446824, 0.6231718503732598]]",0.643477686549731,0.0336337618107931,0.640225179119754,"[[0.10529197615247834, 0.10848803543671694, 0.11481668132648519]]",0.109532230971894,0.0039579254161492,0.0875908218923134,"[[0.10513091163144006, 0.1077871861302574, 0.11370191624049396]]",0.10887333800073,0.0035823943963411,0.0853860233995454,"[[0.10825554215855347, 0.11319425451869779, 0.11963627031567989]]",0.11369535566431,0.0046596545018705,0.0918908559042085,"[[0.5873069391385229, 0.6030284453653438, 0.6633067131840397]]",0.617880699229302,0.0327560019678022,0.702553713119348,"[[0.5873069391385229, 0.6120351407706424, 0.6633067131840397]]",0.620882931031068,0.0316512659895489,0.708824290183936,"[[0.670748702622976, 0.6081775694535727, 0.6068399832512077]]",0.628588751775919,0.0298165879534854,0.681443751209636
7,0.2,[0.0014301956082620668],[0.0023416229158929806],10,2,500,"[[0.7125634517766497, 0.6035980148883374, 0.7715700141442716]]",0.695910493603086,0.0695779605692144,0.603562551781276,"[[0.7125634517766497, 0.6023573200992556, 0.7715700141442716]]",0.695496928673392,0.0701269497155863,0.606876553438277,"[[0.6140265196923975, 0.5989953667091054, 0.7950400314932513]]",0.659574993450703,0.0710882352203786,0.596106048053024,"[[0.09941451537949648, 0.1044743993475189, 0.0949267025617313]]",0.0996052057629155,0.003900162440641,0.111689520078985,"[[0.09916368221215958, 0.10419958774200326, 0.09565628317385654]]",0.0996731843760064,0.0035063473470505,0.109953029819473,"[[0.10247547066858836, 0.10466427668527352, 0.11005142401997942]]",0.105730390457947,0.003183417055914,0.105799267101992,"[[0.7009912405348984, 0.5871690361996909, nan]]",,,0.616059357323854,"[[0.7009912405348984, 0.5845690567569366, nan]]",,,0.643521577648407,"[[0.6501533398389407, 0.578649657251657, nan]]",,,0.650302004781447
8,0.5,[0.0003129935728230239],[0.0007197330997356046],10,2,500,"[[0.7279411764705882, 0.6246612466124661, 0.6014492753623188]]",0.651350566148458,0.0549805425853349,0.6852871754524,"[[0.7279411764705882, 0.6246612466124661, 0.5988142292490118]]",0.650472217444022,0.0557858810461423,0.6852871754524,"[[0.6876830550789649, 0.7097810559930128, 0.5672720212746939]]",0.625136414988888,0.0613547867958024,0.682140047206924,"[[0.09606523553506384, 0.10578675756108602, 0.10976313983652888]]",0.10387171097756,0.0057537638768508,0.094540048546158,"[[0.09633377323442799, 0.10598391749380455, 0.10922308350105568]]",0.103846924743096,0.0054747074990227,0.0946227315514388,"[[0.10377159908096695, 0.11536923255282777, 0.1004940810511325]]",0.106544970894976,0.0063815476943894,0.0983752451646789,"[[0.8092371089899412, 0.6562495375394306, 0.6346448781627752]]",0.700043841564049,0.0777134375555567,0.723006336175991,"[[0.8092371089899412, 0.6562495375394306, 0.6320215509855441]]",0.699169399171639,0.0784556111934146,0.723006336175991,"[[0.7926033745087877, 0.6038611246785572, 0.607684119847962]]",0.668049539678436,0.0880866889347317,0.707889993874884
9,0.8,[0.0017418093846197989],[0.002280933687105718],15,2,500,"[[0.6717980295566502, 0.6163239074550129, 0.6796565389696169]]",0.655926158660427,0.0281861995540482,0.651384083044983,"[[0.6693349753694581, 0.6163239074550129, 0.6796565389696169]]",0.655105140598029,0.0277443291726168,0.651384083044983,"[[0.6815927575838876, 0.585334444567634, 0.5823977056464518]]",0.598728403411963,0.065133309801206,0.609861591695502,"[[0.10316203193841912, 0.10339429620731916, 0.11591116814267488]]",0.107489165429471,0.0059560100709877,0.112610089071294,"[[0.10334711801191385, 0.10331477312713329, 0.1158847531018952]]",0.107515548080314,0.0059179363558499,0.112619985411112,"[[0.11578212443070915, 0.10554025045670014, 0.11349752533303294]]",0.111606633406814,0.0043898063611318,0.109817703918518,"[[0.6146874870803342, 0.6651456067037104, 0.6707404193371802]]",0.650191171040408,0.0252085853517344,0.653065760416001,"[[0.609408639426543, 0.6651456067037104, 0.6707404193371802]]",0.648431555155811,0.0276877403208361,0.653065760416001,"[[0.6363370225898441, 0.5568740755200604, 0.5651840887025428]]",0.586131728937482,0.0356622369163158,0.615693695471237
10,0.9,[0.0009161456027947278],[0.0011171874089767836],15,2,100,"[[0.809305373525557, 0.6352272727272728, 0.5579881656804734]]",0.667506937311101,0.105108094515426,0.676767676767677,"[[0.809305373525557, 0.6352272727272728, 0.5579881656804734]]",0.667506937311101,0.105108094515426,0.676767676767677,"[[0.8675195046668472, 0.6648133359293511, 0.5172487404866271]]",0.662340367818491,0.117149010094923,0.592929292929293,"[[0.09362161001266037, 0.1417181300788455, 0.1086696546168849]]",0.11466979823613,0.0200884727013265,0.0837305273189061,"[[0.09376024816899252, 0.14141258987635075, 0.10861453273145952]]",0.114595790258934,0.0199084236569379,0.0837539545985482,"[[0.10560072625061155, 0.12508566176480854, 0.11364253594019356]]",0.114776307985204,0.0079949883170913,0.0891033433651108,"[[0.8551636669111806, 0.6753537097381532, 0.5976363161217683]]",0.709384564257034,0.10785378496099,0.653161001754526,"[[0.8551636669111806, 0.6753537097381532, 0.5976363161217683]]",0.709384564257034,0.10785378496099,0.653161001754526,"[[0.8442216701268821, 0.6698801370030179, 0.5379380708197506]]",0.684013292649883,0.125438485236222,0.585523841992858
