random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.3,[0.0025719743410439894],[0.0024416917253299434],10,2,100,"[[0.9050546448087432, 0.5789106145251397, 0.7468982630272953]]",0.743621174120393,0.133167905558323,0.776764472640761,"[[0.9057377049180327, 0.577513966480447, 0.7562034739454094]]",0.746485048447963,0.134172877199773,0.772402854877082,"[[0.7575429099234393, 0.6268375850833808, 0.7152202256302932]]",0.722069987099279,0.128312143580474,0.755749405233941,"[[0.08350168396469831, 0.11132001287392618, 0.09903393014451901]]",0.0979518756610478,0.0113825301011212,0.0843253586938501,"[[0.08244429699135904, 0.11176766906512883, 0.09900691088876198]]",0.0977396256484166,0.0120047086971316,0.0839864840344468,"[[0.09695541112654854, 0.11101850471945068, 0.10694664272488359]]",0.104973519523628,0.0059083309389472,0.0943614589590499,"[[0.9256957674308819, 0.5887448626210977, 0.8067935133685129]]",0.773744714473497,0.139530511345095,0.753745531409562,"[[0.9249623457362349, 0.5866404912011489, 0.8150347565402937]]",0.775545864492559,0.140913563956498,0.749817763813132,"[[0.8482248944260313, 0.5550753605597758, 0.788294079416945]]",0.730531444800917,0.126455667514586,0.756597559335181
2,0.2,[0.0052935148006715395],[0.008666937229609935],15,2,500,"[[0.7358490566037735, 0.7194679564691656, 0.7728426395939086]]",0.742719884222283,0.0223251786672825,0.742709313264346,"[[0.7534591194968554, 0.7013301088270859, 0.774746192893401]]",0.743178473739114,0.0308409803973564,0.748353715898401,"[[0.7262174916353992, 0.6491334329194797, 0.8556441897682321]]",0.733772978953169,0.082838552056016,0.729068673565381,"[[0.09481548636545717, 0.10438377895529377, 0.09458870380820475]]",0.0979293230429852,0.0045649285080213,0.0780272264786356,"[[0.0949834399371121, 0.10459810056639773, 0.09598999639338372]]",0.0985238456322978,0.0043147590684566,0.0781122805518545,"[[0.10395828537561852, 0.11088569859345677, 0.10875782483398634]]",0.10786726960102,0.0028973643126,0.0844661424962851,"[[0.7484914438005137, 0.7652076776373896, 0.867241838487282]]",0.793646986641728,0.0524849805947632,0.718266745646252,"[[0.7797365080783472, 0.7482234797510044, 0.8689193333372828]]",0.798959773722211,0.0511143993067903,0.722898681950139,"[[0.7498133271187609, 0.6259050117574914, 0.8818049130628559]]",0.752507750646369,0.104488068890291,0.720019254889464
3,0.8,[0.0031719785866746435],[0.0031421734798556065],15,2,500,"[[0.7779329608938548, 0.6984240687679083, 0.6498559077809798]]",0.708737645814248,0.0527933726089278,0.713840830449827,"[[0.7793296089385475, 0.6984240687679083, 0.6455331412103746]]",0.707762272972277,0.0550198463432718,0.714532871972318,"[[0.9122136023956751, 0.669550857255727, 0.6406265443782799]]",0.719109622676641,0.0916696428216994,0.730449826989619,"[[0.09243476081172243, 0.1103069615433818, 0.09706806380259961]]",0.0999365953859012,0.0075729890545931,0.113652429429905,"[[0.09232585495617283, 0.1093531060585189, 0.09679415638409475]]",0.0994910391329288,0.007208176026629,0.113320582432464,"[[0.10434867308912087, 0.10807430887373455, 0.09856788263158595]]",0.10366362153148,0.0039110958994312,0.119185250904505,"[[0.8203278925733771, 0.6888196860355125, 0.682820095354931]]",0.730655891321274,0.0634549689596308,0.712546694394757,"[[0.8182015812247029, 0.6888196860355125, 0.6817117534105259]]",0.729577673556914,0.0627337146691311,0.712681124128735,"[[0.9178661914733743, 0.6446778143865155, 0.678712122308751]]",0.747085376056214,0.121556978998463,0.73328100584721
4,0.2,[0.0020645866769860286],[0.0035412505921677776],15,2,500,"[[0.6946959896507116, 0.5921237693389592, 0.708507670850767]]",0.665109143280146,0.0519155676163655,0.698948948948949,"[[0.7011642949547219, 0.6118143459915611, 0.7168758716875872]]",0.676618170877957,0.0462699701086867,0.696321321321321,"[[0.5348094000688345, 0.6569878063382194, 0.8347341251028731]]",0.675130654915154,0.121027629631295,0.647522522522523,"[[0.10512531944152638, 0.09246750656598696, 0.09549725982636023]]",0.0976966952779578,0.0053964923130586,0.103341893266928,"[[0.10373188113492716, 0.09187505443957253, 0.09397353636044217]]",0.0965268239783139,0.0051662715805244,0.103100637650948,"[[0.10712949443926673, 0.09099988667258825, 0.10399784431888846]]",0.100709075143581,0.0069834596818989,0.113609898688106,"[[0.7762152874548534, 0.5946975940434761, 0.7224643095606639]]",0.697792397019664,0.076130132915816,0.72933242620398,"[[0.7757974286068434, 0.6294240148236915, 0.7242403941266039]]",0.709820612519046,0.0606203576468097,0.708298390825857,"[[0.6098821862171068, 0.6729197726350927, 0.8685980985926268]]",0.717133352481609,0.110150234713648,0.628734974107486
5,0.2,[0.00992804886198145],[0.005322760686609812],15,2,100,"[[0.7359625668449198, 0.702075702075702, 0.8832335329341318]]",0.773757267284918,0.0786378596535822,0.597856477166822,"[[0.75, 0.6776556776556777, 0.8838323353293414]]",0.77049600432834,0.0854098674527374,0.570363466915191,"[[0.7871385351543185, 0.7592257934041439, 0.8979062645286712]]",0.781011906179219,0.0791078844089072,0.554986020503262,"[[0.08815425544060104, 0.12067705117260467, 0.09234522992954379]]",0.100392178847583,0.014445255293084,0.0910634076608885,"[[0.0872833675914318, 0.11395578838349456, 0.08460942349538028]]",0.0952828598234355,0.0132488034683388,0.0890505130312299,"[[0.08930500594265156, 0.1252178826218367, 0.11218230386688781]]",0.108901730810459,0.0148437483479862,0.091580940564553,"[[0.8310977305926915, 0.6773195849902397, 0.9051736800143634]]",0.804530331865765,0.0948990416570937,0.642714810298153,"[[0.8456446215040635, 0.6620695889487452, 0.9052881168148978]]",0.804334109089236,0.103501149434282,0.614973376486635,"[[0.8224333958759998, 0.7188415753424165, 0.9036438090867738]]",0.814972926768397,0.075629404989969,0.592979461460661
6,0.2,[0.002762411380732027],[0.007544528375422255],15,2,1000,"[[0.6644970414201183, 0.665374677002584, 0.6894923258559622]]",0.673121348092888,0.0115815728852115,0.820368474923234,"[[0.6751479289940828, 0.6679586563307494, 0.6942148760330579]]",0.679107153785963,0.011078623981297,0.820368474923234,"[[0.6752332742359693, 0.6887887106607138, 0.6921490126138616]]",0.679799035824406,0.0031476252908419,0.825486182190379,"[[0.10713847539702342, 0.10147735394640417, 0.11232784609007777]]",0.106981225144502,0.0044310902098256,0.0734491787954602,"[[0.10595576882316363, 0.10349175877132775, 0.11219816041358585]]",0.107215229336026,0.0036642450770177,0.0759506362763505,"[[0.10811213137657184, 0.11246272931176034, 0.11842286076889046]]",0.112999240485741,0.004226398650566,0.087423962586373,"[[0.6725171666882566, 0.646865506449135, 0.7278996494781822]]",0.682427440871858,0.0338161030172375,0.874552479248686,"[[0.6861346690952157, 0.6531376595287369, 0.7193148263038521]]",0.686195718309268,0.0270167496916296,0.874552479248686,"[[0.7086117183000361, 0.67024632960122, 0.6726442297162876]]",0.683834092539181,0.0175477545571923,0.866480586165699
7,0.8,[0.006446908683216491],[0.0009052459327839789],5,2,100,"[[0.6776649746192893, 0.7363523573200993, 0.7333804809052333]]",0.715799270948207,0.0269923005038178,0.703396851698426,"[[0.6859137055837563, 0.6978908188585607, 0.7602545968882602]]",0.714686373776859,0.0325904897042802,0.714167357083679,"[[0.5738634331084085, 0.6481455985256527, 0.758968532817389]]",0.659241864626815,0.0668936746588738,0.68185584092792,"[[0.09900868028417846, 0.1014693107669865, 0.09896002126797462]]",0.0998126707730465,0.00117158979656,0.0979770311266889,"[[0.09397769502518044, 0.09984274181948236, 0.08877440696752187]]",0.0941982812707282,0.0045213200740177,0.0973323865033333,"[[0.10701901746932711, 0.10276496582872896, 0.11024381735537613]]",0.106675933551144,0.0030628510651129,0.100656370163447,"[[0.6800620779695107, 0.7765669976231682, nan]]",,,0.750236457955471,"[[0.676781664949712, 0.6959872416782762, nan]]",,,0.732818033007419,"[[0.5802366003099371, 0.6688325058453215, nan]]",,,0.737570874653816
8,0.3,[0.00039163717749543243],[0.0015009586149439943],10,2,100,"[[0.8001336898395722, 0.7154471544715447, 0.6798418972332015]]",0.731807580514773,0.05045312344048,0.743115656963021,"[[0.8001336898395722, 0.7140921409214093, 0.6824769433465085]]",0.73223425803583,0.0497167296382098,0.739181746656176,"[[0.7851694654664237, 0.7871367487825907, 0.6928312581087698]]",0.708555440878752,0.0503222667943652,0.761998426435877,"[[0.0794658394631154, 0.1016920491707423, 0.09981109446863193]]",0.0936563277008298,0.0100635303602126,0.0821892782067387,"[[0.08057511927398894, 0.10219165960525384, 0.09912415864322455]]",0.0939636458408224,0.0095495854451425,0.0826400348557274,"[[0.09968450386924982, 0.11130400118577544, 0.09772635305720705]]",0.102904952704077,0.0059925843172547,0.0944831083687363,"[[0.8502552227746243, 0.7538258426181712, 0.6887368183523268]]",0.764272627915041,0.0663520923260167,0.78445783097212,"[[0.8502552227746241, 0.753466281613728, 0.6910261705788944]]",0.764915891655749,0.0655072155993692,0.781030878661227,"[[0.8286916748707723, 0.7053505167172156, 0.6835399781231724]]",0.739194056570387,0.0639077077225259,0.818374645552313
9,0.2,[0.014944199238013491],[0.012757509066675934],15,2,500,"[[0.8048029556650246, 0.5957583547557841, 0.7192866578599736]]",0.706615989426927,0.0858111129991566,0.676038062283737,"[[0.7586206896551724, 0.6227506426735219, 0.7595772787318362]]",0.713649537020177,0.0642764109698555,0.7530276816609,"[[0.7290137940752525, 0.5731108991177817, 0.7378611856841941]]",0.668734460599416,0.0800980863082876,0.748269896193772,"[[0.1107910047877405, 0.1025601821083198, 0.10571981448197242]]",0.106357000459344,0.0033902915285007,0.110272966820536,"[[0.10198119122057538, 0.10015211477425719, 0.10019235049704833]]",0.100775218830627,0.0008529094451095,0.104665630367517,"[[0.11415189194774794, 0.10527084947251127, 0.10676475620418611]]",0.108729165874815,0.0038826458227421,0.105575600140233,"[[0.8013138542554071, 0.6396257831098275, 0.6806525266454262]]",0.707197388003554,0.0686257013860266,0.669916709467813,"[[0.7188654223873849, 0.6732320446503267, 0.7345593231183707]]",0.708885596718694,0.0260122594348299,0.757444580742727,"[[0.6994430151380432, 0.5799297712288635, 0.6683471856647794]]",0.649239990677229,0.0506271833612667,0.756459305953909
10,0.8,[0.003246579182075006],[0.004058223977593757],15,2,500,"[[0.8184796854521625, 0.7846590909090909, 0.6467455621301775]]",0.74996144616381,0.0742791904077445,0.741919191919192,"[[0.8184796854521625, 0.7857954545454545, 0.6467455621301775]]",0.750340234042598,0.0744578483616617,0.73989898989899,"[[0.830831346871506, 0.8296284454822401, 0.5105433233288106]]",0.696804993113215,0.134461281172776,0.744444444444444,"[[0.07940157168133948, 0.11531923082313222, 0.10945652954347132]]",0.101392444015981,0.0157330155215608,0.076709568566989,"[[0.08026246038234398, 0.11501947054061916, 0.10876399552535823]]",0.10134864214944,0.0151273050706972,0.0768640909076438,"[[0.10188296208627524, 0.12193898671480656, 0.1107086166752895]]",0.111510188492124,0.0082074323637469,0.0850278143353598,"[[0.8935404692799472, 0.8230850728971184, 0.6542166135834266]]",0.790280718586831,0.100419358102736,0.745531196436873,"[[0.8935404692799472, 0.8226686577233798, 0.6542166135834266]]",0.790141913528918,0.100374195861557,0.742940875008982,"[[0.8541164098651506, 0.8292985195386734, 0.4940619536058063]]",0.725825627669877,0.164194564225538,0.758512322956468
