random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.004340443233329559],[0.0025539427379239242],10,2,500,"[[0.7185792349726776, 0.5789106145251397, 0.5800248138957816]]",0.6258382211312,0.0655793773291486,0.707771609833466,"[[0.7185792349726776, 0.5789106145251397, 0.6160049627791563]]",0.637831604092325,0.0590713274366387,0.753370340999207,"[[0.7873322907492677, 0.5837407099199163, 0.6190271592049148]]",0.6422678792501,0.0516430834095453,0.779540047581285,"[[0.10107791152656699, 0.11815870039730704, 0.11169171302119911]]",0.110309441648358,0.0070413702607201,0.0925870058145677,"[[0.10023745698779803, 0.11897863348989668, 0.11181880530799873]]",0.110344965261898,0.0077217043685023,0.0915749510414876,"[[0.10128684129833848, 0.1213079321741279, 0.11184752239284815]]",0.111480765288438,0.0081776892842408,0.0920489554402557,"[[0.783281808182955, 0.5846601017971557, 0.6768014480418559]]",0.681581119340656,0.0811573759440882,0.743695381146661,"[[0.783281808182955, 0.5846601017971557, 0.6792415594876406]]",0.682394489822584,0.0811176153872651,0.781270485465908,"[[0.7901754773891266, 0.5888854155244323, 0.6827977927625626]]",0.687286228558707,0.0822375899180547,0.81697567014963
2,0.2,[0.002760043004335043],[0.012002723251012965],15,2,100,"[[0.6786163522012578, 0.5834340991535671, 0.8096446700507615]]",0.690565040468529,0.0927357678564567,0.625587958607714,"[[0.6786163522012578, 0.5834340991535671, 0.8096446700507615]]",0.690565040468529,0.0927357678564567,0.625587958607714,"[[0.6834415366786791, 0.5760418117949033, 0.8499828896376037]]",0.684180923696787,0.102223767677603,0.652869238005644,"[[0.11074603575578329, 0.11058324820455687, 0.10680632071928164]]",0.109378534893207,0.0018200438207392,0.0890841602186572,"[[0.10847419682668283, 0.11001476529850943, 0.10893267023269554]]",0.109140544119296,0.000645882584089,0.0884982568737689,"[[0.10939876611554201, 0.12315065932569334, 0.10374958056622081]]",0.112099668669152,0.0081474585080619,0.0908140720617152,"[[0.702338681370937, 0.5601669954930008, 0.8665456968670862]]",0.709683791243675,0.125186368116233,0.649340751826658,"[[0.702338681370937, 0.5601669954930008, 0.8665456968670862]]",0.709683791243675,0.125186368116233,0.649340751826658,"[[0.7127981818435397, 0.5176085201147274, 0.8665456968670862]]",0.698984132941784,0.142787509468375,0.680539756493567
3,0.2,[0.014053836389117244],[0.0020483839405270148],15,2,100,"[[0.8009776536312849, 0.45558739255014324, 0.6923631123919308]]",0.649642719524453,0.144204443037165,0.649826989619377,"[[0.8009776536312849, 0.5544412607449857, 0.6923631123919308]]",0.682594008922734,0.100884834642579,0.651903114186851,"[[0.8188273879645559, 0.5278688395142227, 0.7179994228648144]]",0.686369705130116,0.122970891082871,0.685121107266436,"[[0.10933300388558298, 0.12182532211567224, 0.09216820296808835]]",0.107775509656448,0.0121574536873156,0.120463748369402,"[[0.10246710326969895, 0.1287269524104889, 0.09154559530610137]]",0.107579883662096,0.0156038183689476,0.120441821261358,"[[0.10297767470104932, 0.14415642404643053, 0.09068272131416362]]",0.112605606687214,0.0228674736503237,0.119779702429346,"[[0.8541934013590997, 0.46567305369880707, 0.7526659747537804]]",0.690844143270562,0.164526531340639,0.669533868093655,"[[0.8541934013590997, 0.5575056903349347, 0.7526659747537804]]",0.721455022149272,0.123116454735751,0.661464768311099,"[[0.8512915684071539, 0.5182207438304801, 0.787599321909331]]",0.719037211382322,0.144359772318987,0.688529682838346
4,0.2,[0.033647618599646316],[0.16823809299823153],10,2,100,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.677648406088867,0.104229387570606,0.57545045045045,"[[0.5316946959896507, 0.7327707454289732, 0.7684797768479776]]",0.677648406088867,0.104229387570606,0.57545045045045,"[[0.5573782706492653, 0.6599514700170692, 0.7800421179326977]]",0.665748870927756,0.0937627782675106,0.617117117117117,"[[0.10830587405173123, 0.09369153314796715, 0.11200516794299799]]",0.104667525047565,0.0079067689337902,0.117593600817419,"[[0.10574449845610424, 0.09446435554503982, 0.1123300997507184]]",0.104179651250621,0.0073771161523577,0.11862314445849,"[[0.11912279507988727, 0.08445727033224357, 0.09732447387171435]]",0.100301513094615,0.0143078468775794,0.122204801529803,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.737578225238699,0.0835068288227867,0.538411328667445,"[[0.627292668620244, 0.7561435830391535, 0.8292984240566981]]",0.737578225238699,0.0835068288227867,0.538411328667445,"[[0.6382883169170932, 0.6606415906620733, 0.8640584792007971]]",0.720996128926655,0.101571138490061,0.581117341809878
5,0.2,[0.03061398362313048],[0.1530699181156524],15,2,100,"[[0.6851604278074866, 0.5964590964590964, 0.6988023952095809]]",0.660140639825388,0.0453727527839091,0.634203168685927,"[[0.6851604278074866, 0.5964590964590964, 0.6988023952095809]]",0.660140639825388,0.0453727527839091,0.634203168685927,"[[0.7886287010452315, 0.6759800458875592, 0.684235214653868]]",0.695670556140792,0.0220654108252185,0.663560111835974,"[[0.09391533451270981, 0.12377871284058674, 0.12390346929685273]]",0.113865838883383,0.0141072288685986,0.0885480755181066,"[[0.0962300775201222, 0.1225634541540268, 0.12573792600986927]]",0.114843819228006,0.0132255523682187,0.0913059480826107,"[[0.0914448935721042, 0.13480685308075976, 0.13395157558822882]]",0.120067774080364,0.0202424445384758,0.0854712922436103,"[[0.7627522066264771, 0.6210395137406048, 0.717615505458893]]",0.700469075275325,0.0591107541387147,0.669678570405716,"[[0.7627522066264771, 0.6210395137406048, 0.717615505458893]]",0.700469075275325,0.0591107541387147,0.669678570405716,"[[0.7954931734066852, 0.7069281444951412, 0.6702835123399921]]",0.724234943413939,0.0525611312202013,0.691868347714633
6,0.2,[0.011682908648093359],[0.048496780032640435],15,2,1000,"[[0.5958579881656805, 0.6233850129198967, 0.6216056670602125]]",0.613616222715263,0.0125779619085814,0.762026612077789,"[[0.5958579881656805, 0.6233850129198967, 0.6216056670602125]]",0.613616222715263,0.0125779619085814,0.762026612077789,"[[0.5883436532598781, 0.6107190218279973, 0.722195748846581]]",0.636741790400922,0.0548372418179196,0.82446264073695,"[[0.11373330539918595, 0.11370695988698559, 0.12383716896151813]]",0.117092478082563,0.0047692287853835,0.0882018859218381,"[[0.11221465587761686, 0.11540986638396217, 0.12373177062083004]]",0.117118764294136,0.004854635726302,0.0911247271353257,"[[0.11173947621017233, 0.11804253441682423, 0.12343486588023488]]",0.117738958835744,0.0047794458175066,0.0853148903853459,"[[0.6233669988415156, 0.6297475709027668, 0.6758846272415349]]",0.642999732328606,0.0233985777350248,0.806881748931309,"[[0.6233669988415156, 0.6297475709027668, 0.6758846272415349]]",0.642999732328606,0.0233985777350248,0.806881748931309,"[[0.6319132444248008, 0.6303897221909291, 0.7107428078064205]]",0.657681924807383,0.0375248651650022,0.843678022618265
7,0.2,[0.00813507609641482],[0.04067538048207409],10,2,100,"[[0.5475888324873096, 0.6830024813895782, 0.5813295615275813]]",0.603973625134823,0.05755449180121,0.748135874067937,"[[0.5475888324873096, 0.6830024813895782, 0.5813295615275813]]",0.603973625134823,0.05755449180121,0.748135874067937,"[[0.5508587964892749, 0.726377484376131, 0.5774793147740421]]",0.620187679624627,0.0713203420061055,0.772990886495443,"[[0.10798553550028016, 0.10651254781055176, 0.1151784740734933]]",0.109892185794775,0.0037860318723617,0.103307453162749,"[[0.10692722161151169, 0.10669348142551212, 0.11509631262509376]]",0.109572338554039,0.003907204949142,0.106589385786673,"[[0.1101585300042743, 0.1013729895465155, 0.12033794159615853]]",0.110623153715649,0.00774937666122,0.100123878346954,"[[0.5429202505131037, 0.7045327530835371, nan]]",,,0.783924022480895,"[[0.5429202505131037, 0.7045327530835371, nan]]",,,0.783924022480895,"[[0.550601786578819, 0.739217492123344, nan]]",,,0.820825571549237
8,0.2,[0.003486413234275494],[0.015883449457499865],15,2,100,"[[0.6744652406417112, 0.6144986449864499, 0.66600790513834]]",0.651657263588834,0.0265009915950606,0.718725413060582,"[[0.6744652406417112, 0.6144986449864499, 0.66600790513834]]",0.651657263588834,0.0265009915950606,0.718725413060582,"[[0.7167616259449073, 0.7449432222535902, 0.6664587222184498]]",0.663762229829537,0.0276824097829666,0.729740361919748,"[[0.09933829623895467, 0.11246122458607645, 0.09719546834721164]]",0.102998329724081,0.0067482201218935,0.0994120769647564,"[[0.10119422000306987, 0.11237375184388303, 0.09732464679403278]]",0.103630872880329,0.0063807966395817,0.100921888462692,"[[0.0983967481395824, 0.11234531420654695, 0.10451070204166157]]",0.10508425479593,0.0057089021654818,0.0980716642117684,"[[0.6677002697931952, 0.6205950475613892, 0.6439021812761143]]",0.6440658328769,0.0192309746114922,0.783332494764504,"[[0.6677002697931952, 0.6205950475613892, 0.6439021812761143]]",0.6440658328769,0.0192309746114922,0.783332494764504,"[[0.7121237938663391, 0.6575529296746294, 0.6410205588997792]]",0.670232427480249,0.0303808575052284,0.79127890654848
9,0.2,[0.03145610691250795],[0.1572805345625397],10,2,100,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.641239701196299,0.0462651021636674,0.653114186851211,"[[0.6754926108374384, 0.5758354755784062, 0.6723910171730515]]",0.641239701196299,0.0462651021636674,0.653114186851211,"[[0.6629596179164308, 0.45636653583867876, 0.7208726940694136]]",0.622823992516937,0.0885174249644313,0.68598615916955,"[[0.1189109793913555, 0.10790885502763631, 0.10926663029650714]]",0.112028821571833,0.0048978880217089,0.108280898011411,"[[0.11935895885499778, 0.10887846125973372, 0.11061374808979041]]",0.112950389401507,0.0045865838359139,0.109970236241014,"[[0.12426911714956909, 0.11150032189135518, 0.09776141573656609]]",0.111176951592497,0.010824139220984,0.108607449822635,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.694394315579594,"[[0.6870971516511863, 0.6037962121376622, 0.6413198673813024]]",0.644071077056717,0.0340630640329328,0.694394315579594,"[[0.6433850574656578, 0.5154456583198506, 0.6565801540552149]]",0.605136956613574,0.0636496891100668,0.723386198034007
10,0.2,[0.0030990171476801367],[0.009289059857512853],5,2,500,"[[0.6336828309305373, 0.7380681818181818, 0.6183431952662722]]",0.663364736004997,0.0531932308842059,0.687878787878788,"[[0.6336828309305373, 0.7380681818181818, 0.6183431952662722]]",0.663364736004997,0.0531932308842059,0.687878787878788,"[[0.7372647904089188, 0.7552312451761628, 0.6285880015260987]]",0.665260584804516,0.0541601068237056,0.712121212121212,"[[0.09945754345379423, 0.12003191705953056, 0.11252551695693533]]",0.110671659156753,0.008501129488665,0.0885057074979569,"[[0.10035090247615934, 0.12074942078353453, 0.11148083967645767]]",0.110860387645384,0.0083392089083728,0.0887142176974347,"[[0.10869092888440647, 0.12798807623456668, 0.11254391831088072]]",0.116407641143285,0.008338314760097,0.0881990619877077,"[[0.7090185720570313, 0.7402625077875923, 0.6175667750831655]]",0.68894928497593,0.0520617768868664,0.71470474787961,"[[0.7090185720570313, 0.7402625077875923, 0.6175667750831655]]",0.68894928497593,0.0520617768868664,0.71470474787961,"[[0.7172891825657239, 0.7421593698873684, 0.6316536877406767]]",0.69703408006459,0.0473327112377547,0.752540117069927
