time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,-0.25,0.1186440677966101,-0.1313559322033898,25,1,random_forest
46.95,0,0.0756302521008403,0.0756302521008403,50,1,random_forest
59.4,0,-0.0166666666666666,-0.0166666666666666,75,1,random_forest
34.45,0,-0.096045197740113,-0.096045197740113,25,1,LASSO
46.95,-0.5,0.4285714285714285,-0.0714285714285714,50,1,LASSO
59.4,0,0.4,0.4,75,1,LASSO
34.45,0,-0.0903954802259887,-0.0903954802259887,25,1,ELASTIC_NET
46.95,-0.5,0.4033613445378151,-0.0966386554621848,50,1,ELASTIC_NET
59.4,0,0.3333333333333333,0.3333333333333333,75,1,ELASTIC_NET
34.45,-0.1666666666666666,0.2514285714285714,0.0847619047619047,25,2,random_forest
45.3,0,-0.0737704918032786,-0.0737704918032786,50,2,random_forest
59.25,0,-0.1166666666666666,-0.1166666666666666,75,2,random_forest
34.45,-0.1666666666666666,0.5485714285714286,0.3819047619047619,25,2,LASSO
45.3,0,0.6967213114754098,0.6967213114754098,50,2,LASSO
59.25,0,0.7166666666666667,0.7166666666666667,75,2,LASSO
34.45,-0.1666666666666666,0.5428571428571428,0.3761904761904762,25,2,ELASTIC_NET
45.3,0,0.3360655737704918,0.3360655737704918,50,2,ELASTIC_NET
59.25,0,0.2166666666666666,0.2166666666666666,75,2,ELASTIC_NET
34.4,0,0.2905027932960894,0.2905027932960894,25,3,random_forest
45.8,0,0.2583333333333333,0.2583333333333333,50,3,random_forest
59.25,0,0.1166666666666666,0.1166666666666666,75,3,random_forest
34.4,0.25,0.0111731843575419,0.2611731843575419,25,3,LASSO
45.8,0,0.0583333333333333,0.0583333333333333,50,3,LASSO
59.25,0,0.35,0.35,75,3,LASSO
34.4,0.25,0.0558659217877094,0.3058659217877095,25,3,ELASTIC_NET
45.8,0,0.575,0.575,50,3,ELASTIC_NET
59.25,0,0.45,0.45,75,3,ELASTIC_NET
34.4,-0.4,0.4124293785310734,0.0124293785310733,25,4,random_forest
44.4,NA,0.3008130081300813,NA,50,4,random_forest
58.175,NA,0.180327868852459,NA,75,4,random_forest
34.4,-0.4,0.5875706214689266,0.1875706214689265,25,4,LASSO
44.4,NA,0.5365853658536586,NA,50,4,LASSO
58.175,NA,0.5081967213114754,NA,75,4,LASSO
34.4,-0.4,0.4406779661016949,0.0406779661016948,25,4,ELASTIC_NET
44.4,NA,0.4959349593495935,NA,50,4,ELASTIC_NET
58.175,NA,0.4426229508196721,NA,75,4,ELASTIC_NET
35.05,-0.2,0.3011363636363636,0.1011363636363636,25,5,random_forest
45.8,0,0.2231404958677686,0.2231404958677686,50,5,random_forest
58.5,0,0.1,0.1,75,5,random_forest
35.05,0.2,-0.0284090909090909,0.1715909090909091,25,5,LASSO
45.8,-0.5,0.4628099173553719,-0.037190082644628,50,5,LASSO
58.5,0,0.2833333333333333,0.2833333333333333,75,5,LASSO
35.05,0.2,-0.0056818181818181,0.1943181818181818,25,5,ELASTIC_NET
45.8,-0.5,0.5206611570247934,0.0206611570247934,50,5,ELASTIC_NET
58.5,0,0.4333333333333333,0.4333333333333333,75,5,ELASTIC_NET
34.625,-0.2,0.25,0.0499999999999999,25,6,random_forest
45.2,NA,0.0743801652892562,NA,50,6,random_forest
58.975,NA,0.1147540983606557,NA,75,6,random_forest
34.625,-0.2,0.4261363636363636,0.2261363636363636,25,6,LASSO
45.2,NA,0.2975206611570248,NA,50,6,LASSO
58.975,NA,0.1967213114754098,NA,75,6,LASSO
34.625,-0.2,0.2556818181818182,0.0556818181818181,25,6,ELASTIC_NET
45.2,NA,0.1818181818181818,NA,50,6,ELASTIC_NET
58.975,NA,0.0491803278688524,NA,75,6,ELASTIC_NET
34.675,-0.25,0.1864406779661017,-0.0635593220338983,25,7,random_forest
45.2,0,0.1416666666666666,0.1416666666666666,50,7,random_forest
59.075,NA,0.0327868852459016,NA,75,7,random_forest
34.675,-0.25,0.2203389830508474,-0.0296610169491525,25,7,LASSO
45.2,0,0.1416666666666666,0.1416666666666666,50,7,LASSO
59.075,NA,-0.1147540983606557,NA,75,7,LASSO
34.675,-0.25,0.4406779661016949,0.1906779661016949,25,7,ELASTIC_NET
45.2,0,0.4833333333333333,0.4833333333333333,50,7,ELASTIC_NET
59.075,NA,0.3114754098360656,NA,75,7,ELASTIC_NET
34.6,0,0.2793296089385474,0.2793296089385474,25,8,random_forest
45.3,0,0.1626016260162601,0.1626016260162601,50,8,random_forest
59.1,0,-0.0327868852459016,-0.0327868852459016,75,8,random_forest
34.6,0,0.4692737430167598,0.4692737430167598,25,8,LASSO
45.3,0,0.5040650406504065,0.5040650406504065,50,8,LASSO
59.1,0,0.4262295081967213,0.4262295081967213,75,8,LASSO
34.6,0,0.4189944134078212,0.4189944134078212,25,8,ELASTIC_NET
45.3,0,0.4227642276422764,0.4227642276422764,50,8,ELASTIC_NET
59.1,0,0.3114754098360656,0.3114754098360656,75,8,ELASTIC_NET
34.625,-0.1666666666666666,0.2685714285714285,0.1019047619047619,25,9,random_forest
45.3,0,0.4016393442622951,0.4016393442622951,50,9,random_forest
57.4,NA,0.3225806451612903,NA,75,9,random_forest
34.625,0.1666666666666666,-0.1142857142857142,0.0523809523809523,25,9,LASSO
45.3,-1,0.4344262295081967,-0.5655737704918034,50,9,LASSO
57.4,NA,-0.2741935483870967,NA,75,9,LASSO
34.625,0.1666666666666666,-0.1828571428571428,-0.0161904761904762,25,9,ELASTIC_NET
45.3,-1,0.4344262295081967,-0.5655737704918034,50,9,ELASTIC_NET
57.4,NA,0.064516129032258,NA,75,9,ELASTIC_NET
34.6,-0.1666666666666666,0.25,0.0833333333333333,25,10,random_forest
43.25,0,0.2016806722689075,0.2016806722689075,50,10,random_forest
55.675,0,0.05,0.05,75,10,random_forest
34.6,0.1666666666666666,0.4943181818181818,0.6609848484848485,25,10,LASSO
43.25,0,0.5882352941176471,0.5882352941176471,50,10,LASSO
55.675,0,0.4666666666666667,0.4666666666666667,75,10,LASSO
34.6,0.1666666666666666,0.4772727272727273,0.6439393939393939,25,10,ELASTIC_NET
43.25,0,0.5462184873949579,0.5462184873949579,50,10,ELASTIC_NET
55.675,0,0.45,0.45,75,10,ELASTIC_NET
34.6,0.1666666666666666,0.1761363636363636,0.3428030303030303,25,11,random_forest
45.6,0,0.1833333333333333,0.1833333333333333,50,11,random_forest
58.975,0,0.05,0.05,75,11,random_forest
34.6,0,0.3806818181818182,0.3806818181818182,25,11,LASSO
45.6,0,0.2666666666666666,0.2666666666666666,50,11,LASSO
58.975,0,0.1666666666666666,0.1666666666666666,75,11,LASSO
34.6,-0.1666666666666666,0.25,0.0833333333333333,25,11,ELASTIC_NET
45.6,0,-0.0583333333333333,-0.0583333333333333,50,11,ELASTIC_NET
58.975,0,-0.1,-0.1,75,11,ELASTIC_NET
32.025,0,-0.1744186046511628,-0.1744186046511628,25,12,random_forest
45.35,0,0.3781512605042016,0.3781512605042016,50,12,random_forest
58.075,0,0.2666666666666666,0.2666666666666666,75,12,random_forest
32.025,0,-0.063953488372093,-0.063953488372093,25,12,LASSO
45.35,0.5,0.5462184873949579,1.0462184873949578,50,12,LASSO
58.075,1,0.45,1.45,75,12,LASSO
32.025,0,-0.1162790697674418,-0.1162790697674418,25,12,ELASTIC_NET
45.35,0,0.4789915966386555,0.4789915966386555,50,12,ELASTIC_NET
58.075,0,-0.0333333333333333,-0.0333333333333333,75,12,ELASTIC_NET
34.675,-0.1428571428571428,0.2413793103448276,0.0985221674876847,25,13,random_forest
45.6,0,0.0756302521008403,0.0756302521008403,50,13,random_forest
59.075,0,0.1,0.1,75,13,random_forest
34.675,0,0.4827586206896552,0.4827586206896552,25,13,LASSO
45.6,-0.5,0.4453781512605042,-0.0546218487394957,50,13,LASSO
59.075,1,0.3666666666666666,1.3666666666666667,75,13,LASSO
34.675,-0.1428571428571428,0.4712643678160919,0.3284072249589491,25,13,ELASTIC_NET
45.6,-0.5,0.5042016806722689,0.0042016806722688,50,13,ELASTIC_NET
59.075,1,0.3666666666666666,1.3666666666666667,75,13,ELASTIC_NET
34.4,-0.1428571428571428,0.2443181818181818,0.1014610389610389,25,14,random_forest
44.55,0,-0.0504201680672268,-0.0504201680672268,50,14,random_forest
56.975,0,-0.0833333333333333,-0.0833333333333333,75,14,random_forest
34.4,-0.1428571428571428,0.4261363636363636,0.2832792207792208,25,14,LASSO
44.55,0,0.4033613445378151,0.4033613445378151,50,14,LASSO
56.975,0,0.25,0.25,75,14,LASSO
34.4,-0.2857142857142857,0.3522727272727273,0.0665584415584416,25,14,ELASTIC_NET
44.55,0,0.1932773109243697,0.1932773109243697,50,14,ELASTIC_NET
56.975,0,0.0833333333333333,0.0833333333333333,75,14,ELASTIC_NET
34.45,0.2,-0.3465909090909091,-0.1465909090909091,25,15,random_forest
45.05,0,0.2941176470588235,0.2941176470588235,50,15,random_forest
57.775,0,0.1333333333333333,0.1333333333333333,75,15,random_forest
34.45,0,-0.2897727272727273,-0.2897727272727273,25,15,LASSO
45.05,-0.5,0.2857142857142857,-0.2142857142857143,50,15,LASSO
57.775,0,0.1166666666666666,0.1166666666666666,75,15,LASSO
34.45,0,-0.3295454545454545,-0.3295454545454545,25,15,ELASTIC_NET
45.05,-0.5,0.2857142857142857,-0.2142857142857143,50,15,ELASTIC_NET
57.775,0,-0.1833333333333333,-0.1833333333333333,75,15,ELASTIC_NET
34.4,-0.125,0.2057142857142857,0.0807142857142857,25,16,random_forest
45.2,0,0.1833333333333333,0.1833333333333333,50,16,random_forest
57.975,NA,0.0491803278688524,NA,75,16,random_forest
34.4,-0.125,0.5257142857142857,0.4007142857142857,25,16,LASSO
45.2,0,0.6,0.6,50,16,LASSO
57.975,NA,0.6065573770491803,NA,75,16,LASSO
34.4,0.375,-0.0057142857142857,0.3692857142857143,25,16,ELASTIC_NET
45.2,-1,0.5416666666666666,-0.4583333333333333,50,16,ELASTIC_NET
57.975,NA,0.5737704918032787,NA,75,16,ELASTIC_NET
34.75,-0.1666666666666666,0.2114285714285714,0.0447619047619047,25,17,random_forest
45.85,0,0.134453781512605,0.134453781512605,50,17,random_forest
59.25,0,0.0166666666666666,0.0166666666666666,75,17,random_forest
34.75,-0.1666666666666666,0.3714285714285714,0.2047619047619047,25,17,LASSO
45.85,0,0.1680672268907563,0.1680672268907563,50,17,LASSO
59.25,0,0.05,0.05,75,17,LASSO
34.75,-0.1666666666666666,0.3657142857142857,0.199047619047619,25,17,ELASTIC_NET
45.85,0,0.1680672268907563,0.1680672268907563,50,17,ELASTIC_NET
59.25,0,-0.0666666666666666,-0.0666666666666666,75,17,ELASTIC_NET
34.4,0,0.1704545454545454,0.1704545454545454,25,18,random_forest
44.45,0,0.1932773109243697,0.1932773109243697,50,18,random_forest
