random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.0023434872292439606],[0.0030407030494970858],10,2,100,"[[0.7752732240437158, 0.5328212290502793, 0.6321339950372209]]",0.646742816043739,0.0995181916618755,0.586439333862014,"[[0.7752732240437158, 0.5328212290502793, 0.6321339950372209]]",0.646742816043739,0.0995181916618755,0.574544012688343,"[[0.6895038932889881, 0.588896751346383, 0.6342581223221452]]",0.642320097235545,0.104645485549416,0.574544012688343,"[[0.09691014605446314, 0.10269928105772494, 0.10782884557878264]]",0.102479424230323,0.004460250560526,0.099491748596405,"[[0.09677250236435174, 0.1030426560159072, 0.10706521687656116]]",0.10229345841894,0.0042352462177097,0.0994287975267677,"[[0.09750765245451441, 0.10613687437121982, 0.10818106428348111]]",0.103941863703072,0.0046255798838375,0.101916847074259,"[[0.7168029963748458, 0.5402389394673982, 0.639326595739646]]",0.63212284386063,0.0722617329746753,0.538064126695204,"[[0.7168029963748458, 0.5402389394673982, 0.639326595739646]]",0.63212284386063,0.0722617329746753,0.501873683231816,"[[0.7168029963748458, 0.5258851353662662, 0.639326595739646]]",0.627338242493586,0.078401521554908,0.501873683231816
2,0.2,[0.002201241900896851],[0.0020623627129154184],10,2,1000,"[[0.6691823899371069, 0.6287787182587666, 0.6491116751269036]]",0.649024261107592,0.0164948457036505,0.627469426152399,"[[0.6691823899371069, 0.6287787182587666, 0.6491116751269036]]",0.649024261107592,0.0164948457036505,0.627469426152399,"[[0.6738675602830946, 0.6171198794645664, 0.520508534620795]]",0.64305943154759,0.0292500895551528,0.627469426152399,"[[0.09715923879229481, 0.11264681305260933, 0.1101123979424188]]",0.106639483262441,0.0067829242168843,0.0844757352287681,"[[0.09685870337597617, 0.11261620428930491, 0.10972079151706753]]",0.106398566394116,0.0068484837048826,0.0843877621822287,"[[0.10419419152503566, 0.11405334764627098, 0.11498246394152468]]",0.111076667704277,0.0048814050600823,0.0854800117283943,"[[0.6433962048336126, 0.6482757624102782, 0.6891911233685372]]",0.660287696870809,0.0205346628576847,0.558452735425718,"[[0.6433962048336125, 0.6482757624102782, 0.6891911233685372]]",0.660287696870809,0.0205346628576847,0.558452735425718,"[[0.6532917867488597, 0.5939424412358855, 0.6891911233685372]]",0.645475117117761,0.0392759731905146,0.558452735425718
3,0.2,[0.0020361600844304617],[0.001820988388051048],10,2,100,"[[0.6997206703910615, 0.8058739255014327, 0.47982708933717577]]",0.66180722840989,0.13578096738332,0.576470588235294,"[[0.6997206703910615, 0.8058739255014327, 0.47982708933717577]]",0.66180722840989,0.13578096738332,0.576470588235294,"[[0.734540862987004, 0.8140500059464323, 0.4816306891467282]]",0.65156514274881,0.133677396368918,0.582006920415225,"[[0.1012270259014941, 0.08514591283050289, 0.10216546972747159]]",0.0961794694864895,0.0078113037138187,0.125891459942763,"[[0.10124988755860426, 0.08411800102272578, 0.10233249850882127]]",0.0959001290300504,0.0083429378080354,0.125434507859481,"[[0.10509091502311582, 0.09328925520202454, 0.11063692906450502]]",0.103005699763215,0.0072340186673724,0.125414294575949,"[[0.669603890387544, 0.7520500892279673, 0.46235581668935466]]",0.628003265434955,0.121870564897773,0.569626364164133,"[[0.669603890387544, 0.7520500892279673, 0.46235581668935466]]",0.628003265434955,0.121870564897773,0.569626364164133,"[[0.6909029725398196, 0.7520500892279673, 0.46235581668935466]]",0.635102959485714,0.124675375751182,0.556998003095944
4,0.3,[0.00513730362688528],[0.01634601749482196],10,2,100,"[[0.5989650711513583, 0.48523206751054854, 0.5244072524407253]]",0.536201463700877,0.0471743333726221,0.645645645645646,"[[0.5989650711513583, 0.48523206751054854, 0.5244072524407253]]",0.536201463700877,0.0471743333726221,0.645645645645646,"[[0.8295584552701957, 0.4950056786512368, 0.5278142832985986]]",0.614515568002831,0.14865479288354,0.645645645645646,"[[0.10406892758841607, 0.10302901462289535, 0.1196990576048019]]",0.108932333272038,0.0076250516670278,0.111880977603238,"[[0.10470783999483466, 0.0996057121478313, 0.11312390760125038]]",0.105812486581305,0.00557378298465,0.113954891718739,"[[0.10641275157904743, 0.09762223167169413, 0.11097242885669113]]",0.105002470702477,0.0055406744675288,0.111026375445946,"[[0.6013756855033403, 0.465403609965226, 0.5228099973000113]]",0.529863097589526,0.05573395732888,0.669164103557399,"[[0.6013756855033403, 0.465403609965226, 0.5228099973000113]]",0.529863097589526,0.05573395732888,0.669164103557399,"[[0.793600905354554, 0.4801716433746203, 0.5228099973000113]]",0.598860848676395,0.138797873573111,0.669164103557399
5,0.7,[0.00245925350971447],[0.0020103932500190854],10,2,100,"[[0.6651069518716578, 0.6349206349206349, 0.7760479041916167]]",0.692025163661303,0.0606776682008309,0.440354147250699,"[[0.6651069518716578, 0.6349206349206349, 0.7808383233532934]]",0.693621970048529,0.0628905008492435,0.440354147250699,"[[0.719631634908093, 0.6916141019460669, 0.8177870967508539]]",0.697502444393956,0.0778147871999764,0.440354147250699,"[[0.0914157743686436, 0.12585941253315389, 0.09923604926183899]]",0.105503745387879,0.014743451960067,0.100169149894825,"[[0.09136602160473388, 0.12493308764396563, 0.09869524397709233]]",0.104998117741931,0.0144102196118391,0.100024437373076,"[[0.09073004805586235, 0.12810242075264117, 0.11023753876368096]]",0.109690002524061,0.0152621188392919,0.102200583947268,"[[0.7341340292477411, 0.6235354411642307, 0.805377253608884]]",0.721015574673619,0.0748139094736582,0.441217114127255,"[[0.7341340292477411, 0.6235354411642307, 0.806022778131471]]",0.721230749514481,0.0750567696669432,0.441217114127255,"[[0.7480785417568797, 0.6235354411642307, 0.7817479639219306]]",0.717787315614347,0.06804885193865,0.441217114127255
6,0.2,[0.0008970461023293722],[0.005659718993259318],10,2,500,"[[0.6437869822485207, 0.6330749354005168, 0.5731995277449823]]",0.616687148464673,0.0310598009632303,0.643295803480041,"[[0.6437869822485207, 0.6330749354005168, 0.5731995277449823]]",0.616687148464673,0.0310598009632303,0.643295803480041,"[[0.677386463016125, 0.6341547050006644, 0.5602709928707633]]",0.616276977571497,0.0512369097003296,0.643295803480041,"[[0.1042936643217258, 0.10661602227646375, 0.11640029410478232]]",0.109103326900991,0.0052461182092027,0.0885752925802746,"[[0.10487393516479371, 0.10858458733618676, 0.11679400418486148]]",0.110084175561947,0.0049805344422678,0.0902065329307068,"[[0.10800558947978468, 0.1124691652082836, 0.11856676756461161]]",0.113013840750893,0.0043287507220055,0.0911232473332696,"[[0.5840768398593496, 0.6155372933641473, 0.6110952718875472]]",0.603569801703681,0.013902387320123,0.61253343238822,"[[0.5840768398593496, 0.6155372933641473, 0.568717476471966]]",0.589443869898488,0.0194872192652022,0.61253343238822,"[[0.6171786382013336, 0.6141126957578096, 0.5382521399406368]]",0.58984782463326,0.0365051230189425,0.61253343238822
7,0.2,[0.000793714927650794],[0.0012404636647461206],5,2,100,"[[0.6326142131979695, 0.5874689826302729, 0.6669024045261669]]",0.628995200118136,0.0325293720635855,0.702982601491301,"[[0.6326142131979695, 0.5874689826302729, 0.6669024045261669]]",0.628995200118136,0.0325293720635855,0.702982601491301,"[[0.6299142021729871, 0.5946562134790495, 0.7136290890893368]]",0.628581635188442,0.0330582772265128,0.702982601491301,"[[0.10108315547552622, 0.10418181880595295, 0.10468693625240413]]",0.103317303511294,0.0015931831853185,0.104202510163306,"[[0.10120642661337993, 0.10382724006160365, 0.10500216980600348]]",0.103345278826996,0.0015866382847256,0.10383220370864,"[[0.10157624264258186, 0.10443140872276034, 0.10739140913431239]]",0.104466353499885,0.002374160368737,0.101994705356645,"[[0.6197938751745538, 0.5330725124920803, nan]]",,,0.680010400613411,"[[0.6197938751745538, 0.5330725124920803, nan]]",,,0.680010400613411,"[[0.6197938751745538, 0.530472533049326, nan]]",,,0.680010400613411
8,0.7,[0.00020592887066454556],[0.0003712182326715271],5,2,100,"[[0.7118983957219251, 0.6131436314363143, 0.5955204216073782]]",0.640187482921873,0.0512151386612151,0.650668764752164,"[[0.7118983957219251, 0.5914634146341463, 0.5955204216073782]]",0.632960743987817,0.0558419165882092,0.650668764752164,"[[0.7426764919194779, 0.676997031971792, 0.5732360982837414]]",0.630807403458829,0.0801340265603539,0.636506687647522,"[[0.09973548700188989, 0.10967237686762209, 0.10095321838987292]]",0.103453694086462,0.0044252856090762,0.0962493741637014,"[[0.09988552747585377, 0.10971471485187281, 0.10084416240024925]]",0.103481468242659,0.0044249118784466,0.0962877210870948,"[[0.10119139437359609, 0.11239847419626, 0.10059799082242893]]",0.104729286464095,0.0054283430435095,0.0974313611407576,"[[0.7232754153708368, 0.6267261548748873, 0.6120427164733795]]",0.654014762239701,0.049340175617417,0.673625399462251,"[[0.7232754153708368, 0.6455547823706731, 0.6120427164733795]]",0.660290971404963,0.0465907342465133,0.673625399462251,"[[0.7572846949361357, 0.6144298997859842, 0.5859885922282093]]",0.652567728983443,0.0749509137709564,0.665512524490626
9,0.6,[0.0019116336493444487],[0.0015857076198595864],15,2,500,"[[0.6607142857142857, 0.6182519280205655, 0.6479524438573315]]",0.642306219197394,0.0177890011881915,0.607698961937716,"[[0.6607142857142857, 0.6182519280205655, 0.6479524438573315]]",0.642306219197394,0.0177890011881915,0.607698961937716,"[[0.6742744231976479, 0.6493538681033354, 0.492071893467902]]",0.589967795408766,0.0729812932749858,0.583044982698962,"[[0.10850150432191812, 0.10392696521449875, 0.11977797666575855]]",0.110735482067392,0.0066611627329591,0.109079133275624,"[[0.10827817404585463, 0.10387601699758708, 0.1181903650748619]]",0.110114852039435,0.0059863834245405,0.108721892579437,"[[0.11662635107713197, 0.10632043130001632, 0.11250110094981106]]",0.111815961108986,0.0042351747751578,0.109650832580676,"[[0.602848876871512, 0.6467103477230319, 0.6535882138233419]]",0.634382479472629,0.0224737228821766,0.598692556406292,"[[0.602848876871512, 0.6467103477230319, 0.6535882138233419]]",0.634382479472629,0.0224737228821766,0.598692556406292,"[[0.6256683231143828, 0.6276701300895084, 0.5023756879862807]]",0.585238047063391,0.058598235022677,0.573456775725101
10,0.9,[0.004252371199895447],[0.00472485688877272],5,2,1000,"[[0.7352555701179554, 0.6579545454545455, 0.5260355029585799]]",0.63974853951036,0.0863784429699647,0.636868686868687,"[[0.7352555701179554, 0.6579545454545455, 0.5260355029585799]]",0.63974853951036,0.0863784429699647,0.636868686868687,"[[0.6033149982786724, 0.5727979945944193, 0.5475828106198442]]",0.623332903863955,0.0812273526598578,0.657070707070707,"[[0.10121215662754558, 0.12185924954714489, 0.11161797025490672]]",0.111563125476532,0.0084292295998281,0.0851799356301183,"[[0.10141350242703771, 0.12193591580149361, 0.11172565213986105]]",0.111691690122797,0.0083782745933341,0.0853709492937193,"[[0.09989689126967932, 0.12239264961497046, 0.11199181735571744]]",0.111427119413456,0.0091925313418713,0.08573311778565,"[[0.702014100247888, 0.6368107045883443, 0.5204254565384268]]",0.619750087124886,0.0751083989188792,0.62720757330905,"[[0.702014100247888, 0.6368107045883443, 0.5204254565384268]]",0.619750087124886,0.0751083989188792,0.62720757330905,"[[0.702014100247888, 0.5945595918715276, 0.5426365794411204]]",0.613070090520179,0.0663690563179066,0.647157239257015
11,0.2,[0.003090954733669349],[0.0033296300517677607],10,2,100,"[[0.49007936507936506, 0.6119016817593791, 0.7119422572178478]]",0.604641101352197,0.0907205333167005,0.692775974025974,"[[0.49007936507936506, 0.6119016817593791, 0.7119422572178478]]",0.604641101352197,0.0907205333167005,0.692775974025974,"[[0.5127386647694193, 0.4999676955861222, 0.676034986698361]]",0.594631217220458,0.0657808119163636,0.692775974025974,"[[0.11046462279508505, 0.11711669953861707, 0.1007866271990154]]",0.109455983177573,0.0067047660194157,0.0958022176133022,"[[0.11032629389149111, 0.11608055052585466, 0.09873213380584206]]",0.108379659407729,0.0072149811749734,0.0953384192029093,"[[0.10774258556431215, 0.1161879960876248, 0.10436731319759414]]",0.10943263161651,0.0049715408570904,0.0971452049811288,"[[0.4568819044438284, 0.6304023269797233, 0.6560799067218058]]",0.581121379381786,0.088473799794053,0.694761882975106,"[[0.4568819044438284, 0.6304023269797233, 0.6560799067218058]]",0.581121379381786,0.088473799794053,0.694761882975106,"[[0.48647328841139303, 0.6299540920069332, 0.5955423202226104]]",0.570656566880312,0.0611618660586576,0.694761882975106
12,0.2,[0.0021080231984193397],[0.01269560702721868],15,2,100,"[[0.5890663390663391, 0.6074074074074074, 0.6622474747474747]]",0.619573740407074,0.0310900241115942,0.648582600195503,"[[0.6001228501228502, 0.6074074074074074, 0.6521464646464646]]",0.619892240725574,0.023000252379227,0.648582600195503,"[[0.6834303760961771, 0.6420645179726675, 0.6587968772936711]]",0.614461557517113,0.0196724045370853,0.616324535679374,"[[0.12951261964427258, 0.10479075604949395, 0.09919089035315307]]",0.111164755348973,0.0131737799461229,0.0818421935708948,"[[0.128920067944602, 0.105853052751504, 0.10352947959260135]]",0.112767533429569,0.0114608907885524,0.0840948411366097,"[[0.13108857689651357, 0.10700656005801228, 0.10888154583946415]]",0.115658894264663,0.0109372520165374,0.0859766772201613,"[[0.6377166536276941, 0.6276147471859657, 0.6465758796193548]]",0.637302426811005,0.0077463894247956,0.615690342876912,"[[0.650457899775777, 0.6276147471859657, 0.6389123468773327]]",0.638994997946358,0.0093258611205528,0.615690342876912,"[[0.6464425245789683, 0.6146564903067891, 0.6305768806702904]]",0.630558631852016,0.0129766005680112,0.579496582763388
13,0.9,[0.0006424102506264527],[0.0005399553287156552],5,2,100,"[[0.5637087599544938, 0.6587112171837709, 0.6919805589307412]]",0.638133512023002,0.0543506827029391,0.619506966773848,"[[0.5637087599544938, 0.6587112171837709, 0.6919805589307412]]",0.638133512023002,0.0543506827029391,0.619506966773848,"[[0.5476131946847117, 0.7703159604190464, 0.7076984149783129]]",0.630555527320642,0.0650479155809845,0.630225080385852,"[[0.1144933096571352, 0.13979260027926516, 0.10294620524862405]]",0.119077371728341,0.0153877532579866,0.070793679356355,"[[0.11450974038393116, 0.13956299733735558, 0.10292168241928883]]",0.118998140046859,0.0152917360771945,0.0707612482403197,"[[0.11565761553818288, 0.13938053286669072, 0.10487764690532708]]",0.119971931770067,0.0144123159907823,0.071136429095251,"[[0.570364629999252, 0.7324568554520099, 0.6406835381196583]]",0.647835007856973,0.0663668091122348,0.590859739234794,"[[0.570364629999252, 0.7324568554520099, 0.6406835381196583]]",0.647835007856973,0.0663668091122348,0.590859739234794,"[[0.5459589393461243, 0.7190002596488955, 0.6506825934090383]]",0.638547264134686,0.0711630723314617,0.604887293122372
