random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.5,[0.004737903462033379],[0.004101850611991897],5,2,100,"[[0.8872950819672131, 0.6284916201117319, 0.640818858560794]]",0.718868520213246,0.11920184626686,0.804916732751784,"[[0.8879781420765027, 0.6277932960893855, 0.6433002481389578]]",0.719690562101615,0.119165567092792,0.815622521808089,"[[0.8651609591352136, 0.6558490605900922, 0.7547064994101476]]",0.740954089381586,0.094457497169869,0.738699444885012,"[[0.08529256659262434, 0.11368897312673809, 0.10323626061788568]]",0.100739266779083,0.0117264717537126,0.0808827587494306,"[[0.08296997521752511, 0.1131832877913237, 0.1028778183813813]]",0.0996770271300767,0.0125404641765854,0.0799554962290562,"[[0.08812365783348987, 0.11280965198428088, 0.10256591446974428]]",0.101166408095838,0.0101264847593221,0.0845922450382701,"[[0.8700421222492564, 0.5808493399076053, 0.6984677248119259]]",0.716453062322929,0.118745443740423,0.786852677812673,"[[0.8724689155147174, 0.5896583871573448, 0.700941945617989]]",0.72102308276335,0.116326803415298,0.800175425435685,"[[0.9003082189476354, 0.6062455403453272, 0.7892418697887762]]",0.765265209693913,0.121241837962175,0.706997265952666
2,0.2,[0.001579398082642267],[0.002838031204993307],5,2,100,"[[0.7358490566037735, 0.6305925030229746, 0.8508883248730964]]",0.739109961499948,0.0899649465318263,0.754938852304798,"[[0.759748427672956, 0.624546553808948, 0.8458121827411168]]",0.743369054741007,0.0910707875955839,0.754938852304798,"[[0.7907883103873623, 0.6635294343747329, 0.7186705811837202]]",0.73669112693176,0.0672673606373699,0.736124176857949,"[[0.08355210396563231, 0.10225478684955445, 0.09506865749058836]]",0.0936251827685917,0.0077032591033025,0.0795448686147373,"[[0.08430007538679371, 0.10243545824562078, 0.09555114376783228]]",0.0940955591334156,0.0074749391449037,0.079236194538056,"[[0.09241398979372674, 0.1096762928695403, 0.09659258548447079]]",0.0995609560492459,0.0073532394098419,0.0836003792506608,"[[0.6865793527982716, 0.5945120805892126, 0.8499723938647543]]",0.710354609084079,0.105637556526396,0.720178673348135,"[[0.7212259092952441, 0.5909393016961124, 0.8611931228558068]]",0.724452777949055,0.110354252217833,0.720178673348135,"[[0.773357393293105, 0.6089739149598281, 0.8052416353458004]]",0.729190981199578,0.0859971258600658,0.740608012684829
3,0.2,[0.0013479880847622771],[0.005862056461313231],5,2,100,"[[0.8379888268156425, 0.6532951289398281, 0.670749279538905]]",0.720677745098125,0.0832569487133429,0.714878892733564,"[[0.8268156424581006, 0.6446991404011462, 0.6880403458213257]]",0.719851709560191,0.077677011732601,0.708304498269896,"[[0.8611112764801864, 0.6301331555189228, 0.7149405982047286]]",0.714684166767501,0.0878465928869042,0.728719723183391,"[[0.08137033316228554, 0.10212280428796532, 0.08993740133500198]]",0.0911435129284176,0.0085149786978544,0.108140212136624,"[[0.08420136717245802, 0.10214426886403073, 0.09161615799118572]]",0.0926539313425581,0.0073618231630022,0.109759614433698,"[[0.09310201480412252, 0.10318390916201436, 0.09638971672989356]]",0.0975585468986768,0.0041980766575116,0.115614536443971,"[[0.8144297211228411, 0.5985043503922512, 0.6568502464681033]]",0.689928105994399,0.0912014255166977,0.698651506911373,"[[0.8271788806180062, 0.5905568749003632, 0.6679523840269309]]",0.695229379848434,0.098507256156572,0.693831126247379,"[[0.8254958812812503, 0.5423346136293674, 0.7185898436912582]]",0.695473446200625,0.116750022838724,0.715593730467091
4,0.2,[0.0011814324030310192],[0.0049042296827836365],5,2,100,"[[0.6727037516170763, 0.7440225035161744, 0.696652719665272]]",0.704459658266174,0.0296344654172577,0.698198198198198,"[[0.6688227684346701, 0.7552742616033755, 0.7273361227336123]]",0.717144384257219,0.0360219268192126,0.692942942942943,"[[0.6071359626487649, 0.7149196606917181, 0.7748951364525115]]",0.697685208309522,0.0682208717659614,0.705705705705706,"[[0.1013848992832253, 0.08229435126389209, 0.08267877230217985]]",0.0887860076164324,0.0089101439684349,0.0988251374730419,"[[0.10242484955424128, 0.08315853074531017, 0.08439342047616698]]",0.0899922669252394,0.0088056069744249,0.0992444452123515,"[[0.11291414656611799, 0.09018341278839288, 0.0855127206887415]]",0.0962034266810841,0.0119691258516648,0.103538386802398,"[[0.7397024338991037, 0.7187685216449227, 0.7189784292996755]]",0.725816461614567,0.0098192391090507,0.69290968482773,"[[0.7369823909952469, 0.7547391882037089, 0.765710437378543]]",0.752477338859166,0.011836726295539,0.681747808177729,"[[0.6829960409148118, 0.7262392787642221, 0.8217967381670417]]",0.743677352615358,0.0579912246473812,0.698623635379569
5,0.2,[0.0034057866694061183],[0.0030458793611516763],5,2,500,"[[0.7118983957219251, 0.7466422466422467, 0.9035928143712575]]",0.78737781891181,0.0833915570123777,0.590866728797763,"[[0.714572192513369, 0.7124542124542125, 0.9035928143712575]]",0.776873073112946,0.0896085601502919,0.602050326188257,"[[0.7657530055003564, 0.7455197939189694, 0.8986338733340776]]",0.761417938707477,0.0957195932034558,0.645852749301025,"[[0.07734997583160762, 0.11737748401964508, 0.08059834102433404]]",0.0917752669585289,0.01815200829917,0.0871937587203254,"[[0.07721631547660178, 0.11829041836752499, 0.08010868560480595]]",0.0918718064829775,0.0187180615390482,0.0854179519405302,"[[0.08188557955192691, 0.13101763234267394, 0.09102591837628801]]",0.101309710090296,0.0213355248645854,0.0850918124989614,"[[0.8098526225972928, 0.7388329010273769, 0.9151051184459004]]",0.821263547356857,0.0724137673895055,0.599846903852136,"[[0.8119157352845906, 0.7041775057272898, 0.9151051184459004]]",0.810399453152593,0.0861175119063902,0.614192637189094,"[[0.783529020615776, 0.68952576224584, 0.8950553681727472]]",0.789370050344788,0.0840087017292012,0.660177716994841
6,0.2,[0.0019177280697031548],[0.014573880736158805],5,2,100,"[[0.6497041420118344, 0.7525839793281653, 0.6334120425029516]]",0.678566721280984,0.0527590370977278,0.871033776867963,"[[0.6686390532544378, 0.7590439276485789, 0.6239669421487604]]",0.683883307683926,0.0561886018854522,0.853633572159673,"[[0.5713283034187006, 0.8073437193065017, 0.7046366904720044]]",0.68566855977004,0.0928713191077415,0.851586489252815,"[[0.10415509520589454, 0.09766000649514284, 0.10496650913661111]]",0.102260536945883,0.0032698887303066,0.066794393107439,"[[0.10515951843396969, 0.10355719809247184, 0.11242690589825434]]",0.107047874141565,0.0038593906771921,0.0749296759049657,"[[0.10692103057570594, 0.10294981518710586, 0.11488069118772788]]",0.108250512316847,0.004960651288596,0.0706725686246894,"[[0.6839014641050587, 0.7005863172975113, 0.5626922942651534]]",0.649060025222575,0.0614498971768248,0.889715457517078,"[[0.7105148165369644, 0.7264563697744714, 0.5433987022682493]]",0.660123296193228,0.0827929401181828,0.890941917473862,"[[0.5797953458206679, 0.8044746957885778, 0.6410264517187663]]",0.675098831109337,0.0948363427296444,0.87407797349486
7,0.7,[0.0013200404905088583],[0.0010791081445600994],5,2,100,"[[0.649746192893401, 0.749379652605459, 0.7291371994342292]]",0.709421014977696,0.0429980815129511,0.775062137531069,"[[0.649746192893401, 0.749379652605459, 0.7291371994342292]]",0.709421014977696,0.0429980815129511,0.775062137531069,"[[0.6260782825892603, 0.6378577941557785, 0.7571214537242406]]",0.652496848489679,0.047461115826035,0.835542667771334,"[[0.099949499524075, 0.08931608140940842, 0.09206948328027384]]",0.093778354737919,0.0045061126220868,0.085547739344747,"[[0.09965715134052307, 0.08917795017982466, 0.09185184683961797]]",0.0935623161199885,0.0044457989991237,0.0850918604042352,"[[0.10158110457013445, 0.09557820949030578, 0.10351475844814353]]",0.100224690836195,0.0033790625922242,0.0868678374676729,"[[0.5975824911958516, 0.7126445448608306, nan]]",,,0.788318838873952,"[[0.5975824911958516, 0.7126445448608306, nan]]",,,0.788318838873952,"[[0.5776734429814527, 0.6128634444284208, nan]]",,,0.835982578705727
8,0.9,[0.0007311205372521951],[0.0006744323493876224],5,2,500,"[[0.8522727272727273, 0.760840108401084, 0.6357048748353096]]",0.74960590350304,0.08876960514766,0.74822974036192,"[[0.8522727272727273, 0.760840108401084, 0.6357048748353096]]",0.74960590350304,0.08876960514766,0.74822974036192,"[[0.8157011750459748, 0.8048789859871847, 0.6604014554439477]]",0.715339854998953,0.0637201127657174,0.831628638867034,"[[0.07664959615979695, 0.09147609742570866, 0.10718359353857952]]",0.091769762374695,0.0124671816731922,0.0787522679521548,"[[0.07652997729408499, 0.09148319015054567, 0.10710663310304258]]",0.0917066001825577,0.0124838670330061,0.0787071318150268,"[[0.0887620611285231, 0.09715769896240915, 0.1018760743008691]]",0.0959319447972671,0.005423479223164,0.0856161911348547,"[[0.879189872485937, 0.8227712716414304, 0.5896580294892828]]",0.763873057872217,0.125323372962808,0.732773086676471,"[[0.879189872485937, 0.8227712716414304, 0.5896580294892828]]",0.763873057872217,0.125323372962808,0.732773086676471,"[[0.8375846209584237, 0.759393912545798, 0.5994452105697508]]",0.732141248024657,0.0991114708722543,0.844341910726753
9,0.2,[0.003689218482177718],[0.08969599810321822],15,2,500,"[[0.770935960591133, 0.6883033419023136, 0.7727873183619551]]",0.744008873618467,0.0393970098631308,0.676470588235294,"[[0.8343596059113301, 0.6928020565552699, 0.7463672391017173]]",0.757842967189439,0.0583575427645866,0.654844290657439,"[[0.816812108459346, 0.6626483903443096, 0.7421541471532279]]",0.724009714312101,0.0733423022664343,0.683823529411765,"[[0.09351034859764491, 0.09075705772349851, 0.09489575739891438]]",0.0930543879066859,0.0017201034590195,0.110218802126671,"[[0.11488511552059241, 0.10332585892078748, 0.10578457911553354]]",0.107998517852304,0.004971937706278,0.109247161696116,"[[0.10769948736018763, 0.10073507390638382, 0.10224801019721912]]",0.103560857154597,0.0029909239418617,0.110601939305592,"[[0.7294827428660047, 0.6968399007795046, 0.728285704038432]]",0.718202782561314,0.0151137412973832,0.684390473342863,"[[0.8357592841388767, 0.7085559377354638, 0.6865152039155723]]",0.743610141929971,0.0657776395350663,0.666863561692028,"[[0.8034067413419403, 0.6461106798038192, 0.6904992573466111]]",0.71333889283079,0.0662155543440699,0.687694337713993
10,0.3,[0.007660676071404942],[0.0018872642477545441],5,2,500,"[[0.8184796854521625, 0.8306818181818182, 0.6289940828402367]]",0.759385195491406,0.0923349146841555,0.758585858585859,"[[0.8414154652686763, 0.8170454545454545, 0.6242603550295858]]",0.760907091614572,0.0971346910914855,0.755555555555556,"[[0.7989037164924948, 0.8781050846003076, 0.6581132693760272]]",0.738888393422621,0.0969828472134882,0.748484848484849,"[[0.08848443503987145, 0.10551016409351953, 0.1024696726146965]]",0.0988214239160291,0.0074140025796935,0.0741412243603563,"[[0.08197116656761314, 0.10035225376623051, 0.10303712163899621]]",0.0951201806576132,0.0093621421169808,0.0696257013370287,"[[0.09042207700115358, 0.10824243332629999, 0.1023849066552279]]",0.100349805660894,0.0074160862064232,0.0759483601954556,"[[0.8732202432170004, 0.7924229999383331, 0.5891577679486015]]",0.751600337034645,0.119506596244206,0.755459848348895,"[[0.8881313061379319, 0.7809258599020273, 0.590143063902332]]",0.753066743314097,0.123237834857267,0.740242633879453,"[[0.7516503607515078, 0.8745377965872773, 0.631139378750164]]",0.75244251202965,0.0993685667238826,0.766324154699689
