random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
1,0.2,[0.013811239998370398],[0.07578909424069913],15,2,100,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.669659943373786,0.078378699346507,0.785091197462331,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.669659943373786,0.078378699346507,0.785091197462331,"[[0.8144276176595173, 0.6437706089077848, 0.5831181090989367]]",0.650384534456838,0.0650242509035378,0.704203013481364,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.108469646039443,0.0041672702942909,0.0902450441635408,"[[0.10466021096770875, 0.10802069265840944, 0.11173148164536767]]",0.108137461757162,0.0028880147178753,0.0985189669526495,"[[0.09976684504006463, 0.11813480371403962, 0.11381082181035065]]",0.110570823521485,0.0078408616935514,0.0877004905845523,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.689562923335781,0.128339276323626,0.809043378004163,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.689562923335781,0.128339276323626,0.809043378004163,"[[0.8389695182025166, 0.5633761863944668, 0.6803804141484134]]",0.694242039581799,0.112936647813445,0.73391289010562
2,0.2,[0.010152486356523138],[0.03188028658910564],5,2,100,"[[0.679874213836478, 0.5646916565900847, 0.7868020304568528]]",0.677122633627805,0.090697052285957,0.674976481655691,"[[0.679874213836478, 0.5646916565900847, 0.7868020304568528]]",0.677122633627805,0.090697052285957,0.674976481655691,"[[0.7109486793763711, 0.6209752324485073, 0.8246331327502426]]",0.694255827094075,0.0792757932057675,0.606302916274694,"[[0.10586623371914566, 0.10920946913124699, 0.11343232696532798]]",0.10950267660524,0.0030957949673264,0.0849921652047343,"[[0.10423782768738707, 0.10950946970527983, 0.11402424857181002]]",0.109257181988159,0.0039992703710322,0.0857056016923906,"[[0.1092624537532138, 0.12085977632981548, 0.10388701996970501]]",0.111336416684245,0.0070825892767351,0.0925584257926279,"[[0.6534354966633031, 0.5057548483532639, 0.7337587979336263]]",0.630983047650064,0.0944264602961132,0.692020046879277,"[[0.6534354966633031, 0.5135466075696575, 0.7337587979336263]]",0.633580300722196,0.0909909292205145,0.692020046879277,"[[0.6888324106395436, 0.5568989766814557, 0.8559666937183503]]",0.700566027013117,0.122375469105854,0.695301705711083
3,0.2,[0.002585320180377814],[0.0030564810974009317],15,2,500,"[[0.8023743016759777, 0.5064469914040115, 0.7773775216138329]]",0.695399604897941,0.133998824280933,0.698615916955017,"[[0.7988826815642458, 0.5064469914040115, 0.7773775216138329]]",0.694235731527363,0.133076609925662,0.688581314878893,"[[0.7967962614228588, 0.47841684563982206, 0.7582528573669455]]",0.665663957413416,0.14948180982533,0.655363321799308,"[[0.09835470614745963, 0.1235495418899198, 0.08250013727580169]]",0.101468128437727,0.0169023362006863,0.113073691668039,"[[0.09805900548721852, 0.12220624222277486, 0.0829238212930499]]",0.101063023001014,0.0161770462784448,0.113577448390843,"[[0.10037047247738876, 0.1211386458197516, 0.08417622560285432]]",0.101895114633332,0.0151283074036805,0.118036525925895,"[[0.817131380664006, 0.47514237208453414, 0.7630766983924516]]",0.685116817046997,0.150105358158507,0.681919850275739,"[[0.8081543670505916, 0.47514237208453414, 0.7630766983924516]]",0.682124479175859,0.147510888965045,0.683706433968013,"[[0.7816271243470484, 0.39184785460646654, 0.7885105460688268]]",0.653995175007447,0.185387447559089,0.650075114074138
4,0.2,[0.0034439381449764763],[0.009853740130807987],15,2,100,"[[0.6015523932729625, 0.8776371308016878, 0.7663877266387726]]",0.748525750237808,0.113416586749287,0.61524024024024,"[[0.6015523932729625, 0.8776371308016878, 0.7663877266387726]]",0.748525750237808,0.113416586749287,0.61524024024024,"[[0.5596865229376777, 0.8716442563811222, 0.7797631475335296]]",0.737413430951457,0.127804252372627,0.578453453453453,"[[0.11255563985759214, 0.07929267321513557, 0.09678939792662056]]",0.096212570333116,0.0135856734594146,0.111391533015009,"[[0.10935086267941192, 0.08094878300426774, 0.09697659855255766]]",0.0957587480787457,0.0116270346549391,0.111426063766254,"[[0.11498365532829906, 0.08141800030070383, 0.09419025516936212]]",0.0968639702661216,0.0138329284359666,0.116170749545257,"[[0.6791770307483326, 0.893034842079351, 0.8265730077378157]]",0.7995949601885,0.0893668549817855,0.568246904443122,"[[0.6791770307483326, 0.893034842079351, 0.8265730077378157]]",0.7995949601885,0.0893668549817855,0.568246904443122,"[[0.6311741040513414, 0.8772931297928972, 0.8659492952267428]]",0.791472176356994,0.113442421913342,0.539136573065256
5,0.2,[0.022105772903460556],[0.12130529235908905],15,2,100,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.688700693394248,0.0672288465442673,0.683597390493942,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.688700693394248,0.0672288465442673,0.683597390493942,"[[0.7224641074881737, 0.6143722268223, 0.6538469408036631]]",0.63010449037219,0.0130184537114268,0.678937558247903,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.112215813492093,0.0141659601081542,0.0837491398389403,"[[0.09517065960414373, 0.12158295756827067, 0.1250817850932705]]",0.113945134088562,0.0133521812858915,0.089772879512279,"[[0.0922748570134461, 0.13498322070426821, 0.11713129426932607]]",0.114796457329013,0.0175136076607166,0.079625559777279,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.71157670798421,0.0413470311211196,0.702154992631215,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.71157670798421,0.0413470311211196,0.702154992631215,"[[0.6789300204305243, 0.6419116192762219, 0.692078723612264]]",0.67097345443967,0.0212393470731556,0.681105655458369
6,0.2,[0.0017473623934707637],[0.004772288896446872],5,2,500,"[[0.6130177514792899, 0.7241602067183462, 0.6180637544273908]]",0.651747237541676,0.0512451240943899,0.830092118730808,"[[0.6130177514792899, 0.7164082687338501, 0.6180637544273908]]",0.64916325821351,0.0475940060396161,0.830092118730808,"[[0.5034068474056803, 0.6845219945591076, 0.6917417153552223]]",0.619125705733284,0.0796436790413798,0.822927328556806,"[[0.11194093171708934, 0.10944893279124122, 0.1293832991209774]]",0.116924387876436,0.0088683281668015,0.0777043536620257,"[[0.11139147355839178, 0.1095693845821559, 0.12823035401811253]]",0.116397070719553,0.0084003947239519,0.0784692339930036,"[[0.11407687879690027, 0.10850525176703969, 0.12560491388199993]]",0.116062348148647,0.0071206824355298,0.0766128250014707,"[[0.6802568823614676, 0.6944248273276235, 0.5266637350417542]]",0.633781814910282,0.0759644431831155,0.87297002371443,"[[0.6802568823614676, 0.6864902103435127, 0.5266637350417542]]",0.631136942582245,0.0739175302382403,0.87297002371443,"[[0.549423244335346, 0.7139733065601142, 0.5934745560154238]]",0.618957035636961,0.0695518910372695,0.852132409899686
7,0.3,[0.005848599722128092],[0.01544971753034662],5,2,100,"[[0.5653553299492385, 0.7959057071960298, 0.64002828854314]]",0.667096441896136,0.096048192093398,0.757249378624689,"[[0.5653553299492385, 0.7959057071960298, 0.64002828854314]]",0.667096441896136,0.096048192093398,0.757249378624689,"[[0.5655908639910492, 0.5576850845388255, 0.5917513090426858]]",0.585788422095403,0.0383616584964373,0.74109362054681,"[[0.1077776513252721, 0.10019417871026154, 0.11159584445361126]]",0.106522558163048,0.0047385609324044,0.0982394826759281,"[[0.10643034938715637, 0.10095104951761366, 0.11130383290179219]]",0.106228410602187,0.0042289175450767,0.0997018314170533,"[[0.11384001697715214, 0.10365383244355723, 0.1183541433930243]]",0.111949330937911,0.0061484852214178,0.0952704077702082,"[[0.5270414046433992, 0.7901409139986457, nan]]",,,0.806878185440375,"[[0.5270414046433992, 0.7901409139986457, nan]]",,,0.806878185440375,"[[0.5435045262166518, 0.5906481656276306, nan]]",,,0.788397334806268
8,0.7,[0.0033935609217347605],[0.004417266174990951],15,2,500,"[[0.7800802139037433, 0.6863143631436315, 0.6185770750988142]]",0.694990550715396,0.0662181905221739,0.697875688434304,"[[0.7800802139037433, 0.6863143631436315, 0.6185770750988142]]",0.694990550715396,0.0662181905221739,0.697875688434304,"[[0.7320280344287237, 0.7866994887279855, 0.6321135994587463]]",0.666792396339836,0.0326901928983008,0.733280881195909,"[[0.092472660175138, 0.1017226711428984, 0.10263791874970071]]",0.0989444166892457,0.0045914517550814,0.0967342131196288,"[[0.09273467518597739, 0.10197614924711268, 0.10214409666782706]]",0.0989516403669723,0.0043965928952852,0.096797434120019,"[[0.09686023930060726, 0.1040195712059514, 0.10169149246474368]]",0.100857100990434,0.0029817405634986,0.0980737946094244,"[[0.8050056356123676, 0.7323860232016621, 0.5692672932705513]]",0.70221965069486,0.0985753486262537,0.6843068598714,"[[0.8050056356123676, 0.7323860232016621, 0.5692672932705513]]",0.70221965069486,0.0985753486262537,0.6843068598714,"[[0.7107686993478372, 0.7172754948773641, 0.57416944390164]]",0.66740454604228,0.0659806678777832,0.731644783972729
9,0.9,[0.027265988322721344],[0.031738087646957694],15,2,1000,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.729385437507835,0.0344228518543203,0.642733564013841,"[[0.6710748015095173, 0.6089823314854615, 0.7045164767353157]]",0.652386811418648,0.0400632478220465,0.657439446366782,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.105653655142318,0.0054329646752084,0.109164580477661,"[[0.11418278342939137, 0.10245281701729252, 0.10309328469905772]]",0.106576295048581,0.0053849511807384,0.109204133157061,"[[0.1087415881008089, 0.10283071018694533, 0.09679966699183701]]",0.102790655093197,0.0048753511498235,0.110582844153281,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.717365338134337,0.0457558600774175,0.661702651172969,"[[0.6622966716229021, 0.6306263613052802, 0.6705244545376742]]",0.654482495821952,0.0172000090790928,0.702545851237281
10,0.2,[0.0031654008520312095],[0.01254263020834826],5,2,100,"[[0.7549148099606815, 0.7977272727272727, 0.6159763313609468]]",0.722872804682967,0.0775816505304754,0.683838383838384,"[[0.7549148099606815, 0.7977272727272727, 0.6159763313609468]]",0.722872804682967,0.0775816505304754,0.683838383838384,"[[0.7367031624141342, 0.8165596591719411, 0.5915223540237161]]",0.657679253233241,0.100706192294825,0.656565656565657,"[[0.09618104027065566, 0.11155449512538365, 0.1038183833850119]]",0.10385130626035,0.0062762298385458,0.0922233922950097,"[[0.09734830767315285, 0.113986040911767, 0.10428783207852496]]",0.105207393554482,0.00682337828405,0.0901724609910945,"[[0.10524135643293567, 0.11851204952845985, 0.10376954649227592]]",0.109174317484557,0.0066300571097666,0.0984066211902549,"[[0.8167747926361533, 0.7655203881232978, 0.5886669338678207]]",0.723654038209091,0.0977169117035617,0.681630842687381,"[[0.8167747926361533, 0.7655203881232978, 0.5886669338678207]]",0.723654038209091,0.0977169117035617,0.681630842687381,"[[0.6420053485849352, 0.7885362097975469, 0.5632380126764712]]",0.664593190352985,0.093354083478998,0.686890293514438
