random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.0028402985050205967],[2648.871891929608],[0.002209292312950968],10,2,100,"[[0.8859289617486339, 0.6222067039106145, 0.6532258064516129]]",0.7204538240369538,0.1176918634433065,0.7973830293417923,"[[0.6666666666666666, 0.5970670391061452, 0.6141439205955335]]",0.6259592087894484,0.0296167499395164,0.7688342585249802,"[[0.8859289617486339, 0.6222067039106145, 0.6532258064516129]]",0.7204538240369538,0.1176918634433065,0.7973830293417923,"[[0.8698326187585097, 0.5891358347244466, 0.644346177136774]]",0.6829185235551468,0.1281434195349282,0.7505947660586836,"[[0.08421107165793236, 0.10967908188305936, 0.1017742930450758]]",0.0985548155286891,0.0106435790601871,0.0818047286315736,"[[0.08421107165793236, 0.10967908188305936, 0.1017742930450758]]",0.0985548155286891,0.0106435790601871,0.1031539701482258,"[[0.08243443073277835, 0.10930042466356044, 0.10168078013525071]]",0.0978052118438631,0.0113051737317658,0.0815650730676681,"[[0.08942654099332278, 0.11851815943811911, 0.10995323892075419]]",0.1059659797840653,0.0122066714682787,0.0868719503742873,"[[0.8696214897315662, 0.5740255558082172, 0.697167263404725]]",0.7136047696481694,0.1212349860027532,0.7791522730700093,"[[0.6549948380267383, 0.5190760528139826, 0.6569806040633583]]",0.6103504983013598,0.0645458705932413,0.7674523787196047,"[[0.8696214897315662, 0.5740255558082172, 0.697167263404725]]",0.7136047696481694,0.1212349860027532,0.7791522730700093,"[[0.907155804658151, 0.549467415314558, 0.7100176555114392]]",0.7222136251613828,0.1462801016875506,0.759382055568022,"[[0.7929164607542999, 0.6771912812894715, 0.6546365199891461]]",0.7082480873443058,0.0605735333086946,0.8104487103648513,"[[0.6778344693960472, 0.6533399606141307, 0.6158129016138295]]",0.6489957772080025,0.0255058511540733,0.7832506593374051,"[[0.7929164607542999, 0.6771912812894715, 0.6546365199891461]]",0.7082480873443058,0.0605735333086946,0.8104487103648513,0.7011048768732434,0.1214189266921138,0.7642476347069445
2,0.2,[0.00439476898468414],[3734.4700447600826],[0.01093643439828444],15,2,500,"[[0.7433962264150943, 0.596130592503023, 0.8229695431472082]]",0.7208321206884417,0.0939710293397968,0.7610536218250236,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.7433962264150943, 0.5864570737605804, 0.8559644670050761]]",0.7286059223935837,0.1105218638193286,0.7770460959548448,"[[0.7405079307847556, 0.618012272772931, 0.8163756872516852]]",0.7031414412787834,0.0810534296388978,0.7412982126058325,"[[0.09002616192926846, 0.10760170479391197, 0.0911657427694462]]",0.0962645364975422,0.0080300767890883,0.0780322599233521,"[[0.09002616192926846, 0.10760170479391197, 0.0911657427694462]]",0.0962645364975422,0.0080300767890883,0.0906616075302641,"[[0.09207949739589837, 0.10764300035254112, 0.09407226204659741]]",0.0979315865983456,0.0069150293114419,0.0784422621323675,"[[0.10344067642044527, 0.11260607379527095, 0.10074763670872831]]",0.1055981289748148,0.0050758633864686,0.0822775482333063,"[[0.7263336530758259, 0.5563997349327432, 0.8557716317044524]]",0.7128350065710073,0.1225902204834444,0.7313021748346925,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.7263336530758259, 0.5422590068950969, 0.9008511689877564]]",0.7231479429862264,0.1464119672707876,0.757772511612387,"[[0.7021434142806778, 0.5612160069641745, 0.8580778898222527]]",0.7071457703557016,0.1212449642892076,0.7433938268307623,"[[0.7621868687185006, 0.617824951563367, 0.7369342102206721]]",0.7056486768341799,0.062950664442532,0.7843950277483941,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.7621868687185006, 0.6108827092450332, 0.8683564604788241]]",0.7471420128141193,0.1056501898104864,0.7973482562529576,0.7249652969364573,0.0817238894127627,0.7451010948787675
3,0.2,[0.004517920438323215],[3042.4356891400066],[0.004645579494775819],15,2,500,"[[0.8303072625698324, 0.6310888252148997, 0.69164265129683]]",0.7176795796938541,0.0833883991763807,0.7003460207612456,"[[0.6641061452513967, 0.4706303724928367, 0.6628242074927954]]",0.599186908412343,0.0909047048170837,0.7134948096885814,"[[0.8303072625698324, 0.6310888252148997, 0.69164265129683]]",0.7176795796938541,0.0833883991763807,0.7003460207612456,"[[0.8990400832149794, 0.5852123071151868, 0.6266950317437162]]",0.6806186639284585,0.1225336658797234,0.7169550173010381,"[[0.08497351717416765, 0.1022135049429227, 0.09039321292344002]]",0.0925267450135101,0.0071980675161798,0.1108827684017265,"[[0.08497351717416765, 0.1022135049429227, 0.09039321292344002]]",0.0925267450135101,0.0071980675161798,0.1262282466440792,"[[0.08381736081273888, 0.10066245188225748, 0.08945506946803428]]",0.0913116273876768,0.0070011607974123,0.1107739903027821,"[[0.09781069122294349, 0.1188024507365239, 0.10440538711548364]]",0.107006176358317,0.0087649518113612,0.1145199567836796,"[[0.8544994507031217, 0.5610631782922307, 0.6784023099261964]]",0.6979883129738497,0.1205927585668301,0.6842614334059591,"[[0.6519001259462902, 0.4316409889215955, 0.6341256456173656]]",0.5725555868284171,0.0999055419389459,0.6947485870134067,"[[0.8544994507031217, 0.5610631782922307, 0.6784023099261964]]",0.6979883129738497,0.1205927585668301,0.6842614334059591,"[[0.8924912726356029, 0.5077129224682436, 0.6246988747186181]]",0.6749676899408215,0.1610565325742522,0.7122504751155272,"[[0.8657581278272384, 0.6526803746805669, 0.6950655715695329]]",0.7378346913591128,0.0920957126298144,0.7175671072685266,"[[0.68916262879435, 0.4922899787956464, 0.6655712018088761]]",0.6156746031329575,0.0877760901344903,0.7316438421603377,"[[0.8657581278272384, 0.6526803746805669, 0.6950655715695329]]",0.7378346913591128,0.0920957126298144,0.7175671072685266,0.7036491406912941,0.1391963108368229,0.7323539019061206
4,0.2,[0.016746499065409922],[3524.977528884799],[0.03302582154407846],15,2,1000,"[[0.591849935316947, 0.7109704641350211, 0.7782426778242678]]",0.693687692425412,0.0770695973923351,0.6681681681681682,"[[0.591849935316947, 0.6174402250351617, 0.6311018131101813]]",0.6134639911540967,0.0162693024739117,0.6216216216216216,"[[0.6157826649417852, 0.7468354430379747, 0.7782426778242678]]",0.7136202619346759,0.0703597903078067,0.6711711711711712,"[[0.5919045409649544, 0.7762413388289051, 0.8058414966004039]]",0.7248511732258338,0.0910829449330932,0.6509009009009009,"[[0.11061230343334, 0.09044025792056878, 0.09542860359753096]]",0.0988270549838132,0.0085786540867831,0.1089023755548409,"[[0.11061230343334, 0.09044025792056878, 0.09542860359753096]]",0.0988270549838132,0.0085786540867831,0.1189207029291355,"[[0.10475254740228683, 0.08781565496132349, 0.09773429538586287]]",0.0967674992498244,0.0069481701411563,0.1080368204496139,"[[0.10980847275735456, 0.08964012847712141, 0.09864162285616372]]",0.0993634080302132,0.0082494952625241,0.1104314548877101,"[[0.6697092520862239, 0.7252747187577524, 0.8309093768847511]]",0.741964449242909,0.0668594565064935,0.6534136404368426,"[[0.6697092520862239, 0.63541720085726, 0.6633792510045144]]",0.6561685679826661,0.0148992540440486,0.5806317242752314,"[[0.6952096731006736, 0.7630170059083271, 0.8309093768847511]]",0.763045351964584,0.0553991757122538,0.6594908387707742,"[[0.6749160465929103, 0.7833400974252114, 0.8621969401165921]]",0.773484361378238,0.0767740621109667,0.6197340263818651,"[[0.5890900108809312, 0.7142779317317268, 0.7793588979183502]]",0.6942422801770026,0.0789583554520198,0.7567173919922431,"[[0.5890900108809312, 0.6135582344761691, 0.6328565970100262]]",0.6118349474557089,0.017909137406457,0.6775812655781117,"[[0.6130851173373558, 0.7521651735592645, 0.7793588979183502]]",0.7148697296049901,0.0728237833494158,0.7590057123169617,0.7246624587980879,0.0946486164560481,0.7181732572573337
5,0.2,[0.005422975511485825],[3651.9134107638774],[0.0035020211026217255],15,2,500,"[[0.7272727272727273, 0.7411477411477412, 0.9029940119760479]]",0.7904714934655055,0.0797668138241064,0.5843429636533085,"[[0.6483957219251337, 0.6892551892551892, 0.6988023952095809]]",0.6788177687966347,0.0218618844456547,0.6067101584342963,"[[0.7272727272727273, 0.7411477411477412, 0.9029940119760479]]",0.7904714934655055,0.0797668138241064,0.5927306616961789,"[[0.7778121707475506, 0.7387531897459851, 0.8822585125929254]]",0.7631242897709964,0.0802861885466752,0.6383970177073626,"[[0.07761121733858205, 0.11860851080209178, 0.08259509546614259]]",0.0929382745356054,0.0182652773093378,0.0872127658072249,"[[0.07761121733858205, 0.11860851080209178, 0.08259509546614259]]",0.0929382745356054,0.0182652773093378,0.0920930431665862,"[[0.07747621590443399, 0.1174184369702677, 0.08034668603527377]]",0.0917471129699918,0.0181901540517274,0.0869665534420923,"[[0.08825537012779074, 0.13184380369208945, 0.10515311866041857]]",0.1084174308267662,0.01794398108163,0.0914787252417342,"[[0.8252736995022129, 0.7337685799191741, 0.9079181756818648]]",0.822320151701084,0.0711269429004101,0.6028162676247848,"[[0.7099936228149175, 0.6763324159068212, 0.717615505458893]]",0.7013138480602105,0.0179365035255932,0.6237417312185011,"[[0.8252736995022129, 0.7337685799191741, 0.9079181756818648]]",0.822320151701084,0.0711269429004101,0.6080409667022048,"[[0.7791130356882733, 0.7061351722007908, 0.8790782600765326]]",0.7881088226551989,0.0708896844793131,0.6640102709039007,"[[0.7953812351149048, 0.7835700914717785, 0.9046173150569097]]",0.8278562138811977,0.0544920530525358,0.5965840402871487,"[[0.7389255655616312, 0.7289636187956339, 0.7053424304595748]]",0.7244105382722799,0.014083196784581,0.6146402280690917,"[[0.7953812351149048, 0.7835700914717785, 0.9046173150569097]]",0.8278562138811977,0.0544920530525358,0.6053626184588041,0.799607957695487,0.060579075968858,0.6466108866936771
6,0.3,[0.0046411479056781705],[2983.363808583022],[0.012260101146603506],15,2,100,"[[0.6692307692307692, 0.727390180878553, 0.6824085005903188]]",0.6930098168998803,0.0248987311781895,0.842374616171955,"[[0.5899408284023668, 0.6692506459948321, 0.6322314049586777]]",0.6304742931186255,0.0324019276499754,0.7072671443193449,"[[0.6692307692307692, 0.7454780361757106, 0.6658795749704841]]",0.6935294601256546,0.0367586592153366,0.8413510747185261,"[[0.6496577129918477, 0.7279955305196493, 0.6640397962152262]]",0.670623221005397,0.0320404460645311,0.8546571136131014,"[[0.1043549675362054, 0.10058341856812936, 0.10415340616417601]]",0.1030305974228369,0.001732372170728,0.0710701768046635,"[[0.1043549675362054, 0.10058341856812936, 0.10415340616417601]]",0.1030305974228369,0.001732372170728,0.0945491582394171,"[[0.10491654918394953, 0.10328236513310664, 0.10798262384281801]]",0.1053938460532913,0.0019483270106541,0.0746858463449543,"[[0.10833220453796996, 0.10901195069208246, 0.11646934476403989]]",0.1112711666646974,0.0036861276314374,0.080013933887473,"[[0.713765651974473, 0.6910063235646366, 0.6120280498607792]]",0.6722666751332963,0.0435967562895738,0.8615317109224976,"[[0.6574673996947601, 0.642347612922632, 0.5602571071403556]]",0.6200240399192493,0.0427100041235949,0.7343686091768716,"[[0.713765651974473, 0.7255542029116129, 0.5809599196356479]]",0.6734265915072445,0.0655606921793668,0.8756279625988502,"[[0.6941637313053103, 0.7127456506818747, 0.5574699637758839]]",0.6547931152543564,0.0692347157246302,0.8796387556235685,"[[0.6717415592722549, 0.7430842313068254, 0.696139116175699]]",0.7036549689182597,0.02960642098255,0.8725236888744087,"[[0.5898190377840518, 0.681112126848182, 0.6512801024690458]]",0.6407370890337598,0.0380085374351629,0.7293159498312707,"[[0.6717415592722549, 0.7561273067622292, 0.6836400179233175]]",0.7038362946526006,0.0372930359017583,0.8914309451809684,0.6805643465755744,0.0340489744066155,0.8999973701379362
7,0.4,[0.002201960251343655],[3938.535166569007],[0.0016424681567837787],15,2,500,"[[0.633248730964467, 0.7971464019851117, 0.7142857142857143]]",0.7148936157450977,0.0669123247224112,0.7804473902236951,"[[0.5653553299492385, 0.5, 0.6117397454031117]]",0.5590316917841167,0.0458361863991075,0.6342170671085335,"[[0.633248730964467, 0.7959057071960298, 0.7142857142857143]]",0.7144800508154038,0.0664045746627639,0.7804473902236951,"[[0.5728855359940309, 0.8284463136766607, 0.6912785405655709]]",0.6815211567743559,0.1057043090858394,0.8011599005799502,"[[0.10082636411968669, 0.08963967339037755, 0.09618907856620436]]",0.0955517053587561,0.004589131785896,0.0872098619464264,"[[0.10082636411968669, 0.08963967339037755, 0.09618907856620436]]",0.0955517053587561,0.004589131785896,0.1105520420903395,"[[0.10076959706949629, 0.08894378281335644, 0.09626494297300821]]",0.0953261076186203,0.0048732965962249,0.0861609120161703,"[[0.10611911554326375, 0.09517141233327205, 0.11033365638536845]]",0.1038747280873014,0.0063901678362514,0.0925070123688224,"[[0.5895163495903337, 0.7952510953521693, nan]]",,,0.809431668329369,"[[0.5270414046433992, 0.5, nan]]",,,0.6630914425200216,"[[0.5895163495903337, 0.794510208182875, nan]]",,,0.809431668329369,"[[0.5215036569084563, 0.8621026928187862, nan]]",,,0.8418915347273164,"[[0.6455840904446394, 0.8078973658180781, 0.7509285524443815]]",0.7348033362356996,0.0672379693771606,0.7455531598581984,"[[0.5775517516627845, 0.5, 0.641629620597277]]",0.5730604574200205,0.0579072024916502,0.6690814080847475,"[[0.6455840904446394, 0.8067410137716008, 0.7509285524443815]]",0.7344178855535405,0.0668198577018252,0.7455531598581984,0.6975367967454208,0.1044260570938342,0.856425304138707
8,0.2,[0.0019419203268569714],[3473.4148780997707],[0.032542726577029196],15,2,1000,"[[0.8422459893048129, 0.6944444444444444, 0.5994729907773386]]",0.7120544748421986,0.0998908306818419,0.7521636506687648,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.8262032085561497, 0.714769647696477, 0.6389986824769434]]",0.7266571795765233,0.0768867943008178,0.7458693941778127,"[[0.8131335547016388, 0.7843624750613998, 0.6528049531283439]]",0.7027523167969804,0.0704564918898075,0.7529504327301337,"[[0.08152900902521254, 0.09634764753608756, 0.10870913253506227]]",0.0955285963654541,0.0111113429166702,0.0811446139391561,"[[0.08152900902521254, 0.09634764753608756, 0.10870913253506227]]",0.0955285963654541,0.0111113429166702,0.1071530453950365,"[[0.09752721762243709, 0.10462605890856885, 0.0987458516372115]]",0.1002997093894058,0.0030993808346144,0.0950059741053561,"[[0.09416689489063763, 0.1056117284271773, 0.10107173153851604]]",0.1002834516187769,0.004705464383294,0.0923119065906478,"[[0.8768154112731251, 0.7532326219702566, 0.5563525859725778]]",0.7288002064053197,0.1319641688683096,0.7537280266776346,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.8602884677274869, 0.7714108046987698, 0.5913254700732503]]",0.7410082474998356,0.1118883674024071,0.7448412395495145,"[[0.8307436053274009, 0.7154282824855888, 0.6017611796749409]]",0.7159776891626435,0.093482491052937,0.7641839080955328,"[[0.8520422736059011, 0.8078217543706445, 0.6073478000673813]]",0.7557372760146425,0.1064689031573256,0.772608378372325,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.8370907209150534, 0.8204509548973447, 0.6455489752606396]]",0.7676968836910126,0.0866383444890967,0.7679611280727849,0.7501003276304609,0.06979367774876,0.764775128313433
9,0.2,[0.004241704757434448],[4341.516404970832],[0.08969599810321822],10,2,500,"[[0.7900246305418719, 0.6831619537275064, 0.7642007926023778]]",0.7457957922905853,0.0455262997349934,0.6686851211072664,"[[0.6927339901477833, 0.6902313624678663, 0.7073976221928666]]",0.6967876582695055,0.007571626296789,0.5627162629757786,"[[0.8343596059113301, 0.6928020565552699, 0.7463672391017173]]",0.7578429671894392,0.0583575427645866,0.6548442906574394,"[[0.843870157481975, 0.6906795647243683, 0.7552146146309822]]",0.7421095446192911,0.0774394451697367,0.6877162629757786,"[[0.09421872664544526, 0.09094328589116288, 0.09580100621832371]]",0.0936543395849772,0.002022912299919,0.1116531576967795,"[[0.09421872664544526, 0.09094328589116288, 0.09580100621832371]]",0.0936543395849772,0.002022912299919,0.1104189869712754,"[[0.11488511550867439, 0.10332585800869673, 0.10578457964704394]]",0.1079985177214716,0.0049719379076136,0.1092471619372854,"[[0.10469733839402208, 0.09900240338449763, 0.10168313709968771]]",0.1017942929594024,0.0023262756944006,0.1195087664526333,"[[0.7565990781785327, 0.705141635588794, 0.7065979851338944]]",0.722779566300407,0.0239213959494478,0.6777160452808746,"[[0.6912365604610979, 0.7028782278977161, 0.6600361452802853]]",0.6847169778796998,0.0180875597861521,0.537554826742158,"[[0.8357592841388767, 0.7085559377354638, 0.6865152039155723]]",0.7436101419299709,0.0657776395350663,0.6668635616920281,"[[0.8305115991190644, 0.6634197020749684, 0.6830901043757108]]",0.7256738018565811,0.0745652018160634,0.68492771439566,"[[0.8056037970537665, 0.7323622438181949, 0.7675130890389871]]",0.7684930433036494,0.0299087669740316,0.768475762640682,"[[0.7016122983096397, 0.7102438460124701, 0.711594689066928]]",0.7078169444630126,0.0044218713727612,0.5901265465024373,"[[0.8471083214025865, 0.7279328230456127, 0.7497764821249512]]",0.7749392088577168,0.0518045812943806,0.7589173573771424,0.7632547789457752,0.0627976783488762,0.7814487141017143
10,0.2,[0.0036394417728608363],[3902.4541194538047],[0.003742278400703276],15,2,100,"[[0.8211009174311926, 0.84375, 0.621301775147929]]",0.7620508975263739,0.0999532618211432,0.7616161616161616,"[[0.7129750982961992, 0.6806818181818182, 0.6023668639053255]]",0.6653412601277809,0.0464402477729794,0.704040404040404,"[[0.8211009174311926, 0.84375, 0.621301775147929]]",0.7620508975263739,0.0999532618211432,0.7616161616161616,"[[0.8447556208633835, 0.8425840705614389, 0.5888661720487526]]",0.731722598443664,0.1034371625731606,0.7555555555555555,"[[0.08640494655709065, 0.10525940692082032, 0.10417653133296126]]",0.0986136282702907,0.0086441535836026,0.0712787122809803,"[[0.08640494655709065, 0.10525940692082032, 0.10417653133296126]]",0.0986136282702907,0.0086441535836026,0.0950438289450667,"[[0.08616515677390715, 0.10505642575817209, 0.10365904200740952]]",0.0982935415131629,0.0085950162933443,0.0713527786592137,"[[0.09619505665191616, 0.11609498500187115, 0.10774870670579127]]",0.1066795827865261,0.0081592097881022,0.0831278360061692,"[[0.8765587369022112, 0.8275016942663332, 0.5922638086937567]]",0.7654414132874338,0.1240819901184899,0.7651227544344048,"[[0.788273480367336, 0.6545888652468488, 0.564542369187274]]",0.6691349049338196,0.0919151528327349,0.711601094965327,"[[0.8765587369022112, 0.8275016942663332, 0.5922638086937567]]",0.7654414132874338,0.1240819901184899,0.7651227544344048,"[[0.8518032717436027, 0.8093091678688293, 0.5554683000868472]]",0.7388602465664263,0.1308329513570814,0.7553464299310017,"[[0.8716468615761352, 0.851724923074626, 0.6227699858091816]]",0.7820472568199809,0.1129193154540007,0.8070592353723711,"[[0.8070278622196119, 0.697223323661263, 0.6050560760875792]]",0.7031024206561515,0.0825593662542188,0.7046344700472035,"[[0.8716468615761352, 0.851724923074626, 0.6227699858091816]]",0.7820472568199809,0.1129193154540007,0.8070592353723711,0.7587352878245249,0.1201188752264759,0.7910383064893908
