time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,-0.0169491525423728,-0.0169491525423728,25,1,random_forest
46.95,0.0,0.0084033613445378,0.0084033613445378,50,1,random_forest
59.4,0.0,-0.0166666666666666,-0.0166666666666666,75,1,random_forest
34.45,0.25,0.231638418079096,0.481638418079096,25,1,LASSO
46.95,0.5,0.2436974789915966,0.7436974789915967,50,1,LASSO
59.4,0.0,0.2,0.2,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.25,0.2372881355932203,0.4872881355932204,25,1,ELASTIC_NET
46.95,0.5,0.2605042016806723,0.7605042016806722,50,1,ELASTIC_NET
59.4,0.0,0.5166666666666667,0.5166666666666667,75,1,ELASTIC_NET
34.45,0.3333333333333333,-0.1085714285714285,0.2247619047619047,25,2,random_forest
45.3,0.0,0.0163934426229508,0.0163934426229508,50,2,random_forest
59.25,0.0,-0.0166666666666666,-0.0166666666666666,75,2,random_forest
34.45,0.0,0.3828571428571428,0.3828571428571428,25,2,LASSO
45.3,0.0,0.3524590163934426,0.3524590163934426,50,2,LASSO
59.25,0.0,0.2833333333333333,0.2833333333333333,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.32,0.32,25,2,ELASTIC_NET
45.3,0.0,0.319672131147541,0.319672131147541,50,2,ELASTIC_NET
59.25,0.0,0.3,0.3,75,2,ELASTIC_NET
34.4,0.0,-0.0167597765363128,-0.0167597765363128,25,3,random_forest
45.8,0.0,0.0166666666666666,0.0166666666666666,50,3,random_forest
59.25,0.0,-0.05,-0.05,75,3,random_forest
34.4,0.0,0.6145251396648045,0.6145251396648045,25,3,LASSO
45.8,0.0,0.6833333333333333,0.6833333333333333,50,3,LASSO
59.25,0.0,0.6,0.6,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.0,0.3854748603351955,0.3854748603351955,25,3,ELASTIC_NET
45.8,0.0,0.4916666666666666,0.4916666666666666,50,3,ELASTIC_NET
59.25,0.0,0.3833333333333333,0.3833333333333333,75,3,ELASTIC_NET
34.4,0.2,0.1694915254237288,0.3694915254237288,25,4,random_forest
44.4,,0.1544715447154471,,50,4,random_forest
58.175,,0.1475409836065573,,75,4,random_forest
34.4,0.2,0.2429378531073446,0.4429378531073447,25,4,LASSO
44.4,,0.4959349593495935,,50,4,LASSO
58.175,,0.5081967213114754,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.2,0.1073446327683615,0.3073446327683616,25,4,ELASTIC_NET
44.4,,-0.2276422764227642,,50,4,ELASTIC_NET
58.175,,-0.3114754098360656,,75,4,ELASTIC_NET
35.05,-0.2,0.1079545454545454,-0.0920454545454545,25,5,random_forest
45.8,0.0,0.0909090909090909,0.0909090909090909,50,5,random_forest
58.5,0.0,0.0,0.0,75,5,random_forest
35.05,0.2,0.0681818181818181,0.2681818181818182,25,5,LASSO
45.8,-0.5,-0.0495867768595041,-0.5495867768595042,50,5,LASSO
58.5,0.0,0.1666666666666666,0.1666666666666666,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,0.2727272727272727,0.2727272727272727,25,5,ELASTIC_NET
45.8,0.0,0.1074380165289256,0.1074380165289256,50,5,ELASTIC_NET
58.5,0.0,-0.1,-0.1,75,5,ELASTIC_NET
34.625,0.2,0.0227272727272727,0.2227272727272727,25,6,random_forest
45.2,,0.0082644628099173,,50,6,random_forest
58.975,,-0.0163934426229508,,75,6,random_forest
34.625,0.0,0.3522727272727273,0.3522727272727273,25,6,LASSO
45.2,,0.0,,50,6,LASSO
58.975,,0.0,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.2,-0.1647727272727272,0.0352272727272727,25,6,ELASTIC_NET
45.2,,-0.0743801652892562,,50,6,ELASTIC_NET
58.975,,-0.1311475409836065,,75,6,ELASTIC_NET
34.675,0.25,-0.1016949152542373,0.1483050847457627,25,7,random_forest
45.2,0.0,-0.1416666666666666,-0.1416666666666666,50,7,random_forest
59.075,,-0.1967213114754098,,75,7,random_forest
34.675,0.25,0.2146892655367231,0.4646892655367232,25,7,LASSO
45.2,1.0,0.25,1.25,50,7,LASSO
59.075,,0.360655737704918,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,0.25,-0.0621468926553672,0.1878531073446327,25,7,ELASTIC_NET
45.2,0.0,-0.0416666666666666,-0.0416666666666666,50,7,ELASTIC_NET
59.075,,-0.0655737704918032,,75,7,ELASTIC_NET
34.6,0.25,-0.0223463687150838,0.2276536312849162,25,8,random_forest
45.3,0.0,-0.040650406504065,-0.040650406504065,50,8,random_forest
59.1,0.0,-0.1147540983606557,-0.1147540983606557,75,8,random_forest
34.6,0.5,0.0558659217877094,0.5558659217877095,25,8,LASSO
45.3,0.0,0.4065040650406504,0.4065040650406504,50,8,LASSO
59.1,0.0,0.3114754098360656,0.3114754098360656,75,8,LASSO
34.6,0.0,0.0,0.0,25,8,RIDGE
45.3,0.0,0.0,0.0,50,8,RIDGE
59.1,0.0,0.0,0.0,75,8,RIDGE
34.6,0.25,0.1508379888268156,0.4008379888268156,25,8,ELASTIC_NET
45.3,0.0,0.3902439024390244,0.3902439024390244,50,8,ELASTIC_NET
59.1,0.0,0.2622950819672131,0.2622950819672131,75,8,ELASTIC_NET
34.625,0.1666666666666666,-0.0857142857142857,0.0809523809523809,25,9,random_forest
45.3,0.0,-0.1393442622950819,-0.1393442622950819,50,9,random_forest
57.4,,-0.1935483870967742,,75,9,random_forest
34.625,0.3333333333333333,-0.2342857142857143,0.099047619047619,25,9,LASSO
45.3,0.0,0.4836065573770491,0.4836065573770491,50,9,LASSO
