time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,0.1751412429378531,0.1751412429378531,25,1,random_forest
46.95,0.0,0.1176470588235294,0.1176470588235294,50,1,random_forest
59.4,0.0,0.2166666666666666,0.2166666666666666,75,1,random_forest
34.45,0.25,0.4350282485875706,0.6850282485875706,25,1,LASSO
46.95,0.5,0.3697478991596639,0.8697478991596639,50,1,LASSO
59.4,0.0,0.4333333333333333,0.4333333333333333,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.25,0.6101694915254238,0.8601694915254238,25,1,ELASTIC_NET
46.95,0.5,0.5798319327731093,1.0798319327731094,50,1,ELASTIC_NET
59.4,0.0,0.6833333333333333,0.6833333333333333,75,1,ELASTIC_NET
34.45,0.0,-0.2,-0.2,25,2,random_forest
45.3,0.0,-0.2049180327868852,-0.2049180327868852,50,2,random_forest
59.25,0.0,-0.0833333333333333,-0.0833333333333333,75,2,random_forest
34.45,0.0,0.0685714285714285,0.0685714285714285,25,2,LASSO
45.3,0.0,0.0081967213114754,0.0081967213114754,50,2,LASSO
59.25,0.0,0.1,0.1,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,0.0,0.0057142857142857,0.0057142857142857,25,2,ELASTIC_NET
45.3,0.0,0.1475409836065573,0.1475409836065573,50,2,ELASTIC_NET
59.25,0.0,0.2,0.2,75,2,ELASTIC_NET
34.4,0.0,0.0055865921787709,0.0055865921787709,25,3,random_forest
45.8,0.0,-0.0166666666666666,-0.0166666666666666,50,3,random_forest
59.25,0.0,0.2,0.2,75,3,random_forest
34.4,0.25,0.329608938547486,0.5796089385474861,25,3,LASSO
45.8,0.0,0.3333333333333333,0.3333333333333333,50,3,LASSO
59.25,0.0,0.3833333333333333,0.3833333333333333,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,0.1284916201117318,0.3784916201117319,25,3,ELASTIC_NET
45.8,0.0,0.1166666666666666,0.1166666666666666,50,3,ELASTIC_NET
59.25,0.0,0.1,0.1,75,3,ELASTIC_NET
34.4,0.0,-0.0508474576271186,-0.0508474576271186,25,4,random_forest
44.4,,0.032520325203252,,50,4,random_forest
58.175,,0.0655737704918032,,75,4,random_forest
34.4,0.0,0.6836158192090396,0.6836158192090396,25,4,LASSO
44.4,,0.6666666666666666,,50,4,LASSO
58.175,,0.7213114754098361,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,0.0,0.3954802259887006,0.3954802259887006,25,4,ELASTIC_NET
44.4,,0.056910569105691,,50,4,ELASTIC_NET
58.175,,0.0655737704918032,,75,4,ELASTIC_NET
35.05,0.0,-0.1818181818181818,-0.1818181818181818,25,5,random_forest
