time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.45,0.0,0.0903954802259887,0.0903954802259887,25,1,random_forest
46.95,0.0,0.1512605042016806,0.1512605042016806,50,1,random_forest
59.4,0.0,0.15,0.15,75,1,random_forest
34.45,0.0,0.4745762711864407,0.4745762711864407,25,1,LASSO
46.95,0.0,0.680672268907563,0.680672268907563,50,1,LASSO
59.4,0.0,0.6666666666666666,0.6666666666666666,75,1,LASSO
34.45,0.0,0.0,0.0,25,1,RIDGE
46.95,0.0,0.0,0.0,50,1,RIDGE
59.4,0.0,0.0,0.0,75,1,RIDGE
34.45,0.0,0.4858757062146893,0.4858757062146893,25,1,ELASTIC_NET
46.95,0.5,0.680672268907563,1.180672268907563,50,1,ELASTIC_NET
59.4,0.0,0.6833333333333333,0.6833333333333333,75,1,ELASTIC_NET
34.45,0.1666666666666666,-0.1085714285714285,0.058095238095238,25,2,random_forest
45.3,0.0,-0.0737704918032786,-0.0737704918032786,50,2,random_forest
59.25,0.0,-0.05,-0.05,75,2,random_forest
34.45,0.1666666666666666,0.0,0.1666666666666666,25,2,LASSO
45.3,0.0,0.1147540983606557,0.1147540983606557,50,2,LASSO
59.25,0.0,0.1833333333333333,0.1833333333333333,75,2,LASSO
34.45,0.0,0.0,0.0,25,2,RIDGE
45.3,0.0,0.0,0.0,50,2,RIDGE
59.25,0.0,0.0,0.0,75,2,RIDGE
34.45,-0.1666666666666666,0.0857142857142857,-0.0809523809523809,25,2,ELASTIC_NET
45.3,0.0,0.1639344262295081,0.1639344262295081,50,2,ELASTIC_NET
59.25,0.0,0.2833333333333333,0.2833333333333333,75,2,ELASTIC_NET
34.4,0.0,0.0279329608938547,0.0279329608938547,25,3,random_forest
45.8,0.0,0.0083333333333333,0.0083333333333333,50,3,random_forest
59.25,0.0,0.0,0.0,75,3,random_forest
34.4,0.25,0.1452513966480447,0.3952513966480447,25,3,LASSO
45.8,0.0,0.45,0.45,50,3,LASSO
59.25,0.0,0.45,0.45,75,3,LASSO
34.4,0.0,0.0,0.0,25,3,RIDGE
45.8,0.0,0.0,0.0,50,3,RIDGE
59.25,0.0,0.0,0.0,75,3,RIDGE
34.4,0.25,0.4134078212290503,0.6634078212290503,25,3,ELASTIC_NET
45.8,0.0,0.4333333333333333,0.4333333333333333,50,3,ELASTIC_NET
59.25,0.0,0.3666666666666666,0.3666666666666666,75,3,ELASTIC_NET
34.4,-0.2,-0.1468926553672316,-0.3468926553672317,25,4,random_forest
44.4,,-0.1951219512195122,,50,4,random_forest
58.175,,-0.1311475409836065,,75,4,random_forest
34.4,-0.4,0.6892655367231638,0.2892655367231638,25,4,LASSO
44.4,,0.6341463414634146,,50,4,LASSO
58.175,,0.7213114754098361,,75,4,LASSO
34.4,0.0,0.0,0.0,25,4,RIDGE
44.4,,0.0,,50,4,RIDGE
58.175,,0.0,,75,4,RIDGE
34.4,-0.4,0.6440677966101694,0.2440677966101694,25,4,ELASTIC_NET
44.4,,0.1300813008130081,,50,4,ELASTIC_NET
58.175,,0.180327868852459,,75,4,ELASTIC_NET
35.05,0.0,0.1988636363636363,0.1988636363636363,25,5,random_forest
45.8,0.0,0.0413223140495867,0.0413223140495867,50,5,random_forest
58.5,0.0,0.1,0.1,75,5,random_forest
35.05,0.0,0.4545454545454545,0.4545454545454545,25,5,LASSO
45.8,0.0,0.7272727272727273,0.7272727272727273,50,5,LASSO
58.5,0.0,0.55,0.55,75,5,LASSO
35.05,0.0,0.0,0.0,25,5,RIDGE
45.8,0.0,0.0,0.0,50,5,RIDGE
58.5,0.0,0.0,0.0,75,5,RIDGE
35.05,0.0,-0.0454545454545454,-0.0454545454545454,25,5,ELASTIC_NET
45.8,0.0,0.0743801652892562,0.0743801652892562,50,5,ELASTIC_NET
58.5,0.0,0.05,0.05,75,5,ELASTIC_NET
34.625,0.2,-0.0909090909090909,0.1090909090909091,25,6,random_forest
45.2,,0.0578512396694214,,50,6,random_forest
58.975,,0.0327868852459016,,75,6,random_forest
34.625,0.2,-0.5056818181818182,-0.3056818181818182,25,6,LASSO
45.2,,0.0,,50,6,LASSO
58.975,,0.0,,75,6,LASSO
34.625,0.0,0.0,0.0,25,6,RIDGE
45.2,,0.0,,50,6,RIDGE
58.975,,0.0,,75,6,RIDGE
34.625,0.2,-0.5056818181818182,-0.3056818181818182,25,6,ELASTIC_NET
45.2,,0.0,,50,6,ELASTIC_NET
58.975,,0.0,,75,6,ELASTIC_NET
34.675,0.25,0.1129943502824858,0.3629943502824859,25,7,random_forest
45.2,0.0,0.0916666666666666,0.0916666666666666,50,7,random_forest
59.075,,0.0655737704918032,,75,7,random_forest
34.675,0.0,0.1864406779661017,0.1864406779661017,25,7,LASSO
45.2,0.0,0.675,0.675,50,7,LASSO
59.075,,0.6229508196721312,,75,7,LASSO
34.675,0.0,0.0,0.0,25,7,RIDGE
45.2,0.0,0.0,0.0,50,7,RIDGE
59.075,,0.0,,75,7,RIDGE
34.675,-0.25,0.615819209039548,0.365819209039548,25,7,ELASTIC_NET
45.2,0.0,0.6666666666666666,0.6666666666666666,50,7,ELASTIC_NET
59.075,,0.6229508196721312,,75,7,ELASTIC_NET
34.6,0.0,-0.0055865921787709,-0.0055865921787709,25,8,random_forest
45.3,0.0,0.040650406504065,0.040650406504065,50,8,random_forest
59.1,0.0,0.0491803278688524,0.0491803278688524,75,8,random_forest
34.6,0.25,0.6368715083798883,0.8868715083798883,25,8,LASSO
45.3,0.0,0.6260162601626016,0.6260162601626016,50,8,LASSO
59.1,0.0,0.6065573770491803,0.6065573770491803,75,8,LASSO
34.6,0.0,0.0,0.0,25,8,RIDGE
45.3,0.0,0.0,0.0,50,8,RIDGE
59.1,0.0,0.0,0.0,75,8,RIDGE
34.6,0.0,0.4748603351955307,0.4748603351955307,25,8,ELASTIC_NET
45.3,0.0,0.4471544715447154,0.4471544715447154,50,8,ELASTIC_NET
59.1,0.0,0.3934426229508196,0.3934426229508196,75,8,ELASTIC_NET
34.625,0.1666666666666666,0.0742857142857142,0.2409523809523809,25,9,random_forest
45.3,0.0,0.040983606557377,0.040983606557377,50,9,random_forest
57.4,,-0.0161290322580645,,75,9,random_forest
34.625,-0.1666666666666666,0.6457142857142857,0.479047619047619,25,9,LASSO
45.3,0.0,0.6311475409836066,0.6311475409836066,50,9,LASSO
57.4,,0.0,,75,9,LASSO
34.625,0.0,0.0,0.0,25,9,RIDGE
45.3,0.0,0.0,0.0,50,9,RIDGE
57.4,,0.0,,75,9,RIDGE
34.625,0.0,0.0,0.0,25,9,ELASTIC_NET
45.3,0.0,0.0,0.0,50,9,ELASTIC_NET
57.4,,0.0,,75,9,ELASTIC_NET
34.6,0.1666666666666666,0.1079545454545454,0.2746212121212121,25,10,random_forest
43.25,0.0,0.134453781512605,0.134453781512605,50,10,random_forest
55.675,0.0,0.1,0.1,75,10,random_forest
34.6,-0.1666666666666666,0.5909090909090909,0.4242424242424243,25,10,LASSO
43.25,0.0,0.5546218487394958,0.5546218487394958,50,10,LASSO
55.675,0.0,0.1,0.1,75,10,LASSO
34.6,0.0,0.0,0.0,25,10,RIDGE
43.25,0.0,0.0,0.0,50,10,RIDGE
55.675,0.0,0.0,0.0,75,10,RIDGE
34.6,0.1666666666666666,0.5909090909090909,0.7575757575757576,25,10,ELASTIC_NET
43.25,0.0,0.5882352941176471,0.5882352941176471,50,10,ELASTIC_NET
55.675,0.0,0.5333333333333333,0.5333333333333333,75,10,ELASTIC_NET
34.6,0.1666666666666666,0.0625,0.2291666666666666,25,11,random_forest
45.6,0.0,-0.1,-0.1,50,11,random_forest
58.975,0.0,-0.1333333333333333,-0.1333333333333333,75,11,random_forest
34.6,0.1666666666666666,-0.0852272727272727,0.0814393939393939,25,11,LASSO
45.6,0.0,0.1,0.1,50,11,LASSO
58.975,0.0,0.15,0.15,75,11,LASSO
34.6,0.0,0.0,0.0,25,11,RIDGE
45.6,0.0,0.0,0.0,50,11,RIDGE
58.975,0.0,0.0,0.0,75,11,RIDGE
34.6,0.0,-0.1022727272727272,-0.1022727272727272,25,11,ELASTIC_NET
45.6,0.0,-0.4583333333333333,-0.4583333333333333,50,11,ELASTIC_NET
58.975,0.0,-0.4166666666666667,-0.4166666666666667,75,11,ELASTIC_NET
32.025,0.1111111111111111,-0.0232558139534883,0.0878552971576227,25,12,random_forest
45.35,0.0,0.0588235294117647,0.0588235294117647,50,12,random_forest
58.075,0.0,-0.05,-0.05,75,12,random_forest
32.025,0.2222222222222222,-0.1104651162790697,0.1117571059431524,25,12,LASSO
45.35,1.0,-0.1848739495798319,0.8151260504201681,50,12,LASSO
58.075,1.0,0.2666666666666666,1.2666666666666666,75,12,LASSO
32.025,0.0,0.0,0.0,25,12,RIDGE
45.35,0.0,0.0,0.0,50,12,RIDGE
58.075,0.0,0.0,0.0,75,12,RIDGE
32.025,0.2222222222222222,-0.1686046511627907,0.0536175710594315,25,12,ELASTIC_NET
45.35,0.5,0.2184873949579832,0.7184873949579832,50,12,ELASTIC_NET
58.075,0.0,-0.1666666666666666,-0.1666666666666666,75,12,ELASTIC_NET
34.675,0.2857142857142857,-0.1034482758620689,0.1822660098522167,25,13,random_forest
45.6,0.0,-0.042016806722689,-0.042016806722689,50,13,random_forest
59.075,0.0,-0.15,-0.15,75,13,random_forest
34.675,0.0,0.6494252873563219,0.6494252873563219,25,13,LASSO
45.6,0.0,0.6134453781512605,0.6134453781512605,50,13,LASSO
59.075,0.0,0.6333333333333333,0.6333333333333333,75,13,LASSO
34.675,0.0,0.0,0.0,25,13,RIDGE
45.6,0.0,0.0,0.0,50,13,RIDGE
59.075,0.0,0.0,0.0,75,13,RIDGE
34.675,0.0,0.6436781609195402,0.6436781609195402,25,13,ELASTIC_NET
45.6,0.0,0.6134453781512605,0.6134453781512605,50,13,ELASTIC_NET
59.075,0.0,0.6166666666666667,0.6166666666666667,75,13,ELASTIC_NET
