time,nri_event,nri_nonevent,nri_total,percentile,random_state,model
34.4,0.0,0.1866666666666666,0.1866666666666666,25,1,random_forest
41.1,0.0,0.2692307692307692,0.2692307692307692,50,1,random_forest
54.2,,0.1851851851851851,,75,1,random_forest
34.4,0.4,-0.08,0.32,25,1,LASSO
41.1,0.0,0.5192307692307693,0.5192307692307693,50,1,LASSO
54.2,,0.5185185185185185,,75,1,LASSO
34.4,0.0,0.0,0.0,25,1,RIDGE
41.1,0.0,0.0,0.0,50,1,RIDGE
54.2,,0.0,,75,1,RIDGE
34.4,0.4,-0.08,0.32,25,1,ELASTIC_NET
41.1,0.0,0.5,0.5,50,1,ELASTIC_NET
54.2,,0.4814814814814814,,75,1,ELASTIC_NET
33.6,0.0,0.1794871794871795,0.1794871794871795,25,2,random_forest
44.5,0.0,-0.0769230769230769,-0.0769230769230769,50,2,random_forest
54.6,,-0.0714285714285714,,75,2,random_forest
33.6,0.0,0.4871794871794871,0.4871794871794871,25,2,LASSO
44.5,0.0,0.5576923076923077,0.5576923076923077,50,2,LASSO
54.6,,0.5714285714285714,,75,2,LASSO
33.6,0.0,0.0,0.0,25,2,RIDGE
44.5,0.0,0.0,0.0,50,2,RIDGE
54.6,,0.0,,75,2,RIDGE
33.6,0.0,0.4230769230769231,0.4230769230769231,25,2,ELASTIC_NET
44.5,0.0,0.3269230769230769,0.3269230769230769,50,2,ELASTIC_NET
54.6,,0.2857142857142857,,75,2,ELASTIC_NET
34.6,-0.25,0.2533333333333333,0.0033333333333333,25,3,random_forest
42.6,0.0,0.2884615384615384,0.2884615384615384,50,3,random_forest
54.6,,0.1851851851851851,,75,3,random_forest
34.6,0.5,-0.04,0.46,25,3,LASSO
42.6,1.0,0.0,1.0,50,3,LASSO
54.6,,0.4074074074074074,,75,3,LASSO
34.6,0.0,0.0,0.0,25,3,RIDGE
42.6,0.0,0.0,0.0,50,3,RIDGE
54.6,,0.0,,75,3,RIDGE
34.6,0.25,-0.0133333333333333,0.2366666666666666,25,3,ELASTIC_NET
42.6,0.0,0.5576923076923077,0.5576923076923077,50,3,ELASTIC_NET
54.6,,0.4814814814814814,,75,3,ELASTIC_NET
34.7,0.0,0.3866666666666666,0.3866666666666666,25,4,random_forest
46.9,0.0,0.1372549019607843,0.1372549019607843,50,4,random_forest
57.4,0.0,-0.0384615384615384,-0.0384615384615384,75,4,random_forest
34.7,0.25,0.52,0.77,25,4,LASSO
46.9,0.0,0.4705882352941176,0.4705882352941176,50,4,LASSO
57.4,0.0,0.3846153846153846,0.3846153846153846,75,4,LASSO
34.7,0.0,0.0,0.0,25,4,RIDGE
46.9,0.0,0.0,0.0,50,4,RIDGE
57.4,0.0,0.0,0.0,75,4,RIDGE
34.7,0.25,0.4,0.65,25,4,ELASTIC_NET
46.9,0.0,0.4509803921568627,0.4509803921568627,50,4,ELASTIC_NET
57.4,0.0,0.3461538461538461,0.3461538461538461,75,4,ELASTIC_NET
32.9,0.3333333333333333,-0.2368421052631578,0.0964912280701754,25,5,random_forest
41.8,0.0,0.2115384615384615,0.2115384615384615,50,5,random_forest
55.1,,0.1851851851851851,,75,5,random_forest
32.9,0.3333333333333333,-0.2894736842105263,0.0438596491228069,25,5,LASSO
41.8,0.0,0.3653846153846153,0.3653846153846153,50,5,LASSO
55.1,,0.2222222222222222,,75,5,LASSO
32.9,0.0,0.0,0.0,25,5,RIDGE
41.8,0.0,0.0,0.0,50,5,RIDGE
55.1,,0.0,,75,5,RIDGE
32.9,0.3333333333333333,-0.1710526315789473,0.1622807017543859,25,5,ELASTIC_NET
41.8,0.0,0.4423076923076923,0.4423076923076923,50,5,ELASTIC_NET
55.1,,0.5185185185185185,,75,5,ELASTIC_NET
33.6,0.0,0.1818181818181818,0.1818181818181818,25,6,random_forest
45.3,0.0,0.0588235294117647,0.0588235294117647,50,6,random_forest
54.5,0.0,0.1153846153846153,0.1153846153846153,75,6,random_forest
33.6,0.0,-0.0909090909090909,-0.0909090909090909,25,6,LASSO
45.3,0.0,0.196078431372549,0.196078431372549,50,6,LASSO
54.5,0.0,0.1538461538461538,0.1538461538461538,75,6,LASSO
33.6,0.0,0.0,0.0,25,6,RIDGE
45.3,0.0,0.0,0.0,50,6,RIDGE
54.5,0.0,0.0,0.0,75,6,RIDGE
33.6,0.0,-0.0909090909090909,-0.0909090909090909,25,6,ELASTIC_NET
45.3,0.0,0.1176470588235294,0.1176470588235294,50,6,ELASTIC_NET
54.5,0.0,0.0769230769230769,0.0769230769230769,75,6,ELASTIC_NET
32.1,0.0,-0.1052631578947368,-0.1052631578947368,25,7,random_forest
45.3,0.0,0.2692307692307692,0.2692307692307692,50,7,random_forest
54.9,0.0,0.1538461538461538,0.1538461538461538,75,7,random_forest
32.1,0.3333333333333333,-0.1710526315789473,0.1622807017543859,25,7,LASSO
45.3,1.0,0.2692307692307692,1.2692307692307692,50,7,LASSO
54.9,0.0,-0.0384615384615384,-0.0384615384615384,75,7,LASSO
32.1,0.0,0.0,0.0,25,7,RIDGE
45.3,0.0,0.0,0.0,50,7,RIDGE
54.9,0.0,0.0,0.0,75,7,RIDGE
32.1,0.3333333333333333,0.0921052631578947,0.425438596491228,25,7,ELASTIC_NET
45.3,0.0,0.5769230769230769,0.5769230769230769,50,7,ELASTIC_NET
54.9,0.0,0.4615384615384615,0.4615384615384615,75,7,ELASTIC_NET
33.2,0.0,-0.04,-0.04,25,8,random_forest
44.1,0.0,0.3653846153846153,0.3653846153846153,50,8,random_forest
54.5,,0.3703703703703703,,75,8,random_forest
33.2,0.25,0.0133333333333333,0.2633333333333333,25,8,LASSO
44.1,-1.0,0.6730769230769231,-0.3269230769230768,50,8,LASSO
54.5,,0.7777777777777778,,75,8,LASSO
33.2,0.0,0.0,0.0,25,8,RIDGE
44.1,0.0,0.0,0.0,50,8,RIDGE
54.5,,0.0,,75,8,RIDGE
33.2,0.25,0.0133333333333333,0.2633333333333333,25,8,ELASTIC_NET
44.1,-1.0,0.6153846153846154,-0.3846153846153846,50,8,ELASTIC_NET
54.5,,0.6666666666666666,,75,8,ELASTIC_NET
32.0,0.0,-0.2179487179487179,-0.2179487179487179,25,9,random_forest
44.3,0.0,0.3269230769230769,0.3269230769230769,50,9,random_forest
58.6,0.0,0.2692307692307692,0.2692307692307692,75,9,random_forest
32.0,0.0,-0.2051282051282051,-0.2051282051282051,25,9,LASSO
44.3,0.0,0.3269230769230769,0.3269230769230769,50,9,LASSO
58.6,0.0,-0.2692307692307692,-0.2692307692307692,75,9,LASSO
32.0,0.0,0.0,0.0,25,9,RIDGE
44.3,0.0,0.0,0.0,50,9,RIDGE
58.6,0.0,0.0,0.0,75,9,RIDGE
32.0,0.0,-0.2051282051282051,-0.2051282051282051,25,9,ELASTIC_NET
44.3,1.0,0.3269230769230769,1.3269230769230769,50,9,ELASTIC_NET
58.6,1.0,0.0769230769230769,1.0769230769230769,75,9,ELASTIC_NET
32.0,0.0,-0.1923076923076923,-0.1923076923076923,25,10,random_forest
48.3,0.0,0.1851851851851851,0.1851851851851851,50,10,random_forest
59.7,,0.1111111111111111,,75,10,random_forest
32.0,-1.0,-0.0384615384615384,-1.0384615384615383,25,10,LASSO
48.3,0.0,0.2962962962962963,0.2962962962962963,50,10,LASSO
59.7,,0.2592592592592592,,75,10,LASSO
32.0,0.0,0.0,0.0,25,10,RIDGE
48.3,0.0,0.0,0.0,50,10,RIDGE
59.7,,0.0,,75,10,RIDGE
