"","promoterId","geneId"
"1",142,"ENSG00000005238.20"
"2",191,"ENSG00000006125.18"
"3",192,"ENSG00000006125.18"
"4",580,"ENSG00000014216.16"
"5",636,"ENSG00000018189.13"
"6",966,"ENSG00000040531.16"
"7",1002,"ENSG00000042753.12"
"8",1104,"ENSG00000048740.19"
"9",1348,"ENSG00000057757.10"
"10",1599,"ENSG00000065534.20"
"11",1602,"ENSG00000065534.20"
"12",2055,"ENSG00000072518.23"
"13",2375,"ENSG00000077157.23"
"14",2376,"ENSG00000077157.23"
"15",2435,"ENSG00000078070.14"
"16",2472,"ENSG00000078369.19"
"17",2622,"ENSG00000080503.25"
"18",2625,"ENSG00000080503.25"
"19",2662,"ENSG00000080824.19"
"20",2692,"ENSG00000081189.17"
"21",2950,"ENSG00000085998.15"
"22",3133,"ENSG00000088387.22"
"23",3136,"ENSG00000088387.22"
"24",3546,"ENSG00000094916.16"
"25",4023,"ENSG00000100416.15"
"26",4210,"ENSG00000100979.15"
"27",4222,"ENSG00000100997.20"
"28",4801,"ENSG00000103275.21"
"29",4814,"ENSG00000103335.22"
"30",5034,"ENSG00000104518.11"
"31",5234,"ENSG00000105223.21"
"32",5260,"ENSG00000105281.12"
"33",5517,"ENSG00000105974.13"
"34",5640,"ENSG00000106355.10"
"35",5992,"ENSG00000108312.16"
"36",6050,"ENSG00000108523.16"
"37",6185,"ENSG00000109099.16"
"38",6235,"ENSG00000109332.20"
"39",6400,"ENSG00000110066.16"
"40",6455,"ENSG00000110321.19"
"41",6503,"ENSG00000110651.13"
"42",6676,"ENSG00000111348.9"
"43",6677,"ENSG00000111348.9"
"44",7027,"ENSG00000112715.26"
"45",7031,"ENSG00000112759.19"
"46",7032,"ENSG00000112759.19"
"47",7033,"ENSG00000112759.19"
"48",7405,"ENSG00000114850.7"
"49",7648,"ENSG00000115677.18"
"50",7733,"ENSG00000116044.17"
"51",7786,"ENSG00000116251.11"
"52",8009,"ENSG00000117450.15"
"53",8010,"ENSG00000117450.15"
"54",8027,"ENSG00000117519.16"
"55",8074,"ENSG00000117676.14"
"56",8093,"ENSG00000117859.19"
"57",8191,"ENSG00000118515.12"
"58",8216,"ENSG00000118689.15"
"59",8241,"ENSG00000118900.15"
"60",8646,"ENSG00000120784.17"
"61",8703,"ENSG00000121022.14"
"62",9152,"ENSG00000123562.18"
"63",9366,"ENSG00000124588.22"
"64",9404,"ENSG00000124762.14"
"65",9405,"ENSG00000124762.14"
"66",9729,"ENSG00000126088.14"
"67",9730,"ENSG00000126088.14"
"68",9745,"ENSG00000126217.22"
"69",9772,"ENSG00000126267.11"
"70",9999,"ENSG00000127870.17"
"71",10005,"ENSG00000127914.19"
"72",10336,"ENSG00000129657.16"
"73",10341,"ENSG00000129675.16"
"74",10351,"ENSG00000129691.16"
"75",10532,"ENSG00000130592.17"
"76",10533,"ENSG00000130592.17"
"77",10653,"ENSG00000130985.17"
"78",10654,"ENSG00000130985.17"
"79",10856,"ENSG00000131779.11"
"80",10900,"ENSG00000132002.9"
"81",10921,"ENSG00000132153.15"
"82",11007,"ENSG00000132466.20"
"83",11197,"ENSG00000133104.14"
"84",11198,"ENSG00000133104.14"
"85",11689,"ENSG00000135052.16"
"86",11744,"ENSG00000135250.17"
"87",12079,"ENSG00000136167.15"
"88",12171,"ENSG00000136504.15"
"89",12513,"ENSG00000137693.14"
"90",12514,"ENSG00000137693.14"
"91",12704,"ENSG00000138162.19"
"92",12705,"ENSG00000138162.19"
"93",12842,"ENSG00000138674.17"
"94",13145,"ENSG00000139842.15"
"95",13230,"ENSG00000140262.18"
"96",13465,"ENSG00000141179.14"
"97",13475,"ENSG00000141252.21"
"98",13476,"ENSG00000141252.21"
"99",14092,"ENSG00000143774.18"
"100",14250,"ENSG00000144401.14"
