Feature,VIF,random_state
const,16.871821506788944,1
Size_cm,1.05505376447803,1
Ki67,1.1388171224529129,1
Age_at_surgery,1.045005278089575,1
CNA_Subtype_Chr8p21_del,1.6158412762719705,1
CNA_Subtype_Chr9p23_amp,1.5684425690305692,1
CNA_Subtype_Chr12p13_amp,1.6584447060430303,1
CNA_Subtype_Chr13q34_amp,1.4052701153205365,1
CNA_Subtype_Chr20q13_amp,1.4481317709312578,1
CNA_Subtype_Low_CIN,2.17290863574671,1
pr3004_huwe1,1.0794196409911712,1
pr9001_cald1,1.1268823963445715,1
pr12191_tank,1.1320116467106476,1
pr19936_tpm4,1.0941248617071326,1
pr41492_ftx,1.1278955454156008,1
const,16.093321835247764,2
Size_cm,1.055360806051408,2
Ki67,1.1605126483973156,2
Age_at_surgery,1.1034087400888215,2
CNA_Subtype_Chr8p21_del,1.5857505365977922,2
CNA_Subtype_Chr9p23_amp,1.5956800990717606,2
CNA_Subtype_Chr12p13_amp,1.7513260343890191,2
CNA_Subtype_Chr13q34_amp,1.4153948308862832,2
CNA_Subtype_Chr20q13_amp,1.4785364422640377,2
CNA_Subtype_Low_CIN,2.229809475200641,2
pr3004_huwe1,1.1365455572554524,2
pr9001_cald1,1.09155415723171,2
pr12191_tank,1.113740854619023,2
pr19936_tpm4,1.107538561215437,2
pr41492_ftx,1.179659422759782,2
const,16.861390126578872,3
Size_cm,1.0396113535558682,3
Ki67,1.128554637412638,3
Age_at_surgery,1.0682913384489308,3
CNA_Subtype_Chr8p21_del,1.6867422441938045,3
CNA_Subtype_Chr9p23_amp,1.6557928042771517,3
CNA_Subtype_Chr12p13_amp,1.674343714016303,3
CNA_Subtype_Chr13q34_amp,1.4463597220391538,3
CNA_Subtype_Chr20q13_amp,1.5436161567708817,3
CNA_Subtype_Low_CIN,2.2008126086574835,3
pr3004_huwe1,1.118513096103836,3
pr9001_cald1,1.1485806833469898,3
pr12191_tank,1.090127405534343,3
pr19936_tpm4,1.1245747136802595,3
pr41492_ftx,1.150004636172962,3
const,15.515222512591434,4
Size_cm,1.0413963552998962,4
Ki67,1.170978532248986,4
Age_at_surgery,1.0382699511494642,4
CNA_Subtype_Chr8p21_del,1.6177031257296373,4
CNA_Subtype_Chr9p23_amp,1.665198318449426,4
CNA_Subtype_Chr12p13_amp,1.586120649798208,4
CNA_Subtype_Chr13q34_amp,1.3777851586365744,4
